score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_99_268811_11_2022_3_本科批,99_268811,99,268811,北京,2022,材料科学与工程,本科 (1),工学 (10),材料类 (66),中外合作办学,本科批,综合,618,0,0,6248,,物理必选
score_99_180339_11_2022_3_本科批,99_180339,99,180339,北京,2022,工业工程,本科 (1),管理学 (13),工业工程类 (118),中外合作办学,本科批,综合,617,0,0,6380,,物理必选
score_99_180340_11_2022_3_本科批,99_180340,99,180340,北京,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),中外合作办学,本科批,综合,616,0,0,6509,,物理必选
score_99_1469544_11_2022_3_本科批,99_1469544,99,1469544,北京,2022,口腔医学,本科 (1),医学 (12),口腔医学类 (103),普通类,本科批,综合,669,0,0,1278,,物/化/生(3选1)
score_99_1469543_11_2022_3_本科批,99_1469543,99,1469543,北京,2022,口腔医学,本科 (1),医学 (12),口腔医学类 (103),普通类,本科批,综合,665,0,0,1526,,物/化/生(3选1)
score_99_92906_11_2022_3_本科批,99_92906,99,92906,北京,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,综合,663,0,0,1654,,物理、化学(2科必选)
score_99_92757_11_2022_3_本科批,99_92757,99,92757,北京,2022,历史学类,本科 (1),历史学 (8),历史学类 (50),普通类,本科批,综合,653,0,0,2465,,历史/地理(2选1)
score_99_92910_11_2022_3_本科批,99_92910,99,92910,北京,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,综合,648,0,0,2940,,物理、化学(2科必选)
score_99_4171_11_2022_3_本科批,99_4171,99,4171,北京,2022,哲学,本科 (1),哲学 (3),哲学类 (34),普通类,本科批,综合,640,0,0,3765,,不限
score_99_4219_11_2022_3_本科批,99_4219,99,4219,北京,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,640,0,0,3765,,物理必选
score_99_92782_11_2022_3_本科批,99_92782,99,92782,北京,2022,网络空间安全,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,640,0,0,3765,,物理必选
score_99_4177_11_2022_3_本科批,99_4177,99,4177,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,638,0,0,3984,,不限
score_99_4204_11_2022_3_本科批,99_4204,99,4204,北京,2022,高分子材料与工程,本科 (1),工学 (10),材料类 (66),普通类,本科批,综合,637,0,0,4078,,物理必选
score_99_4212_11_2022_3_本科批,99_4212,99,4212,北京,2022,核工程与核技术,本科 (1),工学 (10),核工程类 (84),普通类,本科批,综合,636,0,0,4186,,物理必选
score_99_92785_11_2022_3_本科批,99_92785,99,92785,北京,2022,国际政治,本科 (1),法学 (5),政治学类 (40),普通类,本科批,综合,634,0,0,4400,,不限
score_99_92787_11_2022_3_本科批,99_92787,99,92787,北京,2022,西班牙语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,634,0,0,4400,,不限
score_99_4242_11_2022_3_本科批,99_4242,99,4242,北京,2022,法医学,本科 (1),医学 (12),法医学类 (109),普通类,本科批,综合,633,0,0,4511,,物/化/生(3选1)
score_99_4237_11_2022_3_本科批,99_4237,99,4237,北京,2022,卫生检验与检疫,本科 (1),医学 (12),医学技术类 (110),普通类,本科批,综合,631,0,0,4761,,物/化/生(3选1)
score_99_4244_11_2022_3_本科批,99_4244,99,4244,北京,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科批,综合,629,0,0,4964,,物/化/生(3选1)
