score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_33_98942_11_2022_3_本科批,33_98942,33,98942,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,598,601,600,8957,,不限
score_33_254_11_2022_3_本科批,33_254,33,254,北京,2022,物流管理,本科 (1),管理学 (13),物流管理与工程类 (117),普通类,本科批,综合,586,595,591,10758,,不限
score_33_255_11_2022_3_本科批,33_255,33,255,北京,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,579,596,584,11843,,不限
score_33_265_11_2022_3_本科批,33_265,33,265,北京,2022,金融工程,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,574,577,575,12633,,不限
score_33_98942_11_2022_3_本科批,33_98942,33,98942,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,598,601,600,8957,,不限
score_33_254_11_2022_3_本科批,33_254,33,254,北京,2022,物流管理,本科 (1),管理学 (13),物流管理与工程类 (117),普通类,本科批,综合,586,595,591,10758,,不限
score_33_255_11_2022_3_本科批,33_255,33,255,北京,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,579,596,584,11843,,不限
score_33_265_11_2022_3_本科批,33_265,33,265,北京,2022,金融工程,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,574,577,575,12633,,不限
score_33_98942_12_2022_3_本科批A段,33_98942,33,98942,天津,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批A段,综合,646,0,0,5557,,不限
score_33_236_12_2022_3_本科批A段,33_236,33,236,天津,2022,海事管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科批A段,综合,644,0,0,5858,,不限
score_33_255_12_2022_3_本科批A段,33_255,33,255,天津,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,641,0,0,6376,,不限
score_33_265_12_2022_3_本科批A段,33_265,33,265,天津,2022,金融工程,本科 (1),经济学 (4),金融学类 (37),普通类,本科批A段,综合,640,0,0,6555,,不限
score_33_251_12_2022_3_本科批A段,33_251,33,251,天津,2022,电子商务,本科 (1),管理学 (13),电子商务类 (119),普通类,本科批A段,综合,638,0,0,6890,,不限
score_33_98942_12_2022_3_本科批A段,33_98942,33,98942,天津,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批A段,综合,646,0,0,5557,,不限
score_33_236_12_2022_3_本科批A段,33_236,33,236,天津,2022,海事管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科批A段,综合,644,0,0,5858,,不限
score_33_255_12_2022_3_本科批A段,33_255,33,255,天津,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,641,0,0,6376,,不限
score_33_265_12_2022_3_本科批A段,33_265,33,265,天津,2022,金融工程,本科 (1),经济学 (4),金融学类 (37),普通类,本科批A段,综合,640,0,0,6555,,不限
score_33_251_12_2022_3_本科批A段,33_251,33,251,天津,2022,电子商务,本科 (1),管理学 (13),电子商务类 (119),普通类,本科批A段,综合,638,0,0,6890,,不限
score_33_1129724_12_2022_3_本科批A段,33_1129724,33,1129724,天津,2022,供应链管理,本科 (1),管理学 (13),物流管理与工程类 (117),普通类,本科批A段,综合,628,0,0,8646,,物理必选
score_33_1129724_12_2022_3_本科批A段,33_1129724,33,1129724,天津,2022,供应链管理,本科 (1),管理学 (13),物流管理与工程类 (117),普通类,本科批A段,综合,628,0,0,8646,,物理必选
score_33_98942_13_2022_2074_本科批,33_98942,33,98942,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,602,0,0,1931,,
score_33_255_13_2022_2074_本科批,33_255,33,255,河北,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,596,0,0,2579,,
score_33_98942_13_2022_2073_本科批,33_98942,33,98942,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,物理类,599,0,0,10212,,
score_33_236_13_2022_2073_本科批,33_236,33,236,河北,2022,海事管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科批,物理类,582,0,0,18065,,
score_33_251_13_2022_2073_本科批,33_251,33,251,河北,2022,电子商务,本科 (1),管理学 (13),电子商务类 (119),普通类,本科批,物理类,581,0,0,18643,,
score_33_1129724_13_2022_2073_本科批,33_1129724,33,1129724,河北,2022,供应链管理,本科 (1),管理学 (13),物流管理与工程类 (117),普通类,本科批,物理类,580,0,0,19205,,
score_33_232_14_2022_2_本科一批A段,33_232,33,232,山西,2022,政治学与行政学,本科 (1),法学 (5),政治学类 (40),普通类,本科一批A段,文科,551,0,554,2249,,
