score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_89_145275_11_2022_3_本科批,89_145275,89,145275,北京,2022,传播学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,541,550,545,18261,,不限
score_89_314384_11_2022_3_本科批,89_314384,89,314384,北京,2022,中医学,本科 (1),医学 (12),中医学类 (105),普通类,本科批,综合,598,606,602,8957,,物/化/生(3选1)
score_89_3704_11_2022_3_本科批,89_3704,89,3704,北京,2022,中西医临床医学,本科 (1),医学 (12),中西医结合类 (106),普通类,本科批,综合,578,582,580,12007,,物/化/生(3选1)
score_89_3694_11_2022_3_本科批,89_3694,89,3694,北京,2022,食品卫生与营养学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,综合,561,563,562,14760,,物/化/生(3选1)
score_89_1801742_11_2022_3_本科批,89_1801742,89,1801742,北京,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,综合,561,564,562,14760,,化学、生物(2科必选)
score_89_207743_11_2022_3_本科批,89_207743,89,207743,北京,2022,临床药学,本科 (1),医学 (12),药学类 (107),中外合作办学,本科批,综合,544,561,551,17717,,物/化/生(3选1)
score_89_145275_11_2022_3_本科批,89_145275,89,145275,北京,2022,传播学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,541,550,545,18261,,不限
score_89_314384_11_2022_3_本科批,89_314384,89,314384,北京,2022,中医学,本科 (1),医学 (12),中医学类 (105),普通类,本科批,综合,598,606,602,8957,,物/化/生(3选1)
score_89_3704_11_2022_3_本科批,89_3704,89,3704,北京,2022,中西医临床医学,本科 (1),医学 (12),中西医结合类 (106),普通类,本科批,综合,578,582,580,12007,,物/化/生(3选1)
score_89_3694_11_2022_3_本科批,89_3694,89,3694,北京,2022,食品卫生与营养学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,综合,561,563,562,14760,,物/化/生(3选1)
score_89_1801742_11_2022_3_本科批,89_1801742,89,1801742,北京,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,综合,561,564,562,14760,,化学、生物(2科必选)
score_89_207743_11_2022_3_本科批,89_207743,89,207743,北京,2022,临床药学,本科 (1),医学 (12),药学类 (107),中外合作办学,本科批,综合,544,561,551,17717,,物/化/生(3选1)
score_89_3701_12_2022_3_本科批A段,89_3701,89,3701,天津,2022,康复治疗学,本科 (1),医学 (12),医学技术类 (110),普通类,本科批A段,综合,605,0,0,13096,,物/化/生(3选1)
score_89_3704_12_2022_3_本科批A段,89_3704,89,3704,天津,2022,中西医临床医学,本科 (1),医学 (12),中西医结合类 (106),普通类,本科批A段,综合,602,0,0,13687,,物/化/生(3选1)
score_89_3699_12_2022_3_本科批A段,89_3699,89,3699,天津,2022,中药学,本科 (1),医学 (12),中药学类 (108),普通类,本科批A段,综合,633,0,0,7774,,物/化/生(3选1)
score_89_804684_12_2022_3_本科批A段,89_804684,89,804684,天津,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,614,0,0,11239,,化学、生物(2科必选)
score_89_3691_12_2022_3_本科批A段,89_3691,89,3691,天津,2022,临床药学,本科 (1),医学 (12),药学类 (107),普通类,本科批A段,综合,612,0,0,11660,,物/化/生(3选1)
score_89_1801742_12_2022_3_本科批A段,89_1801742,89,1801742,天津,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批A段,综合,612,0,0,11660,,化学、生物(2科必选)
score_89_3701_12_2022_3_本科批A段,89_3701,89,3701,天津,2022,康复治疗学,本科 (1),医学 (12),医学技术类 (110),普通类,本科批A段,综合,605,0,0,13096,,物/化/生(3选1)
score_89_3704_12_2022_3_本科批A段,89_3704,89,3704,天津,2022,中西医临床医学,本科 (1),医学 (12),中西医结合类 (106),普通类,本科批A段,综合,602,0,0,13687,,物/化/生(3选1)
score_89_3681_12_2022_3_本科批A段,89_3681,89,3681,天津,2022,制药工程,本科 (1),工学 (10),化工与制药类 (75),普通类,本科批A段,综合,599,0,0,14317,,物/化/生(3选1)
score_89_3694_12_2022_3_本科批A段,89_3694,89,3694,天津,2022,食品卫生与营养学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批A段,综合,599,0,0,14317,,物/化/生(3选1)
score_89_3709_12_2022_3_本科批A段,89_3709,89,3709,天津,2022,医学信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,597,0,0,14711,,物理必选
score_89_145294_12_2022_3_本科批A段,89_145294,89,145294,天津,2022,应用统计学,本科 (1),理学 (9),统计学类 (62),普通类,本科批A段,综合,592,0,0,15787,,物理必选
score_89_145275_12_2022_3_本科批A段,89_145275,89,145275,天津,2022,传播学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批A段,综合,591,0,0,16021,,不限
score_89_207743_12_2022_3_本科批A段,89_207743,89,207743,天津,2022,临床药学,本科 (1),医学 (12),药学类 (107),中外合作办学,本科批A段,综合,586,0,0,17045,,物/化/生(3选1)
score_89_3689_12_2022_3_本科批A段,89_3689,89,3689,天津,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科批A段,综合,583,0,0,17656,,不限
