score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_92_3853_12_2022_3_本科批A段,92_3853,92,3853,天津,2022,特殊教育,本科(普通) (1),教育学 (6),教育学类 (45),普通类,本科批A段,综合,554,0,0,23759,,不限
score_92_3858_12_2022_3_本科批A段,92_3858,92,3858,天津,2022,运动康复,本科(普通) (1),教育学 (6),体育学类 (46),普通类,本科批A段,综合,544,0,0,25837,,不限
score_92_3847_12_2022_3_本科批A段,92_3847,92,3847,天津,2022,运动人体科学,本科(普通) (1),教育学 (6),体育学类 (46),普通类,本科批A段,综合,543,0,0,26037,,不限
score_92_3857_12_2022_3_本科批A段,92_3857,92,3857,天津,2022,应用心理学,本科(普通) (1),理学 (9),心理学类 (61),普通类,本科批A段,综合,542,0,0,26253,,不限
score_92_115801_12_2022_3_本科批A段,92_115801,92,115801,天津,2022,体育经济与管理,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,539,0,0,26889,,不限
score_92_3851_12_2022_3_本科批A段,92_3851,92,3851,天津,2022,市场营销,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,538,0,0,27153,,不限
score_92_3854_12_2022_3_本科批A段,92_3854,92,3854,天津,2022,公共事业管理,本科(普通) (1),管理学 (13),公共管理类 (115),普通类,本科批A段,综合,538,0,0,27153,,不限
score_92_3853_12_2022_3_本科批A段,92_3853,92,3853,天津,2022,特殊教育,本科(普通) (1),教育学 (6),教育学类 (45),普通类,本科批A段,综合,554,0,0,23759,,不限
score_92_3858_12_2022_3_本科批A段,92_3858,92,3858,天津,2022,运动康复,本科(普通) (1),教育学 (6),体育学类 (46),普通类,本科批A段,综合,544,0,0,25837,,不限
score_92_115802_12_2022_3_本科批A段,92_115802,92,115802,天津,2022,康复治疗学,本科(普通) (1),医学 (12),医学技术类 (110),普通类,本科批A段,综合,544,0,0,25837,,物/化/生(3选1)
score_92_3847_12_2022_3_本科批A段,92_3847,92,3847,天津,2022,运动人体科学,本科(普通) (1),教育学 (6),体育学类 (46),普通类,本科批A段,综合,543,0,0,26037,,不限
score_92_3857_12_2022_3_本科批A段,92_3857,92,3857,天津,2022,应用心理学,本科(普通) (1),理学 (9),心理学类 (61),普通类,本科批A段,综合,542,0,0,26253,,不限
score_92_115801_12_2022_3_本科批A段,92_115801,92,115801,天津,2022,体育经济与管理,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,539,0,0,26889,,不限
score_92_3851_12_2022_3_本科批A段,92_3851,92,3851,天津,2022,市场营销,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,538,0,0,27153,,不限
score_92_3854_12_2022_3_本科批A段,92_3854,92,3854,天津,2022,公共事业管理,本科(普通) (1),管理学 (13),公共管理类 (115),普通类,本科批A段,综合,538,0,0,27153,,不限
score_92_1890740_12_2022_3_本科批A段,92_1890740,92,1890740,天津,2022,大数据管理与应用,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批A段,综合,538,0,0,27153,,物理必选
score_92_115802_12_2022_3_本科批A段,92_115802,92,115802,天津,2022,康复治疗学,本科(普通) (1),医学 (12),医学技术类 (110),普通类,本科批A段,综合,544,0,0,25837,,物/化/生(3选1)
score_92_1890740_12_2022_3_本科批A段,92_1890740,92,1890740,天津,2022,大数据管理与应用,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批A段,综合,538,0,0,27153,,物理必选
score_92_3858_13_2022_2074_本科批,92_3858,92,3858,河北,2022,运动康复,本科(普通) (1),教育学 (6),体育学类 (46),普通类,本科批,历史类,538,0,0,15489,,
score_92_3857_13_2022_2074_本科批,92_3857,92,3857,河北,2022,应用心理学,本科(普通) (1),理学 (9),心理学类 (61),普通类,本科批,历史类,536,0,0,16205,,
