score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_93_3872_12_2022_3_本科批A段,93_3872,93,3872,天津,2022,动物医学,本科(普通) (1),农学 (11),动物医学类 (97),普通类,本科批A段,综合,541,0,0,26482,,物/化/生(3选1)
score_93_3872_12_2022_3_本科批A段,93_3872,93,3872,天津,2022,动物医学,本科(普通) (1),农学 (11),动物医学类 (97),普通类,本科批A段,综合,537,0,0,27357,,物/化/生(3选1)
score_93_113854_12_2022_3_本科批A段,93_113854,93,113854,天津,2022,生物制药,本科(普通) (1),工学 (10),生物工程类 (92),普通类,本科批A段,综合,535,0,0,27787,,物/化/生(3选1)
score_93_3896_12_2022_3_本科批A段,93_3896,93,3896,天津,2022,食品质量与安全,本科(普通) (1),工学 (10),食品科学与工程类 (89),普通类,本科批A段,综合,534,0,0,28011,,物/化/生(3选1)
score_93_3901_12_2022_3_本科批A段,93_3901,93,3901,天津,2022,动物药学,本科(普通) (1),农学 (11),动物医学类 (97),普通类,本科批A段,综合,531,0,0,28622,,物/化/生(3选1)
score_93_3864_12_2022_3_本科批A段,93_3864,93,3864,天津,2022,食品科学与工程,本科(普通) (1),工学 (10),食品科学与工程类 (89),普通类,本科批A段,综合,529,0,0,29031,,物/化/生(3选1)
score_93_3866_12_2022_3_本科批A段,93_3866,93,3866,天津,2022,农学,本科(普通) (1),农学 (11),植物生产类 (94),普通类,本科批A段,综合,529,0,0,29031,,物/化/生(3选1)
score_93_3871_12_2022_3_本科批A段,93_3871,93,3871,天津,2022,动物科学,本科(普通) (1),农学 (11),动物生产类 (96),普通类,本科批A段,综合,528,0,0,29234,,物/化/生(3选1)
score_93_3881_12_2022_3_本科批A段,93_3881,93,3881,天津,2022,生物技术,本科(普通) (1),理学 (9),生物科学类 (60),普通类,本科批A段,综合,528,0,0,29234,,物/化/生(3选1)
score_93_3890_12_2022_3_本科批A段,93_3890,93,3890,天津,2022,生物工程,本科(普通) (1),工学 (10),生物工程类 (92),普通类,本科批A段,综合,528,0,0,29234,,物/化/生(3选1)
score_93_3860_12_2022_3_本科批A段,93_3860,93,3860,天津,2022,环境科学,本科(普通) (1),工学 (10),环境科学与工程类 (87),普通类,本科批A段,综合,526,0,0,29609,,物/化/生(3选1)
score_93_3868_12_2022_3_本科批A段,93_3868,93,3868,天津,2022,植物保护,本科(普通) (1),农学 (11),植物生产类 (94),普通类,本科批A段,综合,526,0,0,29609,,物/化/生(3选1)
score_93_3870_12_2022_3_本科批A段,93_3870,93,3870,天津,2022,园林,本科(普通) (1),农学 (11),林学类 (98),普通类,本科批A段,综合,525,0,0,29807,,物/化/生(3选1)
score_93_3865_12_2022_3_本科批A段,93_3865,93,3865,天津,2022,农业机械化及其自动化,本科(普通) (1),工学 (10),农业工程类 (85),普通类,本科批A段,综合,524,0,0,30010,,物/化/生(3选1)
