score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_78_100139_11_2022_3_本科批,78_100139,78,100139,北京,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,综合,626,0,0,5280,（5+3一体化）（五年制）,化学、生物(2科必选)
score_78_100139_11_2022_3_本科批,78_100139,78,100139,北京,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,综合,626,0,0,5280,（5+3一体化，儿科学）（五年制）,化学、生物(2科必选)
score_78_100130_11_2022_3_本科批,78_100130,78,100130,北京,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,综合,615,0,0,6652,（五年制）,化学、生物(2科必选)
score_78_100127_11_2022_3_本科批,78_100127,78,100127,北京,2022,麻醉学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,综合,613,0,0,6912,（五年制）,化学、生物(2科必选)
score_78_100139_11_2022_3_本科批,78_100139,78,100139,北京,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,综合,610,0,0,7296,（五年制）,化学、生物(2科必选)
score_78_3047_11_2022_3_本科批,78_3047,78,3047,北京,2022,基础医学,本科 (1),医学 (12),基础医学类 (101),普通类,本科批,综合,608,0,0,7567,（朱宪彝班）（五年制）,化学、生物(2科必选)
score_78_3050_11_2022_3_本科批,78_3050,78,3050,北京,2022,生物信息学,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,综合,604,0,0,8125,,化学、生物(2科必选)
score_78_1800389_11_2022_3_本科批,78_1800389,78,1800389,北京,2022,生物制药,本科 (1),工学 (10),生物工程类 (92),普通类,本科批,综合,604,0,0,8125,,化学、生物(2科必选)
score_78_100139_11_2022_3_本科批,78_100139,78,100139,北京,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,综合,626,0,0,5280,（5+3一体化）（五年制）,化学、生物(2科必选)
score_78_100139_11_2022_3_本科批,78_100139,78,100139,北京,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,综合,626,0,0,5280,（5+3一体化，儿科学）（五年制）,化学、生物(2科必选)
score_78_100130_11_2022_3_本科批,78_100130,78,100130,北京,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,综合,615,0,0,6652,（五年制）,化学、生物(2科必选)
score_78_100127_11_2022_3_本科批,78_100127,78,100127,北京,2022,麻醉学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,综合,613,0,0,6912,（五年制）,化学、生物(2科必选)
score_78_202895_11_2022_3_本科批,78_202895,78,202895,北京,2022,医学影像学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,综合,613,0,0,6912,（五年制）,物、化、生(3科必选)
score_78_100139_11_2022_3_本科批,78_100139,78,100139,北京,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,综合,610,0,0,7296,（五年制）,化学、生物(2科必选)
score_78_3047_11_2022_3_本科批,78_3047,78,3047,北京,2022,基础医学,本科 (1),医学 (12),基础医学类 (101),普通类,本科批,综合,608,0,0,7567,（朱宪彝班）（五年制）,化学、生物(2科必选)
score_78_3050_11_2022_3_本科批,78_3050,78,3050,北京,2022,生物信息学,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,综合,604,0,0,8125,,化学、生物(2科必选)
score_78_1800389_11_2022_3_本科批,78_1800389,78,1800389,北京,2022,生物制药,本科 (1),工学 (10),生物工程类 (92),普通类,本科批,综合,604,0,0,8125,,化学、生物(2科必选)
score_78_202895_11_2022_3_本科批,78_202895,78,202895,北京,2022,医学影像学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,综合,613,0,0,6912,（五年制）,物、化、生(3科必选)
score_78_100127_12_2022_3_本科批A段,78_100127,78,100127,天津,2022,麻醉学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,653,0,0,4459,,化学、生物(2科必选)
score_78_3047_12_2022_3_本科批A段,78_3047,78,3047,天津,2022,基础医学,本科 (1),医学 (12),基础医学类 (101),普通类,本科批A段,综合,652,0,0,4625,,化学、生物(2科必选)
score_78_100128_12_2022_3_本科批A段,78_100128,78,100128,天津,2022,眼视光医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,652,0,0,4625,,化学、生物(2科必选)
score_78_202895_12_2022_3_本科批A段,78_202895,78,202895,天津,2022,医学影像学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,651,0,0,4761,,物、化、生(3科必选)
score_78_169100_12_2022_3_本科批A段,78_169100,78,169100,天津,2022,智能医学工程,本科 (1),医学 (12),医学技术类 (110),普通类,本科批A段,综合,645,0,0,5690,,物/化/生(3选1)
score_78_1800389_12_2022_3_本科批A段,78_1800389,78,1800389,天津,2022,生物制药,本科 (1),工学 (10),生物工程类 (92),普通类,本科批A段,综合,635,0,0,7401,,化学、生物(2科必选)
score_78_3049_12_2022_3_本科批A段,78_3049,78,3049,天津,2022,生物医学工程,本科 (1),工学 (10),生物医学工程类 (88),普通类,本科批A段,综合,633,0,0,7774,,物/化/生(3选1)
score_78_100130_12_2022_3_本科批A段,78_100130,78,100130,天津,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批A段,综合,630,0,0,8316,,化学、生物(2科必选)
score_78_3050_12_2022_3_本科批A段,78_3050,78,3050,天津,2022,生物信息学,本科 (1),理学 (9),生物科学类 (60),普通类,本科批A段,综合,622,0,0,9768,,化学、生物(2科必选)
score_78_3058_12_2022_3_本科批A段,78_3058,78,3058,天津,2022,护理学,本科 (1),医学 (12),护理学类 (111),普通类,本科批A段,综合,612,0,0,11660,,不限
score_78_100127_12_2022_3_本科批A段,78_100127,78,100127,天津,2022,麻醉学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,653,0,0,4459,,化学、生物(2科必选)
score_78_3047_12_2022_3_本科批A段,78_3047,78,3047,天津,2022,基础医学,本科 (1),医学 (12),基础医学类 (101),普通类,本科批A段,综合,652,0,0,4625,,化学、生物(2科必选)
score_78_100128_12_2022_3_本科批A段,78_100128,78,100128,天津,2022,眼视光医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,652,0,0,4625,,化学、生物(2科必选)
score_78_202895_12_2022_3_本科批A段,78_202895,78,202895,天津,2022,医学影像学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,651,0,0,4761,,物、化、生(3科必选)
score_78_169100_12_2022_3_本科批A段,78_169100,78,169100,天津,2022,智能医学工程,本科 (1),医学 (12),医学技术类 (110),普通类,本科批A段,综合,645,0,0,5690,,物/化/生(3选1)
score_78_3049_12_2022_3_本科批A段,78_3049,78,3049,天津,2022,生物医学工程,本科 (1),工学 (10),生物医学工程类 (88),普通类,本科批A段,综合,633,0,0,7774,,物/化/生(3选1)
score_78_1800389_12_2022_3_本科批A段,78_1800389,78,1800389,天津,2022,生物制药,本科 (1),工学 (10),生物工程类 (92),普通类,本科批A段,综合,635,0,0,7401,,化学、生物(2科必选)
score_78_100130_12_2022_3_本科批A段,78_100130,78,100130,天津,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批A段,综合,630,0,0,8316,,化学、生物(2科必选)
score_78_3050_12_2022_3_本科批A段,78_3050,78,3050,天津,2022,生物信息学,本科 (1),理学 (9),生物科学类 (60),普通类,本科批A段,综合,622,0,0,9768,,化学、生物(2科必选)
score_78_3058_12_2022_3_本科批A段,78_3058,78,3058,天津,2022,护理学,本科 (1),医学 (12),护理学类 (111),普通类,本科批A段,综合,612,0,0,11660,,不限
score_78_3058_13_2022_2074_本科批,78_3058,78,3058,河北,2022,护理学,本科 (1),医学 (12),护理学类 (111),普通类,本科批,历史类,588,0,0,3525,,
score_78_100130_13_2022_2074_本科批,78_100130,78,100130,河北,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,历史类,573,0,0,5975,,
score_78_100127_13_2022_2073_本科批,78_100127,78,100127,河北,2022,麻醉学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,626,0,0,3178,,
score_78_100139_13_2022_2073_本科批,78_100139,78,100139,河北,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,626,0,0,3178,,
score_78_100128_13_2022_2073_本科批,78_100128,78,100128,河北,2022,眼视光医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,625,0,0,3338,,
score_78_169100_13_2022_2073_本科批,78_169100,78,169100,河北,2022,智能医学工程,本科 (1),医学 (12),医学技术类 (110),普通类,本科批,物理类,614,0,0,5569,,
score_78_3049_13_2022_2073_本科批,78_3049,78,3049,河北,2022,生物医学工程,本科 (1),工学 (10),生物医学工程类 (88),普通类,本科批,物理类,603,0,0,8730,,
score_78_100130_13_2022_2073_本科批,78_100130,78,100130,河北,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,物理类,601,0,0,9445,,
score_78_3058_13_2022_2073_本科批,78_3058,78,3058,河北,2022,护理学,本科 (1),医学 (12),护理学类 (111),普通类,本科批,物理类,586,0,0,15960,,
score_78_3050_14_2022_1_本科一批A段,78_3050,78,3050,山西,2022,生物信息学,本科 (1),理学 (9),生物科学类 (60),普通类,本科一批A段,理科,593,0,593,3470,,
score_78_169100_14_2022_1_本科一批A段,78_169100,78,169100,山西,2022,智能医学工程,本科 (1),医学 (12),医学技术类 (110),普通类,本科一批A段,理科,590,0,592,3866,,
