score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_85_3492_11_2022_3_本科批,85_3492,85,3492,北京,2022,酒店管理,本科 (1),管理学 (13),旅游管理类 (120),普通类,本科批,综合,461,486,0,32455,,不限
score_85_3492_11_2022_3_本科批,85_3492,85,3492,北京,2022,酒店管理,本科 (1),管理学 (13),旅游管理类 (120),普通类,本科批,综合,461,486,0,32455,,不限
score_85_3452_12_2022_3_本科批A段,85_3452,85,3452,天津,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,585,0,0,17255,,不限
score_85_3460_12_2022_3_本科批A段,85_3460,85,3460,天津,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批A段,综合,573,0,0,19806,,不限
score_85_3463_12_2022_3_本科批A段,85_3463,85,3463,天津,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科批A段,综合,562,0,0,22076,,不限
score_85_3472_12_2022_3_本科批A段,85_3472,85,3472,天津,2022,物流管理,本科 (1),管理学 (13),物流管理与工程类 (117),普通类,本科批A段,综合,542,0,0,26253,,不限
score_85_3455_12_2022_3_本科批A段,85_3455,85,3455,天津,2022,旅游管理,本科 (1),管理学 (13),旅游管理类 (120),普通类,本科批A段,综合,541,0,0,26482,,不限
score_85_3466_12_2022_3_本科批A段,85_3466,85,3466,天津,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,541,0,0,26482,,不限
score_85_3452_12_2022_3_本科批A段,85_3452,85,3452,天津,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,585,0,0,17255,,不限
score_85_3460_12_2022_3_本科批A段,85_3460,85,3460,天津,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批A段,综合,573,0,0,19806,,不限
score_85_3463_12_2022_3_本科批A段,85_3463,85,3463,天津,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科批A段,综合,562,0,0,22076,,不限
score_85_3470_12_2022_3_本科批A段,85_3470,85,3470,天津,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,552,0,0,24171,,物理必选
