score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_91_3799_11_2022_3_本科批,91_3799,91,3799,北京,2022,建筑环境与能源应用工程,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批,综合,499,0,0,25977,,物理必选
score_91_1498623_11_2022_3_本科批,91_1498623,91,1498623,北京,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,综合,499,0,0,25977,,物理必选
score_91_1129773_11_2022_3_本科批,91_1129773,91,1129773,北京,2022,智能制造工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,496,0,0,26529,,物理必选
score_91_1129774_11_2022_3_本科批,91_1129774,91,1129774,北京,2022,智能建造,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批,综合,494,0,0,26905,,物理必选
score_91_3805_11_2022_3_本科批,91_3805,91,3805,北京,2022,安全工程,本科(普通) (1),工学 (10),安全科学与工程类 (91),普通类,本科批,综合,490,0,0,27624,,物理必选
score_91_3799_11_2022_3_本科批,91_3799,91,3799,北京,2022,建筑环境与能源应用工程,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批,综合,499,0,0,25977,,物理必选
score_91_1498623_11_2022_3_本科批,91_1498623,91,1498623,北京,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,综合,499,0,0,25977,,物理必选
score_91_3792_11_2022_3_本科批,91_3792,91,3792,北京,2022,环境工程,本科(普通) (1),工学 (10),环境科学与工程类 (87),普通类,本科批,综合,496,0,0,26529,,化学必选
score_91_1129773_11_2022_3_本科批,91_1129773,91,1129773,北京,2022,智能制造工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,496,0,0,26529,,物理必选
score_91_1129774_11_2022_3_本科批,91_1129774,91,1129774,北京,2022,智能建造,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批,综合,494,0,0,26905,,物理必选
score_91_3805_11_2022_3_本科批,91_3805,91,3805,北京,2022,安全工程,本科(普通) (1),工学 (10),安全科学与工程类 (91),普通类,本科批,综合,490,0,0,27624,,物理必选
score_91_3792_11_2022_3_本科批,91_3792,91,3792,北京,2022,环境工程,本科(普通) (1),工学 (10),环境科学与工程类 (87),普通类,本科批,综合,496,0,0,26529,,化学必选
score_91_3818_12_2022_3_本科批A段,91_3818,91,3818,天津,2022,地理信息科学,本科(普通) (1),理学 (9),地理科学类 (55),普通类,本科批A段,综合,546,0,0,25401,,物/化/地(3选1)
score_91_3816_12_2022_3_本科批A段,91_3816,91,3816,天津,2022,投资学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批A段,综合,539,0,0,26889,,物/化/地(3选1)
score_91_3818_12_2022_3_本科批A段,91_3818,91,3818,天津,2022,地理信息科学,本科(普通) (1),理学 (9),地理科学类 (55),普通类,本科批A段,综合,546,0,0,25401,,物/化/地(3选1)
score_91_3813_12_2022_3_本科批A段,91_3813,91,3813,天津,2022,应用化学,本科(普通) (1),理学 (9),化学类 (53),普通类,本科批A段,综合,540,0,0,26680,,化学必选
score_91_3798_12_2022_3_本科批A段,91_3798,91,3798,天津,2022,能源与动力工程,本科(普通) (1),工学 (10),能源动力类 (67),普通类,本科批A段,综合,539,0,0,26889,,物理必选
score_91_3816_12_2022_3_本科批A段,91_3816,91,3816,天津,2022,投资学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批A段,综合,539,0,0,26889,,物/化/地(3选1)
score_91_3825_12_2022_3_本科批A段,91_3825,91,3825,天津,2022,工商管理,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,539,0,0,26889,,不限
score_91_3792_12_2022_3_本科批A段,91_3792,91,3792,天津,2022,环境工程,本科(普通) (1),工学 (10),环境科学与工程类 (87),普通类,本科批A段,综合,538,0,0,27153,,化学必选
score_91_3795_12_2022_3_本科批A段,91_3795,91,3795,天津,2022,交通工程,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科批A段,综合,538,0,0,27153,,物理必选
score_91_148192_12_2022_3_本科批A段,91_148192,91,148192,天津,2022,数学与应用数学,本科(普通) (1),理学 (9),数学类 (51),普通类,本科批A段,综合,538,0,0,27153,,物理必选
score_91_148194_12_2022_3_本科批A段,91_148194,91,148194,天津,2022,给排水科学与工程,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批A段,综合,537,0,0,27357,,物理必选
score_91_1498623_12_2022_3_本科批A段,91_1498623,91,1498623,天津,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,537,0,0,27357,,物理必选
score_91_3801_12_2022_3_本科批A段,91_3801,91,3801,天津,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,536,0,0,27584,,物理必选
score_91_1800392_12_2022_3_本科批A段,91_1800392,91,1800392,天津,2022,大数据管理与应用,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批A段,综合,535,0,0,27787,,物理必选
score_91_1129774_12_2022_3_本科批A段,91_1129774,91,1129774,天津,2022,智能建造,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批A段,综合,534,0,0,28011,,物理必选
score_91_3788_12_2022_3_本科批A段,91_3788,91,3788,天津,2022,应用物理学,本科(普通) (1),理学 (9),物理学类 (52),普通类,本科批A段,综合,533,0,0,28210,,物理必选
score_91_3796_12_2022_3_本科批A段,91_3796,91,3796,天津,2022,港口航道与海岸工程,本科(普通) (1),工学 (10),水利类 (73),普通类,本科批A段,综合,533,0,0,28210,,物理必选
score_91_3799_12_2022_3_本科批A段,91_3799,91,3799,天津,2022,建筑环境与能源应用工程,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批A段,综合,533,0,0,28210,,物理必选
score_91_3809_12_2022_3_本科批A段,91_3809,91,3809,天津,2022,地质工程,本科(普通) (1),工学 (10),地质类 (76),普通类,本科批A段,综合,533,0,0,28210,,物理必选
score_91_1129773_12_2022_3_本科批A段,91_1129773,91,1129773,天津,2022,智能制造工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批A段,综合,533,0,0,28210,,物理必选
score_91_3805_12_2022_3_本科批A段,91_3805,91,3805,天津,2022,安全工程,本科(普通) (1),工学 (10),安全科学与工程类 (91),普通类,本科批A段,综合,532,0,0,28414,,物理必选
score_91_3817_12_2022_3_本科批A段,91_3817,91,3817,天津,2022,测绘工程,本科(普通) (1),工学 (10),测绘类 (74),普通类,本科批A段,综合,532,0,0,28414,,物理必选
score_91_3798_12_2022_3_本科批A段,91_3798,91,3798,天津,2022,能源与动力工程,本科(普通) (1),工学 (10),能源动力类 (67),普通类,本科批A段,综合,539,0,0,26889,,物理必选
score_91_3795_12_2022_3_本科批A段,91_3795,91,3795,天津,2022,交通工程,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科批A段,综合,538,0,0,27153,,物理必选
score_91_148192_12_2022_3_本科批A段,91_148192,91,148192,天津,2022,数学与应用数学,本科(普通) (1),理学 (9),数学类 (51),普通类,本科批A段,综合,538,0,0,27153,,物理必选
score_91_148194_12_2022_3_本科批A段,91_148194,91,148194,天津,2022,给排水科学与工程,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批A段,综合,537,0,0,27357,,物理必选
score_91_1498623_12_2022_3_本科批A段,91_1498623,91,1498623,天津,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,537,0,0,27357,,物理必选
