score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_87_104541_11_2022_3_本科批,87_104541,87,104541,北京,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,551,551,0,16439,,不限
score_87_3568_11_2022_3_本科批,87_3568,87,3568,北京,2022,葡萄牙语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,540,540,0,18449,,不限
score_87_3565_11_2022_3_本科批,87_3565,87,3565,北京,2022,阿拉伯语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,530,530,0,20175,,不限
score_87_3551_11_2022_3_本科批,87_3551,87,3551,北京,2022,汉语国际教育,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,528,528,0,20562,,不限
score_87_104541_11_2022_3_本科批,87_104541,87,104541,北京,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,551,551,0,16439,,不限
score_87_3568_11_2022_3_本科批,87_3568,87,3568,北京,2022,葡萄牙语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,540,540,0,18449,,不限
score_87_3565_11_2022_3_本科批,87_3565,87,3565,北京,2022,阿拉伯语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,530,530,0,20175,,不限
score_87_3551_11_2022_3_本科批,87_3551,87,3551,北京,2022,汉语国际教育,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,528,528,0,20562,,不限
score_87_3597_12_2022_3_本科批A段,87_3597,87,3597,天津,2022,匈牙利语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,595,0,0,15130,,不限
score_87_3593_12_2022_3_本科批A段,87_3593,87,3593,天津,2022,捷克语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,568,0,0,20871,,不限
score_87_3557_12_2022_3_本科批A段,87_3557,87,3557,天津,2022,泰语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,565,0,0,21481,,不限
score_87_3562_12_2022_3_本科批A段,87_3562,87,3562,天津,2022,缅甸语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,563,0,0,21876,,不限
score_87_104566_12_2022_3_本科批A段,87_104566,87,104566,天津,2022,印度尼西亚语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,562,0,0,22076,,不限
score_87_3597_12_2022_3_本科批A段,87_3597,87,3597,天津,2022,匈牙利语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,595,0,0,15130,,不限
score_87_3574_12_2022_3_本科批A段,87_3574,87,3574,天津,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批A段,综合,583,0,0,17656,,不限
score_87_3613_12_2022_3_本科批A段,87_3613,87,3613,天津,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批A段,综合,575,0,0,19360,,不限
score_87_3558_12_2022_3_本科批A段,87_3558,87,3558,天津,2022,德语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,574,0,0,19612,,不限
score_87_1583859_12_2022_3_本科批A段,87_1583859,87,1583859,天津,2022,网络与新媒体,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批A段,综合,570,0,0,20457,,不限
score_87_3593_12_2022_3_本科批A段,87_3593,87,3593,天津,2022,捷克语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,568,0,0,20871,,不限
score_87_3571_12_2022_3_本科批A段,87_3571,87,3571,天津,2022,法语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,567,0,0,21076,,不限
