score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_60_1950_31_2022_3_本科批,60_1950,60,1950,上海,2022,建筑学,本科 (1),工学 (10),建筑类 (90),普通类,本科批,综合,564,0,567,4568,,物/史/地(3选1)
score_60_1950_31_2022_3_本科批,60_1950,60,1950,上海,2022,建筑学,本科 (1),工学 (10),建筑类 (90),普通类,本科批,综合,564,0,567,4568,,物/史/地(3选1)
score_60_2011_33_2022_3_平行录取一段,60_2011,60,2011,浙江,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,平行录取一段,综合,656,0,0,5797,,
score_60_2011_65_2022_2_本科一批,60_2011,60,2011,新疆,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批,文科,541,543,0,-,,
score_60_1950_12_2023_3_本科批A段,60_1950,60,1950,天津,2023,建筑学,本科 (1),工学 (10),建筑类 (90),中外合作办学,本科批A段,综合,646,0,0,4078,（中外合作办学）（学费在本校期间20000元/年，大四在法国期间为7500欧元/年）（卫津路校区）（学费在本校期间20000元/年，大四在法国期间为7500欧元/年）,物/史/地(3选1)
score_60_1950_12_2023_3_本科批A段,60_1950,60,1950,天津,2023,建筑学,本科 (1),工学 (10),建筑类 (90),中外合作办学,本科批A段,综合,646,0,0,4078,（中外合作办学）（学费在本校期间20000元/年，大四在法国期间为7500欧元/年）（卫津路校区）（学费在本校期间20000元/年，大四在法国期间为7500欧元/年）,物/史/地(3选1)
score_60_1991_13_2023_2073_本科批,60_1991,60,1991,河北,2023,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,648,0,0,2236,（与南开大学合办）,
score_60_1999_13_2023_2073_本科批,60_1999,60,1999,河北,2023,分子科学与工程,本科 (1),理学 (9),化学类 (53),普通类,本科批,物理类,639,0,0,3615,（与南开大学合办）,
score_60_1999_31_2023_3_本科批,60_1999,60,1999,上海,2023,分子科学与工程,本科 (1),理学 (9),化学类 (53),普通类,本科批,综合,568,0,571,4260,（与南开大学合办）,化学必选
score_60_1950_31_2023_3_本科批,60_1950,60,1950,上海,2023,建筑学,本科 (1),工学 (10),建筑类 (90),中外合作办学,本科批,综合,563,0,566,5080,（中外合作办学）（学费在该校期间为20000元/年，大四在法国期间为7500欧元/年）,物/地/史(3选1)
score_60_1950_31_2023_3_本科批,60_1950,60,1950,上海,2023,建筑学,本科 (1),工学 (10),建筑类 (90),中外合作办学,本科批,综合,563,0,566,5080,（中外合作办学）（学费在该校期间为20000元/年，大四在法国期间为7500欧元/年）,物/地/史(3选1)
score_60_1999_31_2023_3_本科批,60_1999,60,1999,上海,2023,分子科学与工程,本科 (1),理学 (9),化学类 (53),普通类,本科批,综合,568,0,571,4260,（与南开大学合办）,化学必选
score_60_2011_33_2023_3_平行录取一段,60_2011,60,2011,浙江,2023,法学,本科 (1),法学 (5),法学类 (39),普通类,平行录取一段,综合,663,0,0,6798,,
score_60_1991_35_2023_2073_本科批,60_1991,60,1991,福建,2023,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,649,653,651,2190,（与南开大学合办）,首选物理，再选不限
score_60_1991_35_2023_2073_本科批,60_1991,60,1991,福建,2023,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,649,653,651,2190,（与南开大学合办）,首选物理，再选不限
score_60_1999_50_2023_2073_本科批,60_1999,60,1999,重庆,2023,分子科学与工程,本科 (1),理学 (9),化学类 (53),普通类,本科批,物理类,628,0,0,2711,（与南开大学合办）,
score_60_1950_50_2023_2074_本科批,60_1950,60,1950,重庆,2023,建筑学,本科 (1),工学 (10),建筑类 (90),中外合作办学,本科批,历史类,585,0,0,1537,（中外合作办学）,
score_60_1991_13_2024_2073_本科批,60_1991,60,1991,河北,2024,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,642,0,0,2473,（与南开大学合办）,
score_60_1999_13_2024_2073_本科批,60_1999,60,1999,河北,2024,分子科学与工程,本科 (1),理学 (9),化学类 (53),普通类,本科批,物理类,634,0,0,3823,（与南开大学合办）,
score_60_1950_13_2024_2074_本科批,60_1950,60,1950,河北,2024,建筑学,本科 (1),工学 (10),建筑类 (90),中外合作办学,本科批,历史类,613,0,0,2651,（中外合作办学）,
score_60_1950_21_2024_2074_本科批,60_1950,60,1950,辽宁,2024,建筑学,本科 (1),工学 (10),建筑类 (90),中外合作办学,本科批,历史类,596,0,0,2206,（中外合作办学）,
score_60_2011_33_2024_3_平行录取一段,60_2011,60,2011,浙江,2024,法学,本科 (1),法学 (5),法学类 (39),普通类,平行录取一段,综合,664,0,0,6828,,
score_60_1950_50_2024_2074_本科批,60_1950,60,1950,重庆,2024,建筑学,本科 (1),工学 (10),建筑类 (90),中外合作办学,本科批,历史类,581,0,0,2783,（中外合作办学）,
score_60_1999_50_2024_2073_本科批,60_1999,60,1999,重庆,2024,分子科学与工程,本科 (1),理学 (9),化学类 (53),普通类,本科批,物理类,650,0,0,2482,（与南开大学合办）,
