score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_80_107046_11_2022_3_本科批,80_107046,80,107046,北京,2022,计算机科学与技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,571,574,572,13109,,物理必选
score_80_3156_11_2022_3_本科批,80_3156,80,3156,北京,2022,通信工程,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,综合,568,569,568,13571,,物理必选
score_80_1026609_11_2022_3_本科批,80_1026609,80,1026609,北京,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,综合,567,568,567,13770,,物理必选
score_80_107046_11_2022_3_本科批,80_107046,80,107046,北京,2022,计算机科学与技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,571,574,572,13109,,物理必选
score_80_3156_11_2022_3_本科批,80_3156,80,3156,北京,2022,通信工程,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,综合,568,569,568,13571,,物理必选
score_80_1026609_11_2022_3_本科批,80_1026609,80,1026609,北京,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,综合,567,568,567,13770,,物理必选
score_80_107046_12_2022_3_本科批A段,80_107046,80,107046,天津,2022,计算机科学与技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,621,0,0,9949,,物理必选
score_80_169098_12_2022_3_本科批A段,80_169098,80,169098,天津,2022,数据科学与大数据技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,617,0,0,10638,,物理必选
score_80_3166_12_2022_3_本科批A段,80_3166,80,3166,天津,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批A段,综合,616,0,0,10834,,物理必选
score_80_1026609_12_2022_3_本科批A段,80_1026609,80,1026609,天津,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,615,0,0,11049,,物理必选
score_80_3183_12_2022_3_本科批A段,80_3183,80,3183,天津,2022,物联网工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,610,0,0,12079,,物理必选
score_80_1131074_12_2022_3_本科批A段,80_1131074,80,1131074,天津,2022,网络空间安全,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,609,0,0,12313,,物理必选
score_80_3154_12_2022_3_本科批A段,80_3154,80,3154,天津,2022,自动化,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批A段,综合,608,0,0,12521,,物理必选
score_80_3180_12_2022_3_本科批A段,80_3180,80,3180,天津,2022,电子信息工程,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,608,0,0,12521,,物理必选
score_80_3156_12_2022_3_本科批A段,80_3156,80,3156,天津,2022,通信工程,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,607,0,0,12703,,物理必选
score_80_107045_12_2022_3_本科批A段,80_107045,80,107045,天津,2022,电子科学与技术,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,607,0,0,12703,,物理必选
score_80_1800387_12_2022_3_本科批A段,80_1800387,80,1800387,天津,2022,飞行器制造工程,本科(普通) (1),工学 (10),航空航天类 (82),普通类,本科批A段,综合,606,0,0,12910,,物理必选
score_80_1499104_12_2022_3_本科批A段,80_1499104,80,1499104,天津,2022,智能制造工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批A段,综合,604,0,0,13286,,物理必选
score_80_3165_12_2022_3_本科批A段,80_3165,80,3165,天津,2022,光电信息科学与工程,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,602,0,0,13687,,物理必选
score_80_3170_12_2022_3_本科批A段,80_3170,80,3170,天津,2022,应用物理学,本科(普通) (1),理学 (9),物理学类 (52),普通类,本科批A段,综合,602,0,0,13687,,物理必选
score_80_3179_12_2022_3_本科批A段,80_3179,80,3179,天津,2022,生物医学工程,本科(普通) (1),工学 (10),生物医学工程类 (88),普通类,本科批A段,综合,602,0,0,13687,,物理必选
score_80_3182_12_2022_3_本科批A段,80_3182,80,3182,天津,2022,机械工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批A段,综合,602,0,0,13687,,物理必选
score_80_107043_12_2022_3_本科批A段,80_107043,80,107043,天津,2022,机械电子工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批A段,综合,602,0,0,13687,,物理必选
score_80_1129761_12_2022_3_本科批A段,80_1129761,80,1129761,天津,2022,智能医学工程,本科(普通) (1),医学 (12),医学技术类 (110),普通类,本科批A段,综合,602,0,0,13687,,物理必选
score_80_3152_12_2022_3_本科批A段,80_3152,80,3152,天津,2022,工业设计,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批A段,综合,601,0,0,13914,,物理必选
score_80_107046_12_2022_3_本科批A段,80_107046,80,107046,天津,2022,计算机科学与技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,621,0,0,9949,,物理必选
score_80_169098_12_2022_3_本科批A段,80_169098,80,169098,天津,2022,数据科学与大数据技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,617,0,0,10638,,物理必选
score_80_3166_12_2022_3_本科批A段,80_3166,80,3166,天津,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批A段,综合,616,0,0,10834,,物理必选
score_80_1026609_12_2022_3_本科批A段,80_1026609,80,1026609,天津,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,615,0,0,11049,,物理必选
score_80_107047_12_2022_3_本科批A段,80_107047,80,107047,天津,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,612,0,0,11660,,物理必选
score_80_3183_12_2022_3_本科批A段,80_3183,80,3183,天津,2022,物联网工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,610,0,0,12079,,物理必选
score_80_1131074_12_2022_3_本科批A段,80_1131074,80,1131074,天津,2022,网络空间安全,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,609,0,0,12313,,物理必选
score_80_3154_12_2022_3_本科批A段,80_3154,80,3154,天津,2022,自动化,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批A段,综合,608,0,0,12521,,物理必选
score_80_3180_12_2022_3_本科批A段,80_3180,80,3180,天津,2022,电子信息工程,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,608,0,0,12521,,物理必选
score_80_3156_12_2022_3_本科批A段,80_3156,80,3156,天津,2022,通信工程,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,607,0,0,12703,,物理必选
score_80_107045_12_2022_3_本科批A段,80_107045,80,107045,天津,2022,电子科学与技术,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,607,0,0,12703,,物理必选
score_80_1800387_12_2022_3_本科批A段,80_1800387,80,1800387,天津,2022,飞行器制造工程,本科(普通) (1),工学 (10),航空航天类 (82),普通类,本科批A段,综合,606,0,0,12910,,物理必选
score_80_1499104_12_2022_3_本科批A段,80_1499104,80,1499104,天津,2022,智能制造工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批A段,综合,604,0,0,13286,,物理必选
score_80_3165_12_2022_3_本科批A段,80_3165,80,3165,天津,2022,光电信息科学与工程,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,602,0,0,13687,,物理必选
score_80_3170_12_2022_3_本科批A段,80_3170,80,3170,天津,2022,应用物理学,本科(普通) (1),理学 (9),物理学类 (52),普通类,本科批A段,综合,602,0,0,13687,,物理必选
score_80_3179_12_2022_3_本科批A段,80_3179,80,3179,天津,2022,生物医学工程,本科(普通) (1),工学 (10),生物医学工程类 (88),普通类,本科批A段,综合,602,0,0,13687,,物理必选
score_80_3182_12_2022_3_本科批A段,80_3182,80,3182,天津,2022,机械工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批A段,综合,602,0,0,13687,,物理必选
score_80_107043_12_2022_3_本科批A段,80_107043,80,107043,天津,2022,机械电子工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批A段,综合,602,0,0,13687,,物理必选
score_80_1129761_12_2022_3_本科批A段,80_1129761,80,1129761,天津,2022,智能医学工程,本科(普通) (1),医学 (12),医学技术类 (110),普通类,本科批A段,综合,602,0,0,13687,,物理必选
score_80_3152_12_2022_3_本科批A段,80_3152,80,3152,天津,2022,工业设计,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批A段,综合,601,0,0,13914,,物理必选
score_80_107050_12_2022_3_本科批A段,80_107050,80,107050,天津,2022,制药工程,本科(普通) (1),工学 (10),化工与制药类 (75),普通类,本科批A段,综合,601,0,0,13914,,物/化/生(3选1)
score_80_3198_12_2022_3_本科批A段,80_3198,80,3198,天津,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批A段,综合,600,0,0,14110,,不限
score_80_284176_12_2022_3_本科批A段,80_284176,80,284176,天津,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),中外合作办学,本科批A段,综合,600,0,0,14110,,物理必选
score_80_3199_12_2022_3_本科批A段,80_3199,80,3199,天津,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,597,0,0,14711,,不限
score_80_3181_12_2022_3_本科批A段,80_3181,80,3181,天津,2022,化学工程与工艺,本科(普通) (1),工学 (10),化工与制药类 (75),普通类,本科批A段,综合,596,0,0,14899,,物/化/生(3选1)
score_80_3186_12_2022_3_本科批A段,80_3186,80,3186,天津,2022,土地资源管理,本科(普通) (1),管理学 (13),公共管理类 (115),普通类,本科批A段,综合,595,0,0,15130,,不限
score_80_3200_12_2022_3_本科批A段,80_3200,80,3200,天津,2022,日语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,595,0,0,15130,,不限
score_80_107041_12_2022_3_本科批A段,80_107041,80,107041,天津,2022,应用化学,本科(普通) (1),理学 (9),化学类 (53),普通类,本科批A段,综合,595,0,0,15130,,物理/化学(2选1)
score_80_1800388_12_2022_3_本科批A段,80_1800388,80,1800388,天津,2022,化学生物学,本科(普通) (1),理学 (9),化学类 (53),普通类,本科批A段,综合,595,0,0,15130,,物理/化学(2选1)
score_80_107051_12_2022_3_本科批A段,80_107051,80,107051,天津,2022,环境工程,本科(普通) (1),工学 (10),环境科学与工程类 (87),普通类,本科批A段,综合,594,0,0,15358,,物/化/生(3选1)
score_80_658096_12_2022_3_本科批A段,80_658096,80,658096,天津,2022,通信工程,本科(普通) (1),工学 (10),电子信息类 (69),中外合作办学,本科批A段,综合,594,0,0,15358,,物理必选
score_80_3168_12_2022_3_本科批A段,80_3168,80,3168,天津,2022,材料科学与工程,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批A段,综合,591,0,0,16021,,物理、化学(2科必选)
score_80_3151_12_2022_3_本科批A段,80_3151,80,3151,天津,2022,纺织工程,本科(普通) (1),工学 (10),纺织类 (78),普通类,本科批A段,综合,590,0,0,16238,,物理、化学(2科必选)
score_80_3164_12_2022_3_本科批A段,80_3164,80,3164,天津,2022,非织造材料与工程,本科(普通) (1),工学 (10),纺织类 (78),普通类,本科批A段,综合,590,0,0,16238,,物理、化学(2科必选)
score_80_3189_12_2022_3_本科批A段,80_3189,80,3189,天津,2022,服装设计与工程,本科(普通) (1),工学 (10),纺织类 (78),普通类,本科批A段,综合,590,0,0,16238,,物理、化学(2科必选)
score_80_3158_12_2022_3_本科批A段,80_3158,80,3158,天津,2022,轻化工程,本科(普通) (1),工学 (10),轻工类 (79),普通类,本科批A段,综合,588,0,0,16628,,物理、化学(2科必选)
score_80_3159_12_2022_3_本科批A段,80_3159,80,3159,天津,2022,复合材料与工程,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批A段,综合,587,0,0,16827,,物理、化学(2科必选)
score_80_3160_12_2022_3_本科批A段,80_3160,80,3160,天津,2022,无机非金属材料工程,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批A段,综合,587,0,0,16827,,物理、化学(2科必选)
score_80_3161_12_2022_3_本科批A段,80_3161,80,3161,天津,2022,高分子材料与工程,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批A段,综合,587,0,0,16827,,物理、化学(2科必选)
score_80_107047_12_2022_3_本科批A段,80_107047,80,107047,天津,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,612,0,0,11660,,物理必选
score_80_107050_12_2022_3_本科批A段,80_107050,80,107050,天津,2022,制药工程,本科(普通) (1),工学 (10),化工与制药类 (75),普通类,本科批A段,综合,601,0,0,13914,,物/化/生(3选1)
score_80_3181_12_2022_3_本科批A段,80_3181,80,3181,天津,2022,化学工程与工艺,本科(普通) (1),工学 (10),化工与制药类 (75),普通类,本科批A段,综合,596,0,0,14899,,物/化/生(3选1)
score_80_107051_12_2022_3_本科批A段,80_107051,80,107051,天津,2022,环境工程,本科(普通) (1),工学 (10),环境科学与工程类 (87),普通类,本科批A段,综合,594,0,0,15358,,物/化/生(3选1)
score_80_3198_12_2022_3_本科批A段,80_3198,80,3198,天津,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批A段,综合,600,0,0,14110,,不限
score_80_3199_12_2022_3_本科批A段,80_3199,80,3199,天津,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,597,0,0,14711,,不限
score_80_3186_12_2022_3_本科批A段,80_3186,80,3186,天津,2022,土地资源管理,本科(普通) (1),管理学 (13),公共管理类 (115),普通类,本科批A段,综合,595,0,0,15130,,不限
score_80_3200_12_2022_3_本科批A段,80_3200,80,3200,天津,2022,日语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,595,0,0,15130,,不限
score_80_284176_12_2022_3_本科批A段,80_284176,80,284176,天津,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),中外合作办学,本科批A段,综合,600,0,0,14110,,物理必选
score_80_658096_12_2022_3_本科批A段,80_658096,80,658096,天津,2022,通信工程,本科(普通) (1),工学 (10),电子信息类 (69),中外合作办学,本科批A段,综合,594,0,0,15358,,物理必选
