score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_79_1497834_11_2022_3_本科批,79_1497834,79,1497834,北京,2022,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,554,556,555,15937,,物理必选
score_79_3079_11_2022_3_本科批,79_3079,79,3079,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,559,575,567,15106,,思想政治必选
score_79_1497834_11_2022_3_本科批,79_1497834,79,1497834,北京,2022,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,554,556,555,15937,,物理必选
score_79_3079_11_2022_3_本科批,79_3079,79,3079,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,559,575,567,15106,,思想政治必选
score_79_3124_12_2022_3_本科批A段,79_3124,79,3124,天津,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批A段,综合,628,0,0,8646,,史/生/政(3选1)
score_79_3124_12_2022_3_本科批A段,79_3124,79,3124,天津,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批A段,综合,628,0,0,8646,,史/生/政(3选1)
score_79_3110_12_2022_3_本科批A段,79_3110,79,3110,天津,2022,思想政治教育,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科批A段,综合,626,0,0,9010,,思想政治必选
score_79_3123_12_2022_3_本科批A段,79_3123,79,3123,天津,2022,汉语国际教育,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批A段,综合,617,0,0,10638,,史/政/地(3选1)
score_79_3062_12_2022_3_本科批A段,79_3062,79,3062,天津,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批A段,综合,616,0,0,10834,,物理必选
score_79_3079_12_2022_3_本科批A段,79_3079,79,3079,天津,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批A段,综合,613,0,0,11466,,思想政治必选
score_79_3106_12_2022_3_本科批A段,79_3106,79,3106,天津,2022,文物与博物馆学,本科 (1),历史学 (8),历史学类 (50),普通类,本科批A段,综合,609,0,0,12313,,历史必选
score_79_3099_12_2022_3_本科批A段,79_3099,79,3099,天津,2022,化学,本科 (1),理学 (9),化学类 (53),普通类,本科批A段,综合,608,0,0,12521,,化学必选
score_79_3131_12_2022_3_本科批A段,79_3131,79,3131,天津,2022,新闻学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批A段,综合,608,0,0,12521,,不限
score_79_3085_12_2022_3_本科批A段,79_3085,79,3085,天津,2022,地理科学,本科 (1),理学 (9),地理科学类 (55),普通类,本科批A段,综合,606,0,0,12910,,物理/地理(2选1)
score_79_3097_12_2022_3_本科批A段,79_3097,79,3097,天津,2022,物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科批A段,综合,601,0,0,13914,,物理必选
score_79_3113_12_2022_3_本科批A段,79_3113,79,3113,天津,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科批A段,综合,600,0,0,14110,,物/化/生(3选1)
score_79_3087_12_2022_3_本科批A段,79_3087,79,3087,天津,2022,地理信息科学,本科 (1),理学 (9),地理科学类 (55),普通类,本科批A段,综合,598,0,0,14513,,物理/地理(2选1)
score_79_3093_12_2022_3_本科批A段,79_3093,79,3093,天津,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,598,0,0,14513,,物理必选
score_79_3118_12_2022_3_本科批A段,79_3118,79,3118,天津,2022,生物科学,本科 (1),理学 (9),生物科学类 (60),普通类,本科批A段,综合,597,0,0,14711,,化学/生物(2选1)
score_79_3086_12_2022_3_本科批A段,79_3086,79,3086,天津,2022,人文地理与城乡规划,本科 (1),理学 (9),地理科学类 (55),普通类,本科批A段,综合,596,0,0,14899,,物理/地理(2选1)
score_79_1797383_12_2022_3_本科批A段,79_1797383,79,1797383,天津,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,596,0,0,14899,,物理必选
score_79_3061_12_2022_3_本科批A段,79_3061,79,3061,天津,2022,生物技术,本科 (1),理学 (9),生物科学类 (60),普通类,本科批A段,综合,595,0,0,15130,,化学/生物(2选1)
score_79_1129768_12_2022_3_本科批A段,79_1129768,79,1129768,天津,2022,数据科学与大数据技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,594,0,0,15358,,物理必选
score_79_3122_12_2022_3_本科批A段,79_3122,79,3122,天津,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,592,0,0,15787,,不限
score_79_3096_12_2022_3_本科批A段,79_3096,79,3096,天津,2022,应用物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科批A段,综合,591,0,0,16021,,物理必选
score_79_3116_12_2022_3_本科批A段,79_3116,79,3116,天津,2022,教育技术学,本科 (1),教育学 (6),教育学类 (45),普通类,本科批A段,综合,591,0,0,16021,,物/化/生(3选1)
score_79_3098_12_2022_3_本科批A段,79_3098,79,3098,天津,2022,化学生物学,本科 (1),理学 (9),化学类 (53),普通类,本科批A段,综合,590,0,0,16238,,物理/化学(2选1)
score_79_3129_12_2022_3_本科批A段,79_3129,79,3129,天津,2022,广播电视学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批A段,综合,590,0,0,16238,,不限
score_79_3130_12_2022_3_本科批A段,79_3130,79,3130,天津,2022,广告学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批A段,综合,590,0,0,16238,,不限
score_79_3092_12_2022_3_本科批A段,79_3092,79,3092,天津,2022,物联网工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,587,0,0,16827,,物理必选
score_79_3078_12_2022_3_本科批A段,79_3078,79,3078,天津,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批A段,综合,585,0,0,17255,,物/化/生(3选1)
score_79_3147_12_2022_3_本科批A段,79_3147,79,3147,天津,2022,网络工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,585,0,0,17255,,物理必选
score_79_106956_12_2022_3_本科批A段,79_106956,79,106956,天津,2022,智能科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,585,0,0,17255,,物理必选
score_79_1497834_12_2022_3_本科批A段,79_1497834,79,1497834,天津,2022,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批A段,综合,585,0,0,17255,,物理必选
score_79_3075_12_2022_3_本科批A段,79_3075,79,3075,天津,2022,信息管理与信息系统,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批A段,综合,584,0,0,17454,,物理必选
score_79_3114_12_2022_3_本科批A段,79_3114,79,3114,天津,2022,电子信息科学与技术,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,584,0,0,17454,,物理必选
score_79_3117_12_2022_3_本科批A段,79_3117,79,3117,天津,2022,信息与计算科学,本科 (1),理学 (9),数学类 (51),普通类,本科批A段,综合,584,0,0,17454,,物理必选
score_79_1497833_12_2022_3_本科批A段,79_1497833,79,1497833,天津,2022,数据计算及应用,本科 (1),理学 (9),数学类 (51),普通类,本科批A段,综合,584,0,0,17454,,物理必选
score_79_3070_12_2022_3_本科批A段,79_3070,79,3070,天津,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,581,0,0,18106,,不限
