score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_81_3210_11_2022_4_艺术本科提前批B段,81_3210,81,3210,北京,2022,产品设计,本科 (1),艺术学 (14),设计学类 (125),普通类,艺术本科提前批B段,艺术类,480,0,0,-,,不限
score_81_3256_11_2022_4_艺术本科提前批B段,81_3256,81,3256,北京,2022,视觉传达设计,本科 (1),艺术学 (14),设计学类 (125),普通类,艺术本科提前批B段,艺术类,480,0,0,-,,不限
score_81_3257_11_2022_4_艺术本科提前批B段,81_3257,81,3257,北京,2022,环境设计,本科 (1),艺术学 (14),设计学类 (125),普通类,艺术本科提前批B段,艺术类,480,0,0,-,,不限
score_81_3258_11_2022_4_艺术本科提前批B段,81_3258,81,3258,北京,2022,摄影,本科 (1),艺术学 (14),美术学类 (124),普通类,艺术本科提前批B段,艺术类,480,0,0,-,,不限
score_81_3210_11_2022_4_艺术本科提前批B段,81_3210,81,3210,北京,2022,产品设计,本科 (1),艺术学 (14),设计学类 (125),普通类,艺术本科提前批B段,艺术类,480,0,0,-,,不限
score_81_3256_11_2022_4_艺术本科提前批B段,81_3256,81,3256,北京,2022,视觉传达设计,本科 (1),艺术学 (14),设计学类 (125),普通类,艺术本科提前批B段,艺术类,480,0,0,-,,不限
score_81_3257_11_2022_4_艺术本科提前批B段,81_3257,81,3257,北京,2022,环境设计,本科 (1),艺术学 (14),设计学类 (125),普通类,艺术本科提前批B段,艺术类,480,0,0,-,,不限
score_81_3258_11_2022_4_艺术本科提前批B段,81_3258,81,3258,北京,2022,摄影,本科 (1),艺术学 (14),美术学类 (124),普通类,艺术本科提前批B段,艺术类,480,0,0,-,,不限
score_81_566220_11_2022_3_本科批,81_566220,81,566220,北京,2022,工程造价,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,509,0,0,24096,,物理必选
score_81_1026615_11_2022_3_本科批,81_1026615,81,1026615,北京,2022,机械工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,509,0,0,24096,,物理必选
score_81_315065_11_2022_3_本科批,81_315065,81,315065,北京,2022,工程管理,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,507,0,0,24456,,物理必选
score_81_3229_11_2022_3_本科批,81_3229,81,3229,北京,2022,环境工程,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科批,综合,503,0,0,25202,,物理必选
score_81_108750_11_2022_3_本科批,81_108750,81,108750,北京,2022,安全工程,本科 (1),工学 (10),安全科学与工程类 (91),普通类,本科批,综合,502,0,0,25396,,物理必选
score_81_3221_11_2022_3_本科批,81_3221,81,3221,北京,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,519,0,0,22241,,不限
score_81_566220_11_2022_3_本科批,81_566220,81,566220,北京,2022,工程造价,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,509,0,0,24096,,物理必选
score_81_1026615_11_2022_3_本科批,81_1026615,81,1026615,北京,2022,机械工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,509,0,0,24096,,物理必选
score_81_315065_11_2022_3_本科批,81_315065,81,315065,北京,2022,工程管理,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,507,0,0,24456,,物理必选
score_81_3229_11_2022_3_本科批,81_3229,81,3229,北京,2022,环境工程,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科批,综合,503,0,0,25202,,物理必选
score_81_108750_11_2022_3_本科批,81_108750,81,108750,北京,2022,安全工程,本科 (1),工学 (10),安全科学与工程类 (91),普通类,本科批,综合,502,0,0,25396,,物理必选
score_81_3221_11_2022_3_本科批,81_3221,81,3221,北京,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,519,0,0,22241,,不限
score_81_3219_12_2022_3_本科批A段,81_3219,81,3219,天津,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,599,0,0,14317,,物理必选
score_81_169099_12_2022_3_本科批A段,81_169099,81,169099,天津,2022,数据科学与大数据技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,595,0,0,15130,,物理必选
score_81_3224_12_2022_3_本科批A段,81_3224,81,3224,天津,2022,物联网工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,593,0,0,15576,,物理必选
score_81_1129763_12_2022_3_本科批A段,81_1129763,81,1129763,天津,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,592,0,0,15787,,物理必选
score_81_3222_12_2022_3_本科批A段,81_3222,81,3222,天津,2022,信息安全,本科 (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,590,0,0,16238,,物理必选
score_81_1129764_12_2022_3_本科批A段,81_1129764,81,1129764,天津,2022,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批A段,综合,590,0,0,16238,,物理必选
score_81_3239_12_2022_3_本科批A段,81_3239,81,3239,天津,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,588,0,0,16628,,物理必选
