score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_95_1862068_12_2022_3_本科批A段,95_1862068,95,1862068,天津,2022,历史建筑保护工程,本科 (1),工学 (10),建筑类 (90),普通类,本科批A段,综合,574,0,0,19612,,物理/历史(2选1)
score_95_1862068_12_2022_3_本科批A段,95_1862068,95,1862068,天津,2022,历史建筑保护工程,本科 (1),工学 (10),建筑类 (90),普通类,本科批A段,综合,574,0,0,19612,,物理/历史(2选1)
score_95_1862068_13_2022_2074_本科批,95_1862068,95,1862068,河北,2022,历史建筑保护工程,本科 (1),工学 (10),建筑类 (90),普通类,本科批,历史类,566,0,0,7438,,
score_95_1862068_13_2022_2073_本科批,95_1862068,95,1862068,河北,2022,历史建筑保护工程,本科 (1),工学 (10),建筑类 (90),普通类,本科批,物理类,565,0,0,28568,,
score_95_1862068_33_2022_3_平行录取一段,95_1862068,95,1862068,浙江,2022,历史建筑保护工程,本科 (1),工学 (10),建筑类 (90),普通类,平行录取一段,综合,595,0,0,53973,,
score_95_1862068_37_2022_3_普通类一段,95_1862068,95,1862068,山东,2022,历史建筑保护工程,本科 (1),工学 (10),建筑类 (90),普通类,普通类一段,综合,523,0,0,101802,,
score_95_1862068_41_2022_1_本科一批,95_1862068,95,1862068,河南,2022,历史建筑保护工程,本科 (1),工学 (10),建筑类 (90),普通类,本科一批,理科,539,549,544,73712,,
score_95_1862068_12_2023_3_本科批A段,95_1862068,95,1862068,天津,2023,历史建筑保护工程,本科 (1),工学 (10),建筑类 (90),普通类,本科批A段,综合,556,0,0,22896,（天津市河北区）,物理/历史(2选1)
score_95_1862068_12_2023_3_本科批A段,95_1862068,95,1862068,天津,2023,历史建筑保护工程,本科 (1),工学 (10),建筑类 (90),普通类,本科批A段,综合,556,0,0,22896,（天津市河北区）,物理/历史(2选1)
score_95_1862068_13_2023_2073_本科批,95_1862068,95,1862068,河北,2023,历史建筑保护工程,本科 (1),工学 (10),建筑类 (90),普通类,本科批,物理类,552,0,0,46436,,
score_95_1862068_13_2023_2074_本科批,95_1862068,95,1862068,河北,2023,历史建筑保护工程,本科 (1),工学 (10),建筑类 (90),普通类,本科批,历史类,563,0,0,8178,,
score_95_1862068_14_2023_2_本科一批B段,95_1862068,95,1862068,山西,2023,历史建筑保护工程,本科 (1),工学 (10),建筑类 (90),普通类,本科一批B段,文科,509,0,0,4819,,
score_95_1862068_33_2023_3_平行录取一段,95_1862068,95,1862068,浙江,2023,历史建筑保护工程,本科 (1),工学 (10),建筑类 (90),普通类,平行录取一段,综合,594,0,0,58503,,
score_95_1862068_34_2023_1_本科二批,95_1862068,95,1862068,安徽,2023,历史建筑保护工程,本科 (1),工学 (10),建筑类 (90),普通类,本科二批,理科,443,484,464,147559,,
score_95_1862068_37_2023_3_普通类一段,95_1862068,95,1862068,山东,2023,历史建筑保护工程,本科 (1),工学 (10),建筑类 (90),普通类,普通类一段,综合,536,0,0,96151,,
score_95_1862068_41_2023_1_本科一批,95_1862068,95,1862068,河南,2023,历史建筑保护工程,本科 (1),工学 (10),建筑类 (90),普通类,本科一批,理科,541,557,549,83430,,
score_95_1862068_13_2024_2073_本科批,95_1862068,95,1862068,河北,2024,历史建筑保护工程,本科 (1),工学 (10),建筑类 (90),普通类,本科批,物理类,547,0,0,59388,,
score_95_1862068_13_2024_2074_本科批,95_1862068,95,1862068,河北,2024,历史建筑保护工程,本科 (1),工学 (10),建筑类 (90),普通类,本科批,历史类,573,0,0,9549,,
score_95_3906_13_2024_2074_本科批,95_3906,95,3906,河北,2024,艺术设计学,本科 (1),艺术学 (14),设计学类 (125),普通类,本科批,历史类,562,0,0,12485,,
score_95_2156517_13_2024_2074_本科批,95_2156517,95,2156517,河北,2024,艺术管理,本科 (1),艺术学 (14),艺术学理论类 (121),普通类,本科批,历史类,510,0,0,32443,,
score_95_3903_13_2024_2074_本科批,95_3903,95,3903,河北,2024,美术学,本科 (1),艺术学 (14),美术学类 (124),普通类,本科批,历史类,506,0,0,34400,,
score_95_1862068_33_2024_3_平行录取一段,95_1862068,95,1862068,浙江,2024,历史建筑保护工程,本科 (1),工学 (10),建筑类 (90),普通类,平行录取一段,综合,595,0,0,59112,,
score_95_3903_33_2024_3_平行录取一段,95_3903,95,3903,浙江,2024,美术学,本科 (1),艺术学 (14),美术学类 (124),普通类,平行录取一段,综合,592,0,0,62084,,
score_95_2156517_33_2024_3_平行录取一段,95_2156517,95,2156517,浙江,2024,艺术管理,本科 (1),艺术学 (14),艺术学理论类 (121),普通类,平行录取一段,综合,588,0,0,67268,,
score_95_3906_33_2024_3_平行录取一段,95_3906,95,3906,浙江,2024,艺术设计学,本科 (1),艺术学 (14),设计学类 (125),普通类,平行录取一段,综合,586,0,0,69364,,
score_95_3903_37_2024_3_普通类一段,95_3903,95,3903,山东,2024,美术学,本科 (1),艺术学 (14),美术学类 (124),普通类,普通类一段,综合,563,0,0,57920,,
score_95_1862068_37_2024_3_普通类一段,95_1862068,95,1862068,山东,2024,历史建筑保护工程,本科 (1),工学 (10),建筑类 (90),普通类,普通类一段,综合,536,0,0,99065,,
score_95_3906_37_2024_3_普通类一段,95_3906,95,3906,山东,2024,艺术设计学,本科 (1),艺术学 (14),设计学类 (125),普通类,普通类一段,综合,534,0,0,103625,,
score_95_2156517_37_2024_3_普通类一段,95_2156517,95,2156517,山东,2024,艺术管理,本科 (1),艺术学 (14),艺术学理论类 (121),普通类,普通类一段,综合,527,0,0,117815,,
score_95_2156517_50_2024_2074_本科批,95_2156517,95,2156517,重庆,2024,艺术管理,本科 (1),艺术学 (14),艺术学理论类 (121),普通类,本科批,历史类,502,0,0,14512,,
score_95_3906_50_2024_2074_本科批,95_3906,95,3906,重庆,2024,艺术设计学,本科 (1),艺术学 (14),设计学类 (125),普通类,本科批,历史类,492,0,0,16570,,
score_95_3903_50_2024_2074_本科批,95_3903,95,3903,重庆,2024,美术学,本科 (1),艺术学 (14),美术学类 (124),普通类,本科批,历史类,489,0,0,17286,,
score_95_3903_52_2024_2074_本科批,95_3903,95,3903,贵州,2024,美术学,本科 (1),艺术学 (14),美术学类 (124),普通类,本科批,历史类,507,0,0,16991,,
score_95_3906_52_2024_2074_本科批,95_3906,95,3906,贵州,2024,艺术设计学,本科 (1),艺术学 (14),设计学类 (125),普通类,本科批,历史类,477,0,0,27513,,
