score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_90_3772_11_2022_3_本科批,90_3772,90,3772,北京,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批,综合,494,494,494,26905,,物理必选
score_90_3765_11_2022_3_本科批,90_3765,90,3765,北京,2022,材料成型及控制工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,491,491,491,27438,,物理必选
score_90_3766_11_2022_3_本科批,90_3766,90,3766,北京,2022,机械设计制造及其自动化,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,481,481,481,29265,,物理必选
score_90_3773_11_2022_3_本科批,90_3773,90,3773,北京,2022,教育技术学,本科(普通) (1),教育学 (6),教育学类 (45),普通类,本科批,综合,519,519,519,22241,,不限
score_90_3772_11_2022_3_本科批,90_3772,90,3772,北京,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批,综合,494,494,494,26905,,物理必选
score_90_3765_11_2022_3_本科批,90_3765,90,3765,北京,2022,材料成型及控制工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,491,491,491,27438,,物理必选
score_90_3766_11_2022_3_本科批,90_3766,90,3766,北京,2022,机械设计制造及其自动化,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,481,481,481,29265,,物理必选
score_90_3773_11_2022_3_本科批,90_3773,90,3773,北京,2022,教育技术学,本科(普通) (1),教育学 (6),教育学类 (45),普通类,本科批,综合,519,519,519,22241,,不限
score_90_1511240_12_2022_3_本科批A段,90_1511240,90,1511240,天津,2022,学前教育,本科(普通) (1),教育学 (6),教育学类 (45),普通类,本科批A段,综合,586,0,0,17045,,不限
score_90_1801743_12_2022_3_本科批A段,90_1801743,90,1801743,天津,2022,劳动教育,本科(普通) (1),教育学 (6),教育学类 (45),普通类,本科批A段,综合,583,0,0,17656,,不限
score_90_3773_12_2022_3_本科批A段,90_3773,90,3773,天津,2022,教育技术学,本科(普通) (1),教育学 (6),教育学类 (45),普通类,本科批A段,综合,580,0,0,18321,,不限
score_90_111591_12_2022_3_本科批A段,90_111591,90,111591,天津,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,580,0,0,18321,,不限
score_90_3718_12_2022_3_本科批A段,90_3718,90,3718,天津,2022,汉语国际教育,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批A段,综合,579,0,0,18541,,不限
score_90_111603_12_2022_3_本科批A段,90_111603,90,111603,天津,2022,应用心理学,本科(普通) (1),理学 (9),心理学类 (61),普通类,本科批A段,综合,577,0,0,18940,,不限
score_90_3716_12_2022_3_本科批A段,90_3716,90,3716,天津,2022,财务会计教育,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,573,0,0,19806,,不限
score_90_111593_12_2022_3_本科批A段,90_111593,90,111593,天津,2022,教育学,本科(普通) (1),教育学 (6),教育学类 (45),普通类,本科批A段,综合,568,0,0,20871,,不限
score_90_3715_12_2022_3_本科批A段,90_3715,90,3715,天津,2022,信用管理,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批A段,综合,566,0,0,21262,,不限
score_90_3714_12_2022_3_本科批A段,90_3714,90,3714,天津,2022,电子商务,本科(普通) (1),管理学 (13),电子商务类 (119),普通类,本科批A段,综合,564,0,0,21680,,不限
score_90_3783_12_2022_3_本科批A段,90_3783,90,3783,天津,2022,物流管理,本科(普通) (1),管理学 (13),物流管理与工程类 (117),普通类,本科批A段,综合,560,0,0,22504,,不限
score_90_3779_12_2022_3_本科批A段,90_3779,90,3779,天津,2022,日语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,557,0,0,23094,,不限
score_90_111590_12_2022_3_本科批A段,90_111590,90,111590,天津,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批A段,综合,557,0,0,23094,,不限
score_90_111592_12_2022_3_本科批A段,90_111592,90,111592,天津,2022,人力资源管理,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,556,0,0,23348,,不限
