score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_84_3419_11_2022_3_本科批,84_3419,84,3419,北京,2022,经济统计学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,综合,564,565,0,14274,,物/生/地(3选1)
score_84_98535_11_2022_3_本科批,84_98535,84,98535,北京,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,550,560,0,16590,,不限
score_84_3398_11_2022_3_本科批,84_3398,84,3398,北京,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,546,566,0,17365,,不限
score_84_98535_11_2022_3_本科批,84_98535,84,98535,北京,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,550,560,0,16590,,不限
score_84_3398_11_2022_3_本科批,84_3398,84,3398,北京,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,546,566,0,17365,,不限
score_84_3419_11_2022_3_本科批,84_3419,84,3419,北京,2022,经济统计学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,综合,564,565,0,14274,,物/生/地(3选1)
score_84_3398_12_2022_3_本科批A段,84_3398,84,3398,天津,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,620,0,0,10116,,不限
score_84_3409_12_2022_3_本科批A段,84_3409,84,3409,天津,2022,审计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,619,0,0,10292,,不限
score_84_3399_12_2022_3_本科批A段,84_3399,84,3399,天津,2022,财务管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,615,0,0,11049,,不限
score_84_3381_12_2022_3_本科批A段,84_3381,84,3381,天津,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批A段,综合,607,0,0,12703,,不限
score_84_3386_12_2022_3_本科批A段,84_3386,84,3386,天津,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批A段,综合,605,0,0,13096,,不限
score_84_3389_12_2022_3_本科批A段,84_3389,84,3389,天津,2022,广告学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批A段,综合,603,0,0,13481,,不限
score_84_169102_12_2022_3_本科批A段,84_169102,84,169102,天津,2022,金融数学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批A段,综合,601,0,0,13914,,不限
score_84_3405_12_2022_3_本科批A段,84_3405,84,3405,天津,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,600,0,0,14110,,不限
