score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_70_2520_11_2022_3_本科批,70_2520,70,2520,北京,2022,茶学,本科(普通) (1),农学 (11),植物生产类 (94),普通类,本科批,综合,499,519,0,25977,,物/化/生(3选1)
score_70_2556_11_2022_3_本科批,70_2556,70,2556,北京,2022,动物医学,本科(普通) (1),农学 (11),动物医学类 (97),普通类,本科批,综合,0,0,0,-,（五年制）,物/化/生(3选1)
score_70_2520_11_2022_3_本科批,70_2520,70,2520,北京,2022,茶学,本科(普通) (1),农学 (11),植物生产类 (94),普通类,本科批,综合,499,519,0,25977,,物/化/生(3选1)
score_70_2556_11_2022_3_本科批,70_2556,70,2556,北京,2022,动物医学,本科(普通) (1),农学 (11),动物医学类 (97),普通类,本科批,综合,0,0,0,-,（五年制）,物/化/生(3选1)
score_70_2520_12_2022_3_本科批A段,70_2520,70,2520,天津,2022,茶学,本科(普通) (1),农学 (11),植物生产类 (94),普通类,本科批A段,综合,553,0,0,23967,,物/化/生(3选1)
score_70_2556_12_2022_3_本科批A段,70_2556,70,2556,天津,2022,动物医学,本科(普通) (1),农学 (11),动物医学类 (97),普通类,本科批A段,综合,550,0,0,24598,,物/化/生(3选1)
score_70_2564_12_2022_3_本科批A段,70_2564,70,2564,天津,2022,城乡规划,本科(普通) (1),工学 (10),建筑类 (90),普通类,本科批A段,综合,539,0,0,26889,,物/化/生(3选1)
score_70_2563_12_2022_3_本科批A段,70_2563,70,2563,天津,2022,林学,本科(普通) (1),农学 (11),林学类 (98),普通类,本科批A段,综合,536,0,0,27584,,物/化/生(3选1)
score_70_150575_12_2022_3_本科批A段,70_150575,70,150575,天津,2022,食品卫生与营养学,本科(普通) (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批A段,综合,536,0,0,27584,,物/化/生(3选1)
score_70_2546_12_2022_3_本科批A段,70_2546,70,2546,天津,2022,动物科学,本科(普通) (1),农学 (11),动物生产类 (96),普通类,本科批A段,综合,533,0,0,28210,,物/化/生(3选1)
score_70_2581_12_2022_3_本科批A段,70_2581,70,2581,天津,2022,植物保护,本科(普通) (1),农学 (11),植物生产类 (94),普通类,本科批A段,综合,533,0,0,28210,,物/化/生(3选1)
score_70_2520_12_2022_3_本科批A段,70_2520,70,2520,天津,2022,茶学,本科(普通) (1),农学 (11),植物生产类 (94),普通类,本科批A段,综合,553,0,0,23967,,物/化/生(3选1)
score_70_2556_12_2022_3_本科批A段,70_2556,70,2556,天津,2022,动物医学,本科(普通) (1),农学 (11),动物医学类 (97),普通类,本科批A段,综合,550,0,0,24598,,物/化/生(3选1)
score_70_2543_12_2022_3_本科批A段,70_2543,70,2543,天津,2022,社会工作,本科(普通) (1),法学 (5),社会学类 (41),普通类,本科批A段,综合,547,0,0,25215,,不限
score_70_2564_12_2022_3_本科批A段,70_2564,70,2564,天津,2022,城乡规划,本科(普通) (1),工学 (10),建筑类 (90),普通类,本科批A段,综合,539,0,0,26889,,物/化/生(3选1)
score_70_2563_12_2022_3_本科批A段,70_2563,70,2563,天津,2022,林学,本科(普通) (1),农学 (11),林学类 (98),普通类,本科批A段,综合,536,0,0,27584,,物/化/生(3选1)
score_70_150575_12_2022_3_本科批A段,70_150575,70,150575,天津,2022,食品卫生与营养学,本科(普通) (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批A段,综合,536,0,0,27584,,物/化/生(3选1)
score_70_2546_12_2022_3_本科批A段,70_2546,70,2546,天津,2022,动物科学,本科(普通) (1),农学 (11),动物生产类 (96),普通类,本科批A段,综合,533,0,0,28210,,物/化/生(3选1)
score_70_2581_12_2022_3_本科批A段,70_2581,70,2581,天津,2022,植物保护,本科(普通) (1),农学 (11),植物生产类 (94),普通类,本科批A段,综合,533,0,0,28210,,物/化/生(3选1)
score_70_2543_12_2022_3_本科批A段,70_2543,70,2543,天津,2022,社会工作,本科(普通) (1),法学 (5),社会学类 (41),普通类,本科批A段,综合,547,0,0,25215,,不限
score_70_2542_13_2022_2074_本科批,70_2542,70,2542,河北,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,历史类,559,0,0,9061,,
score_70_2552_13_2022_2074_本科批,70_2552,70,2552,河北,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,559,0,0,9061,,
score_70_2558_13_2022_2074_本科批,70_2558,70,2558,河北,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,历史类,555,0,0,10136,,
score_70_2540_13_2022_2074_本科批,70_2540,70,2540,河北,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,553,0,0,10695,,
score_70_2583_13_2022_2074_本科批,70_2583,70,2583,河北,2022,经济学,本科(普通) (1),经济学 (4),经济学类 (35),普通类,本科批,历史类,553,0,0,10695,,
score_70_2539_13_2022_2074_本科批,70_2539,70,2539,河北,2022,应用心理学,本科(普通) (1),理学 (9),心理学类 (61),普通类,本科批,历史类,552,0,0,10990,,
score_70_150565_13_2022_2074_本科批,70_150565,70,150565,河北,2022,电子商务,本科(普通) (1),管理学 (13),电子商务类 (119),普通类,本科批,历史类,550,0,0,11570,,
score_70_2523_13_2022_2074_本科批,70_2523,70,2523,河北,2022,国际经济与贸易,本科(普通) (1),经济学 (4),经济与贸易类 (38),普通类,本科批,历史类,548,0,0,12152,,
score_70_2562_13_2022_2074_本科批,70_2562,70,2562,河北,2022,园林,本科(普通) (1),农学 (11),林学类 (98),普通类,本科批,历史类,548,0,0,12152,,
score_70_2541_13_2022_2074_本科批,70_2541,70,2541,河北,2022,农林经济管理,本科(普通) (1),管理学 (13),农业经济管理类 (114),普通类,本科批,历史类,547,0,0,12504,,
score_70_2543_13_2022_2074_本科批,70_2543,70,2543,河北,2022,社会工作,本科(普通) (1),法学 (5),社会学类 (41),普通类,本科批,历史类,547,0,0,12504,,
score_70_2581_13_2022_2074_本科批,70_2581,70,2581,河北,2022,植物保护,本科(普通) (1),农学 (11),植物生产类 (94),普通类,本科批,历史类,544,0,0,13419,,
score_70_2567_13_2022_2074_本科批,70_2567,70,2567,河北,2022,农学,本科(普通) (1),农学 (11),植物生产类 (94),普通类,本科批,历史类,543,0,0,13754,,
score_70_2561_13_2022_2074_本科批,70_2561,70,2561,河北,2022,园艺,本科(普通) (1),农学 (11),植物生产类 (94),普通类,本科批,历史类,541,0,0,14446,,
score_70_1535503_13_2022_2074_本科批,70_1535503,70,1535503,河北,2022,智慧农业,本科(普通) (1),农学 (11),植物生产类 (94),普通类,本科批,历史类,540,0,0,14781,,
score_70_2550_13_2022_2073_本科批,70_2550,70,2550,河北,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批,物理类,550,0,0,40256,,
score_70_2551_13_2022_2073_本科批,70_2551,70,2551,河北,2022,计算机科学与技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,物理类,547,0,0,42788,,
score_70_169632_13_2022_2073_本科批,70_169632,70,169632,河北,2022,智能科学与技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,物理类,542,0,0,47194,,
score_70_169631_13_2022_2073_本科批,70_169631,70,169631,河北,2022,数据科学与大数据技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,物理类,541,0,0,48106,,
score_70_1801782_13_2022_2073_本科批,70_1801782,70,1801782,河北,2022,网络空间安全,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,物理类,541,0,0,48106,,
score_70_2523_13_2022_2073_本科批,70_2523,70,2523,河北,2022,国际经济与贸易,本科(普通) (1),经济学 (4),经济与贸易类 (38),普通类,本科批,物理类,540,0,0,49002,,
score_70_1800820_13_2022_2073_本科批,70_1800820,70,1800820,河北,2022,智能制造工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,物理类,537,0,0,51825,,
score_70_150572_13_2022_2073_本科批,70_150572,70,150572,河北,2022,应用统计学,本科(普通) (1),理学 (9),统计学类 (62),普通类,本科批,物理类,536,0,0,52757,,
score_70_2556_13_2022_2073_本科批,70_2556,70,2556,河北,2022,动物医学,本科(普通) (1),农学 (11),动物医学类 (97),普通类,本科批,物理类,535,0,0,53694,,
