score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_72_2712_11_2022_3_本科批,72_2712,72,2712,北京,2022,药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科批,综合,544,0,0,17717,,化学、生物(2科必选)
score_72_2712_11_2022_3_本科批,72_2712,72,2712,北京,2022,药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科批,综合,544,0,0,17717,,化学、生物(2科必选)
score_72_2699_12_2022_3_本科批A段,72_2699,72,2699,天津,2022,口腔医学,本科(普通) (1),医学 (12),口腔医学类 (103),普通类,本科批A段,综合,644,0,0,5858,,物/化/生(3选1)
score_72_2699_12_2022_3_本科批A段,72_2699,72,2699,天津,2022,口腔医学,本科(普通) (1),医学 (12),口腔医学类 (103),普通类,本科批A段,综合,644,0,0,5858,,物/化/生(3选1)
score_72_2708_12_2022_3_本科批A段,72_2708,72,2708,天津,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,637,0,0,7060,,化学、生物(2科必选)
score_72_2708_12_2022_3_本科批A段,72_2708,72,2708,天津,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,637,0,0,7060,,化学、生物(2科必选)
score_72_2708_13_2022_2073_本科批,72_2708,72,2708,河北,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,583,0,0,17536,,
score_72_2695_13_2022_2073_本科批,72_2695,72,2695,河北,2022,医学影像学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,580,0,0,19205,,
score_72_2709_14_2022_1_本科二批A段,72_2709,72,2709,山西,2022,医学信息工程,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科二批A段,理科,488,0,492,41753,,
score_72_2711_15_2022_1_本科二批,72_2711,72,2711,内蒙古,2022,妇幼保健医学,本科(普通) (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科二批,理科,455,463,0,23079,,
score_72_2708_15_2022_1_本科一批,72_2708,72,2708,内蒙古,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科一批,理科,571,572,0,3278,,
score_72_2693_15_2022_1_本科一批,72_2693,72,2693,内蒙古,2022,医学检验技术,本科(普通) (1),医学 (12),医学技术类 (110),普通类,本科一批,理科,485,517,0,16430,,
score_72_2708_21_2022_2073_本科批,72_2708,72,2708,辽宁,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,590,0,0,12099,,
score_72_2708_23_2022_1_本科一批A段,72_2708,72,2708,黑龙江,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科一批A段,理科,534,535,0,8901,,
score_72_2713_23_2022_1_本科一批A段,72_2713,72,2713,黑龙江,2022,预防医学,本科(普通) (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科一批A段,理科,526,526,0,10329,,
score_72_2708_31_2022_3_本科批,72_2708,72,2708,上海,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批,综合,525,0,529,12224,（办学点:梅山路校区）（无色盲、色弱）,化学、生物(2科必选)
score_72_2708_31_2022_3_本科批,72_2708,72,2708,上海,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批,综合,525,0,529,12224,（办学点:梅山路校区）（无色盲、色弱）,化学、生物(2科必选)
score_72_2713_32_2022_2074_本科批,72_2713,72,2713,江苏,2022,预防医学,本科(普通) (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,历史类,546,546,0,12747,（梅山路校区）（报考该有色觉要求，详询院校）,首选历史，再选化学/生物(2选1)
score_72_2711_32_2022_2074_本科批,72_2711,72,2711,江苏,2022,妇幼保健医学,本科(普通) (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,历史类,537,540,0,16606,（梅山路校区）（报考该有色觉要求，详询院校）,首选历史，再选化学/生物(2选1)
score_72_2713_32_2022_2074_本科批,72_2713,72,2713,江苏,2022,预防医学,本科(普通) (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,历史类,546,546,0,12747,（梅山路校区）（报考该有色觉要求，详询院校）,首选历史，再选化学/生物(2选1)
score_72_2711_32_2022_2074_本科批,72_2711,72,2711,江苏,2022,妇幼保健医学,本科(普通) (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,历史类,537,540,0,16606,（梅山路校区）（报考该有色觉要求，详询院校）,首选历史，再选化学/生物(2选1)
score_72_2712_32_2022_2074_本科批,72_2712,72,2712,江苏,2022,药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科批,历史类,513,524,0,29307,（梅山路校区）（报考该有色觉要求，详询院校）,首选历史，再选化学、生物(2科必选)
score_72_2712_32_2022_2074_本科批,72_2712,72,2712,江苏,2022,药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科批,历史类,513,524,0,29307,（梅山路校区）（报考该有色觉要求，详询院校）,首选历史，再选化学、生物(2科必选)
score_72_2708_32_2022_2073_本科批,72_2708,72,2708,江苏,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,587,591,0,22060,（梅山路校区）（报考该有色觉要求，详询院校）,首选物理，再选化学、生物(2科必选)
score_72_2714_32_2022_2073_本科批,72_2714,72,2714,江苏,2022,麻醉学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,584,586,0,24286,（梅山路校区）（报考该有色觉要求，详询院校）,首选物理，再选化学、生物(2科必选)
score_72_2712_32_2022_2073_本科批,72_2712,72,2712,江苏,2022,药学,本科(普通) (1),医学 (12),药学类 (107),普通类,本科批,物理类,583,584,0,24972,（梅山路校区）（报考该有色觉要求，详询院校）,首选物理，再选化学、生物(2科必选)
score_72_2708_32_2022_2073_本科批,72_2708,72,2708,江苏,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,587,591,0,22060,（梅山路校区）（报考该有色觉要求，详询院校）,首选物理，再选化学、生物(2科必选)
