score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_67_2338_11_2022_3_本科批,67_2338,67,2338,北京,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,590,0,0,10139,,不限
score_67_2356_11_2022_3_本科批,67_2356,67,2356,北京,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,598,0,0,8957,,物理必选
score_67_2338_11_2022_3_本科批,67_2338,67,2338,北京,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,590,0,0,10139,,不限
score_67_2356_11_2022_3_本科批,67_2356,67,2356,北京,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,598,0,0,8957,,物理必选
score_67_2335_12_2022_3_本科批A段,67_2335,67,2335,天津,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批A段,综合,637,0,0,7060,,不限
score_67_2319_12_2022_3_本科批A段,67_2319,67,2319,天津,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,634,0,0,7592,,不限
score_67_2356_12_2022_3_本科批A段,67_2356,67,2356,天津,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,638,0,0,6890,,物理必选
score_67_2335_12_2022_3_本科批A段,67_2335,67,2335,天津,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批A段,综合,637,0,0,7060,,不限
score_67_2391_12_2022_3_本科批A段,67_2391,67,2391,天津,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,636,0,0,7232,,物理必选
score_67_1375745_12_2022_3_本科批A段,67_1375745,67,1375745,天津,2022,数字媒体技术,本科 (1),工学 (10),计算机类 (71),中外合作办学,本科批A段,综合,636,0,0,7232,,物理必选
score_67_1130205_12_2022_3_本科批A段,67_1130205,67,1130205,天津,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,635,0,0,7401,,物理必选
score_67_2319_12_2022_3_本科批A段,67_2319,67,2319,天津,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,634,0,0,7592,,不限
score_67_2384_12_2022_3_本科批A段,67_2384,67,2384,天津,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,本科批A段,综合,633,0,0,7774,,物理必选
score_67_169618_12_2022_3_本科批A段,67_169618,67,169618,天津,2022,互联网金融,本科 (1),经济学 (4),金融学类 (37),普通类,本科批A段,综合,633,0,0,7774,,物理必选
score_67_1130206_12_2022_3_本科批A段,67_1130206,67,1130206,天津,2022,机器人工程,本科 (1),工学 (10),自动化类 (70),普通类,本科批A段,综合,633,0,0,7774,,物理必选
score_67_1375743_12_2022_3_本科批A段,67_1375743,67,1375743,天津,2022,应用物理学,本科 (1),理学 (9),物理学类 (52),中外合作办学,本科批A段,综合,631,0,0,8146,,物理必选
score_67_1375744_12_2022_3_本科批A段,67_1375744,67,1375744,天津,2022,应用统计学,本科 (1),理学 (9),统计学类 (62),中外合作办学,本科批A段,综合,621,0,0,9949,,物理必选
score_67_2356_12_2022_3_本科批A段,67_2356,67,2356,天津,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,638,0,0,6890,,物理必选
score_67_2391_12_2022_3_本科批A段,67_2391,67,2391,天津,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,636,0,0,7232,,物理必选
score_67_1130205_12_2022_3_本科批A段,67_1130205,67,1130205,天津,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,635,0,0,7401,,物理必选
score_67_2384_12_2022_3_本科批A段,67_2384,67,2384,天津,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,本科批A段,综合,633,0,0,7774,,物理必选
score_67_169618_12_2022_3_本科批A段,67_169618,67,169618,天津,2022,互联网金融,本科 (1),经济学 (4),金融学类 (37),普通类,本科批A段,综合,633,0,0,7774,,物理必选
score_67_1130206_12_2022_3_本科批A段,67_1130206,67,1130206,天津,2022,机器人工程,本科 (1),工学 (10),自动化类 (70),普通类,本科批A段,综合,633,0,0,7774,,物理必选
score_67_1375745_12_2022_3_本科批A段,67_1375745,67,1375745,天津,2022,数字媒体技术,本科 (1),工学 (10),计算机类 (71),中外合作办学,本科批A段,综合,636,0,0,7232,,物理必选
score_67_1375743_12_2022_3_本科批A段,67_1375743,67,1375743,天津,2022,应用物理学,本科 (1),理学 (9),物理学类 (52),中外合作办学,本科批A段,综合,631,0,0,8146,,物理必选
score_67_1375744_12_2022_3_本科批A段,67_1375744,67,1375744,天津,2022,应用统计学,本科 (1),理学 (9),统计学类 (62),中外合作办学,本科批A段,综合,621,0,0,9949,,物理必选
score_67_2319_13_2022_2074_本科批,67_2319,67,2319,河北,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,599,0,0,2217,,
score_67_2335_13_2022_2074_本科批,67_2335,67,2335,河北,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,历史类,597,0,0,2445,,
score_67_2338_13_2022_2074_本科批,67_2338,67,2338,河北,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,历史类,596,0,0,2579,,
score_67_2356_13_2022_2073_本科批,67_2356,67,2356,河北,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,598,0,0,10589,,
score_67_2354_13_2022_2073_本科批,67_2354,67,2354,河北,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,597,0,0,10996,,
score_67_2389_13_2022_2073_本科批,67_2389,67,2389,河北,2022,信息安全,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,594,0,0,12236,,
score_67_2391_13_2022_2073_本科批,67_2391,67,2391,河北,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,594,0,0,12236,,
score_67_2384_13_2022_2073_本科批,67_2384,67,2384,河北,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,本科批,物理类,593,0,0,12676,,
score_67_1130205_13_2022_2073_本科批,67_1130205,67,1130205,河北,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,593,0,0,12676,,
score_67_2385_13_2022_2073_本科批,67_2385,67,2385,河北,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,物理类,592,0,0,13125,,
score_67_1130206_13_2022_2073_本科批,67_1130206,67,1130206,河北,2022,机器人工程,本科 (1),工学 (10),自动化类 (70),普通类,本科批,物理类,591,0,0,13583,,
score_67_2340_13_2022_2073_本科批,67_2340,67,2340,河北,2022,经济统计学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,物理类,590,0,0,14004,,
score_67_1375744_13_2022_2073_本科批,67_1375744,67,1375744,河北,2022,应用统计学,本科 (1),理学 (9),统计学类 (62),中外合作办学,本科批,物理类,561,0,0,31495,,
score_67_1375745_13_2022_2073_本科批,67_1375745,67,1375745,河北,2022,数字媒体技术,本科 (1),工学 (10),计算机类 (71),中外合作办学,本科批,物理类,556,0,0,35406,,
score_67_1375743_13_2022_2073_本科批,67_1375743,67,1375743,河北,2022,应用物理学,本科 (1),理学 (9),物理学类 (52),中外合作办学,本科批,物理类,543,0,0,46278,,
score_67_2341_14_2022_1_本科一批A1段,67_2341,67,2341,山西,2022,应用物理学,本科 (1),理学 (9),物理学类 (52),中外合作办学,本科一批A1段,理科,516,0,0,26567,（中外合作办学）（该校所有专业办学地点龙河校区）,
score_67_1378136_14_2022_2_本科一批A段,67_1378136,67,1378136,山西,2022,思想政治教育,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科一批A段,文科,561,0,0,1478,,
score_67_2336_14_2022_2_本科一批A段,67_2336,67,2336,山西,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科一批A段,文科,560,0,0,1549,,
score_67_2369_14_2022_2_本科一批A段,67_2369,67,2369,山西,2022,哲学,本科 (1),哲学 (3),哲学类 (34),普通类,本科一批A段,文科,560,0,0,1549,,
score_67_1026277_14_2022_2_本科一批A段,67_1026277,67,1026277,山西,2022,行政管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科一批A段,文科,558,0,0,1704,,
score_67_2324_14_2022_2_本科一批A段,67_2324,67,2324,山西,2022,德语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批A段,文科,556,0,0,1845,,
score_67_657329_14_2022_2_本科一批A段,67_657329,67,657329,山西,2022,物流管理,本科 (1),管理学 (13),物流管理与工程类 (117),普通类,本科一批A段,文科,556,0,0,1845,,
score_67_657353_14_2022_2_本科一批A段,67_657353,67,657353,山西,2022,旅游管理,本科 (1),管理学 (13),旅游管理类 (120),普通类,本科一批A段,文科,556,0,0,1845,,
score_67_2356_14_2022_1_本科一批A段,67_2356,67,2356,山西,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,566,0,0,8340,,
score_67_1471202_14_2022_1_本科一批A段,67_1471202,67,1471202,山西,2022,集成电路设计与集成系统,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,562,0,0,9389,,
score_67_316144_14_2022_1_本科一批A段,67_316144,67,316144,山西,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,559,0,0,10221,,
score_67_2376_14_2022_1_本科一批A段,67_2376,67,2376,山西,2022,地理信息科学,本科 (1),理学 (9),地理科学类 (55),普通类,本科一批A段,理科,554,0,0,11651,,
score_67_575417_14_2022_1_本科一批A段,67_575417,67,575417,山西,2022,信息管理与信息系统,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科一批A段,理科,553,0,0,11934,,
score_67_2329_14_2022_1_本科一批A段,67_2329,67,2329,山西,2022,高分子材料与工程,本科 (1),工学 (10),材料类 (66),普通类,本科一批A段,理科,552,0,0,12262,,
score_67_2339_15_2022_2_本科一批,67_2339,67,2339,内蒙古,2022,财政学,本科 (1),经济学 (4),财政学类 (36),普通类,本科一批,文科,550,551,0,939,,
score_67_2353_15_2022_2_本科一批,67_2353,67,2353,内蒙古,2022,政治学与行政学,本科 (1),法学 (5),政治学类 (40),普通类,本科一批,文科,543,552,0,1195,,
score_67_657322_15_2022_2_本科一批,67_657322,67,657322,内蒙古,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科一批,文科,535,538,0,1526,,
score_67_1026277_15_2022_2_本科一批,67_1026277,67,1026277,内蒙古,2022,行政管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科一批,文科,534,540,0,1566,,
score_67_2320_15_2022_2_本科一批,67_2320,67,2320,内蒙古,2022,俄语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科一批,文科,523,537,0,2154,,
score_67_657329_15_2022_2_本科一批,67_657329,67,657329,内蒙古,2022,物流管理,本科 (1),管理学 (13),物流管理与工程类 (117),普通类,本科一批,文科,517,539,0,2540,,
score_67_2391_15_2022_1_本科一批,67_2391,67,2391,内蒙古,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批,理科,559,560,0,4426,,
score_67_2354_15_2022_1_本科一批,67_2354,67,2354,内蒙古,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科一批,理科,557,562,0,4653,,
