score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_69_2501_13_2022_2074_本科批,69_2501,69,2501,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,559,0,0,9061,,
score_69_2492_13_2022_2074_本科批,69_2492,69,2492,河北,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,558,0,0,9328,,
score_69_2465_13_2022_2074_本科批,69_2465,69,2465,河北,2022,行政管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科批,历史类,551,0,0,11260,,
score_69_2510_13_2022_2074_本科批,69_2510,69,2510,河北,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科批,历史类,549,0,0,11857,,
score_69_2508_13_2022_2073_本科批,69_2508,69,2508,河北,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,物理类,556,0,0,35406,,
score_69_1800817_13_2022_2073_本科批,69_1800817,69,1800817,河北,2022,集成电路设计与集成系统,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,553,0,0,37725,,
score_69_1499260_13_2022_2073_本科批,69_1499260,69,1499260,河北,2022,微电子科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,551,0,0,39421,,
score_69_2492_13_2022_2073_本科批,69_2492,69,2492,河北,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,物理类,550,0,0,40256,,
score_69_2513_13_2022_2073_本科批,69_2513,69,2513,河北,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,550,0,0,40256,,
score_69_2493_13_2022_2073_本科批,69_2493,69,2493,河北,2022,物联网工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,549,0,0,41073,,
score_69_172193_13_2022_2073_本科批,69_172193,69,172193,河北,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,549,0,0,41073,,
score_69_575534_13_2022_2073_本科批,69_575534,69,575534,河北,2022,数据科学与大数据技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,548,0,0,41891,,
score_69_1130208_13_2022_2073_本科批,69_1130208,69,1130208,河北,2022,机器人工程,本科 (1),工学 (10),自动化类 (70),普通类,本科批,物理类,548,0,0,41891,,
score_69_2507_13_2022_2073_本科批,69_2507,69,2507,河北,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,本科批,物理类,547,0,0,42788,,
score_69_1130207_13_2022_2073_本科批,69_1130207,69,1130207,河北,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,547,0,0,42788,,
score_69_2499_13_2022_2073_本科批,69_2499,69,2499,河北,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,546,0,0,43628,,
score_69_2486_13_2022_2073_本科批,69_2486,69,2486,河北,2022,机械工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,544,0,0,45381,,
score_69_2501_13_2022_2073_本科批,69_2501,69,2501,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,物理类,544,0,0,45381,,
score_69_2482_13_2022_2073_本科批,69_2482,69,2482,河北,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,543,0,0,46278,,
score_69_2479_13_2022_2073_本科批,69_2479,69,2479,河北,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,物理类,542,0,0,47194,,
score_69_1862374_13_2022_2073_本科批,69_1862374,69,1862374,河北,2022,新能源科学与工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批,物理类,542,0,0,47194,,
score_69_2505_13_2022_2073_本科批,69_2505,69,2505,河北,2022,经济统计学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,物理类,541,0,0,48106,,
