score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_68_2419_11_2022_3_本科批,68_2419,68,2419,北京,2022,安全工程,本科 (1),工学 (10),安全科学与工程类 (91),普通类,本科批,综合,0,0,0,-,,物理必选
score_68_2446_11_2022_3_本科批,68_2446,68,2446,北京,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,综合,0,0,0,-,,物理必选
score_68_2452_11_2022_3_本科批,68_2452,68,2452,北京,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,0,0,0,-,,物理必选
score_68_148108_11_2022_3_本科批,68_148108,68,148108,北京,2022,导航工程,本科 (1),工学 (10),测绘类 (74),普通类,本科批,综合,0,0,0,-,,物理必选
score_68_2404_11_2022_3_本科批,68_2404,68,2404,北京,2022,电子商务,本科 (1),管理学 (13),电子商务类 (119),普通类,本科批,综合,472,479,0,30691,,不限
score_68_148110_11_2022_3_本科批,68_148110,68,148110,北京,2022,交通工程,本科 (1),工学 (10),交通运输类 (80),普通类,本科批,综合,468,479,0,31354,,物理/化学(2选1)
score_68_2419_11_2022_3_本科批,68_2419,68,2419,北京,2022,安全工程,本科 (1),工学 (10),安全科学与工程类 (91),普通类,本科批,综合,0,0,0,-,,物理必选
score_68_2446_11_2022_3_本科批,68_2446,68,2446,北京,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,综合,0,0,0,-,,物理必选
score_68_2452_11_2022_3_本科批,68_2452,68,2452,北京,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,0,0,0,-,,物理必选
score_68_148108_11_2022_3_本科批,68_148108,68,148108,北京,2022,导航工程,本科 (1),工学 (10),测绘类 (74),普通类,本科批,综合,0,0,0,-,,物理必选
score_68_2404_11_2022_3_本科批,68_2404,68,2404,北京,2022,电子商务,本科 (1),管理学 (13),电子商务类 (119),普通类,本科批,综合,472,479,0,30691,,不限
score_68_148110_11_2022_3_本科批,68_148110,68,148110,北京,2022,交通工程,本科 (1),工学 (10),交通运输类 (80),普通类,本科批,综合,468,479,0,31354,,物理/化学(2选1)
score_68_2458_12_2022_3_本科批A段,68_2458,68,2458,天津,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科批A段,综合,548,0,0,25002,,物/化/生(3选1)
score_68_2428_12_2022_3_本科批A段,68_2428,68,2428,天津,2022,环境工程,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科批A段,综合,542,0,0,26253,,物/化/生(3选1)
score_68_2458_12_2022_3_本科批A段,68_2458,68,2458,天津,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科批A段,综合,548,0,0,25002,,物/化/生(3选1)
score_68_2419_12_2022_3_本科批A段,68_2419,68,2419,天津,2022,安全工程,本科 (1),工学 (10),安全科学与工程类 (91),普通类,本科批A段,综合,545,0,0,25618,,物理必选
score_68_2428_12_2022_3_本科批A段,68_2428,68,2428,天津,2022,环境工程,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科批A段,综合,542,0,0,26253,,物/化/生(3选1)
score_68_2438_12_2022_3_本科批A段,68_2438,68,2438,天津,2022,高分子材料与工程,本科 (1),工学 (10),材料类 (66),普通类,本科批A段,综合,537,0,0,27357,,化学必选
score_68_1800819_12_2022_3_本科批A段,68_1800819,68,1800819,天津,2022,集成电路设计与集成系统,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,536,0,0,27584,,物理必选
score_68_2406_12_2022_3_本科批A段,68_2406,68,2406,天津,2022,弹药工程与爆炸技术,本科 (1),工学 (10),兵器类 (83),普通类,本科批A段,综合,534,0,0,28011,,物理、化学(2科必选)
score_68_148108_12_2022_3_本科批A段,68_148108,68,148108,天津,2022,导航工程,本科 (1),工学 (10),测绘类 (74),普通类,本科批A段,综合,534,0,0,28011,,物理必选
score_68_148111_12_2022_3_本科批A段,68_148111,68,148111,天津,2022,消防工程,本科 (1),工学 (10),公安技术类 (93),普通类,本科批A段,综合,534,0,0,28011,,物理/化学(2选1)
score_68_2421_12_2022_3_本科批A段,68_2421,68,2421,天津,2022,过程装备与控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科批A段,综合,530,0,0,28824,,物理必选
score_68_182697_12_2022_3_本科批A段,68_182697,68,182697,天津,2022,机械电子工程,本科 (1),工学 (10),机械类 (64),中外合作办学,本科批A段,综合,515,0,0,31880,,物理必选
score_68_2419_12_2022_3_本科批A段,68_2419,68,2419,天津,2022,安全工程,本科 (1),工学 (10),安全科学与工程类 (91),普通类,本科批A段,综合,545,0,0,25618,,物理必选
score_68_1800819_12_2022_3_本科批A段,68_1800819,68,1800819,天津,2022,集成电路设计与集成系统,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,536,0,0,27584,,物理必选
score_68_148108_12_2022_3_本科批A段,68_148108,68,148108,天津,2022,导航工程,本科 (1),工学 (10),测绘类 (74),普通类,本科批A段,综合,534,0,0,28011,,物理必选
score_68_2421_12_2022_3_本科批A段,68_2421,68,2421,天津,2022,过程装备与控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科批A段,综合,530,0,0,28824,,物理必选
score_68_2438_12_2022_3_本科批A段,68_2438,68,2438,天津,2022,高分子材料与工程,本科 (1),工学 (10),材料类 (66),普通类,本科批A段,综合,537,0,0,27357,,化学必选
score_68_2406_12_2022_3_本科批A段,68_2406,68,2406,天津,2022,弹药工程与爆炸技术,本科 (1),工学 (10),兵器类 (83),普通类,本科批A段,综合,534,0,0,28011,,物理、化学(2科必选)
score_68_148111_12_2022_3_本科批A段,68_148111,68,148111,天津,2022,消防工程,本科 (1),工学 (10),公安技术类 (93),普通类,本科批A段,综合,534,0,0,28011,,物理/化学(2选1)
score_68_182697_12_2022_3_本科批A段,68_182697,68,182697,天津,2022,机械电子工程,本科 (1),工学 (10),机械类 (64),中外合作办学,本科批A段,综合,515,0,0,31880,,物理必选
