score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_53_1519_11_2022_3_本科批,53_1519,53,1519,北京,2022,经济统计学,本科(普通) (1),经济学 (4),经济学类 (35),普通类,本科批,综合,645,660,0,3241,,不限
score_53_97432_11_2022_3_本科批,53_97432,53,97432,北京,2022,金融工程,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,665,669,0,1526,,物理必选
score_53_1482_11_2022_3_本科批,53_1482,53,1482,北京,2022,金融工程,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,658,667,0,2033,,物理必选
score_53_1800226_11_2022_3_本科批,53_1800226,53,1800226,北京,2022,金融科技,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,656,658,0,2202,,物理必选
score_53_1800227_11_2022_3_本科批,53_1800227,53,1800227,北京,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,综合,655,655,0,2297,,物理必选
score_53_1520_11_2022_3_本科批,53_1520,53,1520,北京,2022,金融数学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,654,661,0,2375,,物理必选
score_53_1509_11_2022_3_本科批,53_1509,53,1509,北京,2022,精算学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,653,657,0,2465,,物理必选
score_53_1511182_11_2022_3_本科批,53_1511182,53,1511182,北京,2022,统计学,本科(普通) (1),理学 (9),统计学类 (62),普通类,本科批,综合,653,660,0,2465,,物理必选
score_53_1519_11_2022_3_本科批,53_1519,53,1519,北京,2022,经济统计学,本科(普通) (1),经济学 (4),经济学类 (35),普通类,本科批,综合,645,660,0,3241,,不限
score_53_97432_11_2022_3_本科批,53_97432,53,97432,北京,2022,金融工程,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,665,669,0,1526,,物理必选
score_53_1482_11_2022_3_本科批,53_1482,53,1482,北京,2022,金融工程,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,658,667,0,2033,,物理必选
score_53_1800226_11_2022_3_本科批,53_1800226,53,1800226,北京,2022,金融科技,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,656,658,0,2202,,物理必选
score_53_1800227_11_2022_3_本科批,53_1800227,53,1800227,北京,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,综合,655,655,0,2297,,物理必选
score_53_1520_11_2022_3_本科批,53_1520,53,1520,北京,2022,金融数学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,654,661,0,2375,,物理必选
score_53_1509_11_2022_3_本科批,53_1509,53,1509,北京,2022,精算学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,653,657,0,2465,,物理必选
score_53_1511182_11_2022_3_本科批,53_1511182,53,1511182,北京,2022,统计学,本科(普通) (1),理学 (9),统计学类 (62),普通类,本科批,综合,653,660,0,2465,,物理必选
score_53_1482_12_2022_3_本科批A段,53_1482,53,1482,天津,2022,金融工程,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批A段,综合,681,0,0,1255,,物理必选
score_53_1509_12_2022_3_本科批A段,53_1509,53,1509,天津,2022,精算学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批A段,综合,674,0,0,1847,,物理必选
score_53_1491_12_2022_3_本科批A段,53_1491,53,1491,天津,2022,数据科学与大数据技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,672,0,0,2047,,物理必选
score_53_1520_12_2022_3_本科批A段,53_1520,53,1520,天津,2022,金融数学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批A段,综合,672,0,0,2047,,物理必选
score_53_1482_12_2022_3_本科批A段,53_1482,53,1482,天津,2022,金融工程,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批A段,综合,681,0,0,1255,,物理必选
score_53_1478_12_2022_3_本科批A段,53_1478,53,1478,天津,2022,国际经济与贸易,本科(普通) (1),经济学 (4),经济与贸易类 (38),普通类,本科批A段,综合,674,0,0,1847,,不限
score_53_1509_12_2022_3_本科批A段,53_1509,53,1509,天津,2022,精算学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批A段,综合,674,0,0,1847,,物理必选
score_53_1519_12_2022_3_本科批A段,53_1519,53,1519,天津,2022,经济统计学,本科(普通) (1),经济学 (4),经济学类 (35),普通类,本科批A段,综合,674,0,0,1847,,不限
score_53_1491_12_2022_3_本科批A段,53_1491,53,1491,天津,2022,数据科学与大数据技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,672,0,0,2047,,物理必选
