score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_126_170763_11_2022_3_本科批,126_170763,126,170763,北京,2022,网络空间安全,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,640,640,640,3765,,物理必选
score_126_6277_11_2022_3_本科批,126_6277,126,6277,北京,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批,综合,639,640,639,3881,,物理必选
score_126_170763_11_2022_3_本科批,126_170763,126,170763,北京,2022,网络空间安全,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,640,640,640,3765,,物理必选
score_126_6277_11_2022_3_本科批,126_6277,126,6277,北京,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批,综合,639,640,639,3881,,物理必选
score_126_170763_12_2022_3_本科批A段,126_170763,126,170763,天津,2022,网络空间安全,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,663,0,0,3086,,物理必选
score_126_6277_12_2022_3_本科批A段,126_6277,126,6277,天津,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批A段,综合,661,0,0,3357,,物理必选
score_126_170763_12_2022_3_本科批A段,126_170763,126,170763,天津,2022,网络空间安全,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,663,0,0,3086,,物理必选
score_126_6280_12_2022_3_本科批A段,126_6280,126,6280,天津,2022,汉语国际教育,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批A段,综合,662,0,0,3229,,不限
score_126_6277_12_2022_3_本科批A段,126_6277,126,6277,天津,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批A段,综合,661,0,0,3357,,物理必选
score_126_6280_12_2022_3_本科批A段,126_6280,126,6280,天津,2022,汉语国际教育,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批A段,综合,662,0,0,3229,,不限
score_126_6261_13_2022_2074_本科批,126_6261,126,6261,河北,2022,护理学,本科(普通) (1),医学 (12),护理学类 (111),普通类,本科批,历史类,595,0,0,2697,,
score_126_6277_13_2022_2073_本科批,126_6277,126,6277,河北,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批,物理类,621,0,0,4073,,
score_126_170763_13_2022_2073_本科批,126_170763,126,170763,河北,2022,网络空间安全,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,物理类,621,0,0,4073,,
score_126_1129660_13_2022_2073_本科批,126_1129660,126,1129660,河北,2022,智能医学工程,本科(普通) (1),医学 (12),医学技术类 (110),普通类,本科批,物理类,611,0,0,6343,,
score_126_1801719_13_2022_2073_本科批,126_1801719,126,1801719,河北,2022,智能建造与智慧交通,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批,物理类,610,0,0,6588,,
score_126_1800290_13_2022_2073_本科批,126_1800290,126,1800290,河北,2022,生物医药数据科学,本科(普通) (1),医学 (12),医学技术类 (110),普通类,本科批,物理类,609,0,0,6887,,
score_126_6261_13_2022_2073_本科批,126_6261,126,6261,河北,2022,护理学,本科(普通) (1),医学 (12),护理学类 (111),普通类,本科批,物理类,580,0,0,19205,,
score_126_6280_14_2022_2_本科一批A段,126_6280,126,6280,山西,2022,汉语国际教育,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科一批A段,文科,579,0,579,598,,
score_126_6277_14_2022_1_本科一批A段,126_6277,126,6277,山西,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科一批A段,理科,597,0,598,2965,,
score_126_170763_14_2022_1_本科一批A段,126_170763,126,170763,山西,2022,网络空间安全,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,596,0,598,3095,,
score_126_1800290_14_2022_1_本科一批A段,126_1800290,126,1800290,山西,2022,生物医药数据科学,本科(普通) (1),医学 (12),医学技术类 (110),普通类,本科一批A段,理科,596,0,596,3095,,
score_126_1801719_14_2022_1_本科一批A段,126_1801719,126,1801719,山西,2022,智能建造与智慧交通,本科(普通) (1),工学 (10),土木类 (72),普通类,本科一批A段,理科,590,0,592,3866,,
score_126_6277_15_2022_1_本科提前批B段,126_6277,126,6277,内蒙古,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科提前批B段,理科,591,593,0,1793,（国家专项计划）,
