score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_96_3975_12_2022_3_本科批A段,96_3975,96,3975,天津,2022,电子科学与技术,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,619,0,0,10292,,物理必选
score_96_3975_12_2022_3_本科批A段,96_3975,96,3975,天津,2022,电子科学与技术,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,619,0,0,10292,,物理必选
score_96_3940_13_2022_2073_本科批,96_3940,96,3940,河北,2022,土木工程,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批,物理类,565,0,0,28568,,
score_96_3933_14_2022_1_本科一批A段,96_3933,96,3933,山西,2022,能源与动力工程,本科(普通) (1),工学 (10),能源动力类 (67),普通类,本科一批A段,理科,543,0,545,15321,,
score_96_3940_14_2022_1_本科一批A段,96_3940,96,3940,山西,2022,土木工程,本科(普通) (1),工学 (10),土木类 (72),普通类,本科一批A段,理科,542,0,543,15659,,
score_96_3972_14_2022_1_本科一批A段,96_3972,96,3972,山西,2022,物理学,本科(普通) (1),理学 (9),物理学类 (52),普通类,本科一批A段,理科,538,0,541,17134,,
score_96_3945_14_2022_1_本科一批A段,96_3945,96,3945,山西,2022,化学工程与工艺,本科(普通) (1),工学 (10),化工与制药类 (75),普通类,本科一批A段,理科,521,0,530,24195,,
score_96_3948_14_2022_1_本科一批A段,96_3948,96,3948,山西,2022,食品科学与工程,本科(普通) (1),工学 (10),食品科学与工程类 (89),普通类,本科一批A段,理科,518,0,523,25640,,
score_96_3933_15_2022_1_本科一批,96_3933,96,3933,内蒙古,2022,能源与动力工程,本科(普通) (1),工学 (10),能源动力类 (67),普通类,本科一批,理科,531,540,0,8068,,
score_96_3975_15_2022_1_本科一批,96_3975,96,3975,内蒙古,2022,电子科学与技术,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科一批,理科,516,533,0,10409,,
