score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_129_6633_11_2022_3_本科批,129_6633,129,6633,北京,2022,朝鲜语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,537,555,0,19014,,不限
score_129_6611_11_2022_3_本科批,129_6611,129,6611,北京,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批,综合,549,565,0,16780,（五年制）,物理、化学(2科必选)
score_129_6633_11_2022_3_本科批,129_6633,129,6633,北京,2022,朝鲜语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,537,555,0,19014,,不限
score_129_6611_11_2022_3_本科批,129_6611,129,6611,北京,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批,综合,549,565,0,16780,（五年制）,物理、化学(2科必选)
score_129_6611_12_2022_3_本科批A段,129_6611,129,6611,天津,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,614,0,0,11239,,物理、化学(2科必选)
score_129_6613_12_2022_3_本科批A段,129_6613,129,6613,天津,2022,麻醉学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,611,0,0,11848,,物理、化学(2科必选)
score_129_6611_12_2022_3_本科批A段,129_6611,129,6611,天津,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,614,0,0,11239,,物理、化学(2科必选)
score_129_6613_12_2022_3_本科批A段,129_6613,129,6613,天津,2022,麻醉学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,611,0,0,11848,,物理、化学(2科必选)
score_129_1500069_12_2022_3_本科批A段,129_1500069,129,1500069,天津,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,600,0,0,14110,,物理必选
score_129_6594_12_2022_3_本科批A段,129_6594,129,6594,天津,2022,土木工程,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批A段,综合,599,0,0,14317,,物理必选
score_129_1500069_12_2022_3_本科批A段,129_1500069,129,1500069,天津,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,600,0,0,14110,,物理必选
score_129_6594_12_2022_3_本科批A段,129_6594,129,6594,天津,2022,土木工程,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批A段,综合,599,0,0,14317,,物理必选
score_129_6558_13_2022_2074_本科批,129_6558,129,6558,河北,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,历史类,589,0,0,3426,,
score_129_6626_13_2022_2074_本科批,129_6626,129,6626,河北,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,584,0,0,4108,,
score_129_6578_13_2022_2074_本科批,129_6578,129,6578,河北,2022,历史学,本科(普通) (1),历史学 (8),历史学类 (50),普通类,本科批,历史类,583,0,0,4247,,
score_129_6629_13_2022_2074_本科批,129_6629,129,6629,河北,2022,日语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,582,0,0,4398,,
score_129_6633_13_2022_2074_本科批,129_6633,129,6633,河北,2022,朝鲜语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,582,0,0,4398,,
score_129_6628_13_2022_2074_本科批,129_6628,129,6628,河北,2022,俄语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,581,0,0,4578,,
score_129_6648_13_2022_2074_本科批,129_6648,129,6648,河北,2022,旅游管理,本科(普通) (1),管理学 (13),旅游管理类 (120),普通类,本科批,历史类,574,0,0,5782,,
score_129_6611_13_2022_2073_本科批,129_6611,129,6611,河北,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,583,0,0,17536,,
score_129_6613_13_2022_2073_本科批,129_6613,129,6613,河北,2022,麻醉学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,579,0,0,19795,,
score_129_1500069_13_2022_2073_本科批,129_1500069,129,1500069,河北,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,573,0,0,23356,,
score_129_1036494_13_2022_2073_本科批,129_1036494,129,1036494,河北,2022,高分子材料与工程,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批,物理类,566,0,0,27894,,
score_129_6580_13_2022_2073_本科批,129_6580,129,6580,河北,2022,物理学,本科(普通) (1),理学 (9),物理学类 (52),普通类,本科批,物理类,565,0,0,28568,,
score_129_6594_13_2022_2073_本科批,129_6594,129,6594,河北,2022,土木工程,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批,物理类,564,0,0,29282,,
score_129_6612_13_2022_2073_本科批,129_6612,129,6612,河北,2022,预防医学,本科(普通) (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,物理类,564,0,0,29282,,
score_129_6615_13_2022_2073_本科批,129_6615,129,6615,河北,2022,中医学,本科(普通) (1),医学 (12),中医学类 (105),普通类,本科批,物理类,564,0,0,29282,,
score_129_6599_13_2022_2073_本科批,129_6599,129,6599,河北,2022,食品科学与工程,本科(普通) (1),工学 (10),食品科学与工程类 (89),普通类,本科批,物理类,563,0,0,30033,,
score_129_6648_13_2022_2073_本科批,129_6648,129,6648,河北,2022,旅游管理,本科(普通) (1),管理学 (13),旅游管理类 (120),普通类,本科批,物理类,554,0,0,36948,,
score_129_6638_13_2022_2073_本科批,129_6638,129,6638,河北,2022,护理学,本科(普通) (1),医学 (12),护理学类 (111),普通类,本科批,物理类,552,0,0,38584,,
score_129_6595_13_2022_2073_本科批,129_6595,129,6595,河北,2022,通信工程,本科(普通) (1),工学 (10),电子信息类 (69),中外合作办学,本科批,物理类,550,0,0,40256,,
score_129_6558_14_2022_2_本科一批A段,129_6558,129,6558,山西,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科一批A段,文科,539,0,545,3513,,
score_129_6629_14_2022_2_本科一批A段,129_6629,129,6629,山西,2022,日语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科一批A段,文科,534,0,534,4146,,
score_129_6648_14_2022_2_本科一批A段,129_6648,129,6648,山西,2022,旅游管理,本科(普通) (1),管理学 (13),旅游管理类 (120),普通类,本科一批A段,文科,532,0,534,4419,,
score_129_6580_14_2022_1_本科一批A段,129_6580,129,6580,山西,2022,物理学,本科(普通) (1),理学 (9),物理学类 (52),普通类,本科一批A段,理科,526,0,527,21970,,
score_129_6599_14_2022_1_本科一批A段,129_6599,129,6599,山西,2022,食品科学与工程,本科(普通) (1),工学 (10),食品科学与工程类 (89),普通类,本科一批A段,理科,525,0,525,22391,,
score_129_1036494_14_2022_1_本科一批A段,129_1036494,129,1036494,山西,2022,高分子材料与工程,本科(普通) (1),工学 (10),材料类 (66),普通类,本科一批A段,理科,521,0,525,24195,,
score_129_6648_14_2022_1_本科一批A段,129_6648,129,6648,山西,2022,旅游管理,本科(普通) (1),管理学 (13),旅游管理类 (120),普通类,本科一批A段,理科,514,0,514,27453,,
score_129_6558_15_2022_2_本科一批,129_6558,129,6558,内蒙古,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科一批,文科,524,531,0,2099,,
