score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_65_2261_12_2022_3_本科批A段,65_2261,65,2261,天津,2022,新闻学,本科(普通) (1),文学 (7),新闻传播学类 (49),普通类,本科批A段,综合,520,0,0,30828,,物/政/地(3选1)
score_65_2261_12_2022_3_本科批A段,65_2261,65,2261,天津,2022,新闻学,本科(普通) (1),文学 (7),新闻传播学类 (49),普通类,本科批A段,综合,520,0,0,30828,,物/政/地(3选1)
score_65_2290_12_2022_3_本科批A段,65_2290,65,2290,天津,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,519,0,0,31037,,不限
score_65_2290_12_2022_3_本科批A段,65_2290,65,2290,天津,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,519,0,0,31037,,不限
score_65_2238_13_2022_2074_本科批,65_2238,65,2238,河北,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,527,0,0,19823,,
score_65_2275_13_2022_2073_本科批,65_2275,65,2275,河北,2022,制药工程,本科(普通) (1),工学 (10),化工与制药类 (75),普通类,本科批,物理类,494,0,0,97686,,
score_65_2281_14_2022_1_本科二批B段,65_2281,65,2281,山西,2022,能源与动力工程,本科(普通) (1),工学 (10),能源动力类 (67),普通类,本科二批B段,理科,432,0,434,81867,,
score_65_2251_14_2022_1_本科二批B段,65_2251,65,2251,山西,2022,化学工程与工艺,本科(普通) (1),工学 (10),化工与制药类 (75),普通类,本科二批B段,理科,431,0,434,82644,,
score_65_2281_15_2022_1_本科二批,65_2281,65,2281,内蒙古,2022,能源与动力工程,本科(普通) (1),工学 (10),能源动力类 (67),普通类,本科二批,理科,398,406,0,37993,,
score_65_2289_15_2022_2_本科二批,65_2289,65,2289,内蒙古,2022,俄语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科二批,文科,412,420,0,13400,,
score_65_2289_21_2022_2074_本科批,65_2289,65,2289,辽宁,2022,俄语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,486,0,0,16191,,
score_65_2251_21_2022_2073_本科批,65_2251,65,2251,辽宁,2022,化学工程与工艺,本科(普通) (1),工学 (10),化工与制药类 (75),普通类,本科批,物理类,469,0,0,59325,,
score_65_2279_22_2022_1_本科二批A段,65_2279,65,2279,吉林,2022,人文地理与城乡规划,本科(普通) (1),理学 (9),地理科学类 (55),普通类,本科二批A段,理科,398,410,404,44709,,
score_65_2289_23_2022_2_本科二批A段,65_2289,65,2289,黑龙江,2022,俄语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科二批A段,文科,414,415,0,15571,,
