score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_74_2807_11_2022_3_本科批,74_2807,74,2807,北京,2022,俄语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,544,544,544,17717,,不限
score_74_2795_11_2022_3_本科批,74_2795,74,2795,北京,2022,计算机科学与技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,545,545,545,17532,,物理必选
score_74_2807_11_2022_3_本科批,74_2807,74,2807,北京,2022,俄语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,544,544,544,17717,,不限
score_74_2818_11_2022_3_本科批,74_2818,74,2818,北京,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批,综合,522,522,522,21675,,物理必选
score_74_2792_11_2022_3_本科批,74_2792,74,2792,北京,2022,化学,本科(普通) (1),理学 (9),化学类 (53),普通类,本科批,综合,509,509,509,24096,,化学必选
score_74_2795_11_2022_3_本科批,74_2795,74,2795,北京,2022,计算机科学与技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,545,545,545,17532,,物理必选
score_74_2818_11_2022_3_本科批,74_2818,74,2818,北京,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批,综合,522,522,522,21675,,物理必选
score_74_2792_11_2022_3_本科批,74_2792,74,2792,北京,2022,化学,本科(普通) (1),理学 (9),化学类 (53),普通类,本科批,综合,509,509,509,24096,,化学必选
score_74_2789_12_2022_3_本科批A段,74_2789,74,2789,天津,2022,信息与计算科学,本科(普通) (1),理学 (9),数学类 (51),普通类,本科批A段,综合,616,0,0,10834,,物理必选
score_74_2788_12_2022_3_本科批A段,74_2788,74,2788,天津,2022,数学与应用数学,本科(普通) (1),理学 (9),数学类 (51),普通类,本科批A段,综合,614,0,0,11239,,物理必选
score_74_2795_12_2022_3_本科批A段,74_2795,74,2795,天津,2022,计算机科学与技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,606,0,0,12910,,物理必选
score_74_2796_12_2022_3_本科批A段,74_2796,74,2796,天津,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,606,0,0,12910,,物理必选
score_74_2789_12_2022_3_本科批A段,74_2789,74,2789,天津,2022,信息与计算科学,本科(普通) (1),理学 (9),数学类 (51),普通类,本科批A段,综合,616,0,0,10834,,物理必选
score_74_2788_12_2022_3_本科批A段,74_2788,74,2788,天津,2022,数学与应用数学,本科(普通) (1),理学 (9),数学类 (51),普通类,本科批A段,综合,614,0,0,11239,,物理必选
score_74_2842_12_2022_3_本科批A段,74_2842,74,2842,天津,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批A段,综合,610,0,0,12079,,不限
score_74_146640_12_2022_3_本科批A段,74_146640,74,146640,天津,2022,遥感科学与技术,本科(普通) (1),工学 (10),测绘类 (74),普通类,本科批A段,综合,608,0,0,12521,,物理、地理(2科必选)
score_74_2795_12_2022_3_本科批A段,74_2795,74,2795,天津,2022,计算机科学与技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,606,0,0,12910,,物理必选
score_74_2796_12_2022_3_本科批A段,74_2796,74,2796,天津,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,606,0,0,12910,,物理必选
score_74_146601_12_2022_3_本科批A段,74_146601,74,146601,天津,2022,国际政治,本科(普通) (1),法学 (5),政治学类 (40),普通类,本科批A段,综合,605,0,0,13096,,不限
score_74_2808_12_2022_3_本科批A段,74_2808,74,2808,天津,2022,生物科学,本科(普通) (1),理学 (9),生物科学类 (60),普通类,本科批A段,综合,600,0,0,14110,,物/化/生(3选1)
score_74_146618_12_2022_3_本科批A段,74_146618,74,146618,天津,2022,能源化学工程,本科(普通) (1),工学 (10),化工与制药类 (75),普通类,本科批A段,综合,597,0,0,14711,,化学必选
score_74_2842_12_2022_3_本科批A段,74_2842,74,2842,天津,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批A段,综合,610,0,0,12079,,不限
score_74_146601_12_2022_3_本科批A段,74_146601,74,146601,天津,2022,国际政治,本科(普通) (1),法学 (5),政治学类 (40),普通类,本科批A段,综合,605,0,0,13096,,不限
score_74_146640_12_2022_3_本科批A段,74_146640,74,146640,天津,2022,遥感科学与技术,本科(普通) (1),工学 (10),测绘类 (74),普通类,本科批A段,综合,608,0,0,12521,,物理、地理(2科必选)
