score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_106_4841_11_2022_3_本科批,106_4841,106,4841,北京,2022,新闻学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,616,619,618,6509,,不限
score_106_4842_11_2022_3_本科批,106_4842,106,4842,北京,2022,广告学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,615,621,618,6652,,不限
score_106_4906_11_2022_3_本科批,106_4906,106,4906,北京,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科批,综合,615,615,615,6652,,不限
score_106_4810_11_2022_3_本科批,106_4810,106,4810,北京,2022,汉语国际教育,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,614,614,614,6780,,不限
score_106_4890_11_2022_3_本科批,106_4890,106,4890,北京,2022,翻译,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,611,612,612,7169,,不限
score_106_4900_11_2022_3_本科批,106_4900,106,4900,北京,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,608,614,611,7567,,不限
score_106_4818_11_2022_3_本科批,106_4818,106,4818,北京,2022,税收学,本科 (1),经济学 (4),财政学类 (36),普通类,本科批,综合,608,608,608,7567,,不限
score_106_4912_11_2022_3_本科批,106_4912,106,4912,北京,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,606,606,606,7851,,不限
score_106_4841_11_2022_3_本科批,106_4841,106,4841,北京,2022,新闻学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,616,619,618,6509,,不限
score_106_4842_11_2022_3_本科批,106_4842,106,4842,北京,2022,广告学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,615,621,618,6652,,不限
score_106_4906_11_2022_3_本科批,106_4906,106,4906,北京,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科批,综合,615,615,615,6652,,不限
score_106_4810_11_2022_3_本科批,106_4810,106,4810,北京,2022,汉语国际教育,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,614,614,614,6780,,不限
score_106_4891_11_2022_3_本科批,106_4891,106,4891,北京,2022,生物科学,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,综合,612,617,615,7030,,物/化/生(3选1)
score_106_4890_11_2022_3_本科批,106_4890,106,4890,北京,2022,翻译,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,611,612,612,7169,,不限
score_106_4904_11_2022_3_本科批,106_4904,106,4904,北京,2022,电子科学与技术,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,609,614,612,7421,,物理必选
score_106_4900_11_2022_3_本科批,106_4900,106,4900,北京,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,608,614,611,7567,,不限
score_106_4818_11_2022_3_本科批,106_4818,106,4818,北京,2022,税收学,本科 (1),经济学 (4),财政学类 (36),普通类,本科批,综合,608,608,608,7567,,不限
score_106_4888_11_2022_3_本科批,106_4888,106,4888,北京,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,综合,606,611,609,7851,,物理必选
score_106_4912_11_2022_3_本科批,106_4912,106,4912,北京,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,606,606,606,7851,,不限
score_106_4904_11_2022_3_本科批,106_4904,106,4904,北京,2022,电子科学与技术,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,609,614,612,7421,,物理必选
score_106_4888_11_2022_3_本科批,106_4888,106,4888,北京,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,综合,606,611,609,7851,,物理必选
score_106_4891_11_2022_3_本科批,106_4891,106,4891,北京,2022,生物科学,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,综合,612,617,615,7030,,物/化/生(3选1)
score_106_4841_12_2022_3_本科批A段,106_4841,106,4841,天津,2022,新闻学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批A段,综合,652,0,0,4625,,不限
score_106_4850_12_2022_3_本科批A段,106_4850,106,4850,天津,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批A段,综合,650,0,0,4913,,不限
score_106_4822_12_2022_3_本科批A段,106_4822,106,4822,天津,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批A段,综合,649,0,0,5070,,不限
score_106_4900_12_2022_3_本科批A段,106_4900,106,4900,天津,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,649,0,0,5070,,不限
score_106_4819_12_2022_3_本科批A段,106_4819,106,4819,天津,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,648,0,0,5245,,不限
score_106_4890_12_2022_3_本科批A段,106_4890,106,4890,天津,2022,翻译,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,648,0,0,5245,,不限
score_106_4841_12_2022_3_本科批A段,106_4841,106,4841,天津,2022,新闻学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批A段,综合,652,0,0,4625,,不限
score_106_4850_12_2022_3_本科批A段,106_4850,106,4850,天津,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批A段,综合,650,0,0,4913,,不限
score_106_4822_12_2022_3_本科批A段,106_4822,106,4822,天津,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批A段,综合,649,0,0,5070,,不限
score_106_4900_12_2022_3_本科批A段,106_4900,106,4900,天津,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,649,0,0,5070,,不限
score_106_4819_12_2022_3_本科批A段,106_4819,106,4819,天津,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,648,0,0,5245,,不限
score_106_4890_12_2022_3_本科批A段,106_4890,106,4890,天津,2022,翻译,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,648,0,0,5245,,不限
score_106_93856_12_2022_3_本科批A段,106_93856,106,93856,天津,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批A段,综合,648,0,0,5245,,史/政/地(3选1)
score_106_4814_12_2022_3_本科批A段,106_4814,106,4814,天津,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,646,0,0,5557,,物理必选
score_106_4834_12_2022_3_本科批A段,106_4834,106,4834,天津,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批A段,综合,645,0,0,5690,,物理必选
score_106_4817_12_2022_3_本科批A段,106_4817,106,4817,天津,2022,应用物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科批A段,综合,644,0,0,5858,,物理必选
score_106_4909_12_2022_3_本科批A段,106_4909,106,4909,天津,2022,风景园林,本科 (1),工学 (10),建筑类 (90),普通类,本科批A段,综合,641,0,0,6376,,物/化/地(3选1)
score_106_4836_12_2022_3_本科批A段,106_4836,106,4836,天津,2022,中医学,本科 (1),医学 (12),中医学类 (105),普通类,本科批A段,综合,639,0,0,6734,,物/化/生(3选1)
score_106_4883_12_2022_3_本科批A段,106_4883,106,4883,天津,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科批A段,综合,636,0,0,7232,,物/化/生(3选1)
score_106_4907_12_2022_3_本科批A段,106_4907,106,4907,天津,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,633,0,0,7774,,化学、生物(2科必选)
score_106_4848_12_2022_3_本科批A段,106_4848,106,4848,天津,2022,生物技术,本科 (1),理学 (9),生物科学类 (60),普通类,本科批A段,综合,632,0,0,7969,,物/化/生(3选1)
score_106_1856635_12_2022_3_本科批A段,106_1856635,106,1856635,天津,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批A段,综合,632,0,0,7969,,化学、生物(2科必选)
score_106_4882_12_2022_3_本科批A段,106_4882,106,4882,天津,2022,食品科学与工程,本科 (1),工学 (10),食品科学与工程类 (89),普通类,本科批A段,综合,631,0,0,8146,,物/化/生(3选1)
score_106_93856_12_2022_3_本科批A段,106_93856,106,93856,天津,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批A段,综合,648,0,0,5245,,史/政/地(3选1)
score_106_4814_12_2022_3_本科批A段,106_4814,106,4814,天津,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,646,0,0,5557,,物理必选
score_106_4834_12_2022_3_本科批A段,106_4834,106,4834,天津,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批A段,综合,645,0,0,5690,,物理必选
score_106_4817_12_2022_3_本科批A段,106_4817,106,4817,天津,2022,应用物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科批A段,综合,644,0,0,5858,,物理必选
score_106_4909_12_2022_3_本科批A段,106_4909,106,4909,天津,2022,风景园林,本科 (1),工学 (10),建筑类 (90),普通类,本科批A段,综合,641,0,0,6376,,物/化/地(3选1)
score_106_4836_12_2022_3_本科批A段,106_4836,106,4836,天津,2022,中医学,本科 (1),医学 (12),中医学类 (105),普通类,本科批A段,综合,639,0,0,6734,,物/化/生(3选1)
score_106_4883_12_2022_3_本科批A段,106_4883,106,4883,天津,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科批A段,综合,636,0,0,7232,,物/化/生(3选1)
score_106_4848_12_2022_3_本科批A段,106_4848,106,4848,天津,2022,生物技术,本科 (1),理学 (9),生物科学类 (60),普通类,本科批A段,综合,632,0,0,7969,,物/化/生(3选1)
score_106_4882_12_2022_3_本科批A段,106_4882,106,4882,天津,2022,食品科学与工程,本科 (1),工学 (10),食品科学与工程类 (89),普通类,本科批A段,综合,631,0,0,8146,,物/化/生(3选1)
score_106_4907_12_2022_3_本科批A段,106_4907,106,4907,天津,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,633,0,0,7774,,化学、生物(2科必选)
score_106_1856635_12_2022_3_本科批A段,106_1856635,106,1856635,天津,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批A段,综合,632,0,0,7969,,化学、生物(2科必选)
score_106_4841_13_2022_2074_本科批,106_4841,106,4841,河北,2022,新闻学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,历史类,611,0,0,1225,,
score_106_4822_13_2022_2074_本科批,106_4822,106,4822,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,610,0,0,1299,,
score_106_4900_13_2022_2074_本科批,106_4900,106,4900,河北,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,608,0,0,1424,,
score_106_4850_13_2022_2074_本科批,106_4850,106,4850,河北,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,历史类,607,0,0,1512,,
