score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_42_874_11_2022_3_本科批,42_874,42,874,北京,2022,建筑学,本科 (1),工学 (10),建筑类 (90),中外合作办学,本科批,综合,634,0,0,4400,（中外合作办学）,物理必选
score_42_805_11_2022_3_本科批,42_805,42,805,北京,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科批,综合,660,0,0,1871,（弘毅学堂数字贸易与金融试验班）,物理/历史(2选1)
score_42_911_11_2022_3_本科批,42_911,42,911,北京,2022,口腔医学,本科 (1),医学 (12),口腔医学类 (103),普通类,本科批,综合,658,0,0,2033,（八年制）,物理、化学(2科必选)
score_42_954_11_2022_3_本科批,42_954,42,954,北京,2022,地球物理学,本科 (1),理学 (9),地球物理学类 (58),普通类,本科批,综合,658,0,0,2033,,物理必选
score_42_809_11_2022_3_本科批,42_809,42,809,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,657,0,0,2126,,历史必选
score_42_913_11_2022_3_本科批,42_913,42,913,北京,2022,信息管理与信息系统,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,657,0,0,2126,,物理必选
score_42_894_11_2022_3_本科批,42_894,42,894,北京,2022,遥感科学与技术,本科 (1),工学 (10),测绘类 (74),普通类,本科批,综合,655,0,0,2297,,物理必选
score_42_874_11_2022_3_本科批,42_874,42,874,北京,2022,建筑学,本科 (1),工学 (10),建筑类 (90),中外合作办学,本科批,综合,634,0,0,4400,（中外合作办学）,物理必选
score_42_954_11_2022_3_本科批,42_954,42,954,北京,2022,地球物理学,本科 (1),理学 (9),地球物理学类 (58),普通类,本科批,综合,658,0,0,2033,,物理必选
score_42_913_11_2022_3_本科批,42_913,42,913,北京,2022,信息管理与信息系统,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,657,0,0,2126,,物理必选
score_42_894_11_2022_3_本科批,42_894,42,894,北京,2022,遥感科学与技术,本科 (1),工学 (10),测绘类 (74),普通类,本科批,综合,655,0,0,2297,,物理必选
score_42_809_11_2022_3_本科批,42_809,42,809,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,657,0,0,2126,,历史必选
score_42_805_11_2022_3_本科批,42_805,42,805,北京,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科批,综合,660,0,0,1871,（弘毅学堂数字贸易与金融试验班）,物理/历史(2选1)
score_42_911_11_2022_3_本科批,42_911,42,911,北京,2022,口腔医学,本科 (1),医学 (12),口腔医学类 (103),普通类,本科批,综合,658,0,0,2033,（八年制）,物理、化学(2科必选)
score_42_809_12_2022_3_本科批A段,42_809,42,809,天津,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批A段,综合,693,0,0,502,,历史必选
score_42_909_12_2022_3_本科批A段,42_909,42,909,天津,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,687,0,0,833,,物理、化学(2科必选)
score_42_911_12_2022_3_本科批A段,42_911,42,911,天津,2022,口腔医学,本科 (1),医学 (12),口腔医学类 (103),普通类,本科批A段,综合,687,0,0,833,,物理、化学(2科必选)
score_42_894_12_2022_3_本科批A段,42_894,42,894,天津,2022,遥感科学与技术,本科 (1),工学 (10),测绘类 (74),普通类,本科批A段,综合,685,0,0,963,,物理必选
score_42_913_12_2022_3_本科批A段,42_913,42,913,天津,2022,信息管理与信息系统,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批A段,综合,683,0,0,1108,,物理必选
