score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_128_6533_11_2022_3_本科批,128_6533,128,6533,北京,2022,信息管理与信息系统,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,593,593,593,9695,,物理必选
score_128_6498_11_2022_3_本科批,128_6498,128,6498,北京,2022,工业设计,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,590,592,591,10139,,物理必选
score_128_185500_11_2022_3_本科批,128_185500,128,185500,北京,2022,车辆工程,本科 (1),工学 (10),机械类 (64),中外合作办学,本科批,综合,578,591,584,12007,,物理必选
score_128_185501_11_2022_3_本科批,128_185501,128,185501,北京,2022,金融学,本科 (1),经济学 (4),金融学类 (37),中外合作办学,本科批,综合,572,578,575,12957,,不限
score_128_6533_11_2022_3_本科批,128_6533,128,6533,北京,2022,信息管理与信息系统,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,593,593,593,9695,,物理必选
score_128_6498_11_2022_3_本科批,128_6498,128,6498,北京,2022,工业设计,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,590,592,591,10139,,物理必选
score_128_185501_11_2022_3_本科批,128_185501,128,185501,北京,2022,金融学,本科 (1),经济学 (4),金融学类 (37),中外合作办学,本科批,综合,572,578,575,12957,,不限
score_128_185500_11_2022_3_本科批,128_185500,128,185500,北京,2022,车辆工程,本科 (1),工学 (10),机械类 (64),中外合作办学,本科批,综合,578,591,584,12007,,物理必选
score_128_6503_12_2022_3_本科批A段,128_6503,128,6503,天津,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科批A段,综合,646,0,0,5557,,物理必选
score_128_6533_12_2022_3_本科批A段,128_6533,128,6533,天津,2022,信息管理与信息系统,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批A段,综合,645,0,0,5690,,物理必选
score_128_6496_12_2022_3_本科批A段,128_6496,128,6496,天津,2022,材料成型及控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科批A段,综合,643,0,0,6024,,物理必选
score_128_6503_12_2022_3_本科批A段,128_6503,128,6503,天津,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科批A段,综合,646,0,0,5557,,物理必选
score_128_6533_12_2022_3_本科批A段,128_6533,128,6533,天津,2022,信息管理与信息系统,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批A段,综合,645,0,0,5690,,物理必选
score_128_6496_12_2022_3_本科批A段,128_6496,128,6496,天津,2022,材料成型及控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科批A段,综合,643,0,0,6024,,物理必选
score_128_6527_12_2022_3_本科批A段,128_6527,128,6527,天津,2022,海事管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科批A段,综合,639,0,0,6734,,不限
score_128_6484_12_2022_3_本科批A段,128_6484,128,6484,天津,2022,地理信息科学,本科 (1),理学 (9),地理科学类 (55),普通类,本科批A段,综合,638,0,0,6890,,物理/化学(2选1)
score_128_185501_12_2022_3_本科批A段,128_185501,128,185501,天津,2022,金融学,本科 (1),经济学 (4),金融学类 (37),中外合作办学,本科批A段,综合,638,0,0,6890,,不限
score_128_185500_12_2022_3_本科批A段,128_185500,128,185500,天津,2022,车辆工程,本科 (1),工学 (10),机械类 (64),中外合作办学,本科批A段,综合,633,0,0,7774,,物理必选
score_128_6527_12_2022_3_本科批A段,128_6527,128,6527,天津,2022,海事管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科批A段,综合,639,0,0,6734,,不限
score_128_185501_12_2022_3_本科批A段,128_185501,128,185501,天津,2022,金融学,本科 (1),经济学 (4),金融学类 (37),中外合作办学,本科批A段,综合,638,0,0,6890,,不限
score_128_6484_12_2022_3_本科批A段,128_6484,128,6484,天津,2022,地理信息科学,本科 (1),理学 (9),地理科学类 (55),普通类,本科批A段,综合,638,0,0,6890,,物理/化学(2选1)
