score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_86_3527_11_2022_3_本科批,86_3527,86,3527,北京,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,578,581,0,12007,,不限
score_86_3505_11_2022_3_本科批,86_3505,86,3505,北京,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,575,576,0,12490,,不限
score_86_3496_11_2022_3_本科批,86_3496,86,3496,北京,2022,社会工作,本科(普通) (1),法学 (5),社会学类 (41),普通类,本科批,综合,574,583,0,12633,,不限
score_86_1471554_11_2022_3_本科批,86_1471554,86,1471554,北京,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,综合,593,595,0,9695,,物理必选
score_86_3527_11_2022_3_本科批,86_3527,86,3527,北京,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,578,581,0,12007,,不限
score_86_3546_11_2022_3_本科批,86_3546,86,3546,北京,2022,食品科学与工程,本科(普通) (1),工学 (10),食品科学与工程类 (89),普通类,本科批,综合,576,599,0,12334,,物理、化学(2科必选)
score_86_3505_11_2022_3_本科批,86_3505,86,3505,北京,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,575,576,0,12490,,不限
score_86_3496_11_2022_3_本科批,86_3496,86,3496,北京,2022,社会工作,本科(普通) (1),法学 (5),社会学类 (41),普通类,本科批,综合,574,583,0,12633,,不限
score_86_3544_11_2022_3_本科批,86_3544,86,3544,北京,2022,应用化学,本科(普通) (1),理学 (9),化学类 (53),普通类,本科批,综合,573,580,0,12798,,物理、化学(2科必选)
score_86_1294856_11_2022_3_本科批,86_1294856,86,1294856,北京,2022,食品科学与工程,本科(普通) (1),工学 (10),食品科学与工程类 (89),中外合作办学,本科批,综合,565,571,0,14087,,物理、化学(2科必选)
score_86_1471554_11_2022_3_本科批,86_1471554,86,1471554,北京,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,综合,593,595,0,9695,,物理必选
score_86_3546_11_2022_3_本科批,86_3546,86,3546,北京,2022,食品科学与工程,本科(普通) (1),工学 (10),食品科学与工程类 (89),普通类,本科批,综合,576,599,0,12334,,物理、化学(2科必选)
score_86_3544_11_2022_3_本科批,86_3544,86,3544,北京,2022,应用化学,本科(普通) (1),理学 (9),化学类 (53),普通类,本科批,综合,573,580,0,12798,,物理、化学(2科必选)
score_86_1294856_11_2022_3_本科批,86_1294856,86,1294856,北京,2022,食品科学与工程,本科(普通) (1),工学 (10),食品科学与工程类 (89),中外合作办学,本科批,综合,565,571,0,14087,,物理、化学(2科必选)
score_86_3524_12_2022_3_本科批A段,86_3524,86,3524,天津,2022,工业设计,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批A段,综合,643,0,0,6024,,物理必选
