score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_54_1533_12_2022_3_本科批A段,54_1533,54,1533,天津,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批A段,综合,612,0,0,11660,,历史/思想政治(2选1)
score_54_1533_12_2022_3_本科批A段,54_1533,54,1533,天津,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批A段,综合,612,0,0,11660,,历史/思想政治(2选1)
score_54_1575_12_2022_3_本科批A段,54_1575,54,1575,天津,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批A段,综合,598,0,0,14513,,不限
score_54_1535_12_2022_3_本科批A段,54_1535,54,1535,天津,2022,哲学,本科 (1),哲学 (3),哲学类 (34),普通类,本科批A段,综合,590,0,0,16238,,物/史/政(3选1)
score_54_1606_12_2022_3_本科批A段,54_1606,54,1606,天津,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,588,0,0,16628,,物理必选
score_54_1546_12_2022_3_本科批A段,54_1546,54,1546,天津,2022,化学,本科 (1),理学 (9),化学类 (53),普通类,本科批A段,综合,584,0,0,17454,,化学必选
score_54_1575_12_2022_3_本科批A段,54_1575,54,1575,天津,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批A段,综合,598,0,0,14513,,不限
score_54_1535_12_2022_3_本科批A段,54_1535,54,1535,天津,2022,哲学,本科 (1),哲学 (3),哲学类 (34),普通类,本科批A段,综合,590,0,0,16238,,物/史/政(3选1)
score_54_1606_12_2022_3_本科批A段,54_1606,54,1606,天津,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,588,0,0,16628,,物理必选
score_54_1546_12_2022_3_本科批A段,54_1546,54,1546,天津,2022,化学,本科 (1),理学 (9),化学类 (53),普通类,本科批A段,综合,584,0,0,17454,,化学必选
score_54_1588_13_2022_2074_本科批,54_1588,54,1588,河北,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,578,0,0,5062,,
score_54_1533_13_2022_2074_本科批,54_1533,54,1533,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,576,0,0,5405,,
score_54_1589_13_2022_2074_本科批,54_1589,54,1589,河北,2022,财务管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,575,0,0,5601,,
score_54_1575_13_2022_2074_本科批,54_1575,54,1575,河北,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,历史类,572,0,0,6165,,
score_54_1573_13_2022_2074_本科批,54_1573,54,1573,河北,2022,财政学,本科 (1),经济学 (4),财政学类 (36),普通类,本科批,历史类,571,0,0,6371,,
score_54_1529_13_2022_2074_本科批,54_1529,54,1529,河北,2022,广告学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,历史类,570,0,0,6586,,
score_54_1539_13_2022_2074_本科批,54_1539,54,1539,河北,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,569,0,0,6800,,
score_54_1549_13_2022_2074_本科批,54_1549,54,1549,河北,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,568,0,0,7018,,
score_54_1532_13_2022_2074_本科批,54_1532,54,1532,河北,2022,教育学,本科 (1),教育学 (6),教育学类 (45),普通类,本科批,历史类,567,0,0,7214,,
score_54_1535_13_2022_2074_本科批,54_1535,54,1535,河北,2022,哲学,本科 (1),哲学 (3),哲学类 (34),普通类,本科批,历史类,566,0,0,7438,,
score_54_1590_13_2022_2074_本科批,54_1590,54,1590,河北,2022,人力资源管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,565,0,0,7649,,
score_54_1572_13_2022_2074_本科批,54_1572,54,1572,河北,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科批,历史类,564,0,0,7880,,
score_54_1534_13_2022_2074_本科批,54_1534,54,1534,河北,2022,劳动与社会保障,本科 (1),管理学 (13),公共管理类 (115),普通类,本科批,历史类,561,0,0,8558,,
score_54_1592_13_2022_2074_本科批,54_1592,54,1592,河北,2022,档案学,本科 (1),管理学 (13),图书情报与档案管理类 (116),普通类,本科批,历史类,561,0,0,8558,,
score_54_1536_13_2022_2074_本科批,54_1536,54,1536,河北,2022,社会工作,本科 (1),法学 (5),社会学类 (41),普通类,本科批,历史类,560,0,0,8810,,
score_54_1539_13_2022_2074_本科批,54_1539,54,1539,河北,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,560,0,0,8810,（地方专项计划）,
score_54_1571_13_2022_2074_本科批,54_1571,54,1571,河北,2022,保险学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,历史类,560,0,0,8810,,
score_54_1579_13_2022_2074_本科批,54_1579,54,1579,河北,2022,古典文献学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,560,0,0,8810,,
score_54_1591_13_2022_2074_本科批,54_1591,54,1591,河北,2022,图书馆学,本科 (1),管理学 (13),图书情报与档案管理类 (116),普通类,本科批,历史类,559,0,0,9061,,
score_54_1532_13_2022_2074_本科批,54_1532,54,1532,河北,2022,教育学,本科 (1),教育学 (6),教育学类 (45),普通类,本科批,历史类,557,0,0,9568,（地方专项计划）,
score_54_1572_13_2022_2074_本科批,54_1572,54,1572,河北,2022,国际经济与贸易,本科 (1),经济学 (4),经济与贸易类 (38),普通类,本科批,历史类,557,0,0,9568,（地方专项计划）,
score_54_1535_13_2022_2074_本科批,54_1535,54,1535,河北,2022,哲学,本科 (1),哲学 (3),哲学类 (34),普通类,本科批,历史类,556,0,0,9835,（地方专项计划）,
score_54_1590_13_2022_2074_本科批,54_1590,54,1590,河北,2022,人力资源管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,556,0,0,9835,（地方专项计划）,
score_54_1522_13_2022_2074_本科批,54_1522,54,1522,河北,2022,旅游管理,本科 (1),管理学 (13),旅游管理类 (120),普通类,本科批,历史类,555,0,0,10136,,
score_54_1540_13_2022_2074_本科批,54_1540,54,1540,河北,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,555,0,0,10136,,
score_54_1531_13_2022_2074_本科批,54_1531,54,1531,河北,2022,俄语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,554,0,0,10403,,
score_54_1534_13_2022_2074_本科批,54_1534,54,1534,河北,2022,劳动与社会保障,本科 (1),管理学 (13),公共管理类 (115),普通类,本科批,历史类,554,0,0,10403,（地方专项计划）,
score_54_1592_13_2022_2074_本科批,54_1592,54,1592,河北,2022,档案学,本科 (1),管理学 (13),图书情报与档案管理类 (116),普通类,本科批,历史类,553,0,0,10695,（地方专项计划）,
score_54_1536_13_2022_2074_本科批,54_1536,54,1536,河北,2022,社会工作,本科 (1),法学 (5),社会学类 (41),普通类,本科批,历史类,552,0,0,10990,（地方专项计划）,
score_54_1583_13_2022_2074_本科批,54_1583,54,1583,河北,2022,学前教育,本科 (1),教育学 (6),教育学类 (45),普通类,本科批,历史类,552,0,0,10990,,
score_54_1560_13_2022_2074_本科批,54_1560,54,1560,河北,2022,预防医学,本科 (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,历史类,551,0,0,11260,,
score_54_1561_13_2022_2074_本科批,54_1561,54,1561,河北,2022,卫生检验与检疫,本科 (1),医学 (12),医学技术类 (110),普通类,本科批,历史类,550,0,0,11570,,
score_54_1591_13_2022_2074_本科批,54_1591,54,1591,河北,2022,图书馆学,本科 (1),管理学 (13),图书情报与档案管理类 (116),普通类,本科批,历史类,549,0,0,11857,（地方专项计划）,
score_54_1585_13_2022_2074_本科批,54_1585,54,1585,河北,2022,新闻学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,历史类,548,0,0,12152,,
score_54_1522_13_2022_2074_本科批,54_1522,54,1522,河北,2022,旅游管理,本科 (1),管理学 (13),旅游管理类 (120),普通类,本科批,历史类,546,0,0,12803,（地方专项计划）,
