score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_41_799_11_2022_3_本科批,41_799,41,799,北京,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,572,573,572,12957,,物理必选
score_41_801_11_2022_3_本科批,41_801,41,801,北京,2022,高分子材料与工程,本科 (1),工学 (10),材料类 (66),普通类,本科批,综合,578,580,579,12007,,化学必选
score_41_799_11_2022_3_本科批,41_799,41,799,北京,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,572,573,572,12957,,物理必选
score_41_801_11_2022_3_本科批,41_801,41,801,北京,2022,高分子材料与工程,本科 (1),工学 (10),材料类 (66),普通类,本科批,综合,578,580,579,12007,,化学必选
score_41_746_12_2022_3_本科批A段,41_746,41,746,天津,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批A段,综合,648,0,0,5245,,物理必选
score_41_787_12_2022_3_本科批A段,41_787,41,787,天津,2022,电子科学与技术,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,643,0,0,6024,,物理必选
score_41_169123_12_2022_3_本科批A段,41_169123,41,169123,天津,2022,数据科学与大数据技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,641,0,0,6376,,物理必选
score_41_748_12_2022_3_本科批A段,41_748,41,748,天津,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,本科批A段,综合,640,0,0,6555,,物理必选
score_41_778_12_2022_3_本科批A段,41_778,41,778,天津,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,638,0,0,6890,,物理必选
score_41_785_12_2022_3_本科批A段,41_785,41,785,天津,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,638,0,0,6890,,物理必选
score_41_1129791_12_2022_3_本科批A段,41_1129791,41,1129791,天津,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,638,0,0,6890,,物理必选
score_41_787_12_2022_3_本科批A段,41_787,41,787,天津,2022,电子科学与技术,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,636,0,0,7232,,物理必选
score_41_799_12_2022_3_本科批A段,41_799,41,799,天津,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批A段,综合,636,0,0,7232,,物理必选
score_41_750_12_2022_3_本科批A段,41_750,41,750,天津,2022,新能源科学与工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批A段,综合,633,0,0,7774,,物理必选
