score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_55_1630_12_2022_3_本科批A段,55_1630,55,1630,天津,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批A段,综合,547,0,0,25215,,不限
score_55_1625_12_2022_3_本科批A段,55_1625,55,1625,天津,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批A段,综合,542,0,0,26253,,不限
score_55_1626_12_2022_3_本科批A段,55_1626,55,1626,天津,2022,社会工作,本科(普通) (1),法学 (5),社会学类 (41),普通类,本科批A段,综合,540,0,0,26680,,不限
score_55_1630_12_2022_3_本科批A段,55_1630,55,1630,天津,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批A段,综合,547,0,0,25215,,不限
score_55_1625_12_2022_3_本科批A段,55_1625,55,1625,天津,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批A段,综合,542,0,0,26253,,不限
score_55_1626_12_2022_3_本科批A段,55_1626,55,1626,天津,2022,社会工作,本科(普通) (1),法学 (5),社会学类 (41),普通类,本科批A段,综合,540,0,0,26680,,不限
score_55_1644_12_2022_3_本科批A段,55_1644,55,1644,天津,2022,应用物理学,本科(普通) (1),理学 (9),物理学类 (52),普通类,本科批A段,综合,535,0,0,27787,,物理必选
score_55_1642_12_2022_3_本科批A段,55_1642,55,1642,天津,2022,安全工程,本科(普通) (1),工学 (10),安全科学与工程类 (91),普通类,本科批A段,综合,534,0,0,28011,,物理必选
score_55_1380801_12_2022_3_本科批A段,55_1380801,55,1380801,天津,2022,环境科学,本科(普通) (1),工学 (10),环境科学与工程类 (87),中外合作办学,本科批A段,综合,508,0,0,33282,,物/化/生(3选1)
score_55_1644_12_2022_3_本科批A段,55_1644,55,1644,天津,2022,应用物理学,本科(普通) (1),理学 (9),物理学类 (52),普通类,本科批A段,综合,535,0,0,27787,,物理必选
score_55_1642_12_2022_3_本科批A段,55_1642,55,1642,天津,2022,安全工程,本科(普通) (1),工学 (10),安全科学与工程类 (91),普通类,本科批A段,综合,534,0,0,28011,,物理必选
score_55_1380801_12_2022_3_本科批A段,55_1380801,55,1380801,天津,2022,环境科学,本科(普通) (1),工学 (10),环境科学与工程类 (87),中外合作办学,本科批A段,综合,508,0,0,33282,,物/化/生(3选1)
score_55_1630_13_2022_2074_本科批,55_1630,55,1630,河北,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,555,0,0,10136,,
score_55_1625_13_2022_2074_本科批,55_1625,55,1625,河北,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,历史类,554,0,0,10403,,
score_55_1630_13_2022_2074_本科批,55_1630,55,1630,河北,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,551,0,0,11260,（地方专项计划）,
score_55_1627_13_2022_2074_本科批,55_1627,55,1627,河北,2022,汉语国际教育,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批,历史类,547,0,0,12504,,
score_55_1625_13_2022_2074_本科批,55_1625,55,1625,河北,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,历史类,546,0,0,12803,（地方专项计划）,
score_55_656669_13_2022_2074_本科批,55_656669,55,656669,河北,2022,网络与新媒体,本科(普通) (1),文学 (7),新闻传播学类 (49),普通类,本科批,历史类,546,0,0,12803,,
score_55_656669_13_2022_2074_本科批,55_656669,55,656669,河北,2022,网络与新媒体,本科(普通) (1),文学 (7),新闻传播学类 (49),普通类,本科批,历史类,543,0,0,13754,（地方专项计划）,
score_55_1626_13_2022_2074_本科批,55_1626,55,1626,河北,2022,社会工作,本科(普通) (1),法学 (5),社会学类 (41),普通类,本科批,历史类,542,0,0,14119,,
score_55_1624_13_2022_2074_本科批,55_1624,55,1624,河北,2022,法语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,538,0,0,15489,,
score_55_1625_13_2022_2073_本科批,55_1625,55,1625,河北,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,物理类,548,0,0,41891,,
score_55_1630_13_2022_2073_本科批,55_1630,55,1630,河北,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批,物理类,544,0,0,45381,,
score_55_1801745_13_2022_2073_本科批,55_1801745,55,1801745,河北,2022,网络空间安全,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,物理类,544,0,0,45381,,
score_55_1629_13_2022_2073_本科批,55_1629,55,1629,河北,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批,物理类,543,0,0,46278,（地方专项计划）,
score_55_1629_13_2022_2073_本科批,55_1629,55,1629,河北,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批,物理类,542,0,0,47194,,
score_55_656669_13_2022_2073_本科批,55_656669,55,656669,河北,2022,网络与新媒体,本科(普通) (1),文学 (7),新闻传播学类 (49),普通类,本科批,物理类,542,0,0,47194,,
score_55_1632_13_2022_2073_本科批,55_1632,55,1632,河北,2022,自动化,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,物理类,541,0,0,48106,（地方专项计划）,
score_55_1800408_13_2022_2073_本科批,55_1800408,55,1800408,河北,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,541,0,0,48106,,
score_55_1632_13_2022_2073_本科批,55_1632,55,1632,河北,2022,自动化,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,物理类,539,0,0,49949,,
score_55_1627_13_2022_2073_本科批,55_1627,55,1627,河北,2022,汉语国际教育,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批,物理类,538,0,0,50883,,
score_55_1690_13_2022_2073_本科批,55_1690,55,1690,河北,2022,能源与动力工程,本科(普通) (1),工学 (10),能源动力类 (67),普通类,本科批,物理类,537,0,0,51825,,
score_55_1626_13_2022_2073_本科批,55_1626,55,1626,河北,2022,社会工作,本科(普通) (1),法学 (5),社会学类 (41),普通类,本科批,物理类,528,0,0,60450,,
score_55_1624_13_2022_2073_本科批,55_1624,55,1624,河北,2022,法语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,物理类,527,0,0,61435,,
score_55_1660_13_2022_2073_本科批,55_1660,55,1660,河北,2022,过程装备与控制工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,物理类,526,0,0,62390,（地方专项计划）,
score_55_1644_13_2022_2073_本科批,55_1644,55,1644,河北,2022,应用物理学,本科(普通) (1),理学 (9),物理学类 (52),普通类,本科批,物理类,522,0,0,66475,,
score_55_1660_13_2022_2073_本科批,55_1660,55,1660,河北,2022,过程装备与控制工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,物理类,522,0,0,66475,,
score_55_1662_13_2022_2073_本科批,55_1662,55,1662,河北,2022,测控技术与仪器,本科(普通) (1),工学 (10),仪器类 (65),普通类,本科批,物理类,521,0,0,67552,,
score_55_169125_13_2022_2073_本科批,55_169125,55,169125,河北,2022,新能源材料与器件,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批,物理类,521,0,0,67552,,
score_55_1623_13_2022_2073_本科批,55_1623,55,1623,河北,2022,给排水科学与工程,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批,物理类,517,0,0,71732,,
score_55_1642_13_2022_2073_本科批,55_1642,55,1642,河北,2022,安全工程,本科(普通) (1),工学 (10),安全科学与工程类 (91),普通类,本科批,物理类,517,0,0,71732,,
score_55_1650_13_2022_2073_本科批,55_1650,55,1650,河北,2022,应用化学,本科(普通) (1),理学 (9),化学类 (53),普通类,本科批,物理类,517,0,0,71732,,
score_55_1667_13_2022_2073_本科批,55_1667,55,1667,河北,2022,材料成型及控制工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,物理类,517,0,0,71732,,
score_55_1666_13_2022_2073_本科批,55_1666,55,1666,河北,2022,高分子材料与工程,本科(普通) (1),工学 (10),材料类 (66),普通类,本科批,物理类,514,0,0,74839,,
score_55_1668_13_2022_2073_本科批,55_1668,55,1668,河北,2022,制药工程,本科(普通) (1),工学 (10),化工与制药类 (75),普通类,本科批,物理类,514,0,0,74839,,
score_55_1656_13_2022_2073_本科批,55_1656,55,1656,河北,2022,生物工程,本科(普通) (1),工学 (10),生物工程类 (92),普通类,本科批,物理类,513,0,0,75878,,
score_55_1380801_13_2022_2073_本科批,55_1380801,55,1380801,河北,2022,环境科学,本科(普通) (1),工学 (10),环境科学与工程类 (87),中外合作办学,本科批,物理类,482,0,0,112324,,
score_55_1380800_13_2022_2073_本科批,55_1380800,55,1380800,河北,2022,金属材料工程,本科(普通) (1),工学 (10),材料类 (66),中外合作办学,本科批,物理类,478,0,0,117259,,
score_55_1632_14_2022_1_本科一批B段,55_1632,55,1632,山西,2022,自动化,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科一批B段,理科,499,0,502,35321,,
score_55_1667_14_2022_1_本科二批A段,55_1667,55,1667,山西,2022,材料成型及控制工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科二批A段,理科,425,0,437,87355,,
score_55_1648_14_2022_1_本科二批A段,55_1648,55,1648,山西,2022,轻化工程,本科(普通) (1),工学 (10),轻工类 (79),普通类,本科二批A段,理科,421,0,425,90505,,
score_55_1640_14_2022_1_本科二批A段,55_1640,55,1640,山西,2022,纺织工程,本科(普通) (1),工学 (10),纺织类 (78),普通类,本科二批A段,理科,417,0,446,93503,,
score_55_1380801_14_2022_1_本科二批B段,55_1380801,55,1380801,山西,2022,环境科学,本科(普通) (1),工学 (10),环境科学与工程类 (87),中外合作办学,本科二批B段,理科,418,0,426,92719,,
score_55_1629_15_2022_1_本科二批,55_1629,55,1629,内蒙古,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科二批,理科,457,465,0,22606,,
