score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_56_1711_11_2022_3_本科批,56_1711,56,1711,北京,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,499,0,0,25977,,不限
score_56_1711_11_2022_3_本科批,56_1711,56,1711,北京,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,499,0,0,25977,,不限
score_56_1711_13_2022_2074_本科批,56_1711,56,1711,河北,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,563,0,0,8119,,
score_56_1702_13_2022_2074_本科批,56_1702,56,1702,河北,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,历史类,559,0,0,9061,,
score_56_1731_13_2022_2074_本科批,56_1731,56,1731,河北,2022,财务管理,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,559,0,0,9061,,
score_56_1722_13_2022_2074_本科批,56_1722,56,1722,河北,2022,审计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,556,0,0,9835,,
score_56_1696_13_2022_2074_本科批,56_1696,56,1696,河北,2022,经济学,本科(普通) (1),经济学 (4),经济学类 (35),普通类,本科批,历史类,555,0,0,10136,,
score_56_1718_13_2022_2074_本科批,56_1718,56,1718,河北,2022,英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,553,0,0,10695,,
score_56_1753_13_2022_2074_本科批,56_1753,56,1753,河北,2022,商务英语,本科(普通) (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,551,0,0,11260,,
score_56_1800437_13_2022_2074_本科批,56_1800437,56,1800437,河北,2022,数字经济,本科(普通) (1),经济学 (4),经济学类 (35),普通类,本科批,历史类,550,0,0,11570,,
score_56_1700_13_2022_2074_本科批,56_1700,56,1700,河北,2022,贸易经济,本科(普通) (1),经济学 (4),经济与贸易类 (38),普通类,本科批,历史类,546,0,0,12803,,
score_56_1800438_13_2022_2074_本科批,56_1800438,56,1800438,河北,2022,金融科技,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,历史类,546,0,0,12803,,
