score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_116_5534_11_2022_3_本科批,116_5534,116,5534,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,580,580,0,11702,,不限
score_116_5541_11_2022_3_本科批,116_5541,116,5541,北京,2022,广播电视学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,577,578,0,12183,,不限
score_116_5537_11_2022_3_本科批,116_5537,116,5537,北京,2022,法语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,576,580,0,12334,,不限
score_116_5564_11_2022_3_本科批,116_5564,116,5564,北京,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,589,598,0,10295,,物理必选
score_116_5560_11_2022_3_本科批,116_5560,116,5560,北京,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,587,598,0,10606,,物理必选
score_116_5571_11_2022_3_本科批,116_5571,116,5571,北京,2022,水利水电工程,本科 (1),工学 (10),水利类 (73),普通类,本科批,综合,584,601,0,11096,,物理必选
score_116_345475_11_2022_3_本科批,116_345475,116,345475,北京,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,584,587,0,11096,,物理必选
score_116_5563_11_2022_3_本科批,116_5563,116,5563,北京,2022,给排水科学与工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,综合,581,581,0,11540,,物理必选
score_116_5534_11_2022_3_本科批,116_5534,116,5534,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,580,580,0,11702,,不限
score_116_5542_11_2022_3_本科批,116_5542,116,5542,北京,2022,水文与水资源工程,本科 (1),工学 (10),水利类 (73),普通类,本科批,综合,579,588,0,11843,,物理必选
score_116_1499222_11_2022_3_本科批,116_1499222,116,1499222,北京,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,579,584,0,11843,,物理必选
score_116_5561_11_2022_3_本科批,116_5561,116,5561,北京,2022,环境工程,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科批,综合,578,586,0,12007,,物理/化学(2选1)
score_116_168970_11_2022_3_本科批,116_168970,116,168970,北京,2022,智能科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,578,579,0,12007,,物理必选
score_116_5540_11_2022_3_本科批,116_5540,116,5540,北京,2022,环境生态工程,本科 (1),工学 (10),环境科学与工程类 (87),普通类,本科批,综合,577,578,0,12183,,物理/化学(2选1)
score_116_5541_11_2022_3_本科批,116_5541,116,5541,北京,2022,广播电视学,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,577,578,0,12183,,不限
score_116_5546_11_2022_3_本科批,116_5546,116,5546,北京,2022,水务工程,本科 (1),工学 (10),水利类 (73),普通类,本科批,综合,577,577,0,12183,,物理/化学(2选1)
score_116_5558_11_2022_3_本科批,116_5558,116,5558,北京,2022,能源与动力工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批,综合,577,577,0,12183,,物理/化学(2选1)
score_116_5537_11_2022_3_本科批,116_5537,116,5537,北京,2022,法语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,576,580,0,12334,,不限
score_116_5564_11_2022_3_本科批,116_5564,116,5564,北京,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,589,598,0,10295,,物理必选
score_116_5560_11_2022_3_本科批,116_5560,116,5560,北京,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,587,598,0,10606,,物理必选
score_116_5571_11_2022_3_本科批,116_5571,116,5571,北京,2022,水利水电工程,本科 (1),工学 (10),水利类 (73),普通类,本科批,综合,584,601,0,11096,,物理必选
score_116_345475_11_2022_3_本科批,116_345475,116,345475,北京,2022,软件工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,584,587,0,11096,,物理必选
score_116_5563_11_2022_3_本科批,116_5563,116,5563,北京,2022,给排水科学与工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,综合,581,581,0,11540,,物理必选
score_116_5542_11_2022_3_本科批,116_5542,116,5542,北京,2022,水文与水资源工程,本科 (1),工学 (10),水利类 (73),普通类,本科批,综合,579,588,0,11843,,物理必选
score_116_1499222_11_2022_3_本科批,116_1499222,116,1499222,北京,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,579,584,0,11843,,物理必选
score_116_168970_11_2022_3_本科批,116_168970,116,168970,北京,2022,智能科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,578,579,0,12007,,物理必选
