score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_71_1499270_12_2022_3_本科批A段,71_1499270,71,1499270,天津,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,590,0,0,16238,,物理必选
score_71_1499271_12_2022_3_本科批A段,71_1499271,71,1499271,天津,2022,应急管理,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批A段,综合,586,0,0,17045,,物理必选
score_71_1499270_12_2022_3_本科批A段,71_1499270,71,1499270,天津,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,590,0,0,16238,,物理必选
score_71_1499271_12_2022_3_本科批A段,71_1499271,71,1499271,天津,2022,应急管理,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批A段,综合,586,0,0,17045,,物理必选
score_71_2618_13_2022_2074_本科批,71_2618,71,2618,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,579,0,0,4903,,
score_71_146088_13_2022_2074_本科批,71_146088,71,146088,河北,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,577,0,0,5238,,
score_71_1022724_13_2022_2074_本科批,71_1022724,71,1022724,河北,2022,社会工作,本科 (1),法学 (5),社会学类 (41),普通类,本科批,历史类,575,0,0,5601,,
score_71_1130384_13_2022_2073_本科批,71_1130384,71,1130384,河北,2022,数据科学与大数据技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,566,0,0,27894,,
score_71_1499270_13_2022_2073_本科批,71_1499270,71,1499270,河北,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,565,0,0,28568,,
score_71_146088_13_2022_2073_本科批,71_146088,71,146088,河北,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,物理类,564,0,0,29282,,
score_71_1130385_13_2022_2073_本科批,71_1130385,71,1130385,河北,2022,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,物理类,561,0,0,31495,,
score_71_2618_13_2022_2073_本科批,71_2618,71,2618,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,物理类,560,0,0,32247,,
score_71_2683_13_2022_2073_本科批,71_2683,71,2683,河北,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,558,0,0,33822,,
score_71_2661_13_2022_2073_本科批,71_2661,71,2661,河北,2022,新能源科学与工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批,物理类,556,0,0,35406,,
score_71_2669_13_2022_2073_本科批,71_2669,71,2669,河北,2022,生物技术,本科 (1),理学 (9),生物科学类 (60),普通类,本科批,物理类,555,0,0,36191,,
score_71_2671_13_2022_2073_本科批,71_2671,71,2671,河北,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科批,物理类,555,0,0,36191,,
score_71_2684_13_2022_2073_本科批,71_2684,71,2684,河北,2022,金融数学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,555,0,0,36191,,
score_71_1022724_13_2022_2073_本科批,71_1022724,71,1022724,河北,2022,社会工作,本科 (1),法学 (5),社会学类 (41),普通类,本科批,物理类,555,0,0,36191,,
score_71_2647_13_2022_2073_本科批,71_2647,71,2647,河北,2022,工业设计,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,553,0,0,37725,,
score_71_1036229_13_2022_2073_本科批,71_1036229,71,1036229,河北,2022,标准化工程,本科 (1),管理学 (13),工业工程类 (118),普通类,本科批,物理类,544,0,0,45381,,
score_71_1499271_13_2022_2073_本科批,71_1499271,71,1499271,河北,2022,应急管理,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,物理类,544,0,0,45381,,
score_71_2618_14_2022_2_本科一批B段,71_2618,71,2618,山西,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科一批B段,文科,533,0,536,4268,,
score_71_1036227_14_2022_2_本科一批B段,71_1036227,71,1036227,山西,2022,思想政治教育,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科一批B段,文科,530,0,531,4696,,
score_71_146110_14_2022_2_本科一批B段,71_146110,71,146110,山西,2022,历史学,本科 (1),历史学 (8),历史学类 (50),普通类,本科一批B段,文科,527,0,529,5108,,
score_71_1022724_14_2022_2_本科一批B段,71_1022724,71,1022724,山西,2022,社会工作,本科 (1),法学 (5),社会学类 (41),普通类,本科一批B段,文科,525,0,525,5418,,
score_71_214633_14_2022_2_本科一批B段,71_214633,71,214633,山西,2022,特殊教育,本科 (1),教育学 (6),教育学类 (45),普通类,本科一批B段,文科,524,0,524,5601,,
score_71_1499270_14_2022_1_本科一批B段,71_1499270,71,1499270,山西,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批B段,理科,528,0,529,21139,,
score_71_1130384_14_2022_1_本科一批B段,71_1130384,71,1130384,山西,2022,数据科学与大数据技术,本科 (1),工学 (10),计算机类 (71),普通类,本科一批B段,理科,509,0,517,29946,,
score_71_187591_14_2022_1_本科一批B段,71_187591,71,187591,山西,2022,物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科一批B段,理科,508,0,511,30483,,
score_71_2661_14_2022_1_本科一批B段,71_2661,71,2661,山西,2022,新能源科学与工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科一批B段,理科,505,0,509,32081,,
score_71_2683_14_2022_1_本科一批B段,71_2683,71,2683,山西,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批B段,理科,504,0,504,32647,,
score_71_2684_14_2022_1_本科一批B段,71_2684,71,2684,山西,2022,金融数学,本科 (1),经济学 (4),金融学类 (37),普通类,本科一批B段,理科,501,0,508,34238,,
score_71_1036228_14_2022_1_本科一批B段,71_1036228,71,1036228,山西,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科一批B段,理科,501,0,505,34238,,
score_71_2647_14_2022_1_本科一批B段,71_2647,71,2647,山西,2022,工业设计,本科 (1),工学 (10),机械类 (64),普通类,本科一批B段,理科,499,0,508,35321,,
score_71_2594_14_2022_1_本科一批B段,71_2594,71,2594,山西,2022,信息管理与信息系统,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科一批B段,理科,498,0,500,35905,,
score_71_1498072_14_2022_1_本科一批B段,71_1498072,71,1498072,山西,2022,生物制药,本科 (1),工学 (10),生物工程类 (92),普通类,本科一批B段,理科,497,0,500,36494,,
score_71_2669_14_2022_1_本科一批B段,71_2669,71,2669,山西,2022,生物技术,本科 (1),理学 (9),生物科学类 (60),普通类,本科一批B段,理科,495,0,500,37639,,
score_71_146115_14_2022_1_本科一批B段,71_146115,71,146115,山西,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科一批B段,理科,495,0,499,37639,,
score_71_1499271_14_2022_1_本科一批B段,71_1499271,71,1499271,山西,2022,应急管理,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科一批B段,理科,493,0,501,38748,,
score_71_1036228_15_2022_1_本科一批,71_1036228,71,1036228,内蒙古,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科一批,理科,521,542,0,9601,,
score_71_2594_15_2022_1_本科一批,71_2594,71,2594,内蒙古,2022,信息管理与信息系统,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科一批,理科,497,505,0,13933,,
score_71_2647_15_2022_1_本科一批,71_2647,71,2647,内蒙古,2022,工业设计,本科 (1),工学 (10),机械类 (64),普通类,本科一批,理科,490,499,0,15382,,
score_71_2671_15_2022_1_本科一批,71_2671,71,2671,内蒙古,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科一批,理科,487,500,0,15996,,
score_71_2618_21_2022_2074_本科批,71_2618,71,2618,辽宁,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,569,0,0,3439,,
score_71_146088_21_2022_2074_本科批,71_146088,71,146088,辽宁,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,568,0,0,3542,,
score_71_1130384_21_2022_2073_本科批,71_1130384,71,1130384,辽宁,2022,数据科学与大数据技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,579,0,0,15284,,
score_71_2618_21_2022_2073_本科批,71_2618,71,2618,辽宁,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,物理类,571,0,0,17845,,
score_71_146088_21_2022_2073_本科批,71_146088,71,146088,辽宁,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,物理类,566,0,0,19472,,
score_71_2684_21_2022_2073_本科批,71_2684,71,2684,辽宁,2022,金融数学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,563,0,0,20553,,
score_71_2669_22_2022_1_本科二批A段,71_2669,71,2669,吉林,2022,生物技术,本科 (1),理学 (9),生物科学类 (60),普通类,本科二批A段,理科,482,482,482,20998,,
score_71_1036229_22_2022_1_本科二批A段,71_1036229,71,1036229,吉林,2022,标准化工程,本科 (1),管理学 (13),工业工程类 (118),普通类,本科二批A段,理科,480,485,482,21501,,
score_71_2618_22_2022_2_本科二批A段,71_2618,71,2618,吉林,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科二批A段,文科,510,531,521,3811,,
score_71_1036227_22_2022_2_本科二批A段,71_1036227,71,1036227,吉林,2022,思想政治教育,本科 (1),法学 (5),马克思主义理论类 (43),普通类,本科二批A段,文科,509,512,511,3912,,
score_71_1130385_23_2022_1_本科二批A段,71_1130385,71,1130385,黑龙江,2022,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科二批A段,理科,458,459,0,28067,,
score_71_2684_23_2022_1_本科二批A段,71_2684,71,2684,黑龙江,2022,金融数学,本科 (1),经济学 (4),金融学类 (37),普通类,本科二批A段,理科,449,454,0,30862,,
score_71_2683_23_2022_1_本科二批A段,71_2683,71,2683,黑龙江,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科二批A段,理科,448,454,0,31228,,
score_71_146110_23_2022_2_本科二批A段,71_146110,71,146110,黑龙江,2022,历史学,本科 (1),历史学 (8),历史学类 (50),普通类,本科二批A段,文科,488,490,0,5008,,
score_71_146088_23_2022_2_本科二批A段,71_146088,71,146088,黑龙江,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科二批A段,文科,487,488,0,5117,,
score_71_2618_23_2022_2_本科二批A段,71_2618,71,2618,黑龙江,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科二批A段,文科,485,487,0,5326,,
score_71_1130384_32_2022_2073_本科批,71_1130384,71,1130384,江苏,2022,数据科学与大数据技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,570,572,0,35714,（在校本部学习）,首选物理，再选不限
score_71_2684_32_2022_2073_本科批,71_2684,71,2684,江苏,2022,金融数学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,567,568,0,38366,（在校本部学习）,首选物理，再选不限
score_71_1130384_32_2022_2073_本科批,71_1130384,71,1130384,江苏,2022,数据科学与大数据技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,570,572,0,35714,（在校本部学习）,首选物理，再选不限
score_71_2684_32_2022_2073_本科批,71_2684,71,2684,江苏,2022,金融数学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,物理类,567,568,0,38366,（在校本部学习）,首选物理，再选不限
score_71_146088_33_2022_3_平行录取一段,71_146088,71,146088,浙江,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,平行录取一段,综合,610,0,0,36954,,
score_71_2618_33_2022_3_平行录取一段,71_2618,71,2618,浙江,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,平行录取一段,综合,602,0,0,45852,,
score_71_1130384_33_2022_3_平行录取一段,71_1130384,71,1130384,浙江,2022,数据科学与大数据技术,本科 (1),工学 (10),计算机类 (71),普通类,平行录取一段,综合,597,0,0,51049,,
score_71_2647_33_2022_3_平行录取一段,71_2647,71,2647,浙江,2022,工业设计,本科 (1),工学 (10),机械类 (64),普通类,平行录取一段,综合,590,0,0,58952,,
score_71_2684_33_2022_3_平行录取一段,71_2684,71,2684,浙江,2022,金融数学,本科 (1),经济学 (4),金融学类 (37),普通类,平行录取一段,综合,590,0,0,59539,,
score_71_1499271_33_2022_3_平行录取一段,71_1499271,71,1499271,浙江,2022,应急管理,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,平行录取一段,综合,574,0,0,78585,,
score_71_1130384_34_2022_1_本科一批,71_1130384,71,1130384,安徽,2022,数据科学与大数据技术,本科 (1),工学 (10),计算机类 (71),普通类,本科一批,理科,555,559,0,35409,,
score_71_2661_34_2022_1_本科一批,71_2661,71,2661,安徽,2022,新能源科学与工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科一批,理科,547,550,0,41397,,
score_71_1130385_34_2022_1_本科一批,71_1130385,71,1130385,安徽,2022,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科一批,理科,545,545,0,42974,,
score_71_2683_34_2022_1_本科一批,71_2683,71,2683,安徽,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批,理科,535,536,0,51460,,
score_71_1499270_34_2022_1_本科一批,71_1499270,71,1499270,安徽,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批,理科,535,567,0,51460,,
score_71_2647_34_2022_1_本科一批,71_2647,71,2647,安徽,2022,工业设计,本科 (1),工学 (10),机械类 (64),普通类,本科一批,理科,526,532,0,59786,,
score_71_1499271_34_2022_1_本科一批,71_1499271,71,1499271,安徽,2022,应急管理,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科一批,理科,522,522,0,63629,,
