score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_114_168977_12_2022_3_本科批A段,114_168977,114,168977,天津,2022,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批A段,综合,701,0,0,221,,物理必选
score_114_168977_12_2022_3_本科批A段,114_168977,114,168977,天津,2022,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批A段,综合,701,0,0,221,,物理必选
score_114_168977_22_2022_1_本科一批A段,114_168977,114,168977,吉林,2022,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科一批A段,理科,659,666,663,138,（荣誉项目班）,
score_114_168977_32_2022_2073_本科批,114_168977,114,168977,江苏,2022,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,物理类,653,653,0,563,（荣誉项目班）,首选物理，再选不限
score_114_168977_32_2022_2073_本科批,114_168977,114,168977,江苏,2022,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,物理类,653,653,0,563,（荣誉项目班）,首选物理，再选不限
score_114_5365_41_2022_2_本科一批,114_5365,114,5365,河南,2022,政治学与行政学,本科(普通) (1),法学 (5),政治学类 (40),普通类,本科一批,文科,622,624,623,283,,
score_114_168977_44_2022_2073_本科批,114_168977,114,168977,广东,2022,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,物理类,676,677,0,224,（荣誉项目班）,首选物理，再选不限
score_114_168977_44_2022_2073_本科批,114_168977,114,168977,广东,2022,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,物理类,676,677,0,224,（荣誉项目班）,首选物理，再选不限
score_114_1129655_11_2023_3_本科提前批B段,114_1129655,114,1129655,北京,2023,艺术与科技,本科(普通) (1),艺术学 (14),设计学类 (125),普通类,本科提前批B段,综合,615,0,0,7700,,不限
score_114_1129655_11_2023_3_本科提前批B段,114_1129655,114,1129655,北京,2023,艺术与科技,本科(普通) (1),艺术学 (14),设计学类 (125),普通类,本科提前批B段,综合,615,0,0,7700,,不限
score_114_168977_12_2023_3_本科批A段,114_168977,114,168977,天津,2023,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批A段,综合,694,0,0,-,（荣誉项目班）（校本部）,物理必选
score_114_168977_12_2023_3_本科批A段,114_168977,114,168977,天津,2023,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批A段,综合,694,0,0,-,（荣誉项目班）（校本部）,物理必选
score_114_168977_14_2023_1_本科一批A段,114_168977,114,168977,山西,2023,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科一批A段,理科,659,0,0,293,（荣誉项目班）,
score_114_168977_15_2023_1_本科一批,114_168977,114,168977,内蒙古,2023,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科一批,理科,663,665,0,105,（荣誉项目班）,
score_114_168977_22_2023_1_本科一批A段,114_168977,114,168977,吉林,2023,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科一批A段,理科,662,662,0,166,（荣誉项目班）,
score_114_168977_23_2023_1_本科一批A段,114_168977,114,168977,黑龙江,2023,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科一批A段,理科,667,668,0,121,（荣誉项目班）,
score_114_168977_32_2023_2073_本科批,114_168977,114,168977,江苏,2023,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,物理类,678,679,0,493,（荣誉项目班）,首选物理，再选不限
score_114_168977_32_2023_2073_本科批,114_168977,114,168977,江苏,2023,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,物理类,678,679,0,493,（荣誉项目班）,首选物理，再选不限
score_114_5434_33_2023_3_平行录取一段,114_5434,114,5434,浙江,2023,应用生物科学,本科(普通) (1),农学 (11),植物生产类 (94),普通类,平行录取一段,综合,668,0,0,5080,（生工食品）,
score_114_5434_33_2023_3_平行录取一段,114_5434,114,5434,浙江,2023,应用生物科学,本科(普通) (1),农学 (11),植物生产类 (94),普通类,平行录取一段,综合,664,0,0,6679,（农学）,
score_114_168977_34_2023_1_本科一批,114_168977,114,168977,安徽,2023,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科一批,理科,678,678,678,310,（荣誉项目班）,
score_114_5434_34_2023_1_本科一批,114_5434,114,5434,安徽,2023,应用生物科学,本科(普通) (1),农学 (11),植物生产类 (94),普通类,本科一批,理科,642,651,646,3897,（生工食品）（含农业工程、食品科学与工程专业）,
score_114_5434_34_2023_1_本科一批,114_5434,114,5434,安徽,2023,应用生物科学,本科(普通) (1),农学 (11),植物生产类 (94),普通类,本科一批,理科,641,664,645,4097,（农学）（含农业资源与环境、茶学、农学、植物保护、园林、因艺、动物科学、动物医学专业;其中动物医学专业学制五年）,
score_114_168977_35_2023_2073_本科批,114_168977,114,168977,福建,2023,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,物理类,678,678,678,303,（荣誉项目班）,首选物理，再选不限
score_114_168977_35_2023_2073_本科批,114_168977,114,168977,福建,2023,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,物理类,678,678,678,303,（荣誉项目班）,首选物理，再选不限
score_114_168977_36_2023_1_本科一批,114_168977,114,168977,江西,2023,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科一批,理科,680,0,0,125,（荣誉项目班）,
score_114_5434_36_2023_1_本科一批,114_5434,114,5434,江西,2023,应用生物科学,本科(普通) (1),农学 (11),植物生产类 (94),普通类,本科一批,理科,620,0,0,4712,（生工食品）,
score_114_5434_36_2023_1_本科一批,114_5434,114,5434,江西,2023,应用生物科学,本科(普通) (1),农学 (11),植物生产类 (94),普通类,本科一批,理科,618,0,0,5143,（农学）,
score_114_168977_37_2023_3_普通类一段,114_168977,114,168977,山东,2023,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,普通类一段,综合,685,0,0,296,（荣誉项目班）,
score_114_5434_37_2023_3_普通类一段,114_5434,114,5434,山东,2023,应用生物科学,本科(普通) (1),农学 (11),植物生产类 (94),普通类,普通类一段,综合,656,0,0,2971,（农学）,
score_114_5365_41_2023_2_本科一批,114_5365,114,5365,河南,2023,政治学与行政学,本科(普通) (1),法学 (5),政治学类 (40),普通类,本科一批,文科,655,657,656,254,,
score_114_168977_41_2023_1_本科一批,114_168977,114,168977,河南,2023,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科一批,理科,688,690,689,270,（荣誉项目班）,
score_114_168977_44_2023_2073_本科批,114_168977,114,168977,广东,2023,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,物理类,684,690,0,292,（荣誉项目班，住宿费：待定；办学地点：校本部）,首选物理，再选不限
score_114_168977_44_2023_2073_本科批,114_168977,114,168977,广东,2023,机器人工程,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,物理类,684,690,0,292,（荣誉项目班，住宿费：待定；办学地点：校本部）,首选物理，再选不限
score_114_5434_44_2023_2073_本科批,114_5434,114,5434,广东,2023,应用生物科学,本科(普通) (1),农学 (11),植物生产类 (94),普通类,本科批,物理类,659,671,0,2373,（生工食品，含农业工程、食品科学与工程专业（含农业工程、食品科学与工程专业，住宿费：待定；办学地点：校本部）,首选物理，再选化学/生物(2选1)
