score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_44_1030_11_2022_3_本科批,44_1030,44,1030,北京,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,综合,624,626,625,5530,,不限
score_44_1054_11_2022_3_本科批,44_1054,44,1054,北京,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,623,627,625,5653,,不限
score_44_89702_11_2022_3_本科批,44_89702,44,89702,北京,2022,工业设计,本科 (1),工学 (10),机械类 (64),普通类,本科批,综合,622,627,625,5775,,不限
score_44_1032_11_2022_3_本科批,44_1032,44,1032,北京,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,621,621,621,5887,,不限
score_44_89665_11_2022_3_本科批,44_89665,44,89665,北京,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,620,635,626,5999,,不限
score_44_93764_11_2022_3_本科批,44_93764,44,93764,北京,2022,新闻传播学类,本科 (1),文学 (7),新闻传播学类 (49),普通类,本科批,综合,620,628,624,5999,,不限
score_44_168992_11_2022_3_本科批,44_168992,44,168992,北京,2022,精算学,本科 (1),经济学 (4),金融学类 (37),普通类,本科批,综合,620,620,620,5999,,不限
score_44_93762_11_2022_3_本科批,44_93762,44,93762,北京,2022,经济学类,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,综合,619,626,622,6115,,不限
score_44_1049_11_2022_3_本科批,44_1049,44,1049,北京,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,619,619,619,6115,,不限
score_44_1053_11_2022_3_本科批,44_1053,44,1053,北京,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,618,621,620,6248,,不限
score_44_1864723_11_2022_3_本科批,44_1864723,44,1864723,北京,2022,英语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,综合,618,624,620,6248,,不限
score_44_1050_11_2022_3_本科批,44_1050,44,1050,北京,2022,行政管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科批,综合,618,618,618,6248,,不限
score_44_93770_11_2022_3_本科批,44_93770,44,93770,北京,2022,信息安全,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,632,632,632,4629,,物理必选
score_44_1039_11_2022_3_本科批,44_1039,44,1039,北京,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,本科批,综合,630,630,630,4857,,物理必选
