score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_58_89907_11_2022_3_本科批,58_89907,58,89907,北京,2022,知识产权,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,综合,574,585,580,12633,,不限
score_58_1877_11_2022_3_本科批,58_1877,58,1877,北京,2022,行政管理,本科(普通) (1),管理学 (13),公共管理类 (115),普通类,本科批,综合,564,570,567,14274,,不限
score_58_1804_11_2022_3_本科批,58_1804,58,1804,北京,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,综合,597,608,603,9101,,思想政治必选
score_58_1866_11_2022_3_本科批,58_1866,58,1866,北京,2022,地理信息科学,本科(普通) (1),理学 (9),地理科学类 (55),普通类,本科批,综合,575,577,576,12490,,物/化/地(3选1)
score_58_89907_11_2022_3_本科批,58_89907,58,89907,北京,2022,知识产权,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,综合,574,585,580,12633,,不限
score_58_1812_11_2022_3_本科批,58_1812,58,1812,北京,2022,政治学与行政学,本科(普通) (1),法学 (5),政治学类 (40),普通类,本科批,综合,572,580,576,12957,,历史/思想政治(2选1)
score_58_1864_11_2022_3_本科批,58_1864,58,1864,北京,2022,通信工程,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,综合,570,577,574,13253,,物理必选
score_58_1130628_11_2022_3_本科批,58_1130628,58,1130628,北京,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,综合,570,575,573,13253,,物理必选
score_58_1877_11_2022_3_本科批,58_1877,58,1877,北京,2022,行政管理,本科(普通) (1),管理学 (13),公共管理类 (115),普通类,本科批,综合,564,570,567,14274,,不限
score_58_1864_11_2022_3_本科批,58_1864,58,1864,北京,2022,通信工程,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,综合,570,577,574,13253,,物理必选
score_58_1130628_11_2022_3_本科批,58_1130628,58,1130628,北京,2022,人工智能,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,综合,570,575,573,13253,,物理必选
score_58_1866_11_2022_3_本科批,58_1866,58,1866,北京,2022,地理信息科学,本科(普通) (1),理学 (9),地理科学类 (55),普通类,本科批,综合,575,577,576,12490,,物/化/地(3选1)
score_58_1804_11_2022_3_本科批,58_1804,58,1804,北京,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,综合,597,608,603,9101,,思想政治必选
score_58_1812_11_2022_3_本科批,58_1812,58,1812,北京,2022,政治学与行政学,本科(普通) (1),法学 (5),政治学类 (40),普通类,本科批,综合,572,580,576,12957,,历史/思想政治(2选1)
score_58_1853_12_2022_3_本科批A段,58_1853,58,1853,天津,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批A段,综合,649,0,0,5070,,历史必选
score_58_1853_12_2022_3_本科批A段,58_1853,58,1853,天津,2022,汉语言文学,本科(普通) (1),文学 (7),中国语言文学类 (47),普通类,本科批A段,综合,649,0,0,5070,,历史必选
score_58_1852_12_2022_3_本科批A段,58_1852,58,1852,天津,2022,历史学,本科(普通) (1),历史学 (8),历史学类 (50),普通类,本科批A段,综合,648,0,0,5245,,历史/地理(2选1)
score_58_1812_12_2022_3_本科批A段,58_1812,58,1812,天津,2022,政治学与行政学,本科(普通) (1),法学 (5),政治学类 (40),普通类,本科批A段,综合,644,0,0,5858,,历史/思想政治(2选1)
score_58_1804_12_2022_3_本科批A段,58_1804,58,1804,天津,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批A段,综合,643,0,0,6024,,思想政治必选
score_58_1878_12_2022_3_本科批A段,58_1878,58,1878,天津,2022,哲学,本科(普通) (1),哲学 (3),哲学类 (34),普通类,本科批A段,综合,640,0,0,6555,,不限
score_58_1834_12_2022_3_本科批A段,58_1834,58,1834,天津,2022,教育学,本科(普通) (1),教育学 (6),教育学类 (45),普通类,本科批A段,综合,639,0,0,6734,,不限
score_58_1876_12_2022_3_本科批A段,58_1876,58,1876,天津,2022,社会学,本科(普通) (1),法学 (5),社会学类 (41),普通类,本科批A段,综合,638,0,0,6890,,不限
score_58_1866_12_2022_3_本科批A段,58_1866,58,1866,天津,2022,地理信息科学,本科(普通) (1),理学 (9),地理科学类 (55),普通类,本科批A段,综合,636,0,0,7232,,物/化/地(3选1)
score_58_1851_12_2022_3_本科批A段,58_1851,58,1851,天津,2022,计算机科学与技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,635,0,0,7401,,物理必选
score_58_1877_12_2022_3_本科批A段,58_1877,58,1877,天津,2022,行政管理,本科(普通) (1),管理学 (13),公共管理类 (115),普通类,本科批A段,综合,635,0,0,7401,,不限
score_58_89901_12_2022_3_本科批A段,58_89901,58,89901,天津,2022,物联网工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,632,0,0,7969,,物理必选
score_58_853732_12_2022_3_本科批A段,58_853732,58,853732,天津,2022,特殊教育,本科(普通) (1),教育学 (6),教育学类 (45),普通类,本科批A段,综合,630,0,0,8316,,不限
score_58_1821_12_2022_3_本科批A段,58_1821,58,1821,天津,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,629,0,0,8499,,物理必选
