score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_64_2207_11_2022_3_本科批,64_2207,64,2207,北京,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批,综合,542,0,0,18081,,化学、生物(2科必选)
score_64_2207_11_2022_3_本科批,64_2207,64,2207,北京,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批,综合,542,0,0,18081,,化学、生物(2科必选)
score_64_2207_12_2022_3_本科批A段,64_2207,64,2207,天津,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,605,0,0,13096,,化学、生物(2科必选)
score_64_2208_12_2022_3_本科批A段,64_2208,64,2208,天津,2022,医学影像学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,599,0,0,14317,,化学、生物(2科必选)
score_64_2207_12_2022_3_本科批A段,64_2207,64,2207,天津,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,605,0,0,13096,,化学、生物(2科必选)
score_64_2208_12_2022_3_本科批A段,64_2208,64,2208,天津,2022,医学影像学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,599,0,0,14317,,化学、生物(2科必选)
score_64_2211_12_2022_3_本科批A段,64_2211,64,2211,天津,2022,口腔医学,本科(普通) (1),医学 (12),口腔医学类 (103),普通类,本科批A段,综合,598,0,0,14513,,物/化/生(3选1)
score_64_2212_12_2022_3_本科批A段,64_2212,64,2212,天津,2022,中医学,本科(普通) (1),医学 (12),中医学类 (105),普通类,本科批A段,综合,592,0,0,15787,,物/化/生(3选1)
score_64_2226_12_2022_3_本科批A段,64_2226,64,2226,天津,2022,特殊教育,本科(普通) (1),教育学 (6),教育学类 (45),普通类,本科批A段,综合,536,0,0,27584,,不限
score_64_2211_12_2022_3_本科批A段,64_2211,64,2211,天津,2022,口腔医学,本科(普通) (1),医学 (12),口腔医学类 (103),普通类,本科批A段,综合,598,0,0,14513,,物/化/生(3选1)
score_64_2212_12_2022_3_本科批A段,64_2212,64,2212,天津,2022,中医学,本科(普通) (1),医学 (12),中医学类 (105),普通类,本科批A段,综合,592,0,0,15787,,物/化/生(3选1)
