score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_103_4599_11_2022_3_本科批,103_4599,103,4599,北京,2022,物联网工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,0,0,0,-,,物理必选
score_103_4636_11_2022_3_本科批,103_4636,103,4636,北京,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,0,0,0,-,,物理必选
score_103_1130275_11_2022_3_本科批,103_1130275,103,1130275,北京,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,0,0,0,-,,物理必选
score_103_4599_11_2022_3_本科批,103_4599,103,4599,北京,2022,物联网工程,本科 (1),工学 (10),计算机类 (71),普通类,本科批,综合,0,0,0,-,,物理必选
score_103_4636_11_2022_3_本科批,103_4636,103,4636,北京,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,综合,0,0,0,-,,物理必选
score_103_1130275_11_2022_3_本科批,103_1130275,103,1130275,北京,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,0,0,0,-,,物理必选
score_103_4625_12_2022_3_本科批A段,103_4625,103,4625,天津,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科批A段,综合,638,0,0,6890,,物理必选
score_103_4636_12_2022_3_本科批A段,103_4636,103,4636,天津,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批A段,综合,637,0,0,7060,,物理必选
score_103_4625_12_2022_3_本科批A段,103_4625,103,4625,天津,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科批A段,综合,638,0,0,6890,,物理必选
score_103_4636_12_2022_3_本科批A段,103_4636,103,4636,天津,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批A段,综合,637,0,0,7060,,物理必选
score_103_4600_12_2022_3_本科批A段,103_4600,103,4600,天津,2022,建筑学,本科 (1),工学 (10),建筑类 (90),普通类,本科批A段,综合,634,0,0,7592,,物/史/化(3选1)
score_103_4556_12_2022_3_本科批A段,103_4556,103,4556,天津,2022,生物工程,本科 (1),工学 (10),生物工程类 (92),普通类,本科批A段,综合,629,0,0,8499,,化学/生物(2选1)
score_103_4571_12_2022_3_本科批A段,103_4571,103,4571,天津,2022,人文地理与城乡规划,本科 (1),理学 (9),地理科学类 (55),普通类,本科批A段,综合,628,0,0,8646,,地理必选
score_103_4575_12_2022_3_本科批A段,103_4575,103,4575,天津,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,627,0,0,8819,,不限
score_103_4593_12_2022_3_本科批A段,103_4593,103,4593,天津,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科批A段,综合,627,0,0,8819,,不限
score_103_4560_12_2022_3_本科批A段,103_4560,103,4560,天津,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,625,0,0,9205,,不限
score_103_4622_12_2022_3_本科批A段,103_4622,103,4622,天津,2022,制药工程,本科 (1),工学 (10),化工与制药类 (75),普通类,本科批A段,综合,619,0,0,10292,,物理、化学(2科必选)
score_103_1130277_12_2022_3_本科批A段,103_1130277,103,1130277,天津,2022,智能建造,本科 (1),工学 (10),土木类 (72),普通类,本科批A段,综合,619,0,0,10292,,物理、化学(2科必选)
score_103_4600_12_2022_3_本科批A段,103_4600,103,4600,天津,2022,建筑学,本科 (1),工学 (10),建筑类 (90),普通类,本科批A段,综合,634,0,0,7592,,物/史/化(3选1)
score_103_4556_12_2022_3_本科批A段,103_4556,103,4556,天津,2022,生物工程,本科 (1),工学 (10),生物工程类 (92),普通类,本科批A段,综合,629,0,0,8499,,化学/生物(2选1)
score_103_4571_12_2022_3_本科批A段,103_4571,103,4571,天津,2022,人文地理与城乡规划,本科 (1),理学 (9),地理科学类 (55),普通类,本科批A段,综合,628,0,0,8646,,地理必选
score_103_4575_12_2022_3_本科批A段,103_4575,103,4575,天津,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批A段,综合,627,0,0,8819,,不限
score_103_4593_12_2022_3_本科批A段,103_4593,103,4593,天津,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科批A段,综合,627,0,0,8819,,不限
score_103_4560_12_2022_3_本科批A段,103_4560,103,4560,天津,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,625,0,0,9205,,不限
score_103_4622_12_2022_3_本科批A段,103_4622,103,4622,天津,2022,制药工程,本科 (1),工学 (10),化工与制药类 (75),普通类,本科批A段,综合,619,0,0,10292,,物理、化学(2科必选)
score_103_1130277_12_2022_3_本科批A段,103_1130277,103,1130277,天津,2022,智能建造,本科 (1),工学 (10),土木类 (72),普通类,本科批A段,综合,619,0,0,10292,,物理、化学(2科必选)
score_103_4623_13_2022_2074_本科批,103_4623,103,4623,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,601,0,0,2028,,
score_103_4571_13_2022_2074_本科批,103_4571,103,4571,河北,2022,人文地理与城乡规划,本科 (1),理学 (9),地理科学类 (55),普通类,本科批,历史类,592,0,0,3025,,
score_103_4630_13_2022_2073_本科批,103_4630,103,4630,河北,2022,自动化,本科 (1),工学 (10),自动化类 (70),普通类,本科批,物理类,596,0,0,11399,,
score_103_4562_13_2022_2073_本科批,103_4562,103,4562,河北,2022,集成电路设计与集成系统,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,594,0,0,12236,,
score_103_1130276_13_2022_2073_本科批,103_1130276,103,1130276,河北,2022,机器人工程,本科 (1),工学 (10),自动化类 (70),普通类,本科批,物理类,593,0,0,12676,,
score_103_4583_13_2022_2073_本科批,103_4583,103,4583,河北,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,591,0,0,13583,,
score_103_4625_13_2022_2073_本科批,103_4625,103,4625,河北,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,591,0,0,13583,,
score_103_100560_13_2022_2073_本科批,103_100560,103,100560,河北,2022,化学,本科 (1),理学 (9),化学类 (53),普通类,本科批,物理类,591,0,0,13583,,
score_103_4581_13_2022_2073_本科批,103_4581,103,4581,河北,2022,信息管理与信息系统,本科 (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,物理类,590,0,0,14004,,
score_103_4618_13_2022_2073_本科批,103_4618,103,4618,河北,2022,化学工程与工艺,本科 (1),工学 (10),化工与制药类 (75),普通类,本科批,物理类,586,0,0,15960,,
score_103_4617_13_2022_2073_本科批,103_4617,103,4617,河北,2022,过程装备与控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,585,0,0,16469,,
score_103_4608_13_2022_2073_本科批,103_4608,103,4608,河北,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,582,0,0,18065,,
score_103_4589_13_2022_2073_本科批,103_4589,103,4589,河北,2022,材料科学与工程,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,581,0,0,18643,,
score_103_4567_13_2022_2073_本科批,103_4567,103,4567,河北,2022,地质工程,本科 (1),工学 (10),地质类 (76),普通类,本科批,物理类,576,0,0,21536,,
score_103_4561_13_2022_2073_本科批,103_4561,103,4561,河北,2022,德语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,物理类,569,0,0,25895,,
score_103_4573_14_2022_2_本科一批A段,103_4573,103,4573,山西,2022,工商管理,本科 (1),管理学 (13),工商管理类 (113),普通类,本科一批A段,文科,550,0,551,2343,,
score_103_4565_14_2022_1_本科一批A段,103_4565,103,4565,山西,2022,微电子科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,566,0,567,8340,,
score_103_4625_14_2022_1_本科一批A段,103_4625,103,4625,山西,2022,机械设计制造及其自动化,本科 (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,565,0,565,8579,,
score_103_4636_14_2022_1_本科一批A段,103_4636,103,4636,山西,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科一批A段,理科,565,0,565,8579,,
score_103_4617_14_2022_1_本科一批A段,103_4617,103,4617,山西,2022,过程装备与控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,563,0,563,9112,,
score_103_4590_14_2022_1_本科一批A段,103_4590,103,4590,山西,2022,高分子材料与工程,本科 (1),工学 (10),材料类 (66),普通类,本科一批A段,理科,558,0,559,10500,,
score_103_100560_14_2022_1_本科一批A段,103_100560,103,100560,山西,2022,化学,本科 (1),理学 (9),化学类 (53),普通类,本科一批A段,理科,551,0,557,12599,,
score_103_4556_14_2022_1_本科一批A段,103_4556,103,4556,山西,2022,生物工程,本科 (1),工学 (10),生物工程类 (92),普通类,本科一批A段,理科,550,0,550,12922,,
score_103_4553_14_2022_1_本科一批A段,103_4553,103,4553,山西,2022,安全工程,本科 (1),工学 (10),安全科学与工程类 (91),普通类,本科一批A段,理科,548,0,555,13611,,
score_103_100561_14_2022_1_本科一批A段,103_100561,103,100561,山西,2022,油气储运工程,本科 (1),工学 (10),矿业类 (77),普通类,本科一批A段,理科,548,0,555,13611,,
score_103_4571_14_2022_1_本科一批A段,103_4571,103,4571,山西,2022,人文地理与城乡规划,本科 (1),理学 (9),地理科学类 (55),普通类,本科一批A段,理科,547,0,548,13948,,
score_103_4567_14_2022_1_本科一批A段,103_4567,103,4567,山西,2022,地质工程,本科 (1),工学 (10),地质类 (76),普通类,本科一批A段,理科,544,0,545,14964,,
score_103_4572_14_2022_1_本科一批A段,103_4572,103,4572,山西,2022,资源循环科学与工程,本科 (1),工学 (10),化工与制药类 (75),普通类,本科一批A段,理科,542,0,542,15659,,
score_103_4564_15_2022_1_本科一批,103_4564,103,4564,内蒙古,2022,电子科学与技术,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批,理科,555,563,0,4864,,
score_103_4636_15_2022_1_本科一批,103_4636,103,4636,内蒙古,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科一批,理科,555,564,0,4864,,
score_103_4608_15_2022_1_本科一批,103_4608,103,4608,内蒙古,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科一批,理科,538,538,0,6978,,
score_103_100560_15_2022_1_本科一批,103_100560,103,100560,内蒙古,2022,化学,本科 (1),理学 (9),化学类 (53),普通类,本科一批,理科,537,541,0,7119,,
score_103_4617_15_2022_1_本科一批,103_4617,103,4617,内蒙古,2022,过程装备与控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科一批,理科,535,539,0,7420,,
score_103_4607_15_2022_1_本科一批,103_4607,103,4607,内蒙古,2022,生物医学工程,本科 (1),工学 (10),生物医学工程类 (88),普通类,本科一批,理科,512,537,0,11084,,
score_103_4567_15_2022_1_本科一批,103_4567,103,4567,内蒙古,2022,地质工程,本科 (1),工学 (10),地质类 (76),普通类,本科一批,理科,501,535,0,13144,,
score_103_4575_21_2022_2074_本科批,103_4575,103,4575,辽宁,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),普通类,本科批,历史类,591,0,0,1729,,
score_103_4560_21_2022_2074_本科批,103_4560,103,4560,辽宁,2022,日语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,579,0,0,2570,,
score_103_100560_21_2022_2073_本科批,103_100560,103,100560,辽宁,2022,化学,本科 (1),理学 (9),化学类 (53),普通类,本科批,物理类,597,0,0,10190,,
score_103_4634_21_2022_2073_本科批,103_4634,103,4634,辽宁,2022,车辆工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,595,0,0,10740,,
score_103_4608_21_2022_2073_本科批,103_4608,103,4608,辽宁,2022,土木工程,本科 (1),工学 (10),土木类 (72),普通类,本科批,物理类,590,0,0,12099,,
score_103_1511704_21_2022_2073_本科批,103_1511704,103,1511704,辽宁,2022,储能科学与工程,本科 (1),工学 (10),能源动力类 (67),普通类,本科批,物理类,588,0,0,12651,,
score_103_4593_21_2022_2073_本科批,103_4593,103,4593,辽宁,2022,应用心理学,本科 (1),理学 (9),心理学类 (61),普通类,本科批,物理类,585,0,0,13534,,
score_103_4617_21_2022_2073_本科批,103_4617,103,4617,辽宁,2022,过程装备与控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,585,0,0,13534,,
score_103_4618_21_2022_2073_本科批,103_4618,103,4618,辽宁,2022,化学工程与工艺,本科 (1),工学 (10),化工与制药类 (75),普通类,本科批,物理类,585,0,0,13534,,
score_103_4553_21_2022_2073_本科批,103_4553,103,4553,辽宁,2022,安全工程,本科 (1),工学 (10),安全科学与工程类 (91),普通类,本科批,物理类,583,0,0,14103,,
score_103_4589_21_2022_2073_本科批,103_4589,103,4589,辽宁,2022,材料科学与工程,本科 (1),工学 (10),材料类 (66),普通类,本科批,物理类,580,0,0,14997,,
score_103_4556_21_2022_2073_本科批,103_4556,103,4556,辽宁,2022,生物工程,本科 (1),工学 (10),生物工程类 (92),普通类,本科批,物理类,576,0,0,16211,,
score_103_4636_22_2022_1_本科一批A段,103_4636,103,4636,吉林,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科一批A段,理科,552,553,553,6877,（第一年在福州市铜盘校区培养）,
score_103_4634_22_2022_1_本科一批A段,103_4634,103,4634,吉林,2022,车辆工程,本科 (1),工学 (10),机械类 (64),普通类,本科一批A段,理科,549,552,551,7323,（第一年在福州市铜盘校区培养）,
score_103_4583_22_2022_1_本科一批A段,103_4583,103,4583,吉林,2022,光电信息科学与工程,本科 (1),工学 (10),电子信息类 (69),普通类,本科一批A段,理科,543,544,544,8280,（第一年在福州市铜盘校区培养）,
