score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_118_5625_11_2022_3_本科批,118_5625,118,5625,北京,2022,旅游管理,本科 (1),管理学 (13),旅游管理类 (120),普通类,本科批,综合,609,610,610,7421,,不限
score_118_5694_11_2022_3_本科批,118_5694,118,5694,北京,2022,纳米材料与技术,本科 (1),工学 (10),材料类 (66),普通类,本科批,综合,618,618,618,6248,,化学必选
score_118_1039167_11_2022_3_本科批,118_1039167,118,1039167,北京,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,616,617,617,6509,,物理必选
score_118_5625_11_2022_3_本科批,118_5625,118,5625,北京,2022,旅游管理,本科 (1),管理学 (13),旅游管理类 (120),普通类,本科批,综合,609,610,610,7421,,不限
score_118_1039167_11_2022_3_本科批,118_1039167,118,1039167,北京,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,综合,616,617,617,6509,,物理必选
score_118_5694_11_2022_3_本科批,118_5694,118,5694,北京,2022,纳米材料与技术,本科 (1),工学 (10),材料类 (66),普通类,本科批,综合,618,618,618,6248,,化学必选
score_118_5748_12_2022_3_本科批A段,118_5748,118,5748,天津,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,663,0,0,3086,,化学、生物(2科必选)
score_118_5748_12_2022_3_本科批A段,118_5748,118,5748,天津,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批A段,综合,663,0,0,3086,,化学、生物(2科必选)
score_118_5659_12_2022_3_本科批A段,118_5659,118,5659,天津,2022,哲学,本科 (1),哲学 (3),哲学类 (34),普通类,本科批A段,综合,649,0,0,5070,,不限
score_118_1039167_12_2022_3_本科批A段,118_1039167,118,1039167,天津,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,649,0,0,5070,,物理必选
score_118_5673_12_2022_3_本科批A段,118_5673,118,5673,天津,2022,建筑学,本科 (1),工学 (10),建筑类 (90),普通类,本科批A段,综合,648,0,0,5245,,物/化/生(3选1)
score_118_5682_12_2022_3_本科批A段,118_5682,118,5682,天津,2022,物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科批A段,综合,648,0,0,5245,,物理必选
score_118_5695_12_2022_3_本科批A段,118_5695,118,5695,天津,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,648,0,0,5245,,物理必选
score_118_5625_12_2022_3_本科批A段,118_5625,118,5625,天津,2022,旅游管理,本科 (1),管理学 (13),旅游管理类 (120),普通类,本科批A段,综合,646,0,0,5557,,不限
score_118_5678_12_2022_3_本科批A段,118_5678,118,5678,天津,2022,统计学,本科 (1),理学 (9),统计学类 (62),普通类,本科批A段,综合,646,0,0,5557,,物/化/生(3选1)
score_118_5653_12_2022_3_本科批A段,118_5653,118,5653,天津,2022,城市管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科批A段,综合,645,0,0,5690,,不限
score_118_5657_12_2022_3_本科批A段,118_5657,118,5657,天津,2022,物流管理,本科 (1),管理学 (13),物流管理与工程类 (117),普通类,本科批A段,综合,645,0,0,5690,,不限
score_118_5684_12_2022_3_本科批A段,118_5684,118,5684,天津,2022,新能源材料与器件,本科 (1),工学 (10),材料类 (66),普通类,本科批A段,综合,643,0,0,6024,,化学必选
score_118_5694_12_2022_3_本科批A段,118_5694,118,5694,天津,2022,纳米材料与技术,本科 (1),工学 (10),材料类 (66),普通类,本科批A段,综合,643,0,0,6024,,化学必选
score_118_5639_12_2022_3_本科批A段,118_5639,118,5639,天津,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科批A段,综合,641,0,0,6376,,物/化/生(3选1)
score_118_5676_12_2022_3_本科批A段,118_5676,118,5676,天津,2022,历史建筑保护工程,本科 (1),工学 (10),建筑类 (90),普通类,本科批A段,综合,641,0,0,6376,,物/化/生(3选1)
score_118_5733_12_2022_3_本科批A段,118_5733,118,5733,天津,2022,生物技术,本科 (1),理学 (9),生物科学类 (60),普通类,本科批A段,综合,641,0,0,6376,,物/化/生(3选1)
score_118_5659_12_2022_3_本科批A段,118_5659,118,5659,天津,2022,哲学,本科 (1),哲学 (3),哲学类 (34),普通类,本科批A段,综合,649,0,0,5070,,不限
score_118_5625_12_2022_3_本科批A段,118_5625,118,5625,天津,2022,旅游管理,本科 (1),管理学 (13),旅游管理类 (120),普通类,本科批A段,综合,646,0,0,5557,,不限
score_118_5653_12_2022_3_本科批A段,118_5653,118,5653,天津,2022,城市管理,本科 (1),管理学 (13),公共管理类 (115),普通类,本科批A段,综合,645,0,0,5690,,不限
score_118_5657_12_2022_3_本科批A段,118_5657,118,5657,天津,2022,物流管理,本科 (1),管理学 (13),物流管理与工程类 (117),普通类,本科批A段,综合,645,0,0,5690,,不限
score_118_1039167_12_2022_3_本科批A段,118_1039167,118,1039167,天津,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批A段,综合,649,0,0,5070,,物理必选
score_118_5682_12_2022_3_本科批A段,118_5682,118,5682,天津,2022,物理学,本科 (1),理学 (9),物理学类 (52),普通类,本科批A段,综合,648,0,0,5245,,物理必选
score_118_5695_12_2022_3_本科批A段,118_5695,118,5695,天津,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,648,0,0,5245,,物理必选
score_118_5673_12_2022_3_本科批A段,118_5673,118,5673,天津,2022,建筑学,本科 (1),工学 (10),建筑类 (90),普通类,本科批A段,综合,648,0,0,5245,,物/化/生(3选1)
score_118_5678_12_2022_3_本科批A段,118_5678,118,5678,天津,2022,统计学,本科 (1),理学 (9),统计学类 (62),普通类,本科批A段,综合,646,0,0,5557,,物/化/生(3选1)
score_118_5639_12_2022_3_本科批A段,118_5639,118,5639,天津,2022,药学,本科 (1),医学 (12),药学类 (107),普通类,本科批A段,综合,641,0,0,6376,,物/化/生(3选1)
score_118_5676_12_2022_3_本科批A段,118_5676,118,5676,天津,2022,历史建筑保护工程,本科 (1),工学 (10),建筑类 (90),普通类,本科批A段,综合,641,0,0,6376,,物/化/生(3选1)
score_118_5733_12_2022_3_本科批A段,118_5733,118,5733,天津,2022,生物技术,本科 (1),理学 (9),生物科学类 (60),普通类,本科批A段,综合,641,0,0,6376,,物/化/生(3选1)
score_118_5684_12_2022_3_本科批A段,118_5684,118,5684,天津,2022,新能源材料与器件,本科 (1),工学 (10),材料类 (66),普通类,本科批A段,综合,643,0,0,6024,,化学必选
score_118_5694_12_2022_3_本科批A段,118_5694,118,5694,天津,2022,纳米材料与技术,本科 (1),工学 (10),材料类 (66),普通类,本科批A段,综合,643,0,0,6024,,化学必选
score_118_5663_13_2022_2074_本科批,118_5663,118,5663,河北,2022,法学,本科 (1),法学 (5),法学类 (39),普通类,本科批,历史类,616,0,0,925,,
score_118_5659_13_2022_2074_本科批,118_5659,118,5659,河北,2022,哲学,本科 (1),哲学 (3),哲学类 (34),普通类,本科批,历史类,610,0,0,1299,,
score_118_5672_13_2022_2074_本科批,118_5672,118,5672,河北,2022,西班牙语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,607,0,0,1512,,
score_118_5668_13_2022_2074_本科批,118_5668,118,5668,河北,2022,俄语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批,历史类,606,0,0,1587,,
score_118_5748_13_2022_2073_本科批,118_5748,118,5748,河北,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,621,0,0,4073,,
score_118_5695_13_2022_2073_本科批,118_5695,118,5695,河北,2022,计算机科学与技术,本科 (1),工学 (10),计算机类 (71),普通类,本科批,物理类,611,0,0,6343,,
score_118_1039167_13_2022_2073_本科批,118_1039167,118,1039167,河北,2022,人工智能,本科 (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,611,0,0,6343,,
score_118_5707_13_2022_2073_本科批,118_5707,118,5707,河北,2022,电气工程及其自动化,本科 (1),工学 (10),电气类 (68),普通类,本科批,物理类,609,0,0,6887,,
