score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_37_610_11_2022_3_本科批,37_610,37,610,北京,2022,经济统计学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,综合,604,0,604,8125,,物/史/政(3选1)
score_37_587_11_2022_3_本科批,37_587,37,587,北京,2022,考古学,本科 (1),历史学 (8),历史学类 (50),普通类,本科批,综合,626,0,626,5280,,历史/地理(2选1)
score_37_610_11_2022_3_本科批,37_610,37,610,北京,2022,经济统计学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,综合,604,0,604,8125,,物/史/政(3选1)
score_37_587_11_2022_3_本科批,37_587,37,587,北京,2022,考古学,本科 (1),历史学 (8),历史学类 (50),普通类,本科批,综合,626,0,626,5280,,历史/地理(2选1)
score_37_578_12_2022_3_本科批A段,37_578,37,578,天津,2022,历史学,本科 (1),历史学 (8),历史学类 (50),普通类,本科批A段,综合,648,0,0,5245,,历史/地理(2选1)
score_37_589_12_2022_3_本科批A段,37_589,37,589,天津,2022,文物与博物馆学,本科 (1),历史学 (8),历史学类 (50),普通类,本科批A段,综合,648,0,0,5245,,历史/地理(2选1)
score_37_578_12_2022_3_本科批A段,37_578,37,578,天津,2022,历史学,本科 (1),历史学 (8),历史学类 (50),普通类,本科批A段,综合,648,0,0,5245,,历史/地理(2选1)
score_37_589_12_2022_3_本科批A段,37_589,37,589,天津,2022,文物与博物馆学,本科 (1),历史学 (8),历史学类 (50),普通类,本科批A段,综合,648,0,0,5245,,历史/地理(2选1)
score_37_100799_12_2022_3_本科批A段,37_100799,37,100799,天津,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批A段,综合,647,0,0,5404,,史/政/地(3选1)
score_37_615_12_2022_3_本科批A段,37_615,37,615,天津,2022,社会工作,本科 (1),法学 (5),社会学类 (41),普通类,本科批A段,综合,634,0,0,7592,,不限
score_37_100834_12_2022_3_本科批A段,37_100834,37,100834,天津,2022,化学,本科 (1),理学 (9),化学类 (53),普通类,本科批A段,综合,633,0,0,7774,,物理/化学(2选1)
score_37_634_12_2022_3_本科批A段,37_634,37,634,天津,2022,食品科学与工程,本科 (1),工学 (10),食品科学与工程类 (89),普通类,本科批A段,综合,625,0,0,9205,,物/化/生(3选1)
score_37_100799_12_2022_3_本科批A段,37_100799,37,100799,天津,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批A段,综合,647,0,0,5404,,史/政/地(3选1)
score_37_615_12_2022_3_本科批A段,37_615,37,615,天津,2022,社会工作,本科 (1),法学 (5),社会学类 (41),普通类,本科批A段,综合,634,0,0,7592,,不限
score_37_100834_12_2022_3_本科批A段,37_100834,37,100834,天津,2022,化学,本科 (1),理学 (9),化学类 (53),普通类,本科批A段,综合,633,0,0,7774,,物理/化学(2选1)
score_37_634_12_2022_3_本科批A段,37_634,37,634,天津,2022,食品科学与工程,本科 (1),工学 (10),食品科学与工程类 (89),普通类,本科批A段,综合,625,0,0,9205,,物/化/生(3选1)
score_37_587_13_2022_2074_本科批,37_587,37,587,河北,2022,考古学,本科 (1),历史学 (8),历史学类 (50),普通类,本科批,历史类,610,0,0,1299,,
score_37_100799_13_2022_2074_本科批,37_100799,37,100799,河北,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科批,历史类,610,0,0,1299,,
score_37_631_13_2022_2074_本科批,37_631,37,631,河北,2022,哲学,本科 (1),哲学 (3),哲学类 (34),普通类,本科批,历史类,600,0,0,2130,,
score_37_615_13_2022_2074_本科批,37_615,37,615,河北,2022,社会工作,本科 (1),法学 (5),社会学类 (41),普通类,本科批,历史类,597,0,0,2445,,
score_37_170964_13_2022_2073_本科批,37_170964,37,170964,河北,2022,临床医学,本科 (1),医学 (12),临床医学类 (102),普通类,本科批,物理类,598,0,0,10589,,
score_37_572_13_2022_2073_本科批,37_572,37,572,河北,2022,过程装备与控制工程,本科 (1),工学 (10),机械类 (64),普通类,本科批,物理类,592,0,0,13125,,
score_37_545_13_2022_2073_本科批,37_545,37,545,河北,2022,生物工程,本科 (1),工学 (10),生物工程类 (92),普通类,本科批,物理类,587,0,0,15439,,
score_37_587_14_2022_2_本科一批A段,37_587,37,587,山西,2022,考古学,本科 (1),历史学 (8),历史学类 (50),普通类,本科一批A段,文科,567,0,573,1122,,
score_37_611_14_2022_2_本科一批A段,37_611,37,611,山西,2022,金融学,本科 (1),经济学 (4),金融学类 (37),普通类,本科一批A段,文科,565,0,567,1227,,
score_37_631_14_2022_2_本科一批A段,37_631,37,631,山西,2022,哲学,本科 (1),哲学 (3),哲学类 (34),普通类,本科一批A段,文科,562,0,562,1410,,
score_37_100889_14_2022_1_本科一批A段,37_100889,37,100889,山西,2022,经济学,本科 (1),经济学 (4),经济学类 (35),普通类,本科一批A段,理科,570,0,570,7421,,
score_37_610_14_2022_1_本科一批A段,37_610,37,610,山西,2022,经济统计学,本科 (1),经济学 (4),经济学类 (35),普通类,本科一批A段,理科,565,0,567,8579,,
score_37_170605_14_2022_1_本科一批A段,37_170605,37,170605,山西,2022,知识产权,本科 (1),法学 (5),法学类 (39),普通类,本科一批A段,理科,561,0,562,9666,,
