score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_107_4965_11_2022_3_本科批,107_4965,107,4965,北京,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,644,644,644,3336,,物理必选
score_107_4965_11_2022_3_本科批,107_4965,107,4965,北京,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,综合,644,644,644,3336,,物理必选
score_107_4965_12_2022_3_本科批A段,107_4965,107,4965,天津,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,666,0,0,2718,,物理必选
score_107_4965_12_2022_3_本科批A段,107_4965,107,4965,天津,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批A段,综合,666,0,0,2718,,物理必选
score_107_4967_12_2022_3_本科批A段,107_4967,107,4967,天津,2022,生物技术,本科(普通) (1),理学 (9),生物科学类 (60),普通类,本科批A段,综合,657,0,0,3891,,物/化/生(3选1)
score_107_4967_12_2022_3_本科批A段,107_4967,107,4967,天津,2022,生物技术,本科(普通) (1),理学 (9),生物科学类 (60),普通类,本科批A段,综合,657,0,0,3891,,物/化/生(3选1)
score_107_4965_13_2022_2073_本科批,107_4965,107,4965,河北,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,物理类,625,0,0,3338,,
score_107_4936_13_2022_2073_本科批,107_4936,107,4936,河北,2022,建筑学,本科(普通) (1),工学 (10),建筑类 (90),普通类,本科批,物理类,614,0,0,5569,,
score_107_4965_15_2022_1_本科一批,107_4965,107,4965,内蒙古,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科一批,理科,579,603,0,2639,,
score_107_4965_21_2022_2073_本科批,107_4965,107,4965,辽宁,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,物理类,641,0,0,2110,,
score_107_4965_22_2022_1_本科一批A段,107_4965,107,4965,吉林,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,604,606,605,1639,（一、二年级/年，三、四年级按学分计，每学分400元，三、四年）,
score_107_4965_23_2022_1_本科一批A段,107_4965,107,4965,黑龙江,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,589,595,0,2199,"（一、二年级6600元/年,三、四年级按学分计，每学分400元，三、四年级总学分不高于80学分）",
score_107_4936_23_2022_1_本科一批A段,107_4936,107,4936,黑龙江,2022,建筑学,本科(普通) (1),工学 (10),建筑类 (90),普通类,本科一批A段,理科,586,587,0,2401,,
score_107_4950_32_2022_2073_本科批,107_4950,107,4950,江苏,2022,计算机科学与技术,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,物理类,626,627,0,4040,（拔尖学生培养基地）（在长安校区学习）,首选物理，再选不限
score_107_4935_32_2022_2073_本科批,107_4935,107,4935,江苏,2022,工程力学,本科(普通) (1),工学 (10),力学类 (63),普通类,本科批,物理类,622,622,0,5049,（拔尖学生培养基地）（在长安校区学习）,首选物理，再选不限
score_107_4965_32_2022_2073_本科批,107_4965,107,4965,江苏,2022,软件工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,物理类,621,624,0,5346,（报考该专业须查阅院校招生章程）（在长安校区学习）,首选物理，再选不限
score_107_1500044_32_2022_2073_本科批,107_1500044,107,1500044,江苏,2022,柔性电子学,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,物理类,621,625,0,5346,（本研衔接培养）（在长安校区学习）,首选物理，再选不限
