score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_51_1266_11_2022_3_本科批,51_1266,51,1266,北京,2022,车辆工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,614,614,614,6780,,物理必选
score_51_1800322_11_2022_3_本科批,51_1800322,51,1800322,北京,2022,智慧交通,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科批,综合,610,610,610,7296,,物理必选
score_51_1263_11_2022_3_本科批,51_1263,51,1263,北京,2022,电子信息科学与技术,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,综合,608,608,608,7567,,物理必选
score_51_1271_11_2022_3_本科批,51_1271,51,1271,北京,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批,综合,606,606,606,7851,,物理必选
score_51_1500054_11_2022_3_本科批,51_1500054,51,1500054,北京,2022,智能建造,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批,综合,606,606,606,7851,,物理必选
score_51_1305_11_2022_3_本科批,51_1305,51,1305,北京,2022,轨道交通信号与控制,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,综合,604,604,604,8125,,物理必选
score_51_1500057_11_2022_3_本科批,51_1500057,51,1500057,北京,2022,新能源科学与工程,本科(普通) (1),工学 (10),能源动力类 (67),普通类,本科批,综合,603,603,603,8264,,物理必选
score_51_1275_11_2022_3_本科批,51_1275,51,1275,北京,2022,工程力学,本科(普通) (1),工学 (10),力学类 (63),普通类,本科批,综合,602,606,604,8398,,物理必选
score_51_1272_11_2022_3_本科批,51_1272,51,1272,北京,2022,土木工程,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批,综合,598,606,602,8957,,物理必选
score_51_1273_11_2022_3_本科批,51_1273,51,1273,北京,2022,建筑学,本科(普通) (1),工学 (10),建筑类 (90),普通类,本科批,综合,593,593,593,9695,,物理必选
score_51_1266_11_2022_3_本科批,51_1266,51,1266,北京,2022,车辆工程,本科(普通) (1),工学 (10),机械类 (64),普通类,本科批,综合,614,614,614,6780,,物理必选
score_51_1800322_11_2022_3_本科批,51_1800322,51,1800322,北京,2022,智慧交通,本科(普通) (1),工学 (10),交通运输类 (80),普通类,本科批,综合,610,610,610,7296,,物理必选
score_51_1263_11_2022_3_本科批,51_1263,51,1263,北京,2022,电子信息科学与技术,本科(普通) (1),工学 (10),电子信息类 (69),普通类,本科批,综合,608,608,608,7567,,物理必选
score_51_1271_11_2022_3_本科批,51_1271,51,1271,北京,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),普通类,本科批,综合,606,606,606,7851,,物理必选
score_51_1500054_11_2022_3_本科批,51_1500054,51,1500054,北京,2022,智能建造,本科(普通) (1),工学 (10),土木类 (72),普通类,本科批,综合,606,606,606,7851,,物理必选
score_51_1305_11_2022_3_本科批,51_1305,51,1305,北京,2022,轨道交通信号与控制,本科(普通) (1),工学 (10),自动化类 (70),普通类,本科批,综合,604,604,604,8125,,物理必选
score_51_1500057_11_2022_3_本科批,51_1500057,51,1500057,北京,2022,新能源科学与工程,本科(普通) (1),工学 (10),能源动力类 (67),普通类,本科批,综合,603,603,603,8264,,物理必选
