score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_101_1498301_11_2022_3_本科批,101_1498301,101,1498301,北京,2022,计算金融,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,629,629,0,4964,,物理必选
score_101_1129688_11_2022_3_本科批,101_1129688,101,1129688,北京,2022,金融科技,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,625,625,0,5408,,物理必选
score_101_93275_11_2022_3_本科批,101_93275,101,93275,北京,2022,精算学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,624,625,0,5530,,物理必选
score_101_1859478_11_2022_3_本科批,101_1859478,101,1859478,北京,2022,数学与应用数学,本科(普通) (1),理学 (9),数学类 (51),普通类,本科批,综合,624,625,0,5530,,物理必选
score_101_4397_11_2022_3_本科批,101_4397,101,4397,北京,2022,数学与应用数学,本科(普通) (1),理学 (9),数学类 (51),普通类,本科批,综合,621,621,0,5887,,物理必选
score_101_1498304_11_2022_3_本科批,101_1498304,101,1498304,北京,2022,数字经济,本科(普通) (1),经济学 (4),经济学类 (35),普通类,本科批,综合,619,622,0,6115,,物理必选
score_101_1358803_11_2022_3_本科批,101_1358803,101,1358803,北京,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,综合,635,635,0,4288,,不限
score_101_1497525_11_2022_3_本科批,101_1497525,101,1497525,北京,2022,金融学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,634,640,0,4400,,不限
score_101_4413_11_2022_3_本科批,101_4413,101,4413,北京,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,633,634,0,4511,,不限
score_101_1497528_11_2022_3_本科批,101_1497528,101,1497528,北京,2022,经济学,本科(普通) (1),经济学 (4),经济学类 (35),普通类,本科批,综合,632,632,0,4629,,不限
score_101_1498301_11_2022_3_本科批,101_1498301,101,1498301,北京,2022,计算金融,本科(普通) (1),管理学 (13),管理科学与工程类 (112),普通类,本科批,综合,629,629,0,4964,,物理必选
score_101_1129688_11_2022_3_本科批,101_1129688,101,1129688,北京,2022,金融科技,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,625,625,0,5408,,物理必选
score_101_4412_11_2022_3_本科批,101_4412,101,4412,北京,2022,会计学,本科(普通) (1),管理学 (13),工商管理类 (113),普通类,本科批,综合,624,633,0,5530,,不限
score_101_93275_11_2022_3_本科批,101_93275,101,93275,北京,2022,精算学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,624,625,0,5530,,物理必选
score_101_1859478_11_2022_3_本科批,101_1859478,101,1859478,北京,2022,数学与应用数学,本科(普通) (1),理学 (9),数学类 (51),普通类,本科批,综合,624,625,0,5530,,物理必选
score_101_4418_11_2022_3_本科批,101_4418,101,4418,北京,2022,金融数学,本科(普通) (1),经济学 (4),金融学类 (37),普通类,本科批,综合,623,623,0,5653,,不限
score_101_4434_11_2022_3_本科批,101_4434,101,4434,北京,2022,经济学,本科(普通) (1),经济学 (4),经济学类 (35),普通类,本科批,综合,623,628,0,5653,,不限
score_101_4397_11_2022_3_本科批,101_4397,101,4397,北京,2022,数学与应用数学,本科(普通) (1),理学 (9),数学类 (51),普通类,本科批,综合,621,621,0,5887,,物理必选
score_101_4428_11_2022_3_本科批,101_4428,101,4428,北京,2022,经济统计学,本科(普通) (1),经济学 (4),经济学类 (35),普通类,本科批,综合,621,621,0,5887,,不限
