score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_57_918737_13_2022_2073_本科批,57_918737,57,918737,河北,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科批,物理类,589,0,0,14462,,
score_57_918742_13_2022_2073_本科批,57_918742,57,918742,河北,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科批,物理类,584,0,0,17032,,
score_57_918737_21_2022_2073_本科批,57_918737,57,918737,辽宁,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科批,物理类,602,0,0,8969,,
score_57_918742_21_2022_2073_本科批,57_918742,57,918742,辽宁,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科批,物理类,599,0,0,9671,,
score_57_1800_34_2022_1_本科一批,57_1800,57,1800,安徽,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科一批,理科,600,603,602,11242,（中外合作办学）（与英国赫瑞瓦特大学合作办学;在北校区就读）,
score_57_1784_34_2022_1_本科一批,57_1784,57,1784,安徽,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科一批,理科,595,601,598,13180,（中外合作办学）（与法国南特大学综合理工学院合作办学;在北校区就读）,
score_57_1129693_34_2022_1_本科一批,57_1129693,57,1129693,安徽,2022,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),中外合作办学,本科一批,理科,594,599,597,13591,（中外合作办学）（与美国弗吉尼亚理工大学合作办学）,
score_57_918737_37_2022_3_普通类一段,57_918737,57,918737,山东,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,普通类一段,综合,586,0,0,23608,,
score_57_918742_37_2022_3_普通类一段,57_918742,57,918742,山东,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,普通类一段,综合,580,0,0,28355,,
score_57_918737_44_2022_2073_本科批,57_918737,57,918737,广东,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科批,物理类,606,612,0,18092,（与英国赫瑞瓦特大学中外合作办学项目，具体培养模式和学习费用请查看学校网站）（北校区）,首选物理，再选不限
score_57_918742_44_2022_2073_本科批,57_918742,57,918742,广东,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科批,物理类,605,610,0,18724,（与法国南特大学综合理工学院中外合作办学项目，具体培养模式和学习费用请查看学校网站）（北校区）,首选物理，再选不限
score_57_918737_44_2022_2073_本科批,57_918737,57,918737,广东,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科批,物理类,606,612,0,18092,（与英国赫瑞瓦特大学中外合作办学项目，具体培养模式和学习费用请查看学校网站）（北校区）,首选物理，再选不限
score_57_918742_44_2022_2073_本科批,57_918742,57,918742,广东,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科批,物理类,605,610,0,18724,（与法国南特大学综合理工学院中外合作办学项目，具体培养模式和学习费用请查看学校网站）（北校区）,首选物理，再选不限
score_57_1800_61_2022_1_本科一批,57_1800,57,1800,陕西,2022,通信工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科一批,理科,571,585,575,9289,（中外合作办学）,
score_57_1784_61_2022_1_本科一批,57_1784,57,1784,陕西,2022,电子信息工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科一批,理科,568,587,572,9860,（中外合作办学）,
score_57_1129693_61_2022_1_本科一批,57_1129693,57,1129693,陕西,2022,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),中外合作办学,本科一批,理科,565,583,568,10531,（中外合作办学）,
score_57_1800_13_2023_2073_本科批,57_1800,57,1800,河北,2023,通信工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科批,物理类,603,0,0,14383,（中外合作办学）,
score_57_1784_13_2023_2073_本科批,57_1784,57,1784,河北,2023,电子信息工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科批,物理类,600,0,0,15687,（中外合作办学）,
score_57_1129693_13_2023_2073_本科批,57_1129693,57,1129693,河北,2023,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),中外合作办学,本科批,物理类,587,0,0,22232,（中外合作办学）,
score_57_1800_14_2023_1_本科一批A1段,57_1800,57,1800,山西,2023,通信工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科一批A1段,理科,578,0,0,8574,（办学地点北校区;与英国赫瑞瓦特大学合作办学）（中外合作办学）,
score_57_1784_14_2023_1_本科一批A1段,57_1784,57,1784,山西,2023,电子信息工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科一批A1段,理科,572,0,0,9840,（办学地点北校区;与法国南特大学综合理工学院合作办学）（中外合作办学）,
score_57_1129693_14_2023_1_本科一批A1段,57_1129693,57,1129693,山西,2023,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),中外合作办学,本科一批A1段,理科,571,0,0,10071,（办学地点南校区;与美国弗吉尼亚理工大学合作办学）（中外合作办学）,
score_57_1800_21_2023_2073_本科批,57_1800,57,1800,辽宁,2023,通信工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科批,物理类,617,0,0,7636,（中外合作办学）,
score_57_1784_21_2023_2073_本科批,57_1784,57,1784,辽宁,2023,电子信息工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科批,物理类,608,0,0,9464,（中外合作办学）,
score_57_1129693_21_2023_2073_本科批,57_1129693,57,1129693,辽宁,2023,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),中外合作办学,本科批,物理类,601,0,0,11044,（中外合作办学）,
score_57_1800_34_2023_1_本科一批,57_1800,57,1800,安徽,2023,通信工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科一批,理科,611,619,613,11853,（中外合作办学）（与英国赫瑞瓦特大学合作办学;在北校区就读）,
score_57_1129693_34_2023_1_本科一批,57_1129693,57,1129693,安徽,2023,大数据管理与应用,本科 (1),管理学 (13),管理科学与工程类 (112),中外合作办学,本科一批,理科,609,616,612,12546,（中外合作办学）（与美国弗吉尼亚理工大学合作办学）,
score_57_1784_34_2023_1_本科一批,57_1784,57,1784,安徽,2023,电子信息工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,本科一批,理科,607,623,611,13236,（中外合作办学）（与法国南特大学综合理工学院合作办学;在北校区就读）,
score_57_1800_37_2023_3_普通类一段,57_1800,57,1800,山东,2023,通信工程,本科 (1),工学 (10),电子信息类 (69),中外合作办学,普通类一段,综合,606,0,0,20547,（中外合作办学）,
