score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_50_1406_11_2022_3_本科批,50_1406,50,1406,北京,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),中外合作办学,本科批,综合,560,0,0,14943,（中外合作办学）,不限
score_50_1413_11_2022_3_本科批,50_1413,50,1413,北京,2022,国际政治,本科 (1),法学 (5),政治学类 (40),普通类,本科批,综合,583,0,0,11244,,不限
score_50_1397_11_2022_3_本科批,50_1397,50,1397,北京,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,582,0,0,11380,,不限
score_50_209841_11_2022_3_本科批,50_209841,50,209841,北京,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,综合,569,0,0,13401,,物理必选
score_50_1406_11_2022_3_本科批,50_1406,50,1406,北京,2022,会计学,本科 (1),管理学 (13),工商管理类 (113),中外合作办学,本科批,综合,560,0,0,14943,（中外合作办学）,不限
score_50_209841_11_2022_3_本科批,50_209841,50,209841,北京,2022,数学与应用数学,本科 (1),理学 (9),数学类 (51),普通类,本科批,综合,569,0,0,13401,,物理必选
score_50_1413_11_2022_3_本科批,50_1413,50,1413,北京,2022,国际政治,本科 (1),法学 (5),政治学类 (40),普通类,本科批,综合,583,0,0,11244,,不限
score_50_1397_11_2022_3_本科批,50_1397,50,1397,北京,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批,综合,582,0,0,11380,,不限
score_50_1394_12_2022_3_本科批A段,50_1394,50,1394,天津,2022,财政学,本科 (1),经济学 (4),财政学类 (36),普通类,本科批A段,综合,641,0,0,6376,,不限
score_50_1397_12_2022_3_本科批A段,50_1397,50,1397,天津,2022,汉语言文学,本科 (1),文学 (7),中国语言文学类 (47),普通类,本科批A段,综合,636,0,0,7232,,不限
score_50_106263_12_2022_3_本科批A段,50_106263,50,106263,天津,2022,德语,本科 (1),文学 (7),外国语言文学类 (48),普通类,本科批A段,综合,635,0,0,7401,,不限
