score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_62_348517_12_2022_3_本科批A段,62_348517,62,348517,天津,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批A段,综合,647,0,0,5404,,历史/思想政治(2选1)
score_62_2057_12_2022_3_本科批A段,62_2057,62,2057,天津,2022,预防医学,本科(普通) (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批A段,综合,634,0,0,7592,,化学、生物(2科必选)
score_62_854106_12_2022_3_本科批A段,62_854106,62,854106,天津,2022,经济学,本科(普通) (1),经济学 (4),经济学类 (35),中外合作办学,本科批A段,综合,631,0,0,8146,,不限
score_62_348517_12_2022_3_本科批A段,62_348517,62,348517,天津,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批A段,综合,647,0,0,5404,,历史/思想政治(2选1)
score_62_2057_12_2022_3_本科批A段,62_2057,62,2057,天津,2022,预防医学,本科(普通) (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批A段,综合,634,0,0,7592,,化学、生物(2科必选)
score_62_854106_12_2022_3_本科批A段,62_854106,62,854106,天津,2022,经济学,本科(普通) (1),经济学 (4),经济学类 (35),中外合作办学,本科批A段,综合,631,0,0,8146,,不限
score_62_348517_13_2022_2074_本科批,62_348517,62,348517,河北,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,历史类,608,0,0,1424,,
score_62_348517_13_2022_2073_本科批,62_348517,62,348517,河北,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,物理类,602,0,0,9065,,
score_62_108146_13_2022_2073_本科批,62_108146,62,108146,河北,2022,口腔医学,本科(普通) (1),医学 (12),口腔医学类 (103),普通类,本科批,物理类,601,0,0,9445,,
score_62_2053_13_2022_2073_本科批,62_2053,62,2053,河北,2022,信息安全,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,物理类,600,0,0,9823,,
score_62_108143_13_2022_2073_本科批,62_108143,62,108143,河北,2022,基础医学,本科(普通) (1),医学 (12),基础医学类 (101),普通类,本科批,物理类,589,0,0,14462,,
score_62_2057_13_2022_2073_本科批,62_2057,62,2057,河北,2022,预防医学,本科(普通) (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,物理类,587,0,0,15439,,
score_62_854078_13_2022_2073_本科批,62_854078,62,854078,河北,2022,通信工程,本科(普通) (1),工学 (10),电子信息类 (69),中外合作办学,本科批,物理类,586,0,0,15960,,
score_62_2121_14_2022_1_本科一批A段,62_2121,62,2121,山西,2022,物联网工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,560,0,562,9960,,
score_62_2057_15_2022_1_本科一批,62_2057,62,2057,内蒙古,2022,预防医学,本科(普通) (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科一批,理科,489,551,0,15567,,
score_62_348517_15_2022_2_本科一批,62_348517,62,348517,内蒙古,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科一批,文科,561,562,0,622,,
score_62_348517_21_2022_2074_本科批,62_348517,62,348517,辽宁,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,历史类,604,0,0,1022,,
score_62_348517_21_2022_2073_本科批,62_348517,62,348517,辽宁,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,物理类,609,0,0,7304,,
score_62_2053_21_2022_2073_本科批,62_2053,62,2053,辽宁,2022,信息安全,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科批,物理类,600,0,0,9412,,
score_62_108143_21_2022_2073_本科批,62_108143,62,108143,辽宁,2022,基础医学,本科(普通) (1),医学 (12),基础医学类 (101),普通类,本科批,物理类,575,0,0,16539,,
score_62_348517_22_2022_2_本科一批A段,62_348517,62,348517,吉林,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科一批A段,文科,553,554,554,993,,
score_62_348517_22_2022_1_本科一批A段,62_348517,62,348517,吉林,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科一批A段,理科,560,560,560,5728,,
score_62_2053_22_2022_1_本科一批A段,62_2053,62,2053,吉林,2022,信息安全,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,545,557,550,7941,,
score_62_2053_23_2022_1_本科一批A段,62_2053,62,2053,黑龙江,2022,信息安全,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,547,548,0,6756,（办学地点为主校区北校园）,
score_62_2121_23_2022_1_本科一批A段,62_2121,62,2121,黑龙江,2022,物联网工程,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科一批A段,理科,528,539,0,9965,（办学地点为主校区北校园）,
score_62_348517_23_2022_2_本科一批A段,62_348517,62,348517,黑龙江,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科一批A段,文科,548,556,0,1108,,
score_62_348517_32_2022_2074_本科批,62_348517,62,348517,江苏,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,历史类,587,587,0,2305,（报考该校大类专业须查阅院校招生网公布的分流专业：）,首选历史，再选不限
score_62_348517_32_2022_2074_本科批,62_348517,62,348517,江苏,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,历史类,587,587,0,2305,（报考该校大类专业须查阅院校招生网公布的分流专业：）,首选历史，再选不限
score_62_348517_32_2022_2073_本科批,62_348517,62,348517,江苏,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,物理类,601,601,0,13255,（报考该校大类专业须查阅院校招生网公布的分流专业：）,首选物理，再选不限
score_62_348517_32_2022_2073_本科批,62_348517,62,348517,江苏,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,物理类,601,601,0,13255,（报考该校大类专业须查阅院校招生网公布的分流专业：）,首选物理，再选不限
score_62_108146_32_2022_2073_本科批,62_108146,62,108146,江苏,2022,口腔医学,本科(普通) (1),医学 (12),口腔医学类 (103),普通类,本科批,物理类,593,595,0,18019,（报考该专业有色觉要求，具体请查阅院校招生章程）（报考该校大类专业须查阅院校招生网公布的分流专业：）,首选物理，再选化学
score_62_2057_32_2022_2073_本科批,62_2057,62,2057,江苏,2022,预防医学,本科(普通) (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,物理类,580,588,0,27305,（报考该专业有色觉要求，具体请查阅院校招生章程）（报考该校大类专业须查阅院校招生网公布的分流专业：）,首选物理，再选化学/生物(2选1)
score_62_2057_32_2022_2073_本科批,62_2057,62,2057,江苏,2022,预防医学,本科(普通) (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科批,物理类,580,588,0,27305,（报考该专业有色觉要求，具体请查阅院校招生章程）（报考该校大类专业须查阅院校招生网公布的分流专业：）,首选物理，再选化学/生物(2选1)
score_62_108146_32_2022_2073_本科批,62_108146,62,108146,江苏,2022,口腔医学,本科(普通) (1),医学 (12),口腔医学类 (103),普通类,本科批,物理类,593,595,0,18019,（报考该专业有色觉要求，具体请查阅院校招生章程）（报考该校大类专业须查阅院校招生网公布的分流专业：）,首选物理，再选化学
score_62_2105_33_2022_3_平行录取一段,62_2105,62,2105,浙江,2022,哲学,本科(普通) (1),哲学 (3),哲学类 (34),普通类,平行录取一段,综合,635,0,0,16767,,
score_62_2053_33_2022_3_平行录取一段,62_2053,62,2053,浙江,2022,信息安全,本科(普通) (1),工学 (10),计算机类 (71),普通类,平行录取一段,综合,631,0,0,19445,,
score_62_108146_34_2022_1_本科一批,62_108146,62,108146,安徽,2022,口腔医学,本科(普通) (1),医学 (12),口腔医学类 (103),普通类,本科一批,理科,610,625,0,8013,,
score_62_2053_34_2022_1_本科一批,62_2053,62,2053,安徽,2022,信息安全,本科(普通) (1),工学 (10),计算机类 (71),普通类,本科一批,理科,591,594,0,14810,,
score_62_2057_34_2022_1_本科一批,62_2057,62,2057,安徽,2022,预防医学,本科(普通) (1),医学 (12),公共卫生与预防医学类 (104),普通类,本科一批,理科,588,588,0,16092,,
score_62_108143_34_2022_1_本科一批,62_108143,62,108143,安徽,2022,基础医学,本科(普通) (1),医学 (12),基础医学类 (101),普通类,本科一批,理科,584,590,0,17948,,
score_62_348517_34_2022_2_本科一批,62_348517,62,348517,安徽,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科一批,文科,584,584,0,1863,,
score_62_348517_35_2022_2074_本科批,62_348517,62,348517,福建,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,历史类,591,593,592,1781,,首选历史，再选不限
score_62_348517_35_2022_2074_本科批,62_348517,62,348517,福建,2022,法学,本科(普通) (1),法学 (5),法学类 (39),普通类,本科批,历史类,591,593,592,1781,,首选历史，再选不限
