score_id,special_unique_id,school_id,special_id,province,year,sp_name,level1_name,level2_name,level3_name,zslx_name,local_batch_name,type,min,max,average,min_section,info,sg_info
score_119_5826_11_2022_3_本科批,119_5826,119,5826,北京,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),中外合作办学,本科批,综合,613,618,615,6912,,物理必选
score_119_5815_11_2022_3_本科批,119_5815,119,5815,北京,2022,机械设计制造及其自动化,本科(普通) (1),工学 (10),机械类 (64),中外合作办学,本科批,综合,610,612,611,7296,,物理必选
score_119_5826_11_2022_3_本科批,119_5826,119,5826,北京,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),中外合作办学,本科批,综合,613,618,615,6912,,物理必选
score_119_5815_11_2022_3_本科批,119_5815,119,5815,北京,2022,机械设计制造及其自动化,本科(普通) (1),工学 (10),机械类 (64),中外合作办学,本科批,综合,610,612,611,7296,,物理必选
score_119_5815_12_2022_3_本科批A段,119_5815,119,5815,天津,2022,机械设计制造及其自动化,本科(普通) (1),工学 (10),机械类 (64),中外合作办学,本科批A段,综合,650,0,0,4913,,物理必选
score_119_5826_12_2022_3_本科批A段,119_5826,119,5826,天津,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),中外合作办学,本科批A段,综合,650,0,0,4913,,物理必选
score_119_5815_12_2022_3_本科批A段,119_5815,119,5815,天津,2022,机械设计制造及其自动化,本科(普通) (1),工学 (10),机械类 (64),中外合作办学,本科批A段,综合,650,0,0,4913,,物理必选
score_119_5826_12_2022_3_本科批A段,119_5826,119,5826,天津,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),中外合作办学,本科批A段,综合,650,0,0,4913,,物理必选
score_119_5826_13_2022_2073_本科批,119_5826,119,5826,河北,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),中外合作办学,本科批,物理类,597,0,0,10996,,
score_119_5815_13_2022_2073_本科批,119_5815,119,5815,河北,2022,机械设计制造及其自动化,本科(普通) (1),工学 (10),机械类 (64),中外合作办学,本科批,物理类,593,0,0,12676,,
score_119_1801722_14_2022_1_本科一批A段,119_1801722,119,1801722,山西,2022,临床医学,本科(普通) (1),医学 (12),临床医学类 (102),普通类,本科一批A段,理科,590,0,592,3866,,
score_119_5823_32_2022_2073_本科批,119_5823,119,5823,江苏,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),中外合作办学,本科批,物理类,608,620,0,9960,（中外合作办学）（虎溪校区）（中外合作办学）（以下各专业前四学年在中国学习，另收美方学费约为25000元/年第五学年赴美国辛辛那提大学学习，赴美学费另算，详询院校）,首选物理，再选不限
score_119_5776_32_2022_2073_本科批,119_5776,119,5776,江苏,2022,机械设计制造及其自动化,本科(普通) (1),工学 (10),机械类 (64),中外合作办学,本科批,物理类,606,608,0,10835,（中外合作办学）（虎溪校区）（中外合作办学）（以下各专业前四学年在中国学习，另收美方学费约为25000元/年第五学年赴美国辛辛那提大学学习，赴美学费另算，详询院校）,首选物理，再选不限
score_119_5823_32_2022_2073_本科批,119_5823,119,5823,江苏,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),中外合作办学,本科批,物理类,608,620,0,9960,（中外合作办学）（虎溪校区）（中外合作办学）（以下各专业前四学年在中国学习，另收美方学费约为25000元/年第五学年赴美国辛辛那提大学学习，赴美学费另算，详询院校）,首选物理，再选不限
score_119_5776_32_2022_2073_本科批,119_5776,119,5776,江苏,2022,机械设计制造及其自动化,本科(普通) (1),工学 (10),机械类 (64),中外合作办学,本科批,物理类,606,608,0,10835,（中外合作办学）（虎溪校区）（中外合作办学）（以下各专业前四学年在中国学习，另收美方学费约为25000元/年第五学年赴美国辛辛那提大学学习，赴美学费另算，详询院校）,首选物理，再选不限
score_119_5826_33_2022_3_平行录取一段,119_5826,119,5826,浙江,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),中外合作办学,平行录取一段,综合,640,0,0,13159,,
score_119_5815_33_2022_3_平行录取一段,119_5815,119,5815,浙江,2022,机械设计制造及其自动化,本科(普通) (1),工学 (10),机械类 (64),中外合作办学,平行录取一段,综合,638,0,0,14599,,
score_119_5826_34_2022_1_本科一批,119_5826,119,5826,安徽,2022,电气工程及其自动化,本科(普通) (1),工学 (10),电气类 (68),中外合作办学,本科一批,理科,609,619,612,8293,,
