special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
125_6192,125,6192,信息安全,四年,工学学士,本科(普通),工学,计算机类,"<p><strong>专业介绍</strong></p>
<p>   信息安全是国家重点发展的新兴交叉学科，它和政务、国防、金融、制造、商业等部门和行业密切相关，具有广阔的发展前景。主要研究方向有：网络和通信安全、计算机安全及应用、通信和信息安全理论、密码理论与技术等。研究计算机通信网络、安全信息网络、媒体内容安全监察、安全信息系统及网络安全建模与形式化分析、安全检测与评估、系统安全管理、智能入侵检测、网络攻击与防御技术、安全电子商务与电子支付、加密卡与安全芯片设计等。主要课程有：可算性理论、算法和数据结构、操作系统、数据库原理、嵌入式系统、计算机网络、信息论基础、数字信号处理、通信原理、网络安全基础、信息安全工程、密码理论与技术、Windows安全原理与技术、下一代网络与软交换、Internet安全协议与标准、集成电路设计原理等。</p>
<p><strong>毕业去向</strong></p>
<p>   本专业学生毕业后主要在政府部门、IT行业、研究所、高校、银行、财税、公安、保密等信息安全领域工作。</p>"
125_6201,125,6201,信息工程,四年,工学学士,本科(普通),工学,电子信息类,"<p><strong>专业介绍</strong></p>
<p>   本专业已有近百年的发展历史，是国内最早培养无线电通信及现代电子信息领域技术人才的专业之一，所属一级学科排名全国第五。本专业还是教育部“卓越工程师”培养试点专业。</p>
<p>   以“强化实践性环节培养”为特色，本专业的学生在全国大学生电子设计竞赛（包括嵌入式系统专题邀请赛）、全国数模大赛、机器人大赛以及微软全球大学生嵌入式系统设计挑战赛（WESC）上屡创佳绩。近10% 的本专业学生参与香港科技大学、香港中文大学、美国GIT、CMU、新墨西哥大学、法国巴黎高科、日本早稻田等学校的交换生和双硕士培养项目。</p>
<p><strong>毕业去向</strong></p>
<p>   毕业生就业单位包括英特尔、微软、通用电气、西门子、中国电信、中国移动、民航华东空管局、地税局、邮电研究所等。所涉及的行业有软件业、电信业、咨询业、金融业、制造业。近一半的学生选择在国内或出国继续深造。</p>"
125_6229,125,6229,生物技术,四年,理学学士,本科(普通),理学,生物科学类,"<p><strong>专业介绍</strong></p>
<p>    本专业的特色为理工结合、以理为主，为学校特色专业。旨在培养具有扎实的现代生命科学理论基础和熟练的操作技能与工程基础知识的高级专业人才。本专业与中科院上海生命科学研究院建立了联合办学的体制，为学生的教学、科研实践提供良好的条件。本专业的研究方向有：人类基因组学与疾病基因组学、生物大分子的结构与功能、核酸分子生物学、分子遗传学、发育生物学、植物功能基因组学和蛋白质组学研究等。主要课程有：生物化学、细胞生物学、微生物学、免疫学、发育生物学、遗传学、分子生物学、基因工程原理、生化工程等。</p>
<p><strong>毕业去向</strong></p>
<p>    毕业生可以继续深造，也可以从事生命科学的基础理论研究或生物产品、药物的开发和应用，以及教学和科研工作。</p>"
125_6252,125,6252,船舶与海洋工程,四年,工学学士,本科(普通),工学,海洋工程类,"<p><strong>专业介绍</strong></p>
<p>1、船舶与海洋结构物设计制造方向。</p>
<p>   本学科是以力学为基础，机电为两翼，全面应用信息技术研究各类船舶与海洋结构物的工程学科。主要培养从事船舶与海洋结构物设计、先进制造技术和工程管理等方面的科学研究和工程应用型的高级人才，同时兼顾相近行业对人才的需求。</p>
<p>   主要课程有：数学、力学、计算机软硬件基础系列课程、船舶原理、船舶设计原理、船舶与海洋工程结构设计、现代造船技术、工程经济和管理基础等。</p>
<p>2、轮机工程及自动化方向</p>
<p>   本学科是船舶与海洋工程领域重要的专业方向，主要学习和研究船舶动力装置及自动化技术，包括船舶主机及传动系统的工作原理与性能、动力装置系统性能优化与环保设计、推进系统稳、动态匹配特性的计算机仿真技术及控制策略、动力装置计算机监控及故障诊断技术等，培养在计算机应用技术方面具有一定专长的宽厚型、复合型、创新型的船舶动力装置工程领域高级技术和管理人才。</p>
<p>   主要课程有：高等数学、力学、工程热力学、传热学、船舶原理与结构、船舶主机、船舶动力装置控制理论、热工测试技术、船舶动力装置、轮机自动化等。</p>
<p><strong>毕业去向</strong></p>
<p>   船舶与海洋结构物设计制造方向学生毕业后可到船舶与海洋工程设计研究单位、海事局、国内外船级社、船舶公司、海洋石油单位、船舶运输管理、船舶贸易与经营、海关、海上保险和海事仲裁等部门工作，也可到相近行业和信息产业有关单位就业。</p>
<p>   轮机工程及自动化方向学生毕业后可到船舶与海洋（或船舶柴油机）工程设计研究院（所）、国内外船级社与船舶检验部门、船舶修造、柴油机制造公司、动力机械制造企业、船舶贸易与经营公司、海关、海上保险和海事仲裁等部门工作，也可到相近行业和信息产业有关单位就业。</p>
"
125_6235,125,6235,计算机科学与技术,四年,工学学士,本科(普通),工学,计算机类,"<p><strong>专业介绍</strong></p>
<p>   本专业所属学科为国家一级重点学科。在师资队伍中，具有博士学位的教师占70％，由国外引进的教师占30％。本专业培养能适应新时代信息技术发展需要、具有开阔视野、德智体全面发展的计算机科学与技术领域专门人才，包括具有创新能力的研究型人才、具有设计能力的工程型人才和具有组织能力的管理型人才。本专业还是学校第一批全英文专业教学的试点专业之一。本专业学生在国际数学建模、创业大赛等竞赛中屡创佳绩。特别是在国际大学生ACM 程序设计竞赛中，三次获得世界冠军，至今在亚洲只有我们学校的该专业学生获此殊荣。</p>
<p><strong>毕业去向</strong></p>
<p>   40% 的毕业生在国内外大学继续深造，其余学生主要就业单位有：IBM、微软、INTEL、GOOGLE、eBay、摩根斯丹利、百度等，涉及的行业有信息技术、银行、咨询公司、政府部门等。</p>
"
125_6228,125,6228,生物医学工程,四年,工学学士,本科(普通),工学,生物医学工程类,"<p><strong>专业介绍</strong></p>
<p>    生物医学工程旨在以工程手段研究和解决生物学和医学中的有关问题，是综合生物学、医学和工程学的边缘学科。本专业培养具有信息科学知识、生命科学知识和医学临床知识，有较强的实验与设计能力，从事生物医学工程研究与开发的工程技术人才。本专业为学校特色专业。本专业目前有生物医学成像及图像处理、生物信息检测与处理、生物医学光子学、生物医学超声、生物纳米操纵、药物输送技术等研究方向。主要课程有：生物化学、解剖与生理学、信号与系统、信号处理、医学仪器原理、生物医学传感器、医学成像与图像处理等。</p>
<p><strong>毕业去向</strong></p>
<p>    学生毕业后除继续深造外，可到与生物医学相关的科研机构从事研究，也可担任医药与医疗仪器高新技术产业、计算机应用的开发与管理工作。</p>"
125_6198,125,6198,自动化,四年,工学学士,本科(普通),工学,自动化类,"<p><strong>专业介绍</strong></p>
<p>   自动化专业所属学科为国家首批重点一级学科，目前在全国高校专业排名中位居第三。</p>
<p>本专业以信息论、系统论和控制论为核心，以培养具有工业控制、生物信息、模式识别与图像处理、系统工程、导航制导等综合应用技能的宽口径、复合型、创新人才为目标，注重学生实践创新能力培养，学生每年在全国乃至国际的智能车、机器人等各种顶级大赛中获得多项冠军。</p>
<p><strong>毕业去向</strong></p>
<p>   大多数毕业生在工业、电力、银行、信息软科学等行业的国内外知名企业从事技术研发或管理工作，也有很多同学选择在海内外知名高校继续深造，其中包括哈佛大学、麻省理工学院、弗吉尼亚大学、日本早稻田大学、柏林工业大学、INSA-Lyon 大学等。</p>"
125_6204,125,6204,材料科学与工程,四年,工学学士,本科(普通),工学,材料类,"<p><strong>专业介绍</strong></p>
<p>专业方向：复合材料、生物材料、材料结构功能一体化、相变理论及其应用、先进热处理和表面工程、现代塑性成形及其数字化制造、精密液态成型、信息材料及其制备、先进材料制备技术、焊接（材料）制造科学及系统、高温和纳米材料等。</p>
<p>培养目标：根据精英人才的培养目标，以及通识教育、实践教育、创新教育和素质教育的先进办学理念，培养学生掌握系统的材料科学基本理论和必要的材料工程应用技术、基本的实验技能和科学创新的研究方法，成为基础扎实、知识面广博、社会适应能力和就业竞争力强，在本领域中具有国际竞争力的精英人才。</p>
<p><strong>毕业去向</strong></p>
<p>   毕业流向：近年来，学院学生的就业率和就业层次较之前得到明显提升，在传统学科中脱颖而出，处于全国同类院校领先地位，本科生就业率一直处于99％左右，毕业生不仅在传统的机械、钢铁、汽车行业领域竞争力强，还涉足微电子行业的测试、封装、制造，金融界的行业分析、市场研究、审计咨询等等。同时，优秀本科生选择继续研究生教育比例也增长明显。本科毕业生选择继续深造的比例超过50％。  </p>
"
125_6196,125,6196,环境科学与工程,四年,工学学士,本科(普通),工学,环境科学与工程类,"<p><strong>专业介绍</strong></p>
<p>   环境科学与工程专业以一级学科办学为特色，2010 年成为教育部特色专业。实行通识教育基础上的宽口径专业教育，培养环境领域研究型高层次人才和卓越工程师，毕业生主要在国内外著名高校及研究机构攻读硕士或博士学位，或进入重点工程单位、研究所和企业从事相关环境保护工作。本专业注重学生国际交流、实践能力、创新思维和领导力的培养。学生赴美国、法国、德国、日本、新加坡等世界一流大学交流的学生比例逐年大幅提升；学生进入宝钢股份有限公司、上海市环境监测中心、上海市环境科学研究院等一批著名企事业单位进行实习；学生在学习期间均有机会参加科研项目，并有相当比例的学生申报获批国家或上海市创新实验项目，人均项目数全校领先；学生广泛参加国内外重大社会活动，如“拜耳青年环境特使”活动、社会挂职锻炼、“六五”环境日活动等，涌现出一批综合素质突出的学生。</p>
<p><strong>毕业去向</strong></p>
<p>   本专业毕业生深造比例平均超过55％，其中，直升研究生比例达到25％，除了直升本校研究生外，学生进入到国内一流的研究机构和高等院校深造，广受好评；出国深造比例超过20％，深造学校包括美国哈佛大学、普林斯顿大学、斯坦福大学等，德国慕尼黑工业大学、弗莱堡大学等，英国剑桥大学、诺丁汉大学等，法国巴黎高科、中央理工、高等矿业等，日本东京大学、京都大学等国际知名高校。平均<br />
就业率超过97％，主要面向环境监测中心、环境科学研究院、环境工程设计院以及国内外著名企业等。</p>
"
125_6242,125,6242,食品科学与工程,四年,工学学士,本科(普通),工学,食品科学与工程类,"<p><strong>专业介绍</strong></p>
<p>   食品科学与工程专业隶属食品科学与工程系，拥有食品科学与工程一级学科硕士点，食品科学、农产品贮藏加工2个二级硕士点。本专业主要研究食品原料、食品加工过程以及食品消费流通中的质量控制与安全等问题，具有集生物、化学、物理、机电、化工等多学科交叉渗透的学科特点。培养学生成为掌握现代生物学及食品科学与工程基础知识理论和实践能力的高层次创造性人才。目前，主要研究方向有：食品加工与贮藏工程、食品安全与生物技术、功能食品与乳制品研发等。主要课程体系：普通生物学、生物化学、分子生物学、微生物学、遗传学、细胞生物学、生态学、生物统计学、生物信息学、食品工程原理、食品化学、食品工艺学、食品检验与分析原理。</p>
<p><strong>毕业去向</strong></p>
<p>    学生完成学业后，可在食品科学与工程、生物技术、生物化工等相关领域攻读硕士学位和博士学位，也可到食品加工、生物化工、生化制药或商检、质检、卫生防疫等企事业从事科学研究、产品研发、生产管理、卫生质量检验等工作。  </p>"
