special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
130_6701,130,6701,会计学,四年,管理学学士,本科(普通),管理学,工商管理类,"<p>培养掌握会计学基础理论、专门知识和技能，具有科学地组织会计工作、设计会计制度、从事审计和财务管理等能力的高级会计专门人才。</p>
<p><strong>主要专业课</strong></p>
<p>基础会计、中级财务会计、高级财务会计、成本会计、财务分析与公司估值、税务筹划、审计学、会计信息系统。专业选修课：管理咨询、并购财务学、创业投资管理、国际会计、内部审计、财务工程学、审计案例、政府与非营利组织会计、资本市场会计专题等。</p>
<p><strong>毕业生去向</strong></p>
<p>毕业生适合在国内外工商企业、金融企业、事业单位和会计师事务所及相关部门从事会计与财务管理工作。</p>"
130_6693,130,6693,金融学,四年,经济学学士,本科(普通),经济学,金融学类,"<p>培养掌握现代金融的理论知识和实务，全面了解货币金融理论与政策、国内外金融市场、各金融机构、企业投融资、各类金融工具与分析技术，具有从事金融政策分析、金融机构业务、产品开发与金融投资、企业金融实践运用等的高级金融管理人才。</p>
<p><strong>主要专业课</strong></p>
<p>公司金融、投资学、金融机构与市场、货币银行学、国际金融、金融计量学、保险学原理、财务报表分析、商业银行经营管理、金融工程学、信用管理概论、证券投资分析、实物期权与企业投资决策、固定收益证券、公司金融实务案例、兼并收购与重组、信托与租赁、基金管理等。</p>
<p><strong>毕业生去向</strong></p>
<p>适合在金融监管部门、商业银行、证券期货经营机构、基金等资产管理公司、保险机构、各类金融产品的交易所、企业集团、上市公司、会计师事务所、资信评价机构、金融投资咨询机构及其他相关部门和单位，从事金融产品设计、投资管理、资本运作、金融风险管理等工作，也可在政府部门及教学科研单位工作或进一步深造。</p>"
130_6670,130,6670,财政学,四年,经济学学士,本科(普通),经济学,财政学类,"<p>培养掌握经济学、政治学、管理学基本原理与方法，熟悉我国财政发展历史以及现行财政有关的法律法规，了解国外主要国家财政发展演变进程及现行财政制度安排，财税理论基础扎实，能合理解决财政及其它各公共管理部门相关具体政策（与事务）问题的高级公共管理人才。</p>
<p><strong>主要专业课</strong></p>
<p>公共经济学、政治学、公共管理学、中国税制、公共预算、公债学、中国财政史、综合财政管理等。</p>
<p><strong>毕业生去向</strong></p>
<p>既可在财政部门及其它的公共管理部门从事公共政策的制定和管理工作，也可以在企事业单位从事管理和财务方面的工作。</p>"
130_6675,130,6675,国际经济与贸易,四年,经济学学士,本科(普通),经济学,经济与贸易类,"<p>培养具有现代开放意识，把握时代特点和世界发展大势，突出强调具有深厚经济学基础，能熟练应用数据处理方法和工具，掌握扎实的国际贸易一般理论，通晓国际贸易实务和专业技能，具有熟练的外语交流能力的专业人才。</p>
<p><strong>主要专业课</strong></p>
<p>经济学原理、中级微观经济学、中级宏观经济学、世界经济、国际贸易、进出口贸易实务、国际金融、国际商务、市场营销和电子商务等。</p>
<p><strong>毕业生去向</strong></p>
<p>可在国有企业（中央企业和地方企业）民营企业和跨国公司从事国际贸易业务及其管理工作，此外，还可在上述企业从事其他涉外经济业务及其管理工作。可在各类金融、证券、保险机构从事实务和综合管理工作，还可在政府机构、研究机构和咨询公司从事国际经济与贸易问题的研究工作。还有部分毕业生在本专业和本校其他经管专业，以及到海外名校进一步深造，攻读硕士和博士学位，成为与国际经济相关各领域的高层次专门化人才。</p>
<p> </p>
<p><strong>专业（类）招生情况：</strong></p>
<p>2016年国际商务、工商管理、市场营销、人力资源管理及物流管理按照工商管理类招生，学生在大学一二年级接受通识教育，从大学三年级开始，根据个人兴趣与学习绩点，进入专业学习。</p>"
130_1032467,130,1032467,经济学（数量经济）,四年,经济学学士,本科(普通),经济学,经济学类,培养目标：本专业培养站在时代前列，具有强烈民族精神和高度社会责任感，以马克思主义 为指导，经济学基础理论功底深厚，信念执著、品德优良、知识丰富，能够理论联系实际，了解中国 国情，具有国际视野，具有强烈的创新意识和应用实践能力，能在高等学校和科研机构、相关政府 部门、企事业单位从事经济学教学研究和经济管理等方面工作的高素质专门人才和拔尖创新 人才。 培养要求：本专业学生主要学习经济学的基本理论和基本知识，接受经济学基础理论、科学 研究方法和社会实践能力等方面的基本训练。 毕业生应获得以下几方面的知识和能力： 1．掌握马克思主义经济学的基本理论、基本知识和现代经济学的基本理论和方法； 2．能够较好地运用统计学、计量经济学等分析方法对现实经济问题进行分析研究； 3．具有较强的学习能力、写作能力、语言表达能力、人际沟通和跨文化交流能力以及计算机 及信息技术应用等方面的基本能力； 4．熟悉国情，熟悉国家经济建设和经济改革等方面的基本方针、政策和法规； 5．了解经济学的理论前沿和中国经济社会发展与改革需要解决的重大问题； 6．具有能初步从事经济学理论研究的能力和实际工作能力，具有一定的批判性思维能力。 主干学科：理论经济学、应用经济学、工商管理。 核心课程：政治经济学（一般理论、资本主义经济、社会主义经济）、西方经济学（微观经济、 宏观经济）、计量经济学、统计学、财政学、货币金融学、会计学、经济史（中国经济史、外国经济 史）、经济思想史、当代中国经济。 主要实践性教学环节：实验课程（含基本统计分析软件应用、实务模拟等）、社会实践（含社 会调查、实习等）、科研和论文写作（含毕业论文、学年论文、科研实践等）。 修业年限：四年。 授予学位：经济学学士。
130_6672,130,6672,市场营销,四年,管理学学士,本科(普通),管理学,工商管理类,"<p>培养具有现代经营意识，掌握现代市场营销和国际营销理论与方法，具备运用先进营销技术的能力，能从事各类企业的经营管理和营销工作的德才兼备的专门人才。</p>
<p><strong>主要专业课</strong></p>
<p>微观经济学、宏观经济学、市场营销学、管理学、广告学、国际营销学、公共关系学、市场调研、服务营销、消费者行为学。</p>
<p><strong>毕业生去向</strong></p>
<p>适宜在工商企业或企业集团从事市场营销与国际营销的组织与管理工作；在政府管理部门、咨询公司或研究机构任职。部分毕业生继续在国内外名校攻读本专业及相关专业的硕士、博士学位，成为专业领域的高层次人才。</p>"
130_6703,130,6703,税收学,四年,经济学学士,本科(普通),经济学,财政学类,"<p>本专业旨在培养政府财税部门从事财政税收管理工作的专门人才；其他公共部门及企业、事业单位的财经管理人才；国、内外高校和研究机构相关专业进一步深造的研究生；金融机构及其他企业相关管理工作。</p>
<p><strong>主要专业课</strong></p>
<p>中国税制、财政学、税务管理、国际税收、税收筹划、外国税制、政治学原理、公共管理学、社会保障学、公共预算管理、中国税制史等。</p>
<p><strong>毕业生去向</strong></p>
<p>既可在政府税务部门、财政部门、司法部门从事税收的征收、管理与监察等工作，也可在企事业单位、会计事务所以及财务（税务）咨询公司从事税收筹划、代理、咨询以及财务决策等工作。</p>
<p><strong style=""line-height:1.6em"">行政管理</strong></p>
<p>行政管理依托我校在经济学、管理学方面的优势，以及充分发挥政治学、社会学和法学等学科的作用，把学生培养成为以公共管理为核心，熟练掌握现代管理理论、技术和方法，具备较高综合素质能力的复合型、高适应性管理人才。</p>
<p><strong>主要专业课</strong></p>
<p>政治学、公共经济学、行政管理学、公共管制学、公共政策学、公共预算管理、公共部门人力资源管理、行政管理经典文献选读、公共项目评估、政府与非营利组织会计、公共财政管理、公共事业管理概论、社会保障学、中国政治与行政制度、行政法学、公务员制度研究、政府绩效管理、数据处理与分析等。</p>
<p><strong>毕业生去向</strong></p>
<p>适合于从事各类党政机关、社会团体、各种大中型企业、各类事业单位的决策、咨询、管理工作。也可在高等院校和研究机构从事教学和科研工作。</p>
<p><strong style=""line-height:1.6em"">劳动与社会保障</strong></p>
<p>培养具备扎实的管理学和经济学专业知识、掌握现代管理技术与方法的高级管理人才。</p>
<p><strong>主要专业课</strong></p>
<p>福利经济学、精算学、公共管理学、社会保障学、劳动经济学、比较社会保障制度、社会保障基金管理、社会科学研究方法、人力资源管理、社会保障经典著作选读、社会保险实务、社会保障服务管理、社会福利与社会救助等。</p>
<p><strong>毕业生去向</strong></p>
<p>可在政府部门（发改委、财政、人力资源和社会保障、卫生和计划生育、民政）、政策研究部门、各类企事业单位从事劳动与社会保障政策研究、决策咨询和管理工作，也可在高等院校和研究机构从事教学和科研工作。</p>"
130_6680,130,6680,投资学,四年,经济学学士,本科(普通),经济学,金融学类,"<p>培养具有扎实的投资管理理论基础、具备投资项目分析与管理的能力，能够独立从事政府、跨国企业集团和金融机构等多个领域的投资经济及管理工作的高级专门人才。</p>
<p><strong>主要专业课</strong></p>
<p>投资学、融资学、工程造价学、不动产投资学、国际投资学、投资银行学、项目评估学、项目管理学、证券投资学等主要专业课程，掌握投资分析与决策、工程预算及项目管理等基本技能。</p>
<p><strong>毕业生去向</strong></p>
<p>适合在证券公司、银行、保险公司、投资咨询公司、信托投资公司、风险投资公司、房地产开发与经营公司、会计事务所、资产评估事务所、企业集团战略规划部或投资部，以及政府投资主管或规划部门工作。</p>"
130_6679,130,6679,房地产开发与管理,四年,管理学学士,本科(普通),管理学,管理科学与工程类,"<p>培养具有扎实的房地产理论功底、熟悉国内与国际房地产法规制度、房地产开发与经营管理、房地产金融、房地产投资、房地产策划及房地产评估等知识的高级专门人才。</p>
<p><strong>主要专业课</strong></p>
<p>房地产金融、房地产经济学、房地产投资分析、房地产开发与经营、房地产估价、房地产营销、项目评估与可行性研究、工程项目概预算、抵押市场、城市规划等。</p>
<p><strong>毕业生去向</strong></p>
<p>适合在房地产行政管理机关、科技园区、房地产开发与经营公司、商业银行、担保公司、投资集团、投资咨询公司、会计事务所、房地产估价师事务所、资产评估事务所等中外企事业单位，从事房地产领域的园区规划与开发、项目策划与论证、可行性分析与财务管理、项目融资与金融产品设计、资产抵押与担保、投资咨询等高级业务经理工作。</p>
<p> </p>
<p><strong>专业（类）招生情况：</strong></p>
<p>2016年财政学、税收学按照财政学类招生；劳动与社会保障、行政管理按照公共管理类招生。学生在大学一二年级接受通识教育，从大学三年级开始，按照学院分专业方案，根据个人兴趣与学习绩点，进入专业学习。</p>"
130_6668,130,6668,新闻学（经济新闻）,四年,文学学士,本科(普通),文学,新闻传播学类,"<p>以“中国财经记者的摇篮”为办学宗旨。培养既能熟练掌握新闻采、写、编、评业务,又有丰富的经济知识,兼具较强的语言交际和文字表达能力的高级复合型人才。</p>
<p> </p>
<p><strong>主要专业课</strong>:新闻学概论、新闻采访与写作、电视财经新闻（采编摄影）、财经新闻实务、西方经济学、管理学、会计学、市场营销、货币银行学、证券投资学。</p>
<p> </p>
<p>本系学生一直保持着很高的就业率，已有毕业生分别入职新华社、《上海证券报》、《文汇报》、《解放日报》报业集团、《经济观察报》、《第一财经日报》、《理财》周刊等媒体；同时也有大量学生进入银行、证券公司、基金公司等各类经济实体或机构工作。</p>"
