special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
109_5091,109,5091,电子科学与技术,四年,工学学士,本科(普通),工学,电子信息类,培养以电子器件及其系统应用为核心，重视器件与系统的交叉与融合，能跟踪新理论、新技术的发展，在微电子、物理电子、光电子和光通信等技术领域从事科学研究、教学、工程设计及技术开发等工作的人格健全、责任感强、具有较强的创新实践能力和宽广的国际化视野的高素质技术人才。该专业培养方向为：信息显示科学与技术、信息光电子科学与技术、微电子技术、大规模集成电路系统、光纤通信、应用电子技术、新型电子器件与系统、真空电子技术等。
109_168423,109,168423,软件工程,四年,工学学士,本科(普通),工学,计算机类,"培养目标：本专业培养德、智、体等方面全面发展，掌握自然科学和人文社科基础知识，掌握
计算科学基础理论、软件工程专业的基础知识及应用知识，具有软件开发能力以及软件开发实践
的初步经验和项目组织的基本能力，能从事软件工程技术研究、设计、开发、管理、服务等工作的
专门人才。
    培养要求：本专业学生主要学习自然科学和人文社科基础知识，学习计算科学、软件工程相
关的基本理论和基本知识，接受软件工程的基本训练，具有软件开发实践的基本能力和初步经
验、软件项目组织的基本能力以及基本的工程素养，具有初步的创新和创业意识、竞争意识和团
队精神，具有良好的外语运用能力。
    毕业生应获得以下几方面的知识和能力：
    1．掌握基本的人文和社会科学知识，具有良好的人文社会科学素养、职业道德和心理素质，
社会责任感强；
    2．掌握从事本专业工作所需的数学和其他相关的自然科学、系统科学知识以及一定的经济
学与管理学知识；
    3．掌握计算学科基础理论知识和专业知识，了解本学科的核心概念、知识结构和典型方法；
    4．掌握软件工程学科的基本理论和基本知识，熟悉软件需求分析、设计、实现、评审、测试、
维护以及过程与管理的方法和技术，了解软件工程规范和标准；
    5．经过系统化的软件工程基本训练，具有参与实际软件开发项目的经历，具备作为软件工
程师从事工程实践所需的专业能力；
    6．具备综合运用掌握的知识、方法和技术解决实际问题的能力，能够权衡和选择各种设计
方案，使用适当的软件工程工具设计和开发软件系统，能够建立规范的系统文档；
    7．充分理解团队合作的重要性，具备个人工作与团队协作的能力、人际交往和沟通能力以
及一定的组织管理能力；
    8．具有初步的外语应用能力，能阅读本专业的外文材料，具有一定的国际视野和跨文化交
流、竞争与合作能力；
    9．了解与本专业相关的职业和行业的重要法律法规及方针与政策，理解软件工程技术伦理
的基本要求；
    10.了解软件工程学科的前沿技术和软件行业的发展动态，在基础研发、工程设计和实践等
方面具有一定的创新意识和创新能力；
    11.能够运用所学的知识、技能和方法对系统的各种解决方案进行合理的判断和选择，具备
一定的批判性思维能力；
    12.具备自我终身学习的能力，自觉学习随时涌现的新概念、新模型和新技术，使自己的专
业能力保持与学科的发展同步。
    主干学科：软件工程。
    核心知识领域：计算基础、数学和工程基础、职业实践、软件系统建模与分析、软件系统设计、
验证与确认、软件演化、软件过程、软件质量、软件管理。
    核心课程示例：
    示例一（括号内为理论授课+实验学时数）：离散数学（64学时）、计算系统基础（64+48学
时）、计算与软件工程I（个人级软件开发）（48+48学时）、计算与软件工程Ⅱ（小组级软件开
发）（48+48学时）、计算与软件工程Ⅲ（团队软件工程实践）（16+96学时）、数据结构与算法
（64+48学时）、操作系统（48+48学时）、计算机网络（48+48学时）、数据库系统（48+48学
时）、软件需求工程（32+32学时）、软件系统设计与体系结构（32+32学时）、软件构造(32+32
学时)、软件测试与质量（32+32学时）、人机交互的软件工程方法（32+32学时）、计算机组织
结构（限选）（48学时）、软件工程统计方法（限选）（48学时）、软件过程与管理（限选）（32学
时）。
    示例二：程序设计基础（32学时）、面向对象的编程与设计（32学时）、数据结构（32学时）、
离散结构（32学时）、操作系统（32学时）、数据库系统（32学时）、计算机网络（32学时）、软件工
程概论（32学时）、软件系统分析与设计技术（32学时）、软件体系结构（32学时）、软件项目管理
（32学时）、软件测试技术与实践（32学时）、计算机应用与编程综合实践（实验64学时）、面向对
象与交互式应用开发综合实践（实验64学时）、数据结构与算法综合实践（实验64学时）、数据
库应用系统综合实践（实验64学时）、软件系统构思综合训练（实验64学时）、软件工程综合实
践（实验64学时）。
    示例三（括号内为理论授课+实验学时数）：程序设计基础（60+20学时）、离散数学（64学
时）、面向对象程序设计（40+16学时）、数据结构（60+20学时）、计算机组成与结构（52 +12学
时）、操作系统（62 +10学时）、数据库概论（52 +12学时）、软件工程导论（40+8学时）、网络及其
计算（56+16学时）、软件建模技术（30+10学时）、软件质量保证与测试（32+8学时）、软件项目
管理（32+8学时）、软件工程课程设计（实验80学时）。
    主要实践性教学环节：课程实验、课程设计、专业实习、毕业设计（论文）等。
    主要专业实验：程序设计实验、计算机网络实验、操作系统实验、数据库设计实验、系统分析
与软件建模实验、软件系统设计实验、软件测试实验、专业综合实践。
    修业年限：四年。
    授予学位：工学学士。"
109_5118,109,5118,建筑学,五年,工学学士,本科(普通),工学,建筑类,以建筑设计为核心课程，学习相关专业理论课及专业基础课，并参加若干实践性教学环节，以培养学生具有作为未来建筑师应有的素质和修养。本专业注重职业教育、专业技能训练，注重培养学生宽阔的社会视野和灵活的社会适应能力。2011 年本专业第四次通过国家建筑学专业评估，获A 级优秀。学生通过严谨求实而又生动活泼的教学过程，修满规定的学分，毕业时可获建筑学学士学位。学生毕业后可继续攻读硕士学位直至博士学位，或到各设计机构、国家机关、高等学校、科研单位从事设计、管理、教学、研究等工作。
109_5113,109,5113,土木工程,四年,工学学士,本科(普通),工学,土木类,东南大学土木工程学科起源于1923年茅以升先生创立的土木工程学科，是国家985工程和211工程重点建设学科，教育部振兴行动计划重点建设学科，拥有一级学科博士点和博士后流动站。土木工程专业于2006年获批江苏省首批品牌专业，2007年教育部批准建设国家级特色专业，2010年入选教育部首批卓越工程师培养计划，2012年获批教育部本科教学工程专业综合改革试点项目。土木工程专业于1995年、2000年、2005年及2013年连续四次以优秀成绩通过国家专业评估（专业认证）。东南大学土木工程专业拥有一支以国家级创新教学团队为骨干的高水平教师队伍，其中包括国家“千人计划”4人，国家“青年千人计划”3人，国家杰出青年基金获得者3人、“新世纪百千万人才工程”国家级人选1人、国家教学名师1人、长江学者特聘教授2人、讲座教授2人、青年学者2人，“万人计划领军人才”2人等。培养方向土木工程专业主要培养掌握结构工程、岩土工程、隧道与桥梁工程、地下工程以及防灾、减灾与防护工程等学科基本理论和知识，接受注册工程师基本训练并具备从事土木工程项目规划与设计、施工与管理、研究与开发能力的高素质人才。本专业学生学习公共基础、学科基础及专业主干课的基本理论，通过实验、实习、课程设计及毕业设计等基本训练，具备下列基本知识和能力：(1)具有较扎实的自然科学基础以及继续深造、终生学习和专业发展的基础 ；(2)掌握工程力学、流体力学、结构力学、土力学等基本理论，掌握土木工程规划与选型、工程材料、结构分析与设计、地基处理等方面的基本知识，掌握工程施工、工程测量、试验检测等基本技术，了解建设项目经济与管理方面的基本内容 ；(3)具有综合应用外文、计算机和现代化设备进行工程设计、施工、管理的初步能力，以及研究和应用开发的创新潜力 ；(4)了解土木工程法规，具有社会交往、组织管理及领导工作的初步能力。主修课程学科基础课：工程力学、结构力学、水力学与水文学、画法几何与CAD制图、土木工程概论、工程测量、土力学与工程地质、土木工程材料等。专业主干课 ：工程结构设计原理、土木工程施工、基础工程、建筑结构设计、地下结构工程、桥梁工程、道路工程等。
109_5104,109,5104,交通工程,四年,工学学士,本科(普通),工学,交通运输类,交通与每个人的出行密切相关。随着经济社会的快速发展，交通拥堵、安全、环境等方面的问题也日益突显，已经成为世界级难题。本专业以“人、车、路、环境”所构成的复杂交通系统为研究对象，以人和物的最佳移动为目标，主要解决道路交通系统规划、建设与管理中的科学和工程问题。东南大学是我国最早设置交通工程专业的高校之一。本专业先后获批国家级特色专业（2007年）、国家级综合改革试点专（2012年）、江苏省品牌专业（2015年）。在艾瑞深中国校友会网编制的《2015、2016年中国大学本科专业评价报告》中，本专业连续获评全国唯一的六星级国内顶尖交通工程专业。专业相关介绍参见腾讯视频网站“交通工程—专业的秘密”：https://v.qq.com/x/cover/7dwut8ojqqolxqx/i1411p3y4fc.html培养目标      以培养“复合型、国际化、创新型”人才为目标，为教育部首批“卓越工程师培养计划”试点专业。通过四年学习，重点培养以下能力 ：（1）多学科交叉进行交通问题的解决能力。包括 ：从城市和区域层面进行综合交通系统性问题诊断、方案设计与优化能力，道路交通基础设施的建造与施工能力，交通系统信息化、智能化的数据分析与方案设计能力 ；（2）国际化视野的培养。设置多门全英文和双语课程，常年邀请高水平海外学者全英文授课和讲座 ；（3）工程实践能力和创新意识。与一批高水平交通规划、设计企业建立卓越工程师联合培养基地，邀请企业专家授课，可在基地进行工程实践和毕业设计。本专业于2014年通过工程教育专业认证，毕业生具有“国际实质等效”的资格。学生毕业后能够在交通运输领域从事规划设计、技术开发与应用、组织管理等方面的工作，以及在教育、科研等部门从事相关工作。
109_164984,109,164984,信息工程,四年,工学学士,本科(普通),工学,电子信息类,"培养目标：本专业培养具备信息获取、信息传输、信息处理、信息应用等方面的基础理论和专
业知识，系统掌握现代信息技术，能在信息工程领域从事科学研究、工程设计、技术开发、设备制
造、管理维护的复合型工程科技人才。
    培养要求：本专业学生主要学习数学、物理、电子线路、计算机应用、信息论与编码、通信理论
与网络等方面的基本理论和基本知识，接受信息技术领域软硬件开发、计算机程序设计与应用、
科学研究与工程设计等能力的基本训练，具有对信息系统进行分析、设计、开发、测试和应用，以
及综合运用科学理论和工程技术分析解决工程问题的基本能力。
    毕业生应获得以下几个方面的知识和能力：
    1．身心健康，具有良好的工程职业道德、爱国敬业精神、人文科学素养和社会责任感；
    2．具有从事信息领域科学研究、工程设计、技术服务工作所需的数学和其他相关的自然科
学知识；
    3．具有良好的质量、环境、职业健康、安全和服务意识；
    4．掌握信号与系统、电子线路、电磁场与电磁波、计算机基础等基础理论，具有信息获取、信
息传输、信息处理、信息应用的相关专业知识；
    5．掌握信息技术领域软硬件开发、计算机程序设计与应用的基本技能，具有对信息系统进
行分析、设计、开发、测试和应用的基本能力，具有综合运用科学理论和工程技术分析解决工程问
题的基本能力，具有较强的创新意识和进行产品、技术与设备进行研究、开发、设计和技术改造或
创新的初步能力；
    6．掌握文献检索、资料查询和运用现代信息技术手段获取相关信息的基本方法；
    7．了解信息工程技术领域的技术标准、相关政策、法律和法规，具有初步的经济管理知识和
良好的知识产权意识，了解通信技术的现状与发展趋势，能正确认识信息技术的工程实践对于客
观世界和社会的影响；
    8．具有较好的组织管理能力、较强的表达能力和交流沟通能力以及良好的团队意识和合作精神；
    9．具有职业发展学习能力和适应环境的能力；
    10.具有一定的国际视野和跨文化环境下交流、竞争与合作的初步能力。
    主干学科：信息与通信工程、计算机科学与技术、控制科学与工程。
    核心知识领域：计算机信息技术、通信系统原理、信号与信息处理技术、电磁场与波、微处理
器与嵌入式系统原理、信息获取与检测技术、信息论与编码技术等。
    核心课程示例：
    示例一：高等数学（170学时）或数学分析（204学时）、线性代数（51学时）、概率统计（51学
时）、离散数学（34学时）、数理方法（51学时）、大学物理（132学时）、程序设计思想与方法(51
学时)、C++程序设计（51学时）、数据结构（68学时）、基本电路理论（68学时）、模拟电子技术
（51学时）、数字电子技术（51学时）、信号与系统（68学时）、嵌入式系统原理与实验（85学时）、
电磁场与波（68学时）、数字系统仿真VHDL设计(51学时)、通信原理（68学时）、数字信号处理
（51学时）、通信基本电路（68学时）、微波与天线（68学时）、近代信息论（34学时）、雷达原理
（34学时）、平面显示技术（34学时）、无线通信原理与移动网络（68学时）、操作系统（68学时）、
数字图像处理（51学时）。
    示例二：高等数学（196学时）、数学分析选讲（30学时）、线性代数（52学时）、概率论与数理
统计（46学时）、场论与复变函数（46学时）、大学物理（130学时）、C语言程序设计（30学时）、
电路分析基础（68学时）、信号与系统（68学时）、模拟电子技术基础（60学时）、数字电路与逻辑
设计（46学时）、微机原理与系统设计（78学时）、高频电子线路（60学时）、电磁场与电磁波(60
学时)、随机信号分析（46学时）、数字信号处理（46学时）、通信原理（60学时）、通信网络基础
（46学时）、信息论与编码理论（76学时）、信号检测与估值（46学时）、离散数学（46学时）、数据
结构与算法分析（54学时）、数据压缩与信源编码（46学时）、无线通信（46学时）、传感技术(30
学时)。
    示例三：高等数学（192学时）、线性代数（48学时）、概率论与随机过程（46学时）、大学物理
（128学时）、高级语言程序设计（C语言）（64学时）、电路分析基础（64学时）、信号与系统( 64
学时)、模拟电子技术基础（64学时）、数字电路与逻辑设计（64学时）、高频电子线路（48学时）、
通信原理（48学时）、传感器与检测技术基础（48学时）、现代通信网（48学时）、数字信号处理器
原理（64学时）、无线传感器网络（64学时）、嵌入式系统原理与应用（64学时）。
    主要实践性教学环节：工程技术训练、电子工艺实习、专业实习、课程设计、毕业设计（论
文）等。
    主要专业实验：电子线路实验、计算机基础实验、通信原理实验、专业综合实验。
    修业年限：四年。
    授予学位：工学学士。"
109_5098,109,5098,自动化,四年,工学学士,本科(普通),工学,自动化类,自动化专业是自动化类基本专业，以控制科学与控制工程、电气工程、信息工程、系统工程理论为基础，以电工技术、电子技术、计算机技术为主要手段，以“厚基础、宽培养、重能力”为特色的宽口径综合自动化专业，主要培养从事自动化相关技术研究、工程应用或技术管理的高素质、创新型、复合型人才。自动化专业培养注重素质教育，要求学生具有深厚的自动化和电子与信息理论基础，具有很强的基于计算机软硬件的综合自动化系统分析、设计与应用能力。该专业2005年成为江苏省首批品牌专业，2007年被评为首批国家级第一类特色专业建设点，2008年经教育部批准建设研究型大学控制类工程师培养创新实验区，2010年经教育部批准列入第一批卓越工程师教育培养计划，2011年入选江苏高校优势学科建设工程一期项目，2012年成为江苏省首批重点专业。
109_164992,109,164992,电气工程及其自动化,四年,工学学士,本科(普通),工学,电气类,"培养目标：电气工程主要是研究电能的产生、传输、转换、控制、储存和利用的学科。本专
业隶属于电气类，培养具备电气工程领域相关的基础理论、专业技术和实践能力，能在电气工
程领域的装备制造、系统运行、技术开发等部门从事设计、研发、运行等工作的复合型工程科
技人才。
    培养要求：本专业学生主要学习电路、电磁场、电子技术、计算机技术、信号分析与处理、电机
学和自动控制等方面的基础理论、专业知识和专业技能。本专业主要特点是强电与弱电相结合、
软件与硬件相结合、元件与系统相结合。本专业学生接受电工、电子、信息、控制及计算机技术方
面的基本训练，掌握解决电气工程领域中的装备设计与制造、系统分析与运行及控制问题的基本
能力。学校可根据情况设置专业方向，如电力系统及其自动化、电机及其控制、高电压技术、电力
电子技术等。
    毕业生应获得以下几方面的知识和能力：
    1．掌握较扎实的高等数学和大学物理等自然科学基础知识，具有较好的人文社会科学和管
理科学基础，具有外语运用能力；
    2．系统地掌握电气工程学科的基本理论和基本知识，主要包括电工理论、电子技术、信息处
理、控制理论、计算机软硬件基本原理与应用等；
    3．掌握电气工程相关的系统分析方法、设计方法和实验技术；
    4．获得较好的工程实践训练，具有较熟练的计算机应用能力；
    5．具有本专业领域内1~2个专业方向的知识与技能，了解本专业学科前沿的发展趋势；
    6．具有较强的工作适应能力，具备一定的科学研究、技术开发和组织管理的实际工作能力。
    主干学科：电气工程、控制科学与工程。
    核心知识领域：电气工程及其自动化专业核心知识领域应涵盖电路、电子、电磁场、信息分析
与处理、自动控制、计算机技术、工程设计等方面的基础理论，以及电力系统及其自动化、电机与
电力拖动、电力电子与电气检测、电力设备与高电压技术等方面的专业知识。此外，建议适当涉
及电气学科的前沿领域和发展趋势，各学校可根据办学特色设置相关课程。
    核心课程示例：
    示例一：电气学科概论（16学时）、电路基础（64学时）、信号与系统（64学时）、电磁场(32
学时)、数字逻辑电路（64学时）、模拟电子电路（64学时）、数据结构与数据库技术（40学时）、自
动控制原理（48学时）、微机系统与接口（48学时）、电机学（上）（48学时）、电机学（下）（48学
时）、电力电子基础（48学时）、电力系统基础（64学时）、电力传动技术（48学时）、电力系统暂态
分析（48学时）、电气检测技术（48学时）、电力系统继电保护（48学时）。
    示例二：电路（72学时）、信号与系统（32学时）、工程电磁场（40学时）、数字逻辑电路( 64
学时)、模拟电子电路（64学时）、数据结构与数据库技术（40学时）、控制工程基础（48学时）、微
机原理与接口技术（72学时）、电机学（上）（32学时）、电机学（下）（48学时）、电力电子技术(48
学时)、发电厂电气工程（48学时）、电力系统分析（64学时）、电力系统继电保护（64学时）。
    示例三：电路（96学时）、数字逻辑电路（64学时）、模拟电子电路（64学时）、信号与系统
（48学时）、自动控制理论（56学时）、微机原理与应用（64学时）、电机学（上）（64学时）、电力工
程（上）（64学时）、电力电子技术（48学时）、微机保护基础（48学时）、电力系统自动装置（48学
时）、电力系统继电保护（48学时）、电力系统故障分析（48学时）、工程电磁场（48学时）。
    主要实践性教学环节：金工实习、电子电气工艺实习、计算机软硬件实践、电气工程专业课程
设计、综合实验、生产实习、毕业设计（论文）等。
    主要专业实验：电路实验、电子技术实验、电机与控制实验、电气工程系统实验、电力电子实
验等。
    修业年限：四年。
    授予学位：工学学士。"
109_5099,109,5099,计算机科学与技术,四年,工学学士,本科(普通),工学,计算机类,人才培养方案长期贯彻德、智、体、美全面发展的原则，课程体系强调本硕贯通，拓宽培养口径，加强实践，注重创新和发展学生个性。专业教学指导思想 ：“软硬结合、立足系统、面向应用”。人才培养目标 ：以研究型人才培养为中心，同时注重学生的实践能力培养，使之成为研究与应用的复合型人才。开办“计算机科学培优班”，强化学生的理论基础和实践能力，为学生的继续深造奠定良好基础。计算机科学与技术专业是首批加入“国家卓越工程师计划”的专业，也是首批江苏省重点建设专业。主修课程程序设计基础及语言、离散结构、 数据结构基础、编译原理、 操作系统、 计算机组织与结构等。
109_563988,109,563988,生物医学工程,四年,工学学士,本科(普通),工学,生物医学工程类,"培养目标：本专业培养具备良好的人文素养和团队合作精神，系统地掌握生物医学工程的基
础理论、基本知识和基本技能，能在医疗器械、医疗卫生等相关行业的企事业单位从事工程技术
开发、服务、管理和教育等工作或攻读研究生，具有较强的知识更新能力和创新能力的生物医学
与工程科学相结合的复合型高级专业人才。培养要求：本专业学生主要学习生命科学、电子技术、计算机与信息科学、医学仪器、生物医
学材料的基本理论和基本知识，接受严格的科学实验、技术研发训练和初步的科学研究训练，掌
握工程技术在生物医学中应用研究、产品开发和管理的基本能力。毕业生应获得以下几方面的知识和能力：1．掌握较扎实的自然科学知识，具有一定的人文、艺术和社会科学基础；2．掌握一定的生理学和医学知识；3．掌握生物医学电子与信息技术的基本原理及应用、生物医学信息检测及处理的基本理论
和分析方法、生物医学材料基本原理及设计方法等；4．了解生物医学工程的学科前沿和新技术的发展动态；5．了解医疗器械行业标准和相关法规；6．具有创新意识，具有一定的科学研究、科技开发和组织管理能力；7．具有外文文献的检索、阅读与翻译能力，具有科技外语写作能力和语言交流能力。主干学科：生物医学工程。核心知识领域：医学基础、工程生理学、电子技术基础、计算机原理与应用、生物医学传感器、现
代医学仪器、生物医学信号处理、医学成像与图像处理、生物医学光学、生物力学、生物医用材料等。主要实践性教学环节：生产实习、临床见习、毕业设计（毕业论文）、课外科研训练等。主要专业实验：电子技术基础实验、计算机技术实验、生理学实验、医学仪器实验、生物医学
传感实验、生物医学信号处理实验。修业年限：四年。授予学位：工学学士或理学学士。"
