special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
123_660546,123,660546,麻醉学,五年,医学学士,本科(普通),医学,临床医学类,麻醉学专业是临床医学专业基础上发展起来的医学本科专业，创建于1988年，是原卫生部部属院校中最先开办的特色专业之一，2020年获评国家级一流专业建设点，造就了大批麻醉学骨干精英，为国家培养具有宽阔的临床医学基础和国际视野的麻醉学人才。
123_858247,123,858247,地球物理学,四年,理学学士,本科(普通),理学,地球物理学类,中南大学地球物理学专业具有60多年的办学历史，1986年获批“应用地球物理”博士学位授权点，1988年获评国家重点学科，2019年入选湖南省首批基础学科拔尖学生培养基地，2020年获批为国家一流本科专业建设点。专业学科历史悠久、底蕴深厚，在电磁法勘探理论、技术与仪器装备研发领域特色显著，何继善院士的“地电场观测理论及装备”引领地球物理电磁学的前沿，“大深度高精度广域电磁勘探技术与装备”获得2018年度国家技术发明一等奖。拥有教育部重点实验室、自然资源部工程中心、湖南省重点实验室等专业实验室平台，致力于培养具有国际化竞争优势的地球物理领域的高素质复合型人才。
123_618318,123,618318,资源勘查工程,四年,工学学士,本科(普通),工学,地质类,资源勘查工程专业始建于1952年，是教育部“卓越工程师培养计划”专业和国家综合改革试点专业。2020年入选国家级一流本科专业，通过教育部工程教育专业认证。本专业主要面向有色金属资源勘查，同时向能源与环境地质、地球信息科学等方向拓展。拥有教育部重点实验室、湖南省重点实验室，办学条件优越，师资队伍一流，在大地构造与成矿预测领域拥有明显学科特色和行业优势，是国际知名、国内一流的资源勘查人才培养基地。
123_987630,123,987630,地质工程,四年,工学学士,本科(普通),工学,地质类,地质工程专业始建于1952年，首批国家级一流本科专业建设点，教育部“卓越工程师培养计划”专业，国家综合改革试点专业，通过教育部工程教育专业认证，符合国际工程教育学位互认协议培养要求。毕业生拥有扎实的数学、力学、地质学等理论知识基础，系统掌握钻掘工程、工程地质的设计、施工、咨询、管理等方面的理论、方法、技能和实践能力。在地质工程领域拥有明显学科交叉特色和专业技术优势，为国家工程建设培养了大批行业领军人才。
123_858272,123,858272,测绘工程,四年,工学学士,本科(普通),工学,测绘类,测绘工程专业始建于1953年，首批国家级一流本科专业建设点，国家特色专业、教育部第一批测绘类“卓越工程师教育培养计划”专业、国家综合改革试点专业，所属“测绘科学与技术”为湖南省重点学科，在2016年教育部学位中心的学科评估中排名第四。拥有教育部重点实验室、湖南省省工程中心等科研平台，拥有国家杰青、国家“四青”人才等结构优良的师资队伍，与大型国企事业单位、行业领头科技公司签订了37家实习基地，专业办学条件一流。
123_809782,123,809782,遥感科学与技术,四年,工学学士,本科(普通),工学,测绘类,遥感科学与技术专业是从空间科学、地球科学、电子科学、人工智能以及其他学科渗透交融的基础上发展起来的新型专业，湖南省一流本科专业建设点，所属“测绘科学与技术”为湖南省重点学科，在2016年教育部学位中心的学科评估中排名第四。拥有国家杰青、国家“四青”人才等结构优良的师资队伍，拥有“科技部国家遥感中心有色金属矿产遥感部”、“地理国情监测研究中心湖南分中心”等科研平台，专业办学实力雄厚。
123_304868,123,304868,地理信息科学,四年,理学学士,本科(普通),理学,地理科学类,地理信息科学是一门集地理、测绘、遥感、计算机、人工智能等多学科交叉的新兴边缘学科，研究地理时空大数据获取、处理、分析、可视化等理论、技术和方法。该专业拥有“湖南省地理空间信息工程技术研究中心”、“地理国情监测研究中心湖南分中心”等学科平台，拥有科技部中青年科技创新领军人才、教育部新世纪优秀人才、湖南省高校学科带头人等结构优良的教师队伍，与易智瑞、北京超图、中地数码等知名地理信息公司和相关产业部门共建有多个实验室及校企联合人才培养基地，专业办学实力雄厚、条件一流。
123_660540,123,660540,电子信息科学与技术,四年,工学学士,本科(普通),工学,电子信息类,"中南大学电子信息科学与技术起源于1994年应用物理学(应用电子技术)专业，1998年更名为电子信息科学与技术，1999年正式招生。2006年获批省重点建设专业，2008年获批省特色专业，主干学科“电子科学与技术”入围湖南省双一流培育学科, 2019年入选国家一流本科建设专业。专业涵盖电子电路设计、信息处理与通信技术和电子材料与器件等领域，重点发展电子电路与系统、通信与信息处理和微电子与集成电路等专业方向，在电子信息材料与器件、通信与信息安全领域具有鲜明的专业特色。拥有通信原理、数字信号处理、EDA等专业实验室。培养具备扎实的专业基础理论和基本技能，掌握电子信息科学与技术领域中的新理论、新知识和新技术，并能在通信、电子、检测、控制、信息安全等领域从事科学研究、教学、科技开发、产品设计、生产技术或管理工作的高级专门人才。"
123_709105,123,709105,光电信息科学与工程,四年,工学学士,本科(普通),工学,电子信息类,本专业涵盖光电子材料与器件、光电成像、光电检测、光信息处理等领域，2020年被认定为湖南省一流建设专业。重点发展光电子材料与器件、光电信息处理等专业方向，拥有光电材料制备及检测、光信息处理和光学系统设计等专业实验室。培养学生掌握光电信息科学与工程的基本理论和基本知识，获得光电信息系统分析、设计和研究方法等方面的基本训练，具有研究、设计、开发、集成及应用光电信息系统的基本能力，使学生成为具有深厚的光电信息科学与工程理论基础、扎实的专业知识和熟练的实验技能的高级专门人才。
123_339579,123,339579,法学,四年,法学学士,本科(普通),法学,法学类,专业创办于1993年，现有教职工60余人，其中教授21人、副教授17人、讲师16人。85%以上拥有博士学位，半数以上拥有海外留学经历。目前，在校本科生630余人、在校研究生760余人。本专业拥有法学一级学科博士学位授予权、法学一级学科硕士学位授予权、法律硕士专业学位授予权以及法学博士后科研流动站。2011年中南大学法学学科被评为湖南省“十二五”重点建设学科。2012年获批“湖南省普通高等学校哲学社会科学重点研究基地”。2012年入选国家首批卓越法律人才教育培养基地，2013年入选教育部“本科教学工程”大学生校外实践教育基地。2020年，法学专业入选国家级一流本科专业建设点。2017年中国软科学排名榜中，中南大学法学专业位居全国第16位。
123_6071,123,6071,社会学,四年,法学学士,本科(普通),法学,社会学类,中南大学社会学专业以建设“中南特色、世界一流水平的社会学本科教育”为目标，强调理论分析与应用研究、社会调查与数据分析、社会问题与社会发展干预、社会政策与社会工作等能力的培养，培养具有“科学实证研究精神、社会精英素养、行业领军能力”的德智体美劳全面发展的综合性人才。本专业创立于1999年，至今拥有社会学一级学科硕士点、社会工作专业硕士学位点（MSW）、社会学一级学科博士点，2019年入选首批国家级一流本科专业建设点名单。有博士生导师7人，拥有国家“万人计划”哲学社会科学领军人才、“四个一批”人才、教育部新世纪人才、湖南省“芙蓉学者”、中南大学“升华特聘教授”等高层次人才；教师均毕业于清华大学、中国人民大学、南京大学等名校，先后赴美国斯坦福大学、美国密歇根大学、美国芝加哥大学、美国德州农工大学、英国伦敦大学、日本立正大学学习，形成了实力雄厚的师资队伍，拥有多个现代教学实验室、多个教学实践基地，培养了近500名毕业生，其中许多人已成为行业精英。
123_709130,123,709130,思想政治教育,四年,法学学士,本科(普通),法学,马克思主义理论类,本专业始建于1983年，系全国首批设立的思想政治教育专业，2008年成为省级特色专业，2019年入选国家一流本科专业建设点。专业所在学院拥有马克思主义理论一级学科博士、硕士学位点（下设马克思主义基本原理、马克思主义中国化、思想政治教育、中国近现代史基本问题、党的建设等五个二级学科博士硕士学位点）。经过长期建设，学院已形成网络思想政治工作、大学生创新创业教育、思想政治教育方法理论、大学生心理健康教育等四个特色学科方向。学院现有教职员工102人，专职教师92人，教授18人（含博士生导师9人），副教授33人，讲师41人。学院秉持“担马列大道，育时代英才”的人才培养理念，致力于培育政治立场坚定、理论功底扎实的高素质政治精英型人才。
123_709120,123,709120,基础医学,五年,医学学士,本科(普通),医学,基础医学类,基础医学伴随“百年湘雅”的发展不断成长壮大，是我国现代基础医学的发祥地之一，师资力量雄厚，拥有一级学科博士学位授予权和博士后流动站，是国家双万计划建设专业，2020年获批教育部“基础学科拔尖学生培养计划2.0基地”。本专业培养能适应现代生生命科学和高等医学教育发展需要，具有宽厚的自然科学和生命科学基础，熟悉临床医学基本知识和现代生物医学前沿技术，具备扎实的基础医学科学基本理论、较强的创新精神和实践能力、较大的发展潜能，能够在医学科研机构和高等医学院校等部门从事医学教学、科学研究和医药开发的高素质创新型人才。
123_709113,123,709113,预防医学,五年,医学学士,本科(普通),医学,公共卫生与预防医学类,预防医学专业办学实力雄厚，历史悠久，是国家一流本科专业建设点、湖南省重点建设专业和特色专业。现有省级教学团队1个，90%以上教师有国外留学经历，有2门国家级精品资源共享课、1门国家级精品视频公开课和1门国家精品在线开放课程，1门国家级一流本科课程、2门湖南省一流本科课程，拥有1个国家级大学生校外实践教育基地和24个校级实习基地，拥有一级学科博士学位授予权和博士后流动站。
123_809785,123,809785,法医学,五年,医学学士,本科(普通),医学,法医学类,湘雅法医学历史悠久，文化底蕴深厚，面向国家战略、服务法治中国，以培养“法医学精英人才”为目标，开创早期接触专业课、早期介入实践检案、早期进行创新创业锻炼的“三早”培养理念，实践学时比例43%，平均升学率62.6%，创新创业项目覆盖率87%，多名本科生被院士录取，2020年被评为国家级一流本科专业建设点。法医学开设国家级虚拟仿真金课、省级线上一流课程、“蓝盾云”网络课堂、公安法医联席授课等创新授课模式，自设《湘雅司法酬勤教育基金》，每年发放“奖、助、特”等10余万元，与公安部、司法部签署联合培养协议，在北京、深圳、郑州、长沙等多地公安局设置本科生实习基地。
123_1025449,123,1025449,临床药学,五年,理学学士,本科(普通),医学,药学类,临床药学专业为2017年经教育部批准设立的五年制本科专业，授予理学学士学位。本专业自2018年开始招生，目前已招收学生3届。本专业采用3.5年+1.5年的培养方式，培养具备临床药学专业基本理论、基本知识和实践技能，同时具备医学专业相关基础知识与技能，有良好的职业道德和人际交流能力，能够提供以患者为中心的临床药学服务，参与临床药物治疗，从事临床药学教育和科研，能够在药品临床应用、流通、研究、开发和管理方面从事临床药学工作的高级临床药学人才。临床药学专业教学力量主要依托中南大学湘雅医院、湘雅二医院和湘雅三医院三所附属医院和临床药理研究所的师资，目前拥有兼职教师36人，其中院士1人，国家优青3人，国家卫计委突出贡献中青年专家1人，教育部新世纪人才6人，湖南省芙蓉学者1人，湖南省“225”工程学科领军人才1人，湖南省“225”工程学科带头人3人。三所附属医院拥有国家临床药学重点专科2个，卫生部临床药师培训基地3个，中华医学会临床药师培训基地3个，以及国家卫健委临床药理培训中心、国家食品药品监督管理局GCP培训中心、国家卫健委个体化医学检测培训基地、湖南省药师技能培训中心、湖南省临床药学研究中心、湖南省个体化药物治疗咨询指导中心等其他省部级平台20余个，可为本专业提供有利的实验实践教学条件。
123_6050,123,6050,航空航天工程,四年,工学学士,本科(普通),工学,航空航天类,航空航天工程专业依托高性能复杂构件的制造技术与装备、航空航天轻质高强先进材料设计与制备等方面的研究特色，以高性能复杂制造国家重点实验室、粉末冶金国家重点实验室、有色金属先进材料与制造2011协同创新中心等创新研究平台为支撑，从国内外知名航空航天院校引进高水平师资队伍，形成了以新概念飞行器、飞行器动力学与智能控制技术和多功能一体智能结构为特色的研究方向。
