special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
46_1192,46,1192,哲学,四年,哲学学士,本科(普通),哲学,哲学类,<p>该专业设有博士点和硕士点，是我国同类专业中最早设立博士点的专业，是国家重点一级学科、国家特色专业建设点。该专业强调马克思主义哲学基础理论，注重培养学生扎实的基础知识、专业知识和理论素养，以及厚重的历史感和开阔的理论视野，注重理论联系实际，探讨具有重大理论意义和实践意义的哲学课题，积极承担并完成了大量各级科研项目，广泛开展了国内国际的学术交流，在学科建设方面处于国内领先地位。</p><p></p><p>该专业培养学生掌握马克思主义哲学基本原理、中国哲学和西方哲学等方面的专业知识，以及伦理学、逻辑学、美学、宗教学、科学技术哲学、管理哲学、政治哲学等方面的基础知识，使学生具备较强的理论思维和分析问题、解决问题及语言文字表达、实际工作的能力，成为品学兼优、德才兼备、面向新世纪的哲学专业人才和普适性人才。</p>
46_1168,46,1168,宗教学,四年,哲学学士,本科(普通),哲学,哲学类,<p>该专业是国内少数招收本科生的宗教学专业，设有宗教学硕士点、博士点和博士后流动站，是国家重点一级学科、国家特色专业建设点，拥有教育部人文社会科学重点研究基地——佛教与宗教学理论研究所。</p><p></p><p>该专业重视马克思主义宗教学理论、宗教哲学、佛教、基督教、道教思想文化和历史的研究，强调对各种宗教之间及其与各种文化传统之间关系的比较研究，与海内外学术机构有密切往来，同日本、韩国、香港、台湾、美国、加拿大等国家和地区的多家大学和研究机构有研究生联合培养计划，设有多项海内外相关机构资助的专业奖学金，在学科建设方面处于国内领先地位，并具有相当的国际影响。</p><p></p><p>该专业培养学生掌握马克思主义哲学基本原理以及宗教学基础知识和专业知识，对世界和中国各大宗教的理论、历史和现状有全面的了解，使学生具备较强的理论思维和分析问题、解决问题、语言文字表达的能力及宗教调查与研究技能，成为品学兼优、德才兼备、能够胜任宗教学专业工作和宗教事务管理实际工作的高水平专业人才。</p>
46_1191,46,1191,伦理学,四年,哲学学士,本科(普通),哲学,哲学类,<p>该专业是全国唯一的伦理学本科专业，设有博士点、硕士点，是全国唯一具有培养伦理学本科、硕士、博士、博士后各层次完整人才培养序列的专业点，是国家重点一级学科，拥有教育部人文社会科学重点研究基地——伦理学与道德建设研究中心。该专业重视马克思主义伦理学基本理论，注重理论联系实际，强调对现实问题的研究。该学科点承担省部级以上多项重点科研项目，出版了一批具有影响力的教材、专著、译著和论文，在国内外享有声誉并多次获奖。同日、韩、俄、美、英等国知名大学有着广泛深入的学术交流与科研合作，在学科建设方面处于国内领先地位。</p><p></p><p>该专业培养学生掌握马克思主义哲学、伦理学基本原理和中外伦理学基础理论等系统的基础知识和专业知识，使学生具备较强的理论思维和分析问题、解决问题及语言文字表达的能力，成为品学兼优、德才兼备，适应我国现代化建设需要，具有广博的科学文化知识基础和文史哲素养的面向新世纪的伦理学专业人才和普适性人才。</p>
46_1190,46,1190,汉语言,四年,文学学士,本科(普通),文学,中国语言文学类,<p>该专业培养能够从事语言文字教学与研究工作或与专业相关的实际工作的专门人才。通过本专业的学习，使学生具有坚实宽厚的文史哲基础知识和理论，扎实的语言学理论基础和汉语及汉语史知识，一定的语言分析能力、较强的写作能力、古籍阅读能力和外语能力，并熟悉计算机的使用。</p><p></p><p>核心课程</p><p></p><p>文学理论、语言学概论、中国古代文学史、中国现代文学史（含当代）、外国文学史、古代汉语、现代汉语、中国古代经典导读、汉语语音学、汉语语法学、汉语词汇学、音韵学、文字学、汉语史、计算语言学导论等。</p>
46_1193,46,1193,汉语言文学,四年,文学学士,本科(普通),文学,中国语言文学类,<p>该专业培养能够从事语言文学教学与研究工作或与专业相关的实际工作的专门人才。通过本专业的学习，使学生具有坚实宽厚的文史哲基础知识和理论，较高的文学修养、鉴赏和评论能力，较强的写作能力，古籍阅读能力，外语能力和一定的科研能力。</p>
46_1197,46,1197,历史学,四年,历史学学士,本科(普通),历史学,历史学类,<p>中国通史、世界通史、史学概论、历史文献学、中国历史文选、中国历史地理、考古学概论、中国史学史、中国社会生活史、中国经济史、中国思想文化史、中国政治制度史以及古今中外史学名著选讲等。其中世界史方向又涵盖了包括西方文明史、西方政治制度史、国际关系史、世界上古史、世界中古史、世界近现代史、世界当代史、英文历史文化名著研读、专业外语等课程。由于兼具深厚的人文功底和开阔的全球视野、身怀优秀的语言能力和文字表达能力，该专业学生就业方向广泛，毕业生可适应策划、咨询、管理和教学研究等方面工作对高层次人才的需求。为各类学校、跨国公司、党政机关、新闻出版部门、著名企业输送了大批优秀人才。</p>
46_1194,46,1194,考古学,四年,历史学学士,本科(普通),历史学,历史学类,<p>中国通史、世界通史、史学概论、历史文献学、中国历史文选、中国历史地理、考古学概论、中国史学史、田野考古学、考古学技术、体质人类学、动物考古学等。该专业的毕业生适宜到考古、文物、博物馆、文化旅游等事业单位及国家党政机关从事研究、教学、管理等工作。同时为高校培养从事考古教学与科学研究的高层次专门人才。</p>
46_1187,46,1187,世界史,四年,历史学学士,本科(普通),历史学,历史学类,<p>在当前国际化、全球化的大背景下，跨文化交流和沟通变得日益重要。人民大学设立世界史本科专业，力图关注古今世界格局的演变和发展趋势，将世界史的学习与自身的发展和民族的振兴结合起来。该专业旨在培养拥有扎实的世界史知识、优秀的外语应用能力和开阔的国际视野的综合型专业人才，对当今世界及地区事务和问题拥有较强的分析、综合和研究能力。</p>
46_1165,46,1165,金融学,四年,经济学学士,本科(普通),经济学,金融学类,<p>该专业是中国人民大学最早设立的专业之一，拥有一批国内外知名的专家学者，师资力量雄厚。近年来不断探索教学改革，广泛开展国际交流，不仅实现了人才教育的国际化，并且大大提高了学生的就业竞争力，受到社会和学生的一致好评。该专业重在培养高层次的金融人才，要求学生具有良好的道德修养、扎实的理论功底、过硬的专业能力、娴熟的英语和计算机能力。</p>
46_1122,46,1122,法学,四年,法学学士,本科(普通),法学,法学类,<p>该专业旨在培养学生掌握法学基本理论和系统法律专业知识；具有良好法学思维；熟悉我国法律法规及有关政策，了解外国的法律和法学动态；能够独立分析和解决实际法律问题；有较强的文字和口头表达能力，使学生成为具备“人文情怀、崇尚法治、追求真理、奉献社会”理念的卓越法律人才。</p>
46_1133,46,1133,新闻学,四年,文学学士,本科(普通),文学,新闻传播学类,<p>该专业要求学生知识面较宽，表达能力强，业务功底好。</p>
46_1142,46,1142,工商管理,四年,管理学学士,本科(普通),管理学,工商管理类,"<p>该专业在中国人民大学有五十多年的创办历史。专业名称曾为“企业管理”。1988年改称“工商管理”，并沿用至今。该专业在长期的办学实践中，一直重视基础理论教学，充分利用社会资源，强化学生应用专业知识的能力。该专业吸收国内外最新教学和研究成果，重视英文教学，并与国内外多所著名大学建立了广泛联系，指导学生融会贯通工商管理的经典与前沿理论，注重培养学生的管理思维与实践能力。</p><p></p><p>2009年，为适应社会对工商管理高级管理人才的新需求，商学院和法学院合作开设“工商管理—法学实验班”，通过强强联手和优势互补，培养通晓工商管理知识、具有良好法律素养的新型复合型人才。2010年，商学院响应学校全面提升国际性的战略号召，为适应企业国际化发展对人才需求的新趋势，提升工商管理专业本科毕业生的就业能力和职业发展空间，开设“工商管理英文教学实验班”,旨在培养具有国际视野的工商管理专业精英。</p><p></p><p>为现代工商企业培养理论基础扎实、适应性强、实践能力突出的高级综合管理人才。引导学生系统掌握工商管理领域知识体系，掌握科学的发现问题、研究问题的思维和方法，具备良好的学习能力、写作能力和创新精神，富有良好的道德、人文素养和社会责任意识，成为胜任组织管理活动的高水平专业人才。</p>"
46_1159,46,1159,经济学,四年,经济学学士,本科(普通),经济学,经济学类,<p>该专业为国家经济学人才培养基地，注重提高学生的实际经济工作能力，培养理论功底扎实、适应性强的开放型、创新型、综合型经济理论和经济管理人才。实行学生导师制、课外理论教学辅导基地、学生科研竞赛、学生科研项目资助、学生假期学术旅行、学生社会实践、国际交流、本硕博连读选拔（60％以上的升研率）、基地学术讲座等，对基地本科生实施全方位教育，重点培养高水平的经济学基础人才。</p>
46_1158,46,1158,社会学,四年,法学学士,本科(普通),法学,社会学类,<p>社会学是当代社会科学中最重要、最有影响力的学科之一。目前，已经发展出包括经济社会学、法律社会学、管理社会学、公共关系学、社会心理学、城市社会学、社区管理、医疗社会学等在内的70余个学科分支。改革开放以来，中国社会学获得了迅速发展，众多社会学家和社会学专业人员面向社会实际进行广泛研究，为促进社会良性运行和协调发展做出了重要贡献。据专家预测，社会学专业人才将是今后我国急需的数种人才之一。</p><p></p><p>社会学专业主要训练组织管理、社区管理、社会分析、心理分析、市场调查与预测、数据处理、公共关系、新闻传播等多方面的技术和能力。毕业生的主要就业方向为党政机关和政策研究、教育科研、新闻出版及公司企业等单位，优秀学生可保送攻读硕士研究生或赴国外继续深造。</p>
