special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
121_5922,121,5922,地质学,四年,理学学士,本科(普通),理学,地质学类,<p>地质学专业重点培养学生掌握野外工作技能及基本的地球科学实验和鉴定技术，具备从事构造地质、岩石矿物、地层与古生物学方面的基础理论研究、应用研究、分析实验、数据处理等工作的基本技能。</p>
121_5957,121,5957,安全工程,四年,工学学士,本科(普通),工学,安全科学与工程类,<p>专业毕业要求：</p><p>1、具有较扎实的自然科学基础和安全工程知识，能够将数学、自然科学、安全工程基础和专业知识用于解决石油化工、建筑工程等领域的复杂安全工程问题；</p><p>2、具有安全问题分析能力，能够应用数学、自然科学和工程科学的基本原理识别、表达、并通过文献研究分析复杂安全工程问题，以获得有效结论；</p><p>3、具备安全设计能力和初步的科学研究能力，掌握本质安全设计、工程安全设计、人机工程设计的基本理论知识和文献检索、资料查询的基本方法，能够设计针对复杂安全工程问题的解决方案，设计满足特定需求的系统、单元（部件）或工艺流程，并能够在设计环节中体现创新意识，考虑社会、健康、安全、法律、文化以及环境等因素；</p><p>4、熟练掌握主要测试和实验仪器使用的基本技能，了解安全检测与监测的基础知识与理论，掌握安全设施检测的方法与技术，具有从事风险监测设计与检测的能力，能够基于科学原理并采用科学方法对复杂安全工程问题进行研究，包括设计实验、分析与解释数据、并通过信息综合得到合理有效的结论；</p><p>5、熟练掌握安全信息化技术，了解安全模拟仿真方法和技术，能够针对复杂安全工程问题，开发、选择与使用恰当的技术、资源、现代工程工具和信息技术工具，对复杂安全工程问题进行预测与模拟，并能够理解其局限性；</p><p>6、能够基于安全工程相关背景知识进行合理分析，具备从事安全评价的能力，熟练掌握风险辨识与评估、风险控制效果评估的方法与理论，在熟练掌握安全生产法律框架体系基础上，评价安全工程实践和复杂安全工程问题解决方案对社会、健康、安全、法律以及文化的影响，并理解应承担的责任；</p><p>7、具有强烈的安全环保意识和社会责任感，能够理解和评价针对复杂安全工程问题的工程实践对环境、社会可持续发展的影响；</p><p>8、具有人文社会科学素养和职业素养，能够在安全工程实践中理解并遵守职业道德和规范，履行责任；</p><p>9、具备安全专业素养和团队协作能力，能够在多学科背景下的团队中承担个体、团队成员以及负责人的角色；</p><p>10、具备有效沟通和交流能力，掌握报告撰写、文稿设计、陈述发言等交流手段就复杂安全工程问题与业界同行及社会公众进行有效沟通和交流以及回应社会对安全问题的关切等。并具备一定的国际视野，能够在跨文化背景下进行沟通和交流；</p><p>11、理解并掌握基本安全管理知识，具备企业安全管理体系设计能力，并具有综合安全管理和经济决策，并能在交叉学科环境下应用；</p><p>12、具备自主学习和终身学习的意识，有不断学习和适应发展的能力。</p><p>主干学科：安全工程;系统工程;力学;工程管理;工业工程。</p><p>核心课程： 安全系统工程、通风与防尘、火灾爆炸、消防工程、电气安全、传热与传质、安全人机工程、安全检测技术。</p><p>主要专业实验与实践：通风与防尘、电气安全检测试验、锅炉压力容器试验、燃烧与爆炸性能试验、人机工程试验、噪声与振动检测、材料疲劳与断裂实验。地质实习、金工实习、教学实习、生产实习、毕业实习与设计、专业课程设等。</p>
121_5932,121,5932,软件工程,四年,工学学士,本科(普通),工学,计算机类,<p>专业培养目标：本专业培养基础扎实、知识面广、实践能力强、综合素质高、能适应信息产业和软件产业需求的，具备扎实的软件理论和软件工程专业知识，具有良好的软件设计与实现能力，具备地学信息化软件开发背景知识，掌握GIS应用软件开发方法，掌握项目管理规范、具备良好的交流沟通能力和创新精神的软件设计与开发的工程技术人才。</p><p>业务培养要求：系统掌握软件工程学科的基本理论和基础知识，掌握软件开发的基本技能与方法，具有熟练使用多种主流软件工具解决实际问题的能力和控制软件质量的能力；了解并掌握一定的管理知识和行业规范，理解工程项目的组织与管理。掌握一门外语，具备良好的阅读、理解专业外语资料的能力和与国外同行进行交流和沟通的能力。 毕业生应获得以下几方面的知识、能力和素质：</p><p>1. 具有良好的工程职业道德、坚定的追求卓越的态度、强烈的爱国敬业精神、社会责任感和丰富的人文科学素养；</p><p>2. 具备扎实的数学与外语基础，具有从事工程工作所需的相关自然科学知识以及一定的经济管理知识；</p><p>3. 掌握扎实的工程基础知识和软件工程专业基本理论、基本知识和基本技能与方法，了解软件工程领域的技术发展趋势以及相关应用领域的基本知识； </p><p>4. 具有良好的计算思维能力、算法设计与分析能力、程序设计能力、计算机应用系统的认知、分析、设计和应用能力；掌握软件需求分析、设计、开发、测试和维护等软件过程，熟悉软件过程管理的基本流程，掌握软件工程化开发的方法、技术和工具；</p><p>5. 具有主动学习和获取新知识与技术的能力；具有良好的文字和口头表达能力；具有较好的组织管理能力、较强的交流沟通和团队合作的能力；具有一定的独立工作能力和创新精神。</p><p>主干学科：软件工程；计算机科学与技术。</p><p>核心课程：面向对象程序设计、计算机结构与组成、离散数学、数据结构、数据库概论、操作系统原理、算法设计与分析、计算机网络、面向对象软件工程与UML、Java和.net软件开发、软件需求、软件体系结构与设计、计算机图形学、实用数据库、地理信息系统原理与软件开发、软件测试、软件过程与CMMI等。</p><p>主要实践性教学环节：计算机高级语言课程设计、面向对象程序设计课程设计、计算机结构与组成课程设计、数据结构课程设计、计算机网络课程设计、软件开发技术课程设计、数据库课程设计、地理信息系统软件开发课程设计、软件工程综合实习、软件企业工作性实践、毕业设计。</p><p>修业年限：本科四年</p><p>授予学位：工学学士</p><p>办学特色：针对地学领域信息化的需要，以“为地学领域输送合格的软件人才”为办学导向，以“培养软件工程教育和地学领域背景知识教育并重”为办学目标，强化实践、注重创新，依托国家级工程中心高水平的教学和科研成果，持续开展地学CAD、GIS相关软件的工程化开发理论与方法研究，并与学院地理信息系统、人工智能、高性能计算和普适计算等优势方向进行交叉融合，建设具有“地学信息化”特色的一流软件工程专业。</p><p>就业领域：就业面几乎可涵盖软件和信息技术服务业全产业链，涉及互联网、电子商务、电子政务、金融、通信、国土、农业、环境、交通、海洋、电力、石油、冶金、国防等领域政府部门和企事业单位；既可从事软件工程领域的科技工作，也可承担软件企业工程管理及市场经营等工作，呈现出就业面广、适应性强、社会需求量大等特点</p>
121_5931,121,5931,信息与计算科学,四年,理学学士,本科(普通),理学,数学类,<p>办学特色：本专业旨在培养具有扎实的数学及计算机科学理论基础，能够熟练地运用数学和计算机知识进行教育，科研，软件开发、设计、管理等工作的综合人才。同时，结合学校学科特色，本专业在学生培养过程中，特别注重与我校地学、资源、工程等专业的交流与融合，培养学生应用信息科学和计算科学的知识与工具解决地球科学相关实际问题的基本技巧和能力。</p><p>就业领域：毕业生主要面向科研院所、中学、工矿企业、经济管理、金融领域等部门从事计算、软件开发、计算机应用、信息处理等方面的工作。</p>
121_5930,121,5930,石油工程,四年,工学学士,本科(普通),工学,矿业类,<p>本专业培养具备工科基础理论和石油工程专业知识，具有较强综合能力和较高专业素质的石油工程师。毕业生在大型石油公司、科研机构、工程研究中心、管理咨询部门等单位从事石油、天然气开发与开采的科学研究和工程实践工作。</p><p>　　本专业学生主要学习地质学基础、石油与天然气地质学、工程力学、机械设计原理、石油开发地质学、油（气）层物理学、油（气）藏工程、油气钻井与完井工程等课程。通过学习，成长为具备石油工程设计和施工技术的能力，具备综合运用理论和技术进行科学研究和技术创新的能力，具备组织管理、团队协作和国际交流能力的高级专门人才。</p>
121_5934,121,5934,电子信息工程,四年,工学学士,本科(普通),工学,电子信息类,<p>电子信息工程专业注重培养掌握现代电子技术理论、通晓电子系统设计原理与设计方法，具有较强的计算机、外语和相应工程技术应用能力，面向电子技术、自动控制和智能控制、计算机与网络技术等电子、信息、通信领域的宽口径、高素质、德智体全面发展的高级工程技术人才。</p><p>　　本专业学生主要学习电路分析、模拟电路技术、数字电路技术、单片机原理及应用、通信电子线路、电磁场与电磁波、数字信号处理、图像处理、现代可编程逻辑器件、信息论与编码、嵌入式系统及应用、自动控制原理等课程。注重学生创新能力的培养，设有“电子信息工程研创会”与“机器人创客协会”两个科技创新平台，并配备面向本科生的开放实验室。通过构建突显综合性、设计性、应用性的实践教学体系，建立健全学生帮扶机制，学生创新能力培养效果显著，学生在学科竞赛与科技活动（全国大学生电子设计竞赛、全国大学生“恩智浦杯”智能汽车竞赛、5G算法创新大赛、全国教育机器人大赛、全国大学生创新创业训练计划）中屡创佳绩。近四年毕业生就业率一般在95%以上，考研升学率30%左右。本专业建有四个校外实习基地，用于承接学生的各类实习，提高学生的生产实践能力及对电子信息行业的认识。</p><p>　　就业去向：毕业生从事电子、信息、通信、交通、金融等部门或相关的高科技领域电子产品设计、研究、开发、管理工作，部分学生进入高等院校及科研院所从事教学及科研工作。主要就业单位有中国电子科技集团、美的、海信、TCL、康佳、海康威视、中兴通讯、烽火通信、富士康、比亚迪及各级省市银行、移动、联通、电信部门。</p>
121_5937,121,5937,材料科学与工程,四年,工学学士,本科(普通),工学,材料类,"<p>专业概况：材料科学与工程专业具有""学士-硕士-博士-博士后""完整的人才培养体系，学院建有材料产学研基地，为本科生提供学习、科研环境。</p><p>　　培养目标：培养材料科学与工程学科基础扎实、富有创新精神、知识面宽、实践能力强、综合素质高的优秀人才。培养从事材料领域研究、开发、设计、生产、质量控制、管理、经营等工作的科技人才以及材料科学与工程及相关领域继续深造的学术型人才。</p><p>　　办学特色：强化材料成分、结构及其与性能内在关系的理论知识，以及材料微观结构分析能力。培养学生功能材料、复合材料研究、研发、技术应用能力。</p><p>　　就业领域：适宜在电子、通信、能源、机械、化工、军工、冶金、建筑、建材、资源、外贸等企业集团以及科研院所、高等院校等部门从事材料科学与工程方面的研究、设计、开发、生产、检测和管理工作。材料科学与工程专业本科毕业生近三年读研率约为50%，其中约一半学生进入中科院以及清华大学、北京大学、浙江大学、中国科技大学、上海交通大学等985高校深造。</p>"
121_5938,121,5938,机械设计制造及其自动化,四年,工学学士,本科(普通),工学,机械类,"<p>机械设计制造及其自动化专业是以现代机械设计和制造技术为主，并兼顾电子技术在机械行业应用的工科专业。本专业依托学校在地球科学领域的优势和特色，以机电一体化技术为主要方向，以地质工程装备为特色，培养理论基础厚实、专业知识宽广、综合素质良好的“通特结合型”人才。本专业培养的毕业生在通用机械设计、智能装备制造、地质工程装备及自动化、特种数控加工及机器人等领域做出了重要贡献。</p><p>　　本专业学生主要学习机械制图、理论力学、材料力学、金属材料及热处理、金属工艺学、机械原理、机械设计、机械制造工艺、液压传动、机电传动控制、测试技术、机械工程控制基础、单片机原理及应用、机电一体化技术、机器人技术、数控技术、机械制造装备技术、工程机械设计、机械CAD/CAM、机械创新设计等课程。学生在系统掌握专业理论知识的基础上，接受现代机械工程师的基本训练，培养机电产品设计、制造及设备控制、生产组织管理的基本能力，同时注重创新创业意识和能力的培养。</p><p>　　本专业拥有1个国家级工程实践教育实践中心（中国地质装备总公司），建立了22个校外产学研基地，拥有完备的机电实验和实训体系（包括金工实训中心、机械基础实验室、机械CAD中心、工程机械实验室、机电传动控制实验室等），具有良好的人才培养条件。本专业是国家""卓越工程师计划""学科专业，每年招生150人左右（含卓越工程师班60人），毕业就业率95%以上，毕业生受到用人单位的好评。</p><p>　　就业去向：毕业生在厂矿、企业、研究院所从事机电产品的设计制造、科技开发、应用研究和经营销售、机电设施运行管理和维护等方面工作。主要就业单位有中船重工、中国建筑、中铁集团、徐工集团、三一重工、中联重科、中国地质装备集团、东风汽车、比亚迪汽车、格力电器、海尔集团等。</p>"
121_5939,121,5939,通信工程,四年,工学学士,本科(普通),工学,电子信息类,<p>通信工程本着加强基础、拓宽专业、跟踪前沿、注重能力培养的指导思想，培养基础知识厚、专业能力强、综合素质高和具有国际视野的通信与信息技术领域创新型人才。本专业以现代通信理论为基础，学生着重学习通信系统、通信网和互联网等方面的基础知识和设计方法，学习信息传输、交换和处理过程中的关键技术和系统知识，并接受通信工程实践相关的基本训练，培养现代通信系统、计算机网络、物联网、互联网+等方面的高层次专业技术人才。</p><p>　　本专业课程体系包括通识课、学科基础课、专业核心课、个性化课程和实习实训等五大部分，主要有信号与系统、模拟电路、数字电路、通信原理、数字信号处理、移动通信、光纤通信、计算机网络通信、单片机原理、EDA技术、嵌入式系统开发、互联网开发技术等课程，以及电子技术、电路综合、专业综合等实习。本专业拥有三个现代化的通信专业实验室，注重学生动手能力的培养，能够提供无线通信、光纤通信等领域最先进的教学设施和功能完善的实验、实训教学和科研环境，实验设备主要由华为、中兴公司所提供，为培养创新性人才提供了一个良好的硬件环境，学生在全国电子设计大赛上多次获奖。2009年同时开设全英文授课国际留学生班。2013年被定为湖北省高等学校战略性新兴(支柱)产业人才培养计划本科项目。</p><p>　　就业去向：多年来一直深受社会各界欢迎。近40%学生选择继续攻读通信与信息系统、信号与信息处理等研究方向的研究生，或出国留学进一步深造；其余学生进入通信研发与生产、通信营运与管理、信息服务与终端开发、网络优化与设计等通信与信息工程领域相关环节，从事产品研究、技术开发、技术管理、技术支持等工作，主要服务于华为、中兴、大唐、百度、阿里、腾讯、步步高等企业及各级省市移动、电信部门，以及公安、民航、银行、研究所等单位，为中国民族通信事业发展做出了自己的一份贡献。</p><p>　　</p>
121_5942,121,5942,水文与水资源工程,四年,工学学士,本科(普通),工学,水利类,"<p>专业背景：前身为北京地质学院水文地质及工程地质专业，1952年创立，是我国第一个从事地下水科学研究和人才培养的重点专业，1981年成为我国首批具有硕士、博士学位的授权点。经过60年的教学和科研积累，形成了以地下水科学为特色的专业学科点。历届毕业生已成为我国地下水科学事业发展的中坚力量，先后有3人成为中国科学院院士。目前为国家特色专业，湖北省重点学科、国家""211工程""重点建设学科，设有博士后流动站，具备培养本科到博士研究生不同层次及国外留学生的条件。</p><p>办学特色：本学科主要基于地球系统科学和水科学理论，研究水资源属性以及在表层环境中的作用（尤其是地下水及其环境），不仅可以解决地表水、地下水资源的开发、评价与管理等问题，同时也研究与地下水有关的各类地质环境问题，诸如地下水位下降诱发的海水入侵、地面沉降、地下水污染和岩溶塌陷灾害等。</p><p>相近专业：环境工程、地质工程</p><p>就业领域：本专业毕业生就业领域十分广泛，可以承担国土、城建、水利、交通、电力、环境保护等部门有关水、岩与地质环境工程领域的勘测、设计和规划管理工作。</p><p>　　</p>"
