special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
88_3632,88,3632,飞行器动力工程,四年,工学学士,本科(普通),工学,航空航天类,<p>飞行器动力工程（Flight Vehicle Propulsion Engineering）</p><p></p><p>课程设置：电工学、机械设计基础、工程热力学、气体动力学、航空发动机原理、航空发动机构造、航空发动机控制、机务工程英语、航空维修工程管理、发动机机队管理、航空发动机强度与振动、发动机状态监控与故障诊断、航空发动机维修技术、发动机失效分析、飞机结构与系统等。</p><p></p><p>培养目标：本专业以航空维修工程为特色，培养适应国内外现代民航发展需求，具备较高思想政治素质，掌握系统的航空发动机专业知识和扎实的航空维修及管理理论基础，具有较强的实际操作能力和严谨的工作作风，了解民航发展动态，能够从事航空发动机的运行监控、故障诊断、维护修理及维修管理等相关技术、管理工作，宽口径、厚基础、强能力、高素质，具有创新精神，德、智、体、美全面发展的应用型高级工程技术人才和管理人才。本专业可授予工学学士学位。</p><p></p><p>就业方向：航空公司、航空维修单位、适航部门和航空科研院所，也可以继续攻读本专业或相关交叉学科的硕士学位。</p>
88_3638,88,3638,工商管理,四年,管理学学士,本科(普通),管理学,工商管理类,<p>工商管理(Business Administration) (航空运输管理)                        </p><p></p><p>一、培养目标</p><p></p><p>本专业面向我国民航运输和航空产业发展的需要，培养诚实守信、航空运输经济与管理的基础理论扎实、系统掌握管理科学方法，实践能力强的复合型、应用型、创新型人才。</p><p></p><p>二、专业方向</p><p></p><p>本专业的培养方向为航空运输管理。学生毕业后主要在航空公司、机场等民航企业从事战略规划、人力资源、市场营销、生产运营等管理工作，或在相关企业、行业政府管理部门、科研机构及相关院校从事管理、科研及教学等工作。</p><p></p><p>三、课程设置</p><p></p><p>主干学科：工商管理 、应用经济学、管理科学与工程。</p><p></p><p>主干课程：管理学原理、经济学原理、会计学原理、商务统计与预测、运筹学、组织行为与人力资源管理、市场营销、管理信息系统、运营管理、财务管理。</p><p></p><p>特色课程：航空运输经济学、航空公司运营管理、航空公司收益管理、机场运营管理、民航旅客运输、民航货物运输、航空运输服务质量管理、航空金融与租赁。</p>
88_3650,88,3650,材料化学,四年,工学学士,本科(普通),工学,材料类,<p>1、培养目标：培养适应我国新材料产业和航空工业发展需要的，德、智、体、美全面发展的，掌握材料科学的基本理论与技术，具备化学相关的基本知识和基本技能，熟悉航空材料发展动态，在应用研究、科技开发、科技管理方面得到初步训练的具有创新能力的应用型专门人才。</p><p>2、专业特色及比较优势：本专业人才培养的主要特色表现为“厚基础，多模式，重创新，强应用”。“厚”指扎实的材料学和化学科学方面系统的基础理论和方法；“多”指采取多种适合不同情境的课堂教学和“课内外一体化”教学模式；“重”指重视创新思维和创新能力的培养；“强”指强调和强化实践和应用能力。突出理论与实践紧密结合的人才培养模式，发挥“科”“教”相长作用，将科研成果贯穿于本科生理论、实践与创新教学过程。大力推进“课内外一体化”开放教学。面向不同学生群体，采取灵活多样的教学模式与方法。</p><p>3、就业主要去向：本专业毕业生中，50% 进入民航领域从事机务维修、化学品运输管理等工作，25%考研深造，25% 进入化工、新材料、管理岗位。攻读研究生院校主要集中在中科院、中国科技大学、天津大学、北京航天航空大学、武汉大学、山东大学、吉林大学等国内知名大学等。在5-10年工作经历的毕业生中，不少人已担任主任工程师等职务。本专业指导的硕士毕业生就业质量高，50%进入科研院所工作。如西安交通大学前沿科学研究院、青岛科技大学、广州民航学院、中国民航大学等。</p>
88_3652,88,3652,信息与计算科学,四年,理学学士,本科(普通),理学,数学类,<p>1、培养目标：本专业是以信息技术与计算技术的数学基础为主要研究对象的理科类专业，培养具有良好的数学基础和数学思维能力，掌握信息与计算科学的基本理论、方法与技能，受到科学研究的初步训练，了解民航运营管理方面的基本情况，能解决信息技术和科学与工程计算中的实际问题的高级应用型人才。</p><p>2、专业特色及比较优势：信息与计算科学专业是以信息处理和科学与工程计算为背景，由信息科学、计算科学、运筹与控制科学等交叉渗透形成的理科专业。</p><p>3、就业主要去向：毕业生适合在民航（信息部、市场部等部门）或社会科技、教育和经济等部门从事科学研究、教学、信息处理、应用软件开发和管理工作，也可攻读数学、计算机软件、经济、金融以及管理等学科硕士学位。</p>
88_3651,88,3651,材料物理,四年,工学学士,本科(普通),工学,材料类,<p>课程设置：热力学统计物理、量子力学、固体物理学、材料科学基础、材料结构分析、航空材料、材料物理性能、表面工程、真空与薄膜技术、材料设计概论、材料加工成型原理及工艺、无损检测、材料失效分析、材料质量管理与标准化等。该专业有两个方向：(1) 新材料的研制、生产加工和技术开发；(2)材料的分析测试、材料质量管理与控制。</p><p></p><p>培养目标：培养具有较深厚的物理学基础，掌握材料科学基本理论和现代材料科学研究与测试的基本方法，能在科技、教育、工业、事业等部门从事材料的研究设计、性能检测、生产使用、技术开发、质量管理的复合型高级专门人才。本专业是材料科学和物理学交叉渗透形成的新型专业，具有理工结合、适用面宽的特点，可授予理学学士学位。</p><p></p><p>就业方向：航空机务维修企业、航材公司、航空制造企业、机场、理化检验、无损检测、质量检验、技术监督、安全与商检、各种材料生产、加工、材料应用等部门从事生产技术、质量管理、技术管理与开发等工作；也可在科研院所、高等学校从事科研和教学工作，也可以继续攻读本专业或相关交叉学科的硕士学位。</p>
88_3653,88,3653,统计学,四年,理学学士,本科(普通),理学,统计学类,<p>课程设置：数学分析、高等代数、常微分方程、概率论、数理统计、应用随机过程、软件技术基础、数据库原理、经济学、应用回归分析、多元统计分析、抽样调查、试验设计、统计模拟、统计软件、民航统计、民航国际结算等课程。专业方向为统计决策(民航统计)。</p><p></p><p>培养目标：培养具有良好的数学与统计学素养，掌握统计学的基本理论和方法，能熟练地应用计算机分析数据，能在企业、事业单位和经济、管理部门从事统计调查、统计信息管理、数量分析、管理决策支持等开发、应用和管理工作，或在科研、教育部门从事研究和教学工作的高级专门人才。本专业可授予理学学士学位。</p><p></p><p>就业方向：民航空中交通流量管理与控制、机场人流和物流管理与控制、航空公司运营与管理、民航安全与统计、机务维修等部门或社会经济、金融、保险、医药等行业从事统计调查、统计信息管理、数据分析、统计预测、统计决策以及科学研究等工作，也可以继续攻读本专业或相关交叉学科的硕士学位。</p>
88_3666,88,3666,油气储运工程,四年,工学学士,本科(普通),工学,矿业类,<p>中国民航大学油气储运工程专业始建于2000年的航空油料管理专业，2002年升格为本科专业，学制四年。拥有学术硕士和专业硕士学位的培养和授予权。</p><p>本专业培养适应我国社会主义现代化建设和科学技术迅速发展要求，德、智、体全面发展、知识结构合理、基础理论扎实、专业知识系统、专业技能良好、具有实践能力和创新精神及国际视野，能从事机场供油系统、燃气输配系统、集输系统等工程的规划设计、施工、生产运营方面工作，掌握航油质量管理和飞机加油技术知识，并具有一定科学研究及技术开发能力的应用型工程技术与管理人才。</p><p>就业去向：学生可在民航的油料公司、机场施工与建设监理公司、军民用机场、港口、石油石化生产和销售公司、油气田企业、油气管道设计院、管道建设工程公司、管道运营管理与研究机构、城市燃气公司、军队油料部门以及国家物资储备部门等从事规划设计、施工管理、安全运行管理等工作。也可以继续攻读本专业或相关交叉学科的硕士学位。</p><p>作为学校综合改革试点专业，油气储运工程专业在CDIO等工程教育改革领域开展卓有成效的工作。教师们积极支持学生参加大学生创新创业训练、交通科技大赛、全国工程设计大赛等课外活动，取得了丰硕成果。</p><p>经过17年的办学，学生遍布中航油、中石油、中石化、中海油、中化、民航机场和航空公司等企业集团，在毕业后短短几年迅速成长为企业骨干，甚至获得全国五一劳动奖章，在行业内拥有良好的口碑。更有学生毕业后继续深造，在国内或出国留学攻读博士。</p>
88_3634,88,3634,交通运输,四年,工学学士,本科(普通),工学,交通运输类,"<p>课程设置：空中交通系统优化与管理、系统分析与智能算法、空中交通安全分析与管理、飞行性能力学基础、空气动力学、航空气象、民航概论、飞机系统、领航与导航、空管设备与系统、交通运输专业英语、航空情报服务、空域规划、航空法规与适航管理、陆空通话、机场管制、程序管制、雷达管制、飞机性能工程、航空公司运行管理、飞行计划、现场运行管理等。</p><p></p><p>培养目标：本专业培养适应社会主义现代化建设需要，特别是民航现代化建设需要，熟悉国内外专业发展动态,具有较强实践和创新能力，满足高素质、高技术、高能力、国际化、规范化要求，掌握民航交通运输管理岗位所需的基础和专业知识，德、智、体、美全面发展，能够从事空中交通管理、飞行运行管理及机场运行管理的应用型工程技术和技术管理人才。本专业可授予工学学士学位。</p><p></p><p>就业方向：民航各地区空管局、空管分局（站）、航空公司和机场公司，从事空中交通管理、飞行运行管理及机场现场运行管理等工作，也可以继续攻读本专业或相关交叉学科的硕士学位。</p>"
88_3633,88,3633,应用心理学,四年,理学学士,本科(普通),理学,心理学类,<p>1.培养目标：本专业立足民航，面向社会，培养具有心理学基本知识和基本方法、熟悉民航业务，能够针对民航关键岗位人员进行心理选拔、心理训练与心理健康监测，能够进行人因安全、心理援助与危机干预等工作的应用型人才；毕业生也可继续深造进而从事相关领域研究的工作。</p><p>2.专业特色及比较优势：本专业的特色：立足民航，服务民航，以民航从业人员的心理健康维护为特色，结合航空人因安全，侧重于民航从业人员的心理选拔、监测与训练；注重理论与实践教学相结合，依托我校学工部、民航企事业心理实践教学基地，形成“课堂、校内、校外三维一体”的实践教学模式；广泛开展与民航企事业单位合作，为民航业界心理健康咨询与人因安全分析提供智库，并转化为课内教学案例。</p><p>本专业的优势：与其他办有本专业的院校相比，我校本专业培养出的学生既懂民航业务，又懂心理学，因此毕业生在民航中从事心理选拔、心理培训、心理健康监测、心理健康维护、心理危机干预等工作更加得心应手；与安全工程类专业相比，学生在分析不安全事件致因时，能够更加深入地从“人的因素”方面进行分析。</p><p>3. 就业主要去向：就业方向：在民航及其他企事业单位的人力资源部门、培训部门、航医部门、安全部门、飞行部门等从事人力资源管理、员工培训、员工心理健康咨询、人因失误调查与分析等工作；也可在局方的飞行标准部门、航空卫生部门、航空安全部门等部门从事相关工作。</p><p>考研方向：心理学、飞行技术与安全、安全科学与工程等。</p>
88_3642,88,3642,经济与金融,四年,经济学学士,本科(普通),经济学,金融学类,<p>一、          培养目标</p><p></p><p>经济与金融专业（航空金融）培养能掌握系统的经济学和金融学理论和分析方法，又具备系统的行业知识，能够解决航空金融实际问题的技能，既具有国际视野同时也了解中国实际的复合型金融人才。</p><p></p><p>二、          专业方向</p><p></p><p>学生毕业后可以在金融租赁、航空企业、银行、保险、证券等金融部门从事与航空活动相关的金融技术和风险管理工作，也可以继续攻读相关专业的研究生学位。</p><p></p><p>三、          课程设置</p><p></p><p>（1）主干课程：微观经济学、宏观经济学、管理学原理、经济统计学、计量经济学、经济法、金融学、国际经济学、保险学、金融中介与金融市场学、会计学原理、财务会计。</p><p></p><p>（2）特色课程：航空运输概论、飞机、发动机及维修概论、航空公司金融、航空租赁与租赁公司、航空器价值评估、机场投融资管理、航空保险实务、飞机租赁业务模拟、航空运输经济学。</p>
88_3654,88,3654,通信工程,四年,工学学士,本科(普通),工学,电子信息类,<p>本专业培养在空中交通管理中的通信导航监视领域及智能交通运输领域、现代通信与信息处理领域，从事通信系统、通信网络和信息处理系统的设计、开发和工程应用等方面的高级工程技术与管理专业人才。</p><p>本专业设立现代通信和民航电信两个专业方向，就业主要去向为民航空中交通管理局、航空公司、机场、IT行业、电信部门等，也可继续攻读硕士学位或出国深造。在中国民航通信导航监视和空管自动化岗位上，至少三成毕业于本专业。本专业就业率始终稳定在95%以上。</p><p>本专业是国家专业综合改革试点专业和天津市品牌专业，拥有多名通信导航监视领域的知名专家，完成或承担了大量的国家级、省部级课题以及横向课题。近几年，在全国365所高校同类专业的综合排名平均为前15%以内，在天津市始终排名第二。在2016年中国大学最佳专业排行榜中位列第35，被冠以“中国知名专业”称号。</p><p>本专业与美国Embry-Riddle航空大学开展3+1+1本硕连读项目，即本科阶段前3年在本专业学习，第4年申请去美国Embry-Riddle大学学习，第5年则在该大学攻读硕士学位。本专业设有英语实验班，专业基础及专业核心课程全部采用双语或全英文授课，可为学生出国深造、考研等打下坚实的基础。</p>
88_3649,88,3649,土木工程,四年,工学学士,本科(普通),工学,土木类,<p>土木工程专业设“建筑工程”和“道路与桥梁工程”两个专业方向。建筑工程方向以培养工业与民用建筑领域工程建设人才为基本目标，突出民航机场航站楼与飞机库等工程建设方面的技术与管理能力。道路与桥梁工程方向以培养道路与桥梁工程方面建设人才为基本目标，突出民航机场场道工程（含滑行道桥）建设技术与管理方面的知识与能力。学生经过系统学习土木工程学科的基础理论和专业理论，可以获得土木工程师所必需的知识与能力训练，具备从事建筑工程方向或机场场道、公路与城市道路及桥梁工程方向的项目规划、设计、研究开发、施工及管理的能力。</p><p>毕业生去向包括各种建设单位、施工单位、勘察及设计单位、监理单位、咨询单位（工程咨询公司）以及高校及研究机构等，毕业生在民航机场建设项目的规划、设计、管理等领域就业具有突出的比较优势，同时也可继续攻读本专业或相关交叉学科的硕士学位。本专业可授予工学学士学位。</p>
88_3648,88,3648,交通工程,四年,工学学士,本科(普通),工学,交通运输类,<p>1.培养目标：中国民航大学交通工程专业以机场工程为办学特色，目前已为国内民航机场培养了近千名本科毕业生。本专业的培养目标是为国家培养具有扎实而全面的机场规划设计、施工建设与运行管理等理论与技术的复合型应用人才，全面保障中国民航快速腾飞的需求。本专业教学方向分为机场工程技术与管理和机场运行技术与管理两个专业模块。本专业可授予工学学士学位。</p><p>2.课程设置：机场工程技术与管理方向的主要课程设置为结构力学、建筑结构、机场规划、机场道面、机场施工与项目管理等。机场运行技术与管理方向的主要课程为机场管理、机场运行指挥、空中交通管理基础、机场信息系统、客货运输服务、民航机场特种设备等课程。</p><p>3.就业方向：本专业成立于1995年，20多年来为中国民航输送大量人才，就业生覆盖国内95%以上机场，就业范围包括：从事民航设计院所机场规划设计；从事民航机场运行指挥、飞行区维护、机场改扩建管理工作;从事机场建设与施工管理; 报考民航管理机关公务员;继续攻读本专业或相关交叉学科的硕士学位；奔赴美国及欧洲各国高等航空航天学府进修。</p>
88_3626,88,3626,法学,四年,法学学士,本科(普通),法学,法学类,<p>  课程设置：</p><p></p><p>         法理学、中国法制史、宪法学、民法学、刑法学、知识产权法学、经济法学、商法学、民事诉讼法学、刑事诉讼法学、行政法与行政诉讼法学、国际法学、国际私法学、国际经济法学、劳动法学、航空法、航空保险法、航空运输法、航空犯罪与预防、民航法律实务、合同法学、法律英语、法律文书写作等。</p><p></p><p>培养目标：</p><p></p><p>本专业培养德、智、体、美全面发展，适应我国市场经济和民航发展需要，具有扎实的外语基础，系统掌握法学知识，熟悉我国法律，熟悉民航法律及相关业务，具备良好的职业道德与综合素质，能将所学知识综合运用于实践的高级复合型法律人才。本专业授予法学学士学位。</p><p></p><p></p><p></p><p>就业方向：</p><p></p><p>民航行政机关，航空公司、机场等单位法务部门；民航企事业、民航协会单位等相关部门；国家立法、司法、行政机关；仲裁机构、律师事务所；其他企事业单位和社会团体等部门。</p>
88_3624,88,3624,安全工程,四年,工学学士,本科(普通),工学,安全科学与工程类,<p>课程设置：安全系统工程、安全监测技术、民航事故调查与分析、机械安全技术、电气安全技术、航空电子系统、应急救援与响应、航空维修管理、飞行组织与实施、系统分析、危险品运输安全、安全人机工程、职业健康安全管理、民航法规体系、航空安全中的人为因素、航空公司安全运行管理、机场安全运行管理、民航系统安全、安全审计与评估、等课程以及大量航空公司运行、机场运行和机务维修等工程一线实践环节。</p><p></p><p>培养目标：本专业立足民航，面向社会，培养具有勤劳朴实精神、吃苦耐劳工作作风、掌握民航一线工程技术和安全管理技术的一线工程技术人才，培养具有强健的身体素质，任劳任怨的品德，坚强的意志，掌握民航或一般工业企业的专业知识与技术，实践及写作能力较强，能运用所学工程技术从事一线工程技术及安全监察等业务的复合型安全管理工程技术人才。</p><p></p><p>就业方向：面向民航企事业单位及一般工业企事业单位的一线工程技术、专业技术及安全管理部门从事工程技术安全管理、质量控制等相关工程技术工作。</p>
88_3637,88,3637,信息安全,四年,工学学士,本科(普通),工学,计算机类,<p>本专业主要培养政治素质高，具有扎实的数理基础、信息安全理论基础、信息安全管理知识和良好的科学素养，熟悉信息安全技术在民航和各领域的应用，具备良好的职业道德、人文素养和创新精神，知识面宽、实践能力强的应用型信息安全人才，专业方向为网络与信息系统安全，毕业生一般在民航单位、政府机关、金融证券、信息安全和IT企业从事信息安全及计算机领域的技术开发与服务、安全管理与技术保障等工作，部分学生可继续攻读硕士学位</p><p>本专业将网络与信息系统管理与安全相结合，侧重网络与信息系统安全、民航信息安全管理的理论方法与应用，注重网络空间安全实践能力与技能的培养和训练，毕业生具备鲜明的行业背景知识与适用性。</p><p>信息安全专业自2008年成立以来，严格遵循教育部《信息安全专业指导性专业规范》和《工程教育专业认证标准》的基本要求开展专业建设，构建起民航行业需求与专业规范相结合的课程体系、实践能力培养及质量保障体系，2014年获校专业综合化改革建设项目支持。</p><p>本专业毕业生中，约30%就职于四大航、深航、天航等航空公司，首都机场、长水机场、萧山机场等机场，中国航信、广州航信、华东凯亚等民航信息技术企业和各地空管局，约50%就职于启明星辰、天融信、绿盟、360等知名信息安全企业，约%5就职于公安、银监、保险等机构的信息安全部门，其余15%考研或出国留学，有部分学生已成长为民航单位和IT企业的信息安全技术骨干。</p>
