special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
61_2029,61,2029,海洋科学,四年,理学学士,本科(普通),理学,海洋科学类,中国海洋大学海洋科学专业是国内历史最为悠久的涉海专业之一，最早可以追溯至1932年国立青岛大学校长杨振声“倡设海洋学”。八十余载薪火相传，该专业已成为国内最好的海洋科学专业，在历次学科评估中均排名全国第一。2019年入选教育部“双万计划”首批国家级一流本科专业。在2018年和2019年“软科”世界一流学科排名中，中国海洋大学海洋科学位列国内第1名、全球第6名。</br>  海洋科学专业以服务国家海洋强国战略为导向，聚焦海洋科学发展前沿，引领国家海洋人才培养，发挥辐射带动作用，打造国际一流的海洋科学专业。该专业培养致力于国家海洋事业发展，具有海洋人类命运共同体意识与情怀，理论基础坚实、实践技能优良、创新能力卓越，具有国际视野的世界一流海洋人才。</br>海洋科学专业拥有由3位院士领衔的老中青结合一流师资队伍，包括近年国家杰出青年基金获得者5人，泰山学者12人，国家优秀青年基金获得者6人。绝大多数教师具有海外交流访问或留学经历。拥有“海洋学”国家级教学团队，生师比达6：1。专业课教师来自海洋与大气学院和物理海洋教育部重点实验室，其中很多教师也是青岛海洋科学与技术试点国家实验室的成员。教师们积极承担国家各类科研项目，在Science、Nature系列期刊以及海洋与气候变化的高水平期刊上发表</br> 海洋科学专业秉持国际先进教育理念，瞄准国家海洋发展需求，对标国际海洋名校，牵头建设海洋科学专业标准和海洋科学实践教学标准，引领国内海洋科学课程体系建设。现有4门国家级精品课程，2门国家级精品视频公开课。2020年，海洋学、物理海洋学等两门专业核心课程入选首批国家级一流课程。海洋科学专业重视实践教学，建有海洋学国家级实验教学示范中心、海洋学国家级虚拟仿真实验教学中心、长江口国家级海洋联合野外实习基地等，形成了自主设计式海洋学实验教学模式。从调查仪器操作、虚拟仿真项目演练、东方红2号调查实习、胶州湾综合调查、长江口联合野外实习，极大提升了学生动手与创新能力。</br>  专业核心课程：海洋学、物理海洋学、区域海洋学、海洋调查、海洋调查实习、卫星海洋学、海洋要素计算、海洋数值模拟与预报、流体力学、流体力学实验。</br>  专业特色课程：海洋环流、海浪、潮汐、风暴潮、海洋内波、海洋-大气相互作用、极地海洋学、海洋热学、物理海洋实验、海洋台站实习。
61_2038,61,2038,大气科学,四年,理学学士,本科(普通),理学,大气科学类,大气科学是研究大气的结构、组成、物理现象、化学反应、运动规律，以及如何运用这些规律为人类服务的一门学科。天气的变化无时不在，云淡风轻与黑云压城，带给我们不同的生活体验。夜悟天象，明看风雨，大气科学的奇妙之旅期待你的加入。</br>  大气科学是中国海洋大学“双一流”重点建设的学科之一，起源于 1935 年国立山东大学物理系天文气象组，该组由中国气象学会的开拓者与奠基人蒋丙然先生创建，是我国海洋气象学的发祥地。1981 和 1984 年分别获批教育部首批硕士点和第二批博士点，1993 年被评为山东省重点学科。现有大气科学一级学科博士学位授予权和博士后流动站，气象学和大气物理学与大气环境两个二级学科博士点，形成了完整的大气科学创新人才培养体系。</br>  中国海洋大学的大气科学专业是我国海洋气象领域人才培养的重要基地之一，2020年入选国家级一流本科专业建设点。目前拥有专任教师40人，其中高级技术职称28人，75%以上教师具有海外交流访问和留学经历，获国家、省部级人才称号 20 余人次，形成了海洋气象领域中以国际IUGG 会士、英国皇家气象学会会士等为学术带头人的高水平年轻化教学科研队伍。</br>  本专业以海洋气象为特色，与物理海洋相伴发展，拥有国家级、省部级等科研创新平台，包括深海圈层与地球系统前沿科学中心、海洋学国家级实验教学示范中心和虚拟仿真实验教学中心、海洋多学科过程相互作用及其气候环境效应国际科技合作基地等，为教学-科研-服务全链条创新人才培养提供了有力支撑。学科在海-气相互作用与气候、季风、海雾等领域处于国内领先地位，在海洋气象领域取得了具有重要国际影响力的创新性成果，近五年在 Nature 及其子刊等顶尖期刊发表高水平论文，相关成果入选 2019 中国高校十大科技进展、2016 中国十大海洋科技进展，被 Nature News&Views 专题评述。建立了“两洋一海”超高分辨率区域海气耦合模式，服务国家“一带一路”建设。</br>  大气科学以服务国家海洋强国战略为导向，志在建设特色显著、国内领先、国际知名的大气科学专业团队，培养理论基础坚实、实践技能优良、创新能力卓越的大气科学类一流人才。我在山海间，等风也等你。中国海洋大学大气科学专业等你来。</br> 大气科学专业学生将学习掌握大气科学专业的基本知识、基础理论和专业技能，拓宽数学、物理、外语、计算机应用等基础，具备自主学习、知识更新和应用能力，以及良好的科学素养和创新精神。</br>  形成了以9门专业核心课和8门海洋特色课构成的“本色+特色”的大气-海洋交叉融合的课程体系。</br>  （1）专业核心课程：流体力学、大气物理学、天气学原理、动力气象学、气候学基础、气象统计方法、数值天气预报、大气探测、天气学分析。</br>  （2）专业特色课程：海洋学、海上灾害天气、海洋-大气相互作用、物理海洋学、海气边界层、海雾、海洋气象学、海洋-大气数据分析等。
61_2030,61,2030,海洋技术,四年,理学学士,本科(普通),理学,海洋科学类,海洋技术专业是首批国家级一流本科专业和国家级特色专业建设点，本专业依靠学校强大的涉海学科门类齐全特色和综合大学优势，交叉融合了物理海洋学、物理学、地理学、光学工程、计算机科学与技术、信号与信息处理、电子科学与技术、环境科学与工程等学科，以海洋探测技术和海洋信息技术为专业方向，具有鲜明的专业特色和优势。</br>  本专业与歌尔、国光电器、北京航天宏图、华为、海信集团、海尔集团等多家各行业著名领军企业签订了校企合作协议，在专业共建、人才培养等方面进行合作，形成产学研协同创新。与美国迈阿密大学（University of Miami）等国际高水平大学建立本科生交换培养协议。</br>  本专业围绕国家海洋强国战略需求，瞄准国内外海洋技术发展前沿，遵循“宽口径、厚基础、强能力、高素质、重特色”的人才培养思路，以培养“研究型复合应用人才”为导向，造就海洋技术领域领军人物和骨干力量。培养数理基础扎实，具备海洋科学基本知识，掌握海洋声学、海洋光学、海洋遥感和海洋信息等现代海洋探测技术和信息处理技术基本技能，能够在海洋科学研究、海洋探测技术研发、海洋信息技术开发、海洋环境监测、海洋资源保护、海洋工程技术开发及相关领域从事科研、教学、技术开发和管理等方面工作的复合型高级专门人才。</br>  为了满足国家和社会经济发展对海洋技术不同专业方向人才的需求，本专业包含海洋声学技术、海洋光学与激光探测技术和海洋遥感与地理信息系统技术三个人才培养模块。</br>  海洋声学技术模块主要培养学生在水下目标探测、水下导航和定位、水下通信、海洋环境遥测、海洋资源开发、水声工程及水下声传播理论研究等海洋声学技术方面进行科研、教学和应用开发的能力；海洋光学与激光探测技术模块主要培养学生在海洋环境光学探测、海洋激光探测、水下目标光学探测、海洋资源开发、海洋光传输理论及应用、光学工程等海洋光学探测技术方面进行科研、教学和应用开发工作的能力；海洋遥感与地理信息系统技术模块主要培养学生在海洋遥感反演与应用技术、海洋大气地理信息技术、虚拟海洋仿真技术和数字城市等海洋遥感探测和海洋信息技术方面进行科研、教学和应用开发工作的能力。
61_2027,61,2027,物理学,四年,理学学士,本科(普通),理学,物理学类,本专业是全国唯一具有海洋特色的物理学专业。作为中国海洋大学历史最悠久的专业之一，本专业可以追溯到1930年的国立青岛大学物理系，伴随海大共同经历了国立山东大学、山东大学、山东海洋学院、青岛海洋大学、中国海洋大学等历史阶段。1958年山东大学内迁济南，原物理系留青教师组建了山东海洋学院海洋物理系，一方面从事基础物理教学，另一方面设立海洋物理专业，成为国内海洋物理人才培养的重要基地，为物理学科和国家海洋科技的发展做出了应有的贡献。本专业历经八十余年的发展，作为母体催生并分化出多个专业，形成了目前海大信息学院的主体，自身演变为山东省特色专业。</br>  物理学专业是“国家级一流本科专业”，以物理学一级硕士点和物理与光电信息科学交叉博士点为学科支撑。本专业以海洋物理为特色，培养具有良好道德情操与科学素养、掌握系统的物理学知识和基本物理实验技能、能够在物理学与海洋科学等领域进一步从事研究及其相关工作的物理学专业复合型人才。具体培养目标如下：（1）具有良好的个人品德和科学道德，诚实严谨，求真唯实；（2）具有良好的数学基础，掌握物理学的基础理论、方法和思想；（3）掌握物理实验的设计、操作和数据分析方法；（4）掌握初步的科学研究方法；（5）熟悉海洋科学中的相关物理知识和方法。
61_2045,61,2045,光电信息科学与工程,四年,工学学士,本科(普通),工学,电子信息类,本专业以海洋光学仪器为特色，培养具有良好的思想品质与职业道德、掌握光电信息科学领域坚实的基础理论和系统的专门知识、具备较强的工程实践能力和创新精神的创新型复合人才。具体培养目标如下：具有良好的现代科学素质、人文素养、社会责任感和职业道德；掌握光电信息技术的基础理论，具有扎实的学科基础素养，具有良好的专业知识应用能力；掌握光电信息技术的基本技能，掌握光学仪器、显示技术及相关领域的专门技能与科学研究方法，具备较强的工程实践能力；适应社会发展，具备较强的创新创业能力、终身学习和自我提升的能力，适应光电信息技术的新发展需求。
61_2019,61,2019,化学工程与工艺,四年,工学学士,本科(普通),工学,化工与制药类,本专业依托我校“海洋学科特色显著、学科门类齐全”和国家“世界一流大学建设高校”（A类）专业与学科建设总目标，在信息化和大数据背景下，面向国家化学工业重大发展战略需求与未来挑战，建设国家一流化学工程专业，培养和造就具有海洋化工特色的化学工程领军人才和骨干力量。</br>  2002年本专业获批本科招生与工学学士学位授予权；2003年招收了第一届化学工程与工艺本科生。2003年获得化学工程硕士学位授予权，高从堦院士加入化学化工学院，2005年获得化学工艺硕士学位授予权，2011年获得化学工程与技术一级学科硕士点授予权。2013年获得海洋化学工程与技术博士点，形成了较为完备的人才培养体系。2016年通过了中国工程教育专业认证。2021年入选国家级一流本科专业。</br>  本专业设立以来，已为社会输送了13届毕业生共计500余人。陆续涌现出一批在国内外高校、化工和海洋领域年轻的“卓越和拔尖”人才，其中，2009级本科毕业生孟祥超在加拿大留学期间曾受到李克强总理和王毅部长接见，现已引进我院为直聘教授，博导，并荣获山东省泰山学者青年专家称号。本专业先后投资300余万元建设了部分带有智能控制、操作参数数据分析和DCS系统的化工原理、化工专业和化工计算机仿真实验室。先后与齐鲁石化、山东电建第三工程公司等10多家化工与能源企业建立了本科教学校企合作实习实训基地。</br>  本专业现有教职工28名，其中中国工程院院士1人，“长江学者”1人、“青年泰山学者”2人，“青年英才”1人，新世纪优秀人才2人，国家、省、市专业技术拔尖人才2人，享受国务院特殊津贴人员3人，正、副教授25名，博士生导师8名。本专业已建成了一支对学生有影响力的专业教学队伍和立足海洋化工领域的科学技术研发团队。</br>  经过十几年的发展，本专业在海洋化学工程领域的国内地位显著提升。特色优势日益显现： </br>  1.师生比高，青年教师占比高，教学与科研高度融合。大量年轻老师的研究领域与本专业特色契合，使得本专业成为我国海水膜分离淡化、光电催化海水脱硫、海水电化学防腐与综合利用、海水光电催化制氢、长寿命高能量密度海水电池、化工系统工程等领域最具竞争力和影响力的专业之一；</br>  2.科教融通的一流创新创业训练平台。依托海洋化学理论与工程技术教育部重点实验室、海洋材料与防护技术教育部工程研究中心、海水综合利用技术工程中心、海洋精细化工青岛市重点实验室、化学实验教学山东省示范中心等教学、实验和实践平台与科研创新平台，构建了一流的大学生创新创业训练平台。并按照工程教育认证要求建立了完善的质量评估体系，人才培养质量达到国际实质等效;</br>  3.建立了全新的工程实践教学体系，打造了产、学、研、政融合的人才培养机制特色，推动专业新工科建设。与国内多家有影响力的石化、海化和能源类企业联合制定培养标准与课程体系、共建工程实践、实习与实训教育基地，企业导师进课堂，大学生进企业，校企协同培养高素质化工工程技术人才。</br>本专业结合国家和山东省海洋蓝色经济战略需求和学校发展定位，凭借学校强大的海洋师资队伍和优越的海洋学科办学条件，发挥在海洋科学技术与工程实践等方面的优势，根据化学工业及相关行业发展对化工专业技术人才的要求以及化学工程学科的特点，培养具有民族精神和社会责任感、国际视野和合作竞争意识、科学精神和人文素养、德智体美劳全面发展的创新型高等化学工程科学和技术人才。
61_2046,61,2046,材料科学与工程,四年,工学学士,本科(普通),工学,材料类,本专业前身是材料化学专业，材料化学专业是我院建院之初的第一个专业，每年招收本科生50名，授予工学学士学位。为更好地适应未来材料发展和社会需求，2016年将材料化学专业更名为材料科学与工程专业，使其兼顾材料类和工程类的学科特征，2021年入选省级一流本科专业。本专业目前拥有一支学缘结构合理、学术造诣高的师资队伍。借助我校海洋学科优势平台，专业将材料科学和海洋科技交叉融合，凸显海洋特色。同时，专业还充分跟踪材料科学发展前沿趋势，形成新型光电功能材料和能源材料等领域的专业特色。</br>  培养目标：本专业培养适应国家经济和海洋行业发展需要，具有家国情怀、国际视野、创新精神和实践能力的社会主义事业建设者和接班人，毕业后可到科研机构、高校、企业等单位从事材料科学与工程及相关领域（特别是海洋材料或能源材料领域）的科学研究、教学与科技管理、新材料新产品开发、生产与管理等工作的高层次专业人才。</br>通过在校学习，德智体美劳全面发展，毕业后通过5年左右的社会工作实践或者学习深造，期望达到以下目标：(1)工程知识：具有扎实的工程知识基础，能够将数学、自然科学（含海洋相关知识）、工程基础和专业知识用于解决材料科学与工程领域的复杂工程问题;(2)问题分析：具有复杂问题的分析能力，能够应用数学、自然科学和工程科学的基本原理，识别、表达、并通过文献研究分析材料科学与工程及其海洋、能源等相关领域的复杂工程问题，以获得有效结论;(3)设计开发解决方案：具有设计/开发解决方案的水平，在材料及相关工程问题的设计开发过程中能够进行材料的遴选、设计、合成、加工、分析测试、工程设计、生产与管理的能力，并能够在设计环节中体现创新意识，考虑环境、社会、健康、安全、法律、文化等因素;(4)研究：具有从事科学研究的能力，能够基于科学原理并采用科学方法对材料科学与工程及其海洋、能源等相关领域的复杂工程问题进行研究，包括设计实验、分析与解释数据、并通过信息综合得到合理有效的结论;(5)使用现代工具：具有使用现代工具的能力，能够针对材料科学与工程及其海洋、能源等相关领域的复杂工程问题，开发、选择与使用恰当的技术、资源、现代工程工具和信息技术工具，包括对发展工程问题的预测与模拟，并能够理解其局限性;(6)工程与社会：具有正确处理工程与社会关系的能力，能够基于工程相关背景知识进行合理分析，评价材料科学与工程及其海洋、能源等相关领域的工程实践和复杂工程问题解决方案对社会、健康、安全、法律以及文化的影响，并理解应承担的责任;(7)环境和可持续发展：具有环境和可持续发展的意识，能够理解和评价针对材料科学与工程及其海洋、能源等相关领域复杂工程问题的工程实践对环境、社会可持续发展的影响;(8)职业规范：具有职业道德和职业规范，具有人文社会科学素养、社会责任感，能够在工程实践中理解并遵守工程职业道德和规范，履行责任;(9)个人和团队：具有团队意识，能够正确处理个人和团队的关系，能够在多学科背景下的团队中承担个体、团队成员以及负责人的角色;(10)沟通：具有沟通和协调能力，能够就复杂工程问题与业界同行及社会公众进行有效沟通和交流，包括撰写报告和设计文稿、陈述发言、清晰表达或回应指令，具备一定的国际视野，能够在跨文化背景下进行沟通和交流;(11)项目管理：具有项目管理能力，理解并掌握工程管理原理与经济决策方法，并能在多学科环境中应用;(12)终身学习：具有自主学习和终身学习的意识，能不断追踪新材料发展前沿及其在海洋、能源等领域的应用，有不断学习和适应发展的能力。
61_2037,61,2037,生物科学,四年,理学学士,本科(普通),理学,生物科学类,生物科学专业以“海洋生物”为特色，是全国唯一冠以“海洋生物”标志的历史悠久的教学科研体系，是培养我国海洋生物方面人才的重要基地之一，在2019年被教育部评为国家级一流本科专业。本专业培养具有坚实的生物科学与海洋生物学基本理论、基本知识和较强的实验与实践技能，能在生物学尤其是海洋生物学的基础性研究、海洋生物资源调查和开发利用及海洋环境保护、水产增养殖、海洋高新技术及海洋事务管理等领域培养出从事基础性科研与教学及管理工作的高级人才。
61_2021,61,2021,水产养殖学,四年,农学学士,本科(普通),农学,水产类,水产养殖学专业始创于山东大学水产系的水产养殖组，是国内最早设立的水产养殖本科专业（1946年），也是我国第一个水产养殖学硕士点和博士点。2000年获得山东省教学改革试点专业，2006年获得山东省品牌专业，2007年获得国家特色专业，2008年获得国家创业教育创新实验区，2019入水产养殖学专业选国家级一流本科专业建设点，2022年水产养殖学专业获得教育部首批虚拟教研室试点单位。在高水平师资队伍中，拥有中国工程院院士1名、中国科学院院士1名、长江学者特聘教授3名、国家杰出青年基金获得者5名、国家万人计划领军人才2名、国家优秀青年基金获得者2名、国家青年千人1名、教育部新世纪优秀人才8名、山东省泰山学者特聘教授3名，山东省教学名师2名，绝大多数教师具有海外留学或交流访问经历。自恢复高考制度以来，该专业毕业生中已经有3人遴选为中国科学院院士和中国工程院院士，国内相关大学和研究所中的科研骨干大多数毕业于该专业并获得博士学位。在全国高等学校中水产养殖学专业排名第一，建有水产学专业导论视频公开课等3门国家级精品课程，是水产科学国家级实验教学示范中心依托单位、教育部卓越农林人才培养计划实施单位，正在实施教育部新农科教育教学改革项目4项。</br>本专业面向国家乡村振兴、粮食安全、一带一路及海洋强国等发展战略的人才需求，适应现代新农科发展方向，培养具备水产生物增养殖科学等方面的基本理论、基本知识和基本技能，能在水产养殖生产、教育、科研和管理等部门从事科学研究、教学、技术研发、管理等工作的高级专业人才。
61_2041,61,2041,海洋渔业科学与技术,四年,农学学士,本科(普通),农学,水产类,海洋渔业科学与技术专业始建于1946年，是我国最早建立的水产本科专业之一，经过70余年历史沉淀和快速发展，目前已构建了完整的“本科—硕士—博士—博士后”人才培养体系。本专业目前在全国高等院校该专业排名中位列第一，是支撑中国海洋大学水产国家一流学科（A+）、水产一级国家重点学科、水产科学国家级实验教学示范中心以及山东省海洋渔业高校重点实验室的核心专业，2011年被确定为山东省特色专业，2014年入选教育部卓越农林人才培养计划，2019年获批国家级“双万计划”一流专业，2020年获批教育部5个新农科建设项目之一（新兴水产专业建设项目）。学科与美国、日本、挪威等国家渔业领域著名高校和科研院所发展了良好的国际合作与交流关系，打造“亚洲校园”等多个国际合作平台项目，为本科生提供学分互换、短期交流和赴国外攻读硕士等计划，大力推进本科生国际化人才培养。</br>    本专业师资力量雄厚，已形成一支科研水平高、学缘与专业结构合理、教学经验丰富的师资队伍。现有教师共36人，其中高级职称教师31人，具有博士学位的教师31人，山东省泰山学者特聘专家1人，中国海洋大学“筑峰人才工程”第一、三层次特聘教授各1人，75%以上教师具有海外留学或工作经历。本专业具有雄厚的科研实力，围绕国家重大产业需求，先后承担多项国家“863”计划、国家科技支撑计划、国家重点研发计划、国家自然科学基金项目以及省部级重大科研项目等，为国家“蓝色粮仓”建设提供了有力的技术支撑。</br>    本专业以数学、工程学、计算机信息学以及生物学等多学科的基础理论和基础知识为平台，以渔业资源利用与修复、增养殖工程、渔业信息化和渔政与渔港监督等为专业核心，以多学科交叉技术多维度研究现代海洋渔业科学技术问题为专业特色，现已成为我国海洋渔业技术领域人才培养与科学研究的重要基地之一。</br>    培养目标：本专业面向生态文明建设、海洋强国和粮食安全等国家战略，培养适应现代海洋渔业发展需求，掌握海洋渔业科学与技术专业基础理论和实践技能，能够胜任相关领域科学研究、技术开发及生产管理等工作的创新性复合型人才。</br>    具体目标：（1）具备优良的思想品德和科学与文化素养、强烈的社会责任感和健康的身心素质；（2）秉承和发展现代海洋渔业理念，掌握数学、工程、信息学和管理学等扎实的基本理论和专业技能，具有从事海洋渔业资源利用、增养殖工程设计、渔业信息化技术开发和渔业管理等方面的能力；（3）了解现代海洋渔业的国际发展动态，具备较强的国际交流与协作能力；（4）适应社会和行业发展，具有较强的创新和创业精神、终身学习及自我提升的综合能力。
