special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
110_5162,110,5162,安全工程,四年,工学学士,本科(普通),工学,安全科学与工程类,<p>安全工程（学制四年 工学学士）</p><p>安全工程专业所依托的国家一级学科“安全科学与工程”（2012年在教育部一级学科评估中排名第一），是“国家重点学科”、“211工程”、“985工程优势学科创新平台”建设学科和江苏省特色优势学科，拥有“安全科学与工程”一级学科博士点。本专业为“国家特色专业”、“江苏省重点建设专业”、“江苏高校品牌专业”、“卓越工程师教育培养计划”试点专业。本专业现有师资队伍51人，其中中国工程院院士1人，教授19人，博士学位比例占88.24%。拥有大量为本科教学服务的高端实验平台。本专业毕业生可在矿山、建筑、化工、港口、市政、核电等领域从事安全科学研究、技术开发、工程设计及安全管理工作，也可在安全监察部门、教育培训机构等从事安全监察与管理、教育等工作。</p>
110_5156,110,5156,采矿工程,四年,工学学士,本科(普通),工学,矿业类,<p>采矿工程（学制四年 工学学士）</p><p>采矿工程专业，全国排名第一，是国家特色专业，江苏省品牌专业，通过工程教育专业认证。本专业培养具有宽厚的专业基础和人文素养，具有社会责任感和国际视野、创新意识和工程实践能力，具备固体矿床开采的基本理论和方法，以及采矿工程师的基本能力，能在固体矿床开采特别是煤矿开采领域从事工程设计与施工、矿山经营与管理、以及科学研究等方面工作的矿山高级技术人才和管理人才。下设有地下开采和露天开采两个专业方向。毕业生主要从事矿区开发规划，能在矿山（地下、露天）开采领域从事设计、组织生产和施工、安全监察、科研及矿业管理等工作。优秀毕业生可推荐免试攻读硕士研究生及直读博士生。</p>
110_5145,110,5145,地质工程,四年,工学学士,本科(普通),工学,地质类,<p>地质工程（学制四年  工学学士）</p><p>本专业培养能够运用现代技术手段和方法从事岩土工程勘察、基础施工、钻探工程、地灾评价和煤矿工程地质方面的研究、教学、生产和管理，适应当代地质工程发展和社会需求的高级工程技术人才，下设工程地质与岩土工程、岩土钻掘工程两个专业方向。毕业生主要面向工程建设、煤炭、石油、地矿、交通、开发等部门及科研机构或大专院校从事科研、教学、技术开发与管理工作。优秀毕业生可报考或免试攻读硕士及博士学位。近五年本专业的就业率为99％以上。</p>
110_5148,110,5148,电气工程及其自动化,四年,工学学士,本科(普通),工学,电气类,<p>电气工程及其自动化（学制四年  工学学士）</p><p>本专业是电气类的一个宽口径专业。2003年，入选江苏省品牌专业；2012年，获批国家级卓越工程师培养计划；2012年，入选江苏省“十二五”高等学校重点专业；2015年，入选江苏高校品牌专业建设工程一期项目。本专业主要培养具备电气、自动化、电子与计算机技术领域的基础理论和基本技能，能够分析解决该领域复杂工程问题，从事工程设计与制造、技术开发、工程施工、试验分析、运营维护、技术管理、教学科研等方面工作的宽基础、强能力、高素质国内一流工程技术人才。本专业根据行业特点、社会人才需求以及学生个人需求，在培养模式上采用分类别（学术创新型、卓越创新型、工程创新型）和分方向培养，同时将专业核心课程的教学内容分成A、B和英文教学等不同层次。学生可根据需求选择不同类别和不同层次的课程进行学习。毕业生主要面向科研机构、工程设计院、高等院校、工矿企业等单位从事科学研究、技术开发、工程管理、教学等工作。优秀毕业生可报考或免试攻读硕士及博士研究生。免试研究生推荐名额可达本专业人数的15%至20%。</p>
110_5158,110,5158,工程力学,四年,工学学士,本科(普通),工学,力学类,<p>工程力学（学制四年 工学学士）</p><p>本专业为教育部高等学校特色专业，江苏省重点建设专业和品牌专业，拥有一级学科博士后流动站、博士点、硕士点、国家重点学科、省级重点学科、长江学者设岗学科。毕业生主要面向企事业单位、科研院所、大专院校等部门从事工程设计、科学研究、软件开发与应用、企业管理及力学的教学工作。优秀学生可免试或报考攻读硕士及博士学位，也可赴英国诺丁汉大学及德国杜伊斯堡大学攻读硕士学位。</p>
110_5163,110,5163,工业工程,四年,管理学学士,本科(普通),管理学,工业工程类,<p>工业工程（学制四年 工学学士）</p><p>本专业是江苏省特色专业，本专业培养具有扎实的数理基础理论，良好的外语和计算机能力，能够运用现代工程技术与管理科学的基本理论、方法和手段，以经济效益最佳为目标，将人员、物料、设备、技术和信息加以综合，对生产系统、服务系统进行分析、规划、设计、控制与改善的创新型高素质人才。毕业生主要在工矿企业从事企业系统的规划、设计和评价，生产系统的设计与改善，生产计划与控制，质量管理及企业物流系统的设计与优化，为企业提高劳动生产率进行动作和时间研究，信息工程与计算机软件开发与应用等工作。优秀毕业生可免试攻读硕士研究生。</p>
110_5161,110,5161,消防工程,四年,工学学士,本科(普通),工学,公安技术类,"<p>消防工程（学制四年 工学学士）</p><p>消防工程专业是第一个经教育部批准在地方高校设立的消防工程本科专业，所依托的国家一级学科“安全科学与工程”（2012年在教育部一级学科评估中排名第一），是“国家重点学科”、“211工程”、“985工程优势学科创新平台”建设学科和江苏省特色优势学科，拥有“安全科学与工程”一级学科博士点。本专业是江苏省特色专业和“十二五”江苏省重点建设专业。本专业现有教师队伍15人,高级职称比例占66.7%，博士学位比例占80%。专业核心课程包括燃烧学、火灾动力学、建筑防火工程、水灭火工程、建筑防排烟工程、火灾识别与联动控制等。本专业培养能从事消防系统设计、施工与管理、检测与维保、技术咨询与评估和监督检查的消防工程师和研究人才。可在消防部队、科研机构、工程设计与施工单位、大型企业和中介机构就业。</p>"
110_5150,110,5150,工程管理,四年,管理学学士,本科(普通),管理学,管理科学与工程类,<p>工程管理（学制四年 管理学学士）</p><p>本专业为江苏省特色专业、国际项目管理专业资质认证专业，2011年和2016年两次通过住建部专业评估，主要培养适应二十一世纪社会主义现代化建设需要，德、智、体、美全面发展，宽基础、强能力、高素质，具备土木工程技术及与工程管理相关的管理、经济、法律等基本知识，获得工程师基本训练，具备一定的国际化视野，具有综合的实践能力、创新能力和进行科学研究的能力，能从事建设项目决策与项目全过程管理及进行相关研究的复合型高级工程管理人才。本专业不分专业方向，基本学制4年，修业年限3～8年，授予工学学士学位。毕业生能在建设单位、设计单位、施工单位、工程咨询和监理单位、房地产企业、投资与金融等领域从事工程管理及相关工作以及在政府部门、教学和科研单位从事相关工作。本专业设置有博士点、硕士点，优秀学生可报考（或免试）攻读硕士及博士研究生。本专业优秀学生可根据其自愿赴英国诺丁汉大学攻读相关专业硕士学位。</p>
110_5147,110,5147,水文与水资源工程,四年,工学学士,本科(普通),工学,水利类,<p>水文与水资源工程（学制四年  工学学士）</p><p>本专业培养能够运用现代技术手段和方法从事水文与水资源、地下水科学及矿山水害防治方面的研究、教学、生产和管理的高级工程技术人才。毕业生可在水利水务、能源、国土资源、城市建设、环境保护、交通、农林等部门从事水文、水资源、地下水科学及环境保护等方面的勘测、分析评价、规划设计、管理、技术经济分析等工作，也可在高校及科研部门从事教学科研工作。优秀毕业生可报考或免试攻读硕士及博士学位。近五年本专业的就业率为100%。</p>
110_5153,110,5153,化学工程与工艺,四年,工学学士,本科(普通),工学,化工与制药类,<p>化学工程与工艺（学制四年 工学学士）</p><p>本专业拥有一级学科博士点，为“211工程”重点建设学科，江苏省优势学科建设工程学科，专业为国家特色专业、卓越工程师培养计划专业，通过国家工程教育认证专业。培养从事化学工程、煤转化利用及相关领域的科技与管理等方面的高级专门人才。优秀毕业生可免试直接攻读硕士或本硕博连读，也可通过选拔赴国外大学攻读硕士学位。</p>
