special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
66_1026286,66,1026286,信息安全,四年,工学学士,本科(普通),工学,计算机类,"<p>    培养目标：本专业培养素质、知识、能力全面发展，具有自然科学、人文科学和信息科学基础
知识，掌握信息安全领域的基本理论、基本技术和应用知识，具备信息安全科学研究、技术开发和
应用服务工作能力的信息安全科技人才，能够在信息安全、信息科学、信息技术及其他相关领域
从事信息安全科学研究、技术开发和应用服务等方面的工作。
</p><p>    培养要求：本专业学生主要学习信息安全的基础知识和基本理论，接受信息安全基本技术的
训练，具备信息安全科学研究、技术开发和应用服务等方面的基本能力。
</p><p>    毕业生应获得以下几方面的知识、能力和素质：
</p><p>    1．素质
</p><p>    (1)思想品德素质：热爱祖国，遵纪守法，具有高度的国家安全意识和信息安全责任心，具有
尽职奉献的品德；
</p><p>    (2)身心素质：具有良好的身体素质和心理素质；
</p><p>    (3)文化素质：具有一定的文化修养，既要具有一定的中华民族传统优秀文化的修养，也要
具有一定的现代世界文化的修养；
</p><p>    (4)专业素质：具有从事信息安全科学研究、技术开发和应用服务的专业素质，具有一定的
创新和创业意识。
</p><p>  2．知识
</p><p>  (1)人文社会科学知识：具有文学、外语、法律、管理和艺术等方面的基本知识；
</p><p>  (2)自然科学知识：具有与信息安全相关的数学、物理和生物学等基础知识；
</p><p>  (3)专业知识：具有扎实的信息安全数学基础、信息科学基础、信息安全基础知识。具有系
统扎实的密码学、网络安全、信息系统安全，信息内容安全等领域的专业知识，并在某一方面有所
侧重。
</p><p>    3．能力
</p><p>    (1)学习能力：具有知识和技术的获取能力，具有自学能力；
</p><p>    (2)分析和解决问题的能力：具有信息安全领域的科学研究、技术开发和应用服务的基本
能力；
</p><p>    (3)创新能力：具有一定的创新和创业意识。
</p><p>    主干学科：计算机科学与技术、电子信息。
</p><p>    核心知识领域：信息科学基础、信息安全基础、密码学、网络安全、信息系统安全、信息内容安
全等。
</p><p>    核心课程示例：
</p><p>    示例一：信息安全导论（6学时）、高级语言程序设计（54学时）、信息安全数学基础（72学
时）、计算机组成原理（72学时）、离散数学（54学时）、数据结构（54学时）、操作系统及安全(72
学时)、数据库原理（54学时）、通信原理（36学时）、计算机网络（54学时）、密码学（54学时）、软
件安全（45学时）、网络安全（54学时）、智能卡技术（54学时）、信息系统安全（72学时）、信息隐
藏技术（72学时）、信息内容安全（72学时）、数据库系统安全（54学时）、信息安全工程（54学
时）、电子商务与电子政务安全（54学时）。
</p><p>    示例二：电路分析基础（68学时）、信号与系统（68学时）、模拟电子线路（60学时）、数字电
路与逻辑设计（46学时）、微机原理与系统设计（78学时）、通信原理（60学时）、数字信号处理
（46学时）、信息安全数学基础（78学时）、数据结构和算法分析（54学时）、C语言程序设计(46
学时)、操作系统（46学时）、数据库（46学时）、计算机网络（46学时）、信息论与编码理论（46学
时）、现代密码学（46学时）、网络安全理论与技术（46学时）。
</p><p>    示例三：电路与电子学（64学时）、脉冲与数字电路（48学时）、信号系统与信号处理（64学
时）、计算机组成原理与接口技术（64学时）、信息安全数学基础（48学时）、数据结构（64学时）、
信息论与编码（32学时）、信息安全导论（32学时）、C++程序设计（48学时）、通信原理（64学
时）、操作系统（48学时）、计算机网络（64学时）、网络安全理论与技术（48学时）、密码学（48学
时）、计算机病毒（32学时）、通信安全技术（48学时）、网络安全编程（48学时）、信息隐藏技术
（32学时）、信息安全法律法规（8学时）、信息安全管理与测评（48学时）。
</p><p>    主要实践性教学环节：校内实践环节包括课程练习、课程设计、实验课、学生业余科研、科研
实践、毕业实践等；校外实践环节包括校外实习和社会调查等。
</p><p>    主要专业实验：信息安全软件基础实验、信息安全硬件基础实验、密码学实验、网络安全实
验、信息内容安全实验、创新性综合实验。
</p><p>    修业年限：四年。
</p><p>    授予学位：工学学士或理学学士或管理学学士。
</p><p>    【本专业为国家控制布点的专业】
</p>"
66_97439,66,97439,数学类,四年,,本科(普通),理学,数学类,暂无简介
66_2297,66,2297,物理学,四年,理学学士,本科(普通),理学,物理学类,"专业名称：物理学  <br>　　物理系（2系，原名技术物理系）是中国科学技术大学 1958 年建校时即设置的系之 <br>　　一。首任系主任由中国科学院学部委员(院士)、 中国科学院物理研究所所长施汝为担任。 <br>　　先后还有马大猷、严济慈、钱临照、朱洪元、曾泽培、王守觉、章综、李荫远、张宗燧等 <br>　　著名科学家在物理系任职、任教，他们为物理系的发展奠定了基础。1964年，与生物物理 <br>　　系、地球物理系、物理教研室合并组成物理系。1978年系调整时物理系保持半导体物理与 <br>　　器件、低温物理、磁学、固体发光、光学等物理专业。 <br>　　目前物理系有物理学、应用物理学（凝聚态物理方向，微电子学与固体电子学方向),光信息科学与技术三个本科生专业和凝聚态物理、 光学、 微电子学与固体电子学和物理电子学四个博士点。其中凝聚态物理、光学是国家重点学科。物理系是国家科技人才培养基地和中国科学院博士生培养基地。 <br>　　物理系现有教职工92人，其中教授23人(院士1名，博士生导师15名)； 副高级职称30人。为本科生、研究生开设了物理学科从基础到专业一系列课程。 <br>　　40多年来，物理系为国家培养高级专门人才 3800 多名（其中研究生200多名）。毕 <br>　　业生遍及全国，已成为各个岗位上的骨干力量。他们中有中国科学院院士、第三世界科学 <br>　　院院士赵忠贤，中国工程院院士王震西、陈立泉、许祖彦，还有著名企业家和国家政府部 <br>　　门的负责人。 目前在校本科生348名，硕士研究生197人，博士研究生89人，代培研究生 <br>　　195人。 <br>　　现有中国科学院量子信息重点实验室、安徽省光电子科学与技术重点实验室， 超导研究所、光子技术研究所、强激光技术研究所、微电子学实验室、 激光生物实验室等科研机构。 1996年以来已承担了国家重大基础项目，国家自然科学基金重大、重点项目，国家863高技术项目，中科院创新工程重点项目以及国家自然科学基金面上项目的科研任务。郭光灿教授担任国家重大基础项目（973）的首席专家。1996年以来已取得科研成果20多项，获省部级科研奖5项，发表学术论文1000多篇，其中SCI、EI收录论文500多篇。"
66_305714,66,305714,电子信息工程,四年,工学学士,本科(普通),工学,电子信息类,"<p>    培养目标：本专业培养具备现代电子技术理论、通晓电子系统设计原理与设计方法，具有较
强的计算机、外语、相应工程技术应用能力以及在本专业领域跟踪新理论、新知识、新技术的能
力，能在信息通信、电子技术、智能控制、计算机与网络等领域和行政部门从事各类电子设备和信
息系统的科学研究、产品设计、工艺制造、应用开发和技术管理的复合型工程技术人才。
</p><p>    培养要求：本专业学生主要学习电子信息工程方面的基本理论和基本知识，学习信息获取、
信号处理、信号传输以及电子信息系统设计、应用开发等方面的专业知识，接受电子工程、信息工
程、计算机辅助设计实践的基本训练，掌握电子设计、信息处理、应用开发和集成电子设备及信息
系统的基本能力。
</p><p>    毕业生应获得以下几方面的知识和能力：
</p><p>    1．身心健康，具有良好的工程职业道德、爱国敬业精神、丰富的人文科学素养和社会责任
感，追求卓越；
</p><p>    2．具有从事电子信息工程领域科学研究、工程设计、技术服务等工作所需的数理知识和其
他相关的自然科学知识；
</p><p>    3．具有良好的质量、环境、职业健康、安全和服务意识；
</p><p>    4．掌握信号与系统、电子技术、电磁场与电磁波、信息论、计算机基础等基本理论和基本知识；
</p><p>    5．掌握电子系统、信号处理、信息传输等基本分析、设计、开发、测试和应用的基本知识，具
有集成电子设备及信息系统的基本能力，具有综合运用科学理论和工程技术分析解决工程问题
的基本能力，具有较强的创新意识和对产品、技术与设备进行研究、开发、设计和技术改造或创新
的初步能力；
</p><p>    6．熟悉信息产业的基本方针、政策和法规，了解企业管理的基本知识；
</p><p>    7．了解电子设备和信息系统的理论前沿、应用前景，发展动态和行业需求；
</p><p>    8．具有一定的科学研究和实际工作能力，具有一定的批判性思维能力；
</p><p>    9．具有较强的继续学习能力；
</p><p>    10.掌握文献检索、资料查询的基本方法，具备信息获取的能力；
</p><p>    11.具有较好的组织管理能力、较强的语言表达能力和交流沟通能力以及良好的团队意识
和合作精神。
</p><p>    主干学科：电子科学与技术、信息与通信工程。
</p><p>    核心知识领域：电路分析基础、信号与系统、模拟电子技术、数字电路、电磁场与电磁波、通信
原理、微型计算机原理、数字信号处理、信息论等。
</p><p>    主要实践性教学环节：课程实验、课程设计、生产实习、毕业设计（论文）等环节。
</p><p>    主要专业实验：电子电路实验、通信原理实验、微型计算机原理实验、综合性电路系统实验、
创新系列实验等。
修业年限：四年。
授予学位：工学学士或理学学士。
</p>"
66_2299,66,2299,化学,四年,理学学士,本科(普通),理学,化学类,化学系有雄厚的师资力量和突出的科研成果。现有教授24人，其中博士生导师17人，中国科学院院士2人，副教授18人。诺贝尔化学奖获得者J.M. Lehn教授担任名誉教授，18名国内著名学者受聘担任兼职教授，其中中国科学院院士7名。该系每年争取到的科研经费（特别是国家自然科学基金）和在国内外著名期刊上发表的论文数在全校名列前茅。钱逸泰院士领导的科研小组已在国际著名学术刊物《Science》上发表了两篇文章。刘有成院士领导的科研小组在物理有机化学领域取得了重大成果。 <br>　　化学系主干学科为：化学。本科设化学专业，研究生设无机化学、分析化学和有机化学三个博士点和硕士点，并可接纳博士后研究人员，目前在该系就读的本科生215名，硕士生共92名，博士生71名，博士后研究人员3名。 <br>　　化学系的骨干课程有：高等数学、普通物理、物理实验、线性代数、数理方法、概率统计、电子技术基础及实验、计算机系列基础、无机化学、分析化学、有机化学、物理化学、结构化学、化学工程、配位化学、化学信息学、环境化学等。 <br>　　化学系积极关注化学与生命科学、材料科学、环境科学和计算机科学的交叉，及时将边缘学科的最新进展介绍给全体学生，培养的学生具有坚实的数理化基础、前沿的专业理论和精良的计算机操作和化学实验技能。80%以上的学生被国内外著名大学的研究生院录取，其余学生为中国科学院各研究所和国内大公司聘用。 <br>　　化学系的主要科研方向有超导材料、纳米化学、生物无机化学、稀土配位化学、化学键理论、超分子化学、物理有机化学、生物有机化学、天然产物化学、有机合成化学、分析科学、计算机化学(化学信息学与分析仪器)、环境分析化学、生命分析化学等。
66_349996,66,349996,工商管理,四年,管理学学士,本科(普通),管理学,工商管理类,"为了适应我国经济建设和企业发展的需要，中国科学技术大学管理学院在于2009年成立工商管理系，这是中科大管理学院学科发展的重要举措，极大地推动了管理学院建立起较为完整的学科结构和专业布局。目前，工商管理系拥有工商管理一级学科博士学位授权点，在本科设工商管理学士学位点，在研究生层面有工商管理硕士、博士学位点。教师共35人，教授6人，副教授22人。
　  工商管理系秉承“创造管理思想与工具，培养管理英才与领袖”的学院使命，在教学、科研和社会服务等方面做出了卓有成效的努力。在科学研究方面，注重中国经验与国际先进研究方法的结合，保持对现实问题的关注，提高学术研究的社会效益，2008-2014年间，承担各类国家级科研基金数十项，包括国家社科重大招标项目等。拥有两个研究机构：安徽省人文社会科学重点研究基地“工商管理创新研究中心”、中科大重点实验室“可持续发展与创新（STI）研究中心”。主要研究领域包括：战略管理；创新与技术管理；创业管理；市场营销；运作管理与供应链管理；区域经济与可持续发展等等。在社会服务方面，广泛开展了与企业、政府、社会组织的咨询合作，为区域经济和企业发展提供了有力的智力支持。工商管理系还致力于推动广泛的国际合作，与西澳大利亚大学、德州农工大学、台湾辅仁大学等十多所境外大学开展了教学和科学研究方面的深入合作，有效地推动了我系的快速发展。
　  随着中科大管理学院AACSB认证工作的深入开展，工商管理系将立足于中科大及其管理学院的优势与特色，对现有工商管理专业结构和培养模式进行深度调整和改革，探索出适合新时期社会经济发展要求的、具有中科大特色的新型工商管理教育模式；将紧密结合区域产业发展的社会需求和实际情况，突出创新创业研究，为国家和区域产业的持续发展服务。"
66_2306,66,2306,机械设计制造及其自动化,四年,工学学士,本科(普通),工学,机械类,"　国科学技术大学力学和机械工程系（原名近代力学系）由著名科学家钱学森先生亲自创建于1958年,并由钱先生担任首任系主任。吴仲华、童秉纲、韩肇元教授和虞吉林教授，何世平教授, 陆夕云教授先后担任过本系系主任。现任系主任是何陵辉教授。 <br>　　四十多年来全系共培养大批高素质人才，其中学士2000多名，硕士368名，代培硕士186名，博士167名，代培博士39名。 <br>　　本系培养的毕业生中已有5人成为中科院或工程院院士。 <br>　　国家基础科学研究和教学人才培养基地(力学) <br>　　国家力学一级学科博士授予点 <br>　　中科院博士生重点培养基地 <br>　　固体力学——国家重点学科 <br>　　流体力学——国家重点学科 <br>　　211工程重点建设的学科 <br>　　设有力学学科博士后流动站 <br>　　拥有中科院院士2人，长江学者特聘教授1人，国家杰出青年1人 <br>　　中科院百人计划4人，博士生导师20人，教授31人"
66_2307,66,2307,能源与动力工程,四年,工学学士,本科(普通),工学,能源动力类,　热科学和能源工程系创办于1958年，为国内大学中同类专业创办最早者。前身是工程热物理系，首任系主任为我国著名科学家、中科院院士吴仲华先生。1961年至1982年间，曾并入近代力学系，1983年恢复系的建制。1983年至1993年，我国知名的太阳能专家葛新石教授担任系主任，1992年更名为热科学和能源工程系；1993年至1996年，我国知名火灾科学专家范维澄教授任系主任；1996年至2000年，陈义良教授任系主任；2000年至2001年，程晓舫研究员任系主任。现任主任是季杰教授。
66_2308,66,2308,管理科学,四年,管理学学士,本科(普通),管理学,管理科学与工程类,　　管理科学系设管理科学、工商管理、会计学3个专业。现有教授2人。商学院设有管理科学与工程博士点，管理科学、工商管理（MBA）2个硕士点。? <br>　　管理科学专业培养掌握管理科学基本理论，熟悉现代管理技术和方法的管理人才。善于将定性分析与定量分析相结合，运用现代经济管理理论实现高效的管理决策。特别适应国家、企业和事业进行宏观决策、战略规划、企业诊断和管理研究等管理决策的需要。? <br>　　工商管理专业培养学生具有坚实的管理理论基础，掌握现代管理科学方法，能够将计算机、系统工程等工具熟练地运用于企业决策、战略开发，具备解决各种企业管理实际问题的能力。? <br>　　会计学专业培养学生具有扎实的会计理论知识，掌握各种现代会计工具，能熟练运用计算机技术，对工商企业进行财务管理和控制，以及进行金融审计和财务监督。 <br>　　本科生主干课程 <br>　　 1.管理科学专业? <br>　　主干学科：管理学、运筹学、经济学、计算机科学与技术? <br>　　骨干课程：高等数学、线性代数、普通物理、物理实验、概率统计、电子技术基础及实验、计算机系列基础、会计学原理、宏观经济学、微观经济学、管理学原理、管理信息系统、运筹学、数据库技术、计算机数据通讯、货币银行学、国际金融、国际贸易原理、投资理论、市场营销、模糊数学与管理等。? <br>　　2.工商管理专业? <br>　　主干学科：经济学、工商管理? <br>　　骨干课程：高等数学、线性代数、普通物理、物理实验、概率统计、电子技术基础及实验、计算机系列基础、会计学原理、宏观经济学、微观经济学、管理学原理、管理信息系统、数据库技术、货币银行学、财务管理、市场营销、国际金融、经济数学、中国商事法等。
66_2301,66,2301,理论与应用力学,四年,工学学士,本科(普通),工学,力学类,"中国科学技术大学力学和机械工程系（原名近代力学系）由著名科学家钱学森先生亲自创建于1958年,并由钱先生担任首任系主任。吴仲华、童秉纲、韩肇元教授和虞吉林教授，何世平教授, 陆夕云教授先后担任过本系系主任。现任系主任是何陵辉教授。 <br>　　四十多年来全系共培养大批高素质人才，其中学士2000多名，硕士368名，代培硕士186名，博士167名，代培博士39名。 <br>　　本系培养的毕业生中已有5人成为中科院或工程院院士。 <br>　　国家基础科学研究和教学人才培养基地(力学) <br>　　国家力学一级学科博士授予点 <br>　　中科院博士生重点培养基地 <br>　　固体力学——国家重点学科 <br>　　流体力学——国家重点学科 <br>　　211工程重点建设的学科 <br>　　设有力学学科博士后流动站 <br>　　拥有中科院院士2人，长江学者特聘教授1人，国家杰出青年1人 <br>　　中科院百人计划4人，博士生导师20人，教授31人"
