special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
117_5618,117,5618,药学,四年,理学学士,本科(普通),医学,药学类,<p>药学招生方式:本专业按“药学类”大类招生，学校实施大类+专业的招生模式，按专业类录取的学生进校后，根据学生兴趣、参考学业成绩，按照学校大类招生专业分流工作指导性意见，一年级结束前分流、二年级进入专业学习。“3+3”模式选考科目要求：物理，化学(2门科目考生选考其中一门即可报考)修业年限：四年           授予学位：理学学士业务培养要求和目标：本专业学生应掌握药学各分支学科的基本理论和基础知识，接受药学科研方法和技能的基本训练。具备较扎实的基础和较宽广的专业知识。本专业培养具备药学学科基础知识、基本理论和基本技能，能够在药物研发、生产、检验、流通、使用和管理等领域，从事药物发现和评价、药物制剂设计与制备、药品质量标准研究和质量控制、药品管理以及药学服务等方面工作的高素质专门人才。主要课程：大学英语、高等数学、线性代数、数理统计、物理学、无机化学、分析化学、有机化学、物理化学、生物化学与分子生物学、微生物学、天然药物化学、药物化学、生药学、药理学、药剂学、药物代谢动力学、药物分析、临床药理学、细胞生物学、病理生理学、药物毒理学、药学医学基础、临床医学概论等。</p>
117_5609,117,5609,药物制剂,四年,理学学士,本科(普通),医学,药学类,<p>药物制剂招生方式:本专业按“药学类”大类招生，学校实施大类+专业的招生模式，按专业类录取的学生进校后，根据学生兴趣、参考学业成绩，按照学校大类招生专业分流工作指导性意见，一年级结束前分流、二年级进入专业学习。“3+3”模式选考科目要求：物理，化学(2门科目考生选考其中一门即可报考)修业年限：四年         授予学位：理学学士业务培养要求和目标：本专业学生应掌握药学、药剂学的基本理论、基本知识和技能以及药物剂型的设计原理、制备方法和生产工艺，具备剂型及制剂设计、工艺技术设计、质量控制及药物分析等基本能力。培养能够从事药物剂型与制剂的研究开发，药物制剂的生产、制备和质量控制，医药企业管理的高级科学技术人才。主要课程：大学英语、高等数学、线性代数、数理统计、物理学、无机化学、分析化学、有机化学、物理化学、生物化学与分子生物学、微生物学、药物化学、化工原理、药理学、药物色谱分析、工业药剂学、生物药剂与药代动力学、药用高分子材料学、制剂工程学、药物分析、药学信息检索等。</p>
117_5607,117,5607,药物化学,四年,理学学士,本科(普通),医学,药学类,<p>药物化学招生方式:本专业按“药学类”大类招生，学校实施大类+专业的招生模式，按专业类录取的学生进校后，根据学生兴趣、参考学业成绩，按照学校大类招生专业分流工作指导性意见，一年级结束前分流、二年级进入专业学习。“3+3”模式选考科目要求：物理，化学(2门科目考生选考其中一门即可报考)修业年限：四年       授予学位：理学学士业务培养要求和目标：本专业学生应掌握药物化学的基础理论、基本知识和技能以及新药设计和合成路线设计的基本理论和技术、药物生产工艺研究的基本技能和方法；熟悉药品生产质量管理规范、了解绿色化学与环境保护的关系。培养能够从事新药分子设计、先导化合物发现和优化、药物合成和生产工艺等研究的高级科学技术人才。主要课程：大学英语、高等数学、数理统计、物理学、基础化学、有机化学、物理化学、生物化学与分子生物学、化学生物学、微生物学、天然药物化学、药物合成反应、化工原理、药物光谱分析与解析、药物化学、药理学、药剂学、临床医学概论、药物代谢动力学、计算机辅助药物设计、专业文献与写作、药事法规等。</p>
117_5608,117,5608,药物分析,四年,理学学士,本科(普通),医学,药学类,<p>药物分析招生方式:本专业按“药学类”大类招生，学校实施大类+专业的招生模式，按专业类录取的学生进校后，根据学生兴趣、参考学业成绩，按照学校大类招生专业分流工作指导性意见，一年级结束前分流、二年级进入专业学习。“3+3”模式选考科目要求：物理，化学(2门科目考生选考其中一门即可报考)修业年限：四年        授予学位：理学学士业务培养要求和目标：本专业学生应具备化学、生物学和药学的基本理论和技能；熟练掌握国内外药品生产质量管理规范、药品质量监督管理的法规与标准体系。培养能够在药物研究、生产、流通和临床使用领域，从事药物质量控制与管理、药品分析研究、体内药物分析和质量管理、临床用药监测等工作的高级科学技术人才。主要课程：大学英语、高等数学、线性代数、数理统计、物理学、无机化学、基础化学、有机化学、物理化学、生物化学、人体解剖生理学、微生物学、临床医学概论、药物化学、药剂学、生药学与天然药物化学、药理学与毒理学、药物代谢动力学、药物色谱分析、药物光谱分析、体内药物与毒物分析、中药分析、药物分析、药事管理与法规等。</p>
117_5606,117,5606,中药学,四年,理学学士,本科(普通),医学,中药学类,<p>中药学（含弘景国钧实验班）招生方式:本专业按“中药学类”大类招生，学校实施大类+专业的招生模式，按专业类录取的学生进校后，根据学生兴趣、参考学业成绩，按照学校大类招生专业分流工作指导性意见，一年级结束前分流、二年级进入专业学习。“3+3”模式选考科目要求：物理，化学，生物(3门科目考生选考其中一门即可报考)修业年限：四年             授予学位：理学学士业务培养要求和目标：本专业学生应掌握中药学的基本理论和基本知识，掌握应用现代科学技术对中药和天然药物进行研究和开发的基础知识和基本方法。培养适应中药现代化、国际化及大健康产业现代发展，具有高人文素养、继承与发展思维、科学创新能力和国际化视野，从事中药分析鉴定、质量评价、制剂制备、中药药理研究以及其他与中药研究、生产及管理相关工作的高级科技人才。同时本专业开设弘景国钧实验班，培养能参与国际竞争，具有较强双语能力，并掌握扎实的中药学相关知识及技能的中药学创新型复合人才。主要课程：大学英语、高等数学、数理统计、物理学、基础化学、有机化学、物理化学、中医基础理论、中药学、方剂学、药用植物学、波谱解析、色谱光谱分析、生物化学、微生物学、人体解剖生理学、药理学、本草典籍选读、中药炮制学、中药化学、中药鉴定学、中药药剂学、中药分析学、中药药理学等。弘景国钧实验班另增设中药显微鉴定学和3门暑期国际课程。</p>
117_5605,117,5605,中药资源与开发,四年,理学学士,本科(普通),医学,中药学类,<p>中药资源与开发（含中药饮片与功能产品开发实验班）招生方式:本专业按“中药学类”大类招生，学校实施大类+专业的招生模式，按专业类录取的学生进校后，根据学生兴趣、参考学业成绩，按照学校大类招生专业分流工作指导性意见，一年级结束前分流、二年级进入专业学习。“3+3”模式选考科目要求：物理，化学，生物(3门科目考生选考其中一门即可报考)修业年限：四年              授予学位：理学学士业务培养要求和目标：本专业学生应掌握中药学的基本理论和基本知识以及中药资源调查分析，中药材生产加工，中药资源开发利用等方面的知识和技能。培养能够从事中药资源调查、中药材生产、中药材质量分析与品质评价、中药原料采购、中药新药和保健品研究开发等工作的高级科技人才。同时，本专业开设中药饮片与功能产品开发实验班，重在培养能从事中药饮片与功能产品研究开发等方面工作的高级科技人才。主要课程：大学英语、高等数学、数理统计、物理学、基础化学、有机化学、中医药学基础、药用植物学、波谱解析、仪器分析、生物化学、生理药理学、本草典籍选读、植物生理生态学、药用植物栽培学、中药资源学、中药生物技术、中药化学、中药鉴定学、中药药剂学、中药材加工与炮制、中药分析学、中药药理学等。中药饮片与功能产品开发实验班另增设中药药膳食疗学和中药新药和保健食品开发等课程。 </p>
117_5610,117,5610,中药制药,四年,"理学学士,工学学士",本科(普通),医学,中药学类,<p>中药制药（含中药化妆品实验班）招生方式:本专业按“中药学类”大类招生，学校实施大类+专业的招生模式，按专业类录取的学生进校后，根据学生兴趣、参考学业成绩，按照学校大类招生专业分流工作指导性意见，一年级结束前分流、二年级进入专业学习。“3+3”模式选考科目要求：物理，化学，生物(3门科目考生选考其中一门即可报考)修业年限：四年          授予学位：工学学士业务培养要求和目标：本专业学生应掌握中药学基础理论和知识、天然药用物质制备、中药炮制加工和中药制药的基本原理、生产工艺以及相关知识和技能。培养具有研究中药活性物质、中药制剂生产、工艺设计与产品研发、质量控制的基本能力，能够从事中药生产、工艺研究、技术应用与质量管理等工作的高级科技人才。同时，本专业开设中药化妆品实验班，重在培养掌握中药化妆品相关知识，能从事相关化妆品行业研发、管理等高级科技人才。主要课程：大学英语、高等数学、数理统计、物理学、基础化学、有机化学、物理化学、中医基础理论、中药方剂学、药用植物学、波谱解析、仪器分析、生物化学、微生物学、人体解剖生理学、药理学、本草典籍选读、中药化学、中药鉴定学、中药药剂学、中药炮制学、药用高分子材料学、中药制剂工艺设备与应用、中药生物药剂学、中药制药工程学、中药制剂分析等。中药化妆品实验班另增设中药与美容、中药化妆品学、皮肤药理毒理学等课程。</p>
117_5603,117,5603,海洋药学,四年,理学学士,本科(普通),医学,药学类,<p>海洋药学“3+3”模式选考科目要求：物理，化学 (2门科目考生选考其中一门即可报考)修业年限：四年          授予学位：理学学士业务培养要求和目标：本专业是中国药科大学首批经教育部批准成立的、也是我国唯一的海洋药学本科专业。于2004年开始招收本科生，2006开始正式招收海洋药学硕士生和博士生。旨在通过药学、海洋生物学基本理论以及现代生物技术基本专业技能等的传授，培养能够从事海洋药物研究、生产与工艺设计以及海洋生物工程技术研究的专业技术人才。学生毕业后既可以从事生物医药领域的相关工作，也可以从事与海洋生物资源开发利用及海洋药物研发的相关工作，包括：药品研发、质量控制、生产管理、药品销售等工作，或者继续攻读硕士及博士学位，出国深造。本专业的就业率为99%。主要课程：大学英语、高等数学、线性代数、数理统计、物理学、无机化学、分析化学、有机化学、物理化学、生物化学、微生物学、遗传学、药理学、人体解剖生理学、生物制药工艺学、海洋生物学、海洋药物化学、海洋药用生物资源学、海洋药物生物技术、海洋制药学。</p>
117_5604,117,5604,生物技术,四年,理学学士,本科(普通),理学,生物科学类,<p>生物技术“3+3”模式选考科目要求：物理，化学，生物(3门科目考生选考其中一门即可报考)修业年限：四年            授予学位：理学学士业务培养要求和目标：本专业学生应掌握现代生物技术理论和专业技能。培养能够从事生物技术及其生物技术药物相关领域的研究、开发、生产、质量控制、工艺设计和生产管理等工作的专业技术人才。毕业后可以从事生物医药领域的研究，以及生物药品及保健品的研发、生产和管理销售等工作。主要课程：大学英语、高等数学、线性代数、数理统计、物理学、无机化学、分析化学、有机化学、物理化学、生物化学、微生物学、人体解剖生理学、细胞生物学、药理学、分子生物学、免疫学、生物制药工艺学、生化药物分析、生物技术药物学、生物技术、遗传学、抗生素等。</p>
117_5595,117,5595,生物制药,四年,工学学士,本科(普通),工学,生物工程类,<p>生物制药“3+3”模式选考科目要求：物理，化学，生物(3门科目考生选考其中一门即可报考)修业年限：四年          授予学位：工学学士业务培养要求和目标：本专业学生应掌握生物化学、微生物学、生化分离分析技术、生物化工及现代工业药剂学的基本理论知识和基本专业技能以及现代生物工程技术原理和生物技术制药的基本专业技能。培养能够从事生物药物、生物医药所涉及的保健品、医药相关产品领域的产品研发、生产与工艺设计、质量控制、生产管理以及市场推广等工作的高级科学技术人才。主要课程：大学英语、高等数学、线性代数、数理统计、物理学、无机化学、分析化学、有机化学、物理化学、生物化学、微生物学、分子生物学、化工原理、制药工程制图、药用生物资源学、生物技术药物学、生物制药工艺学、生物工程、生物制药设备和自动化、抗生素、工业发酵工艺学、生理药理学、药剂学、生化药物分析等。</p>
