special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
45_1065,45,1065,法学,四年,法学学士,本科(普通),法学,法学类,<p>学院现设有经济法、宪法学与行政法、民族法学、法律史、法理学、民商法、诉讼法、刑法、国际法九个学术型硕士学位授予点以及在职法律硕士、全日制法学法硕和非法学法硕专业学位授予点。</p>
45_1067,45,1067,社会学,四年,法学学士,本科(普通),法学,社会学类,<p>本专业强调基础知识、基础理论和基本方法的学习和掌握，尤其重视民族学田野调查，形成了实践型研究型人才培养的教学模式。本专业为国内民族学教学科研的排头兵，与国内外同行间有广泛的交流和合作，在民族文化与民族问题研究方面成果显著，一直受到学术界和相关政府部门的高度关注。</p><p>本专业开设的核心课程有：民族学导论、民族学调查方法、中国民族志、世界民族志、中国人类学史、当代人类学理论、中国民族史、体质人类学、考古人类学、政治人类学、经济人类学、宗教人类学、应用人类学、艺术人类学、影视人类学、社会统计学、中外文化比较等。</p>
45_1086,45,1086,民族学,四年,法学学士,本科(普通),法学,民族学类,<p>本专业培养毕业生掌握民族学（文化人类学）的基本理论与研究方法，以当代各民族的社会文化为重点研究对象，培养民族学、人类学专业知识扎实、综合素质较高的复合型、应用性人才。本专业毕业生掌握和具备实地调查和理论分析能力，熟悉中外民族文化概况；能够从事民族学、人类学及相关专业科研与管理、新闻出版与影视、文化资源开发管理、民族宗教管理、民政与民族政策研究、物质与非物质文化遗产管理等方面的工作。<br/></p>
45_1060,45,1060,宗教学,四年,哲学学士,本科(普通),哲学,哲学类,培养目标 <br>    本专业培养具有一定的马克思主义理论素养，了解世界各大宗教的历史和现状，了解我国各民族宗教的状况，熟悉我国传统文化，懂得我国宗教法规和政策，德、智、体、美全面发展，能够从事宗教事务管理、新闻传播、政策调研、科学研究等工作的复合型人才。报考学生应热爱社会主义祖国，具有良好的道德操守，愿为社会主义现代化建设服务。 <br>    主要课程 <br>    马克思主义哲学原理、中国哲学史、西方哲学史、宗教学导论、佛教、道教、伊斯兰教、基督教、宗教社会学、宗教伦理学、中国少数民族宗教概况、宗教经典选读、宗教政策与法规等。 <br>    培养特色 <br>    学生入校后实行导师制，帮助学生尽快适应大学生活。高年级根据个人兴趣确定论文指导老师，使学生的个人爱好与学术思想获得更快更好的发展，为未来成功的人生奠定稳固的基础。 <br>    就业前景 <br>    通过四年的学习，学生将掌握马克思主义宗教观，具有世界主要宗教的基本知识和我国主要少数民族的信仰状况，掌握现代宗教学的主要研究方法和我国的宗教法规与政策。往届毕业生除继续深造外，主要是在民族宗教管理部门、文化保护、新闻媒体、国家安全等系统就业。 <br>    本专业招收文史类考生，毕业时授予哲学学士学位。 <br>
45_1071,45,1071,教育学,四年,教育学学士,本科(普通),教育学,教育学类,中央民族大学是党和国家为解决中国民族问题、培养少数民族干部和高级专门人才而创建的高等学校，是我国高等教育体系中汇聚56个民族师生的国家“985工程”重点建设大学。教育学院是一个院、所合一的教学科研单位，是中央民族大学“211工程”、“985工程”重点建设单位，设有国家“985工程”建设项目“中国少数民族教育研究创新基地”，基地下设民族教育理论与政策研究中心、教育人类学研究中心、少数民族双语教育研究所、多元文化教育研究中心、跨文化心理与教育研究所。中国人类学民族学研究会教育人类学专业委员会秘书处设在教育学院。教育学院前身是20世纪50年代成立的教育学教研室，其后于1991年由高教研究室和《民族教育研究》编辑部以及教育学心理学教研室合并成立了民族教育研究所，2000年9月成立了教育系，2003年与少数民族文学艺术研究所和公共艺术教研室合并成立教育学院。教育学院历经50余年的发展变化，其学科与专业在近10年中实现了跨越式发展。<br />
45_1073,45,1073,汉语言文学,四年,文学学士,本科(普通),文学,中国语言文学类,本专业是文科类基础理论型专业，人才培养具有可持续发展潜力。培养视野开阔、善于思考、具有扎实的汉语言文学功底（特别是汉语言表达与写作能力）与初步研究能力、广泛的社会与人文学科的基础理论知识、多民族文化知识背景、适应社会发展趋势的专业人才和文科通用人才。<br />
45_1076,45,1076,新闻学,四年,文学学士,本科(普通),文学,新闻传播学类,本专业为全国、特别是民族地区培养具有健全的人格、宽广的人文和社会科学视野，掌握新闻传播学专业理论知识，具备较强的应用能力与创新能力，具有新闻职业精神，能够在新闻传播领域从事新闻生产、产业经营以及传媒相关行业工作的应用型新闻传播人才。<br />
45_1075,45,1075,汉语国际教育,四年,文学学士,本科(普通),文学,中国语言文学类,本专业培养具有健全的人格、扎实的汉语言文学功底、较高的外语水平以及良好的人文素养、汉语国际教育教学及跨文化交际的能力，能够胜任汉语国际教育教学、中外文化交流和其他领域相关工作以及继续深造的人才。<br />
45_1107,45,1107,日语,四年,文学学士,本科(普通),文学,外国语言文学类,中央民族大学创建于1951年，1952年在工艺美术专业和台湾高山族研究生中开设了日语课。1955年又在政治系、语文系开设了日语课。可以说，我校开设公共日语课，是北京地区最早的院校之一。2004年9月，中央民族大学外国语学院开设日语专业，现有硕士研究生教育和本科生教育两个办学层次。<br />
45_1088,45,1088,文物与博物馆学,四年,历史学学士,本科(普通),历史学,历史学类,本专业培养掌握文物与博物馆相关学科的基本理论、研究方法及实践技能的专业人才，培养具有考古学、博物馆学、文化遗产及文物学全面专业知识、综合素质较高的复合型人才。毕业生熟悉文物考古与博物馆、文化遗产等领域的研究与工作理念、方法，能够从事考古与文物、博物馆及文化遗产相关专业的科学研究，博物馆的管理、策展与教育，文化事业与文化产业管理等文博相关领域的工作。 <br />
45_1110,45,1110,光电信息科学与工程,四年,工学学士,本科(普通),工学,电子信息类,培养具有扎实的数学、物理、电子和计算机的基础知识，系统地掌握光信息调制、传输、检测、处理等技术；具备利用现代光电子学技术和计算机应用技术，解决信息系统中光电子方面、光电信息方面和工程光学方面具体问题的能力；能在光通信、光学信息处理、以及相关的光电子信息科学、计算机科学等信息技术领域、特别是光机电算一体化产业从事科学研究、产品设计和开发、生产技术或管理的二十一世纪的高级专门人才。<br />
45_1095,45,1095,计算机科学与技术,四年,工学学士,本科(普通),工学,计算机类,"系统掌握计算机、自动化、电子、通信、软件工程学科领域内的基础知识,具有在上述领域内从事工程应用的设计与开发，以及生产和管理能力，能够快速适应少数民族地区对于现代IT工业发展需求，为少数民族地区工业和信息化产业的发展培养通用型工程应用技术人才<br />"
45_1094,45,1094,环境科学,四年,工学学士,本科(普通),工学,环境科学与工程类,生命与环境科学学院现有6个本科专业，分别为生物科学、生物技术、生态学、环境科学、环境工程、化学，其中生态学专业为国家级特色专业。此外，学院还承担了学校理工科拔尖创新人才培养实验班的任务。目前在读本科学生人数约800人。<br />
45_1072,45,1072,体育教育,四年,教育学学士,本科(普通),教育学,体育学类,本专业采用教育学和体育学两个主干学科课程设置方式。体育学专业主干课程除了设置常规体育理论和实践课程外，还开设了一些民族传统体育理论和实践课程：民族健身操、木球、陀螺、龙舟、珍珠球、抢花炮等，并设有民族健身操、木球、陀螺及龙舟等专项训练，有机会参加全国及北京市赛事。<br />
45_1080,45,1080,音乐学,四年,艺术学学士,本科(普通),艺术学,音乐与舞蹈学类,"本专业培养具有扎实的音乐学基础理论知识、较成熟的演奏演唱技能，并具备多层知识结构、多元文化素养的综合型高级音乐学专业人才。毕业生可在社会文艺团体、艺术研究单位、文化机关以及广播、出版等行业从事与音乐相关的研究、编辑、评论、管理、传播等方面的工作。<br/>
本专业最终录取时，各省录取人数不超过本专业招生计划数的20%（少数民族考生除外）。<br/>"
45_350052,45,350052,舞蹈表演,四年,艺术学学士,本科(普通),艺术学,音乐与舞蹈学类,"本专业主要培养从事民族舞蹈表演专业的高等专门人才，为全国各地的专业文艺团体输送舞蹈演员；毕业生也可在表演艺术团体从事舞蹈教育、编导工作或在其他文化单位从事舞蹈编辑和舞蹈研究工作。<br />
主要课程：中国民族舞蹈、芭蕾舞、中国古典舞、现代舞、古典舞身韵、外国代表性舞、舞蹈表演、表演学理论、表演心理学、戏剧表演、编舞技法、教学剧目、音乐基础理论、曲式与作品分析、艺术概论、舞蹈概论、中国舞蹈史、外国舞蹈史等。<br />"
45_1081,45,1081,舞蹈学,四年,艺术学学士,本科(普通),艺术学,音乐与舞蹈学类,"本专业主要培养从事民族舞蹈教育专业的高等专门人才，为全国各地的艺术院校、专业文艺团体、艺术职业学校等输送舞蹈教师；毕业生也可在艺术团体从事舞蹈表演、编导工作以及舞蹈编辑和舞蹈研究工作。<br />
主要课程：中国民族舞蹈、芭蕾舞、中国古典舞、现代舞、舞蹈教学法、教学剧目、编舞技法、音乐基础理论、曲式与作品分析、人体解剖学、教育学、心理学、文学与写作、艺术概论、舞蹈概论、中国舞蹈史、外国舞蹈史等。<br />"
