special_unique_id,school_id,special_id,sp_name,limit_year,degree,level1_name,level2_name,level3_name,content
35_432,35,432,新闻学,四年,文学学士,本科(普通),文学,新闻传播学类,"新闻学专业</br>本专业以立德树人为本，以马克思主义新闻观为指导，努力造就具有社会责任感、职业理想、创新精神、实践能力和国际视野的高素质专门人才和拔尖创新人才，培养具备人文和社会科学知识素养，熟悉我国新闻宣传政策法规，具备扎实的新闻传播理论基础、专业实践能力和社会服务能力的，能适应互联网时代传媒发展变化趋势、具备新媒体传播理念和能力的，能在各级各类媒体、党政机关、企事业单位或社会机构从事新闻、出版、宣传、广告、公关等工作的高层次新闻传播专业人才。</br>本专业学制四年,授予文学学士学位。</br>主要专业课程包括：马克思主义新闻理论、新闻采写基础、新闻编辑、新闻评论学、中外新闻史、新闻摄影、网络传播学、国际传播和融合报道等课程。</br>本专业毕业生可在各级各类报刊、通讯社、电台、电视台、图片社、网站、党政机关、企事业单位、宣传部门从事文字、声像、图片、新媒体形态的采写（制作）、编辑及管理工作。"
35_458,35,458,化学,四年,理学学士,本科(普通),理学,化学类,按照“化学类”招生，录取到“生物科学类”、“环境科学与工程类”、“化学类”的学生，入学后统一按照“生命化学类”进行培养，大类培养阶段结束后学生在生物科学、生物技术、生态学、环境科学与工程、植物科学与技术、化学、高分子材料与工程、化学工程与工艺、制药工程等专业范围内进行专业分流，以上专业不包括基地班、菁英班。云南大学化学专业于1937年设立并开始招生，2007年入选国家一类特色专业和云南省重点专业，2019年入选首批国家级一流本科专业建设点。专业定位于培养基础厚、能力强、适应面广、有理想、有国际视野的高素质基础学科研究和应用型专业人才。化学专业依托云南大学化学学科开展人才培养，化学学科为ESI全球排名前1%学科，是云南高峰建设学科，1981年获有机化学和物理化学硕士授权，2003、2011和2012年又先后获化学一级学科硕士、博士授权和博士后科研流动站，形成了本-硕-博完整的人才培养体系。专业依托国家级实验教学示范中心、国家级教学团队、教育部重点实验室、教育部创新团队，结合云南地方资源及经济建设，形成了以自然资源药物化学、稀贵金属化学、环境与催化化学等有显著的区域优势与特色的人才培养方向。化学专业历史悠久，人才培养基础扎实，为国家培养输送了4千余名化学人才，培养造就了3名两院院士人，以及国家杰青、优青、中组部千人、国家万人计划领军人才和省厅级领导干部为代表的一批杰出学者和行业精英。本专业师资力量雄厚，拥有包括国家杰青、优青、国家百千万工程人才、云岭教学名师和省级学术带头人在内学术水平高、教学经验丰富、科研实力强的师资队伍。专业学生承担各类科研项目及参与发表科研论文，学生基础扎实，升学率超过40%。
35_565554,35,565554,环境设计,四年,艺术学学士,本科(普通),艺术学,设计学类,本专业入选国家级一流本科专业建设点。</br></br>（1）培养目标：本专业人才培养目标，以“云南大学一流大学建设方案”为导向，秉承云南大学培养具有社会责任感、创新精神、实践能力和国际视野的拔尖创新人才的总目标。致力于培养具有强烈的责任意识、科学的理性精神、领先的审美判断、系统的环境设计专业知识，掌握环境设计专业相应的设计思想、表达、沟通和管理技能，能从事环境设计研发、推动环境设计专业发展、承担环境设计教育及相关研究工作，具备自主创业能力，具备国际视野、具有良好道德品行和较高的文化艺术素养，适应我国社会主义经济文化建设发展需要的高层次、运用型环境艺术设计专门人才。</br></br>（2）学制与学位：学制为4年，授予艺术学学士学位。</br></br>（3）专业核心课程：</br></br>景观设计专业方向：专业设计一（景观设计入门）、专业设计二（城市广场设计）、专业设计三（居住空间设计）、专业设计四（主题公园设计）、专业设计五（滨水景观设计）景观植物与配置、景观照明设计、生态景观设计</br></br>室内设计专业方向：专业设计一（室内设计入门）、专业设计二（公寓与别墅设计）、专业设计三（商店与餐厅设计）、专业设计四（办公室与展示空间设计）、专业设计五（酒店设计）、室内家具设计、室内照明设计、陈设艺术设计</br></br>（4）就业方向：本专业培养适应我国人居环境发展需要，具有系统的环境设计基本理论素养，掌握环境设计方法和技能，并具备较强的创新和实践能力，可在相关的设计、学校、文化、艺术单位从事环境设计、教学、研究、施工管理等方面工作的高级专门人才。
35_419,35,419,绘画,四年,艺术学学士,本科(普通),艺术学,美术学类,培养目标：本专业培养具有较全面、系统的绘画艺术基本理论素养，并具备绘画艺术创作、教学、研究能力，能在有关文化、艺术单位从事创作、教学、研究、新闻出版、管理等方面工作的高级专门人才。</br>学制4年。</br>学位类别：艺术学学士学位。</br>主干课程：专业黑白木刻技法、套色木刻技法、综合版画、铜版画、陶瓷装饰基础、陶瓷造型基础、世界陶瓷史 、透视与构图、速写与构图、素描研究、色彩研究、人物写生、风景写生、绘画综合媒介材料研究、当代绘画创作与研究、中西方美术史、艺术概论、中国画素描、白描写生与创作、意笔人物、工笔人物、意笔花鸟、工笔花鸟、意笔山水、书法篆刻、小品画创作等。</br>就业方向：在有关文化、艺术单位从事创作、教学、研究、新闻出版、管理等方面工作。
35_416,35,416,视觉传达设计,四年,艺术学学士,本科(普通),艺术学,设计学类,培养目标：本专业培养具有国际设计文化视野，了解民族设计风格，满足时代发展需求，具有传统平面媒体和现代网络媒体设计能力，在专业设计机构、企业、新闻媒体、中等院校、研究单位从事视觉传播方面的设计、教学、研究和管理工作的专门人才，同时坚持社会主义办学方向，坚持育人为本、德育为先、能力为重、全面发展的培养目标，培养具有社会责任感、创新精神、实践能力和国际视野的创新型设计人才。</br>学制4年。</br>学位类别：艺术学学士学位。</br>主干课程:中外艺术设计史、艺术设计概论、图形创意、</br>文字与版式设计、印刷工艺与技法、包装设计、民族民间创意产品设计等。</br>就业方向：在专业设计机构、企业、新闻媒体、中等院校、研究单位从事视觉传播方面的设计、教学、研究和管理工作。</br>
35_417,35,417,社会工作,四年,法学学士,本科(普通),法学,社会学类,"社会工作是一种专业助人和解决社会问题的工作，其应用性非常强。它帮助社会上的贫困者、老弱者、身心残障者和其他不幸者，预防和解决因经济困难或生活方式不良而造成的种种社会问题。同时开展社区服务，完善社会功能，提高社会福利水平和社会生活素质，实现个人和社会的和谐一致，促进社会的稳定与发展。</br>大学中社会工作专业主要培养具有基本的社会工作理论和知识，较熟练的社会调查研究技能和社会工作能力，能在民政、劳动、社会保障和卫生部门，及工会、青年、妇女等社会组织及其他社会福利、服务和公益团体等机构从事社会保障、社会政策研究、社会行政管理、社区发展与管理、社会服务、评估与操作等工作的高级专门人才。</br>培养目标：本专业坚持实践育人、文化育人、科研育人、协同育人的原则，培养具备""以人为本、助人自助、公平正义""的专业价值观，具有较全面的社会科学基础知识和扎实的社会工作理论知识，能熟练运用社会工作专业方法与技巧，在党政机关、企事业单位及社会组织等部门和领域从事社会工作服务与社会福利管理等方面工作的复合应用型专业人才。</br>学制：四年制</br>学位类别：法学</br>课程设置：</br>（一）专业核心课程：社会学概论、人类学概论、社会工作导论、社会心理学、社会科学研究方法、社会问题与社会政策、人类行为与社会环境、个案工作、小组工作、社区工作、社会行政、西方社会学理论、社会保障、社会工作理论与实务、社会福利思想、社会工作研究</br>（二）主要实践性教学环节</br>1. 主要实践性教学环节：社会工作课程实习、社会工作实践活动、社会调查研究、毕业实习</br>2. 主要专业实验：个案社会工作实验、小组社会工作实验、社区社会工作实验、社会工作技巧训练</br>就业方向：</br>社会工作专业学生的就业领域非常广泛，云南大学社会工作专业历年本科毕业生的就业率均达到98%以上。从学生毕业后的就业情况来看，基本的去向有：一、投身社会服务，从事专业社会工作；二、进入政府部门，从事行政工作；三、进入高校，从事教学、科研；四、进入企业，从事人力资源管理和企业经营活动。</br>云南大学社会工作系与复旦大学合作建立了""2+2""的联合培养制度，每年通过选拔,我系将输送五名优秀本科生前往复旦大学社会工作系学习。</br>"
35_388,35,388,民族学,四年,法学学士,本科(普通),法学,民族学类,（1）专业简介</br></br>云南大学的民族学学科创建于 20 世纪 30 年代末，吴文藻、费孝通、许烺光、田汝康、方国瑜、江应樑、杨堃等享誉国内外著名专家任教于云南大学，为民族学学科发展奠定了坚实的学术基础和优良的学术传统。自 20 世纪 80 年代以来，云南大学逐步建立和完善了“本－硕－博”一体化的民族学人才培养体系。2019年入选教育部一流本科建设专业。</br></br>专业定位：基础型学科</br></br>学制与学位：学制为4年，授予法学学士学位。</br></br>（2）培养目标</br></br>本专业以民族学和人类学的基本知识模块为基础，以学生能力发展为目标，以民族、族群及其社会文化为研究对象，以中国西南和东南亚民族及其社会文化的调查研究为特色，以培育学生系统的专业知识和较强的实践能力为重点，培养能够从事民族宗教事务管理、民族地区公共事务、跨文化（跨文明）的交流及其管理、文化多样性传承保护、民族文化创意产业开发以及以田野调查和个案工作为基础的其他工作的应用型和创新型复合人才。</br></br>（3）培养要求</br></br>①具备国际视野和国情意识，思想政治上具备较高的思想道德素质，即正确的政治方向，遵纪守法、诚信人文，有较强的团队意识和健全的人格，有科学的世界观和人生观；②熟练掌握本专业的基本理论、基本知识与基本方法，同时具备人文社会科学和自然科学的相关知识和方法，能独立从事规范的民族学研究，能独立写作规范的民族学研究性论文；③理解民族学的历史与传统，熟悉中国民族学的历史，具有民族学的理论思考能力和实践能力，能从民族学的视角，分析当前民族问题并提出相应的对策；④熟练掌握文化研究和跨文化比较的方法，能应用民族文化传承、保护与开发的相关理论进行文化产业开发和文化遗产保护、博物馆布展等。</br></br>（4）专业核心课程</br></br>民族学通论、人类学概论、田野工作与民族志写作、中国民族史、中国民族概论、世界民族概说、民族理论与民族政策、婚姻家庭与亲属制度、社会研究方法、民族宗教事务管理、公共事务管理等。</br></br>（5）就业方向</br></br>从事民族宗教事务管理、文化产业管理、民族地区公共事务管理、非物质文化传承与保护等方面的工作；开展历史、地理、政治等基础学科的教学工作；从事新闻传媒、文化创意产业开发、民族传统文化保护与开发、博物馆布展与陈列等方面的工作。
35_387,35,387,材料科学与工程,四年,工学学士,本科(普通),工学,材料类,"材料科学与工程专业</br>材料科学与工程是一个什么样的专业呢？提到""材料""，大家会想到什么？纳米材料、抗菌材料、生物医用材料、智能材料或是高性能工程材料等等这一系列的名词会跃入你的脑海吗？材料是人类生产和生活必需的物质基础，是用于制造物品、器件、构件、机器或其他产品的物质。材料的发展是人类文明发展进步的标志，从石器时代到青铜器、铁器时代再到人工合成的新材料时代，材料科学正迅速影响着人类的生活。从上世纪初电子管的发明使人类有了无线电技术、电视机、计算机，到半导体晶体管和集成电路的发明使得电子产品迅速普及，成为进入信息时代的标志，这都是以硅为主的半导体材料的研究与加工技术的提高，以及新型光电材料芯片和光存储材料研发的结果；人类寿命的增加、生活质量的提高更受到生物医用材料及组织工程材料研发的影响，例如：人工皮肤、人工关节、口腔材料等等；而航天航空事业的飞速发展也离不开材料学家对含能材料、阻燃材料及高强度低重量的高分子纤维材料的研发；或是关乎民生的基础设施建设更是以材料科学为支柱。</br>那么，大家选择云南大学材料科学与工程学院将收获什么？</br>材料科学与工程专业是研究材料成分、结构、加工工艺与其性能和应用的学科。我院在原有材料物理、材料化学和无机非金属材料工程三个专业基础上，为了更好地贴近目前材料科学与工程学科发展的趋势和前沿，避免传统专业分割对学生培养的限制，于2018年正式将三个专业合并，进行大类本科生培养。在""材料科学与工程""一级学科背景下，结合现有的学院科研特点，以生态环境与新型能源材料及技术、稀贵及有色金属电子功能材料、微纳光电子材料与器件、材料基因工程、纳米结构超材料等特色方向下进行本科专业人才培养。</br>本专业学制4年，修满学分并成绩合格者，授予工学学士学位。</br>培养目标：定位于以立德树人为根本，构建知识、能力、人格三位一体的育人体系，以优化的课程结构体系、科研实践条件和社会服务环境，培育具备""宽、厚、实""自然科学基础，良好的人文社会科学背景和自我修养，拥有可拓展计算机基础和外语应用能力，掌握材料科学与工程的基础理论及研究方法，具备新型材料制备技能，能在能源、环境、信息等材料相关领域从事产品设计、工艺和工程设计、技术开发和改造、科学研究以及生产、质量监控和经营管理等工作的创新型工程技术人才。</br>毕业生将获得以下知识、素质和能力：</br>1、具有从事本专业必须的数学、物理、化学等自然科学基础知识，以及良好的人文社会科学和管理科学基础素质；</br>2、掌握扎实的材料组成与结构、制备、表征及材料性能应用的基本理论知识、基本方法及相关的基本实验技能，具备设计、制备、表征和分析材料的基本能力；</br>3、具有综合运用材料科学与工程专业基本理论和计算技术进行材料产品及生产工艺、装备的开发，设计、运行和维护的工程项目管理能力；</br>4、具有本专业必需的机械、信息及网络技术、计算机应用技术的基本知识和技能；</br> 5、具备一定的专业外语运用能力，可在跨文化环境下进行本专业相关的有效沟通和表达素质；</br>6、熟悉本专业领域的技术标准及相关的行业政策、法律、法规，具备良好的职业道德素质及对工作、社会和环境的责任感。 </br>主干课程：材料科学基础（I）（II）、材料分析与表征、材料分析与表征实验、材料性能学、材料物性实验、材料工艺学（I）（II）、材料工艺实验、材料物理、材料化学、计算材料实验、新能源材料、光伏器件与材料、功能材料、纳米材料与技术、绿色化学、微电子学概论、半导体器件工艺、电介质材料、存储材料与技术、复合材料、电子浆料材料、金属材料加工基础。</br>四年后，我们将去向何方？</br>就业方向：以纳米材料、新能源材料、光电子材料、高分子材料及生物医用材料等为代表的新材料技术创新及相关科研院校和企事业单位对材料及相关工程方面的人才需求正逐步增加。  学生毕业后可从事材料、物理、化学、冶金、环保、医药及相关领域的教学、科研、产品设计开发、工艺和工程设计、技术开发改造以及生产、质量监控与管理工作。可以说，无论是IT行业，化工医药行业，机械建筑工程行业，还是从事医药、钢材、高分子材料、橡胶及相关制品贸易的企业，都需要具有全面材料学基础的人才。；又由于材料学是涉及数学、物理、化学、生物、工程学等多方面基础的交叉学科，加上大学校园内丰富的社团、竞赛、创新创业等等活动的锻炼，作为一个具有全面综合素质的本科毕业生，也有能力根据自己的兴趣，通过努力来实现在其他领域就业的目标，如：行政、金融、管理、司法等。</br>当然，学生毕业后也可继续攻读国内外材料学及相关的高新技术学科、交叉学科等学科领域的硕士博士研究生。</br>"
35_385,35,385,历史学,四年,历史学学士,本科(普通),历史学,历史学类,"历史学(国家历史学基地班)</br>云南大学历史学专业现拥有""全国普通高校文科基础学科人才培养与科学研究基地""、专门史国家重点学科、中国史一级学科博士学位授予权，拥有文物与博物馆硕士专业学位(简称MCHM)授予权，以及历史学博士后科研工作流动站，已形成较完善的学科体系和发展平台。</br>本专业培养具有一定马克思主义基本理论素养、系统的专业基本知识、有培养潜能的史学专门人才；培养能在国家机关、文教、新闻出版、文博档案及各类企事业单位从事实际工作的应用型、复合型高级专门人才。</br>本专业学制四年，授予历史学学士学位。</br>本专业主要开设：中国通史、世界通史、史学理论与方法、中国考古学通论、中西方史学史、中国历史文选、中国历史文献学、历史地理学等课程。</br>本专业推行学士——硕士——博士分层培养制，历史学基地班以远远高于普通班级的比例（50%），推荐优秀应届本科毕业生免试攻读硕士学位。</br>本专业毕业生适合到党政、科研、高等院校、文化及出版部门、考古和文博、图书与档案管理、旅游等企事业单位就业。"
35_386,35,386,档案学,四年,管理学学士,本科(普通),管理学,图书情报与档案管理类,档案学专业</br>    培养目标：培养具有系统的档案学基础知识与文化知识，掌握现代管理知识、先进信息技术的基本技能和档案管理专业技能，能在各级各类档案局、档案馆、图书馆、党政机关、社会团体和企事业单位档案部门、信息部门、文秘部门、办公部门、情报机构、史志部门从事档案管理与档案信息服务、文献信息资源管理、行政管理、文秘、办公自动化、编史修志等工作及档案学理论研究的应用型、复合型档案学高级专门人才。学制四年，授予管理学学士学位。</br>主干课程：本专业学生主要学习档案管理与信息管理的基本知识，例如文书学、档案学概论、档案管理学、档案文献编纂学、中外档案事业史、档案保护技术学、电子文件管理、科技档案管理、声像档案管理、档案信息化建设、公文写作、民族档案概论等主干课程；主要专业实验包括公文处理模拟、文件立卷实务训练、电子文件管理系统演示与分析、档案管理事务训练、档案文献编纂、信息加工利用、档案信息保护技术实务训练、文献复制实务训练、文件档案系统设计与开发等；接受管理学、历史学、文献学、信息科学与技术有关理论、方法与技能等方面的系统教育与训练，能胜任文件处理与管理、档案与档案事业管理、档案信息资源开发利用、档案文献信息保护、信息获取与鉴别、信息组织与分析、文件档案系统设计与运行维护的工作。</br>毕业生应获得以下几方面的知识与能力：</br>（1）掌握管理科学的基本原理和档案学的基础理论；</br>（2）掌握档案管理和信息管理的基本理论、基础知识与业务技能，以及与信息管理相关学科的知识；</br>（3）具有从事行政管理、办公室业务、文秘、办公自动化管理的基本技能；</br>（4）具备一定的信息系统和信息资源开发利用的实践能力和技术技能；</br>（5）了解国内外档案管理与信息管理的前沿成就与发展动向，具有一定的科学研究能力。</br>就业方向：毕业生可在党政机关、社会团体和企事业单位档案部门（资料信息中心）、办公厅（室），各级各类档案馆（局）、图书馆、情报机构、史志部门从事档案管理与信息服务、文献信息资源管理、行政管理、电子政务、人力资源管理、文秘、办公自动化、编史修志等工作或继续攻读相关的硕士学位。</br>
